ID: modified_rastrigin_all	Date: 2018-08-22 21:26:56	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	-2.1333	-16.4036	0.0000	23.1032
1	-2.0407	-16.0125	0.0000	59.4938
2	-2.0407	-15.3482	0.0000	86.4646
3	-2.0407	-14.1916	0.0000	108.5315
4	-2.0407	-13.4382	0.0000	132.6272
5	-2.0407	-12.6035	0.0000	158.5128
6	-2.0407	-12.5996	0.0000	180.4426
7	-2.0407	-10.5690	0.0000	201.4232
8	-2.0085	-10.1750	0.0000	223.5434
9	-2.0085	-9.0856	0.0000	246.4714
10	-2.0085	-8.8890	0.0000	267.7600
11	-2.0085	-7.4135	0.0000	289.4509
12	-2.0085	-6.7827	0.0000	310.9071
13	-2.0085	-6.9730	0.0000	334.4901
14	-2.0022	-7.0420	0.0000	354.9654
15	-2.0022	-6.1980	0.0000	375.9899
16	-2.0002	-5.5527	0.0000	397.0613
17	-2.0002	-5.2351	0.0000	417.1007
18	-2.0002	-4.8696	0.0000	437.6452
19	-2.0002	-4.9726	0.0000	457.5822
20	-2.0002	-4.8795	0.0000	478.3649
21	-2.0002	-4.4981	0.0000	500.2980
22	-2.0002	-4.1395	0.0000	519.8972
23	-2.0002	-4.3144	0.0000	542.2733
24	-2.0002	-3.8598	0.0000	562.6788
25	-2.0002	-3.8344	0.0000	582.4215
26	-2.0002	-3.9913	0.0000	604.2168
27	-2.0002	-3.7284	0.0000	624.5265
28	-2.0002	-3.8926	0.0000	647.4433
29	-2.0002	-3.2195	0.0000	667.3882
30	-2.0002	-3.7304	0.0000	690.2554
31	-2.0000	-3.3996	0.0000	713.1636
32	-2.0000	-3.4947	0.0000	734.5455
33	-2.0000	-3.2506	0.0000	754.5736
34	-2.0000	-3.2887	0.0000	774.9608
35	-2.0000	-3.1155	0.0000	796.0289
36	-2.0000	-3.2565	0.0000	817.4355
37	-2.0000	-2.7910	0.0000	837.0888
38	-2.0000	-3.1277	0.0000	859.7169
39	-2.0000	-2.7876	0.0000	881.7914
40	-2.0000	-2.6166	0.0000	902.1370
41	-2.0000	-2.9466	0.0000	922.9891
42	-2.0000	-2.6667	0.0000	943.1643
43	-2.0000	-2.8822	0.0000	976.7432
44	-2.0000	-2.7192	0.0000	1006.5866
45	-2.0000	-2.7360	0.0000	1026.3383
46	-2.0000	-2.6231	0.0000	1047.0238
47	-2.0000	-2.3650	0.0000	1067.2343
48	-2.0000	-2.5536	0.0000	1088.7148
49	-2.0000	-2.6786	0.0000	1109.1449
50	-2.0000	-2.5562	0.0000	1129.7045
51	-2.0000	-2.5083	0.0000	1151.1223
52	-2.0000	-2.4377	0.0000	1172.4758
53	-2.0000	-2.4051	0.0000	1193.8176
54	-2.0000	-2.6563	0.0000	1215.7893
55	-2.0000	-2.2426	0.0000	1236.3491
56	-2.0000	-2.6845	0.0000	1259.4180
57	-2.0000	-2.3570	0.0000	1279.5920
58	-2.0000	-2.2943	0.0000	1298.9621
59	-2.0000	-2.3864	0.0000	1318.7323
60	-2.0000	-2.3973	0.0000	1339.8669
61	-2.0000	-2.5693	0.0000	1359.0760
62	-2.0000	-2.2600	0.0000	1379.9143
63	-2.0000	-2.1657	0.0000	1399.9038
64	-2.0000	-2.2887	0.0000	1421.3572
65	-2.0000	-2.2486	0.0000	1442.4300
66	-2.0000	-2.1644	0.0000	1464.0858
67	-2.0000	-2.3822	0.0000	1483.5539
68	-2.0000	-2.1957	0.0000	1504.2334
69	-2.0000	-2.1444	0.0000	1523.7248
70	-2.0000	-2.1489	0.0000	1545.2626
71	-2.0000	-2.1102	0.0000	1564.6446
72	-2.0000	-2.2676	0.0000	1584.8780
73	-2.0000	-2.0870	0.0000	1604.4030
74	-2.0000	-2.1129	0.0000	1624.8126
75	-2.0000	-2.1354	0.0000	1643.3520
76	-2.0000	-2.1312	0.0000	1663.4843
77	-2.0000	-2.1456	0.0000	1682.9948
78	-2.0000	-2.2019	0.0000	1703.3038
79	-2.0000	-2.3526	0.0000	1722.8885
