ID: shubert	Date: 2018-09-04 16:14:19	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	110.5733	11.9795	0.0000	24.3602
1	133.6976	18.2821	0.0000	45.8128
2	133.6976	19.3109	0.0000	66.5271
3	137.4063	27.5359	0.0000	86.2854
4	150.7343	28.6648	0.0000	108.4971
5	150.7343	28.4814	0.0000	129.5476
6	150.7343	25.4393	0.0000	148.5097
7	173.0461	28.7068	0.0000	167.8853
8	173.0461	32.6042	0.0000	187.8924
9	173.0461	27.9530	0.0000	209.3427
10	173.0461	37.4757	0.0000	227.6835
11	173.0461	36.7614	0.0000	246.1035
12	173.0461	42.0578	0.0000	265.0745
13	173.0461	41.2556	0.0000	284.3173
14	173.0461	50.5034	0.0000	307.1237
15	173.0461	51.7860	0.0000	325.6629
16	173.0461	45.6630	0.0000	344.9533
17	173.0461	44.7669	0.0000	363.7574
18	173.0461	53.8584	0.0000	382.5181
19	173.0461	54.6958	0.0000	400.8198
20	182.3801	50.3821	0.0000	419.8313
21	182.3801	59.7172	0.0000	438.2691
22	182.3801	49.9430	0.0000	456.8136
23	182.3801	59.2129	0.0000	476.3567
24	185.7972	59.7984	0.0000	495.2750
25	185.7972	51.7015	0.0000	514.5032
26	185.7972	68.5959	0.0000	533.6242
27	185.7972	69.4846	0.0000	551.7764
28	185.7972	57.7147	0.0000	570.0037
29	185.7972	58.3228	0.0000	588.8276
30	185.7972	60.3652	0.0000	608.1483
31	185.7972	65.1103	0.0000	626.8694
32	185.7972	64.4055	0.0000	645.9177
33	185.7972	70.5063	0.0000	664.4936
34	185.7972	64.1568	0.0000	683.8603
35	185.7972	67.5026	0.0000	702.6548
36	185.7972	55.1034	0.0000	721.5223
37	185.7972	62.3081	0.0000	739.7711
38	185.7972	73.6765	0.0000	758.4188
39	185.7972	68.8357	0.0000	776.5822
40	185.7972	70.3198	0.0000	796.1378
41	185.7972	69.8133	0.0000	815.7988
42	185.7972	71.5121	0.0000	834.1165
43	185.7972	69.5224	0.0000	854.3718
44	185.7972	75.6638	0.0000	873.6017
45	185.7972	76.5226	0.0000	892.2217
46	185.7972	73.8155	0.0000	912.9839
47	185.7972	78.9154	0.0000	931.7551
48	186.4415	75.8941	0.0000	950.5041
49	186.4415	66.0213	0.0000	970.1769
50	186.4415	79.6632	0.0000	989.1722
51	186.4415	72.8993	0.0000	1008.5301
52	186.4415	81.3804	0.0000	1027.8244
53	186.4415	74.4985	0.0000	1047.4093
54	186.4415	77.6079	0.0000	1067.1103
55	186.4415	79.1495	0.0000	1087.3382
56	186.4415	81.6755	0.0000	1107.0778
57	186.4415	69.6289	0.0000	1126.5125
58	186.4415	82.9356	0.0000	1146.1918
59	186.4415	71.0731	0.0000	1166.7848
60	186.4415	86.8011	0.0000	1186.9309
61	186.4415	80.6281	0.0000	1207.8753
62	186.4415	80.8820	0.0000	1228.0197
63	186.4415	76.7092	0.0000	1247.8328
64	186.4415	77.6709	0.0000	1269.0563
65	186.4415	73.9463	0.0000	1291.1978
66	186.4415	74.7105	0.0000	1313.2615
67	186.4415	74.9043	0.0000	1334.4567
68	186.4415	85.0863	0.0000	1352.7410
69	186.4415	84.8086	0.0000	1371.4135
70	186.4415	79.3543	0.0000	1390.7800
71	186.4415	86.2589	0.0000	1409.8623
72	186.4415	84.9351	0.0000	1427.9559
73	186.7042	88.8331	0.0000	1447.6383
74	186.7042	85.9749	0.0000	1465.2982
75	186.7042	87.5351	0.0000	1484.2691
76	186.7042	91.2756	0.0000	1502.9922
77	186.7042	87.8657	0.0000	1521.6906
78	186.7042	94.3441	0.0000	1540.0443
79	186.7042	90.7150	0.0000	1558.5892
80	186.7042	87.6364	0.0000	1576.1111
81	186.7042	83.3190	0.0000	1594.0468
82	186.7042	81.0933	0.0000	1612.9010
83	186.7042	89.6164	0.0000	1632.4422
84	186.7042	81.6026	0.0000	1651.2640
85	186.7042	83.1047	0.0000	1670.9881
86	186.7042	80.7375	0.0000	1689.7073
87	186.7042	84.8918	0.0000	1708.4179
88	186.7042	80.9803	0.0000	1726.9042
89	186.7042	82.8325	0.0000	1746.8507
90	186.7042	93.8672	0.0000	1766.2356
91	186.7042	85.1636	0.0000	1785.1846
92	186.7042	92.2739	0.0000	1803.7639
93	186.7042	86.8854	0.0000	1823.2169
94	186.7233	86.2262	0.0000	1842.7563
95	186.7233	80.8423	0.0000	1861.9795
96	186.7233	86.1148	0.0000	1880.3935
97	186.7233	70.9490	0.0000	1899.4560
98	186.7233	91.9439	0.0000	1919.2464
99	186.7233	84.5584	0.0000	1938.1936
100	186.7233	82.0267	0.0000	1958.1790
101	186.7233	86.0409	0.0000	1977.6466
102	186.7233	89.1028	0.0000	1996.0117
103	186.7233	83.7673	0.0000	2014.4892
104	186.7233	91.3370	0.0000	2033.4537
105	186.7233	91.3144	0.0000	2052.5672
106	186.7233	85.9083	0.0000	2071.8844
107	186.7233	88.0934	0.0000	2091.3594
108	186.7233	90.7947	0.0000	2110.0492
109	186.7233	90.4298	0.0000	2129.2348
110	186.7233	90.9601	0.0000	2147.8856
111	186.7233	92.6161	0.0000	2168.3440
112	186.7233	76.9620	0.0000	2187.7558
113	186.7233	98.3707	0.0000	2214.5846
114	186.7233	90.2304	0.0000	2236.1195
115	186.7233	78.7997	0.0000	2255.8572
116	186.7233	84.0754	0.0000	2275.7385
117	186.7233	80.6174	0.0000	2296.1709
118	186.7233	93.3689	0.0000	2317.8587
119	186.7233	82.8005	0.0000	2342.4025
120	186.7233	81.8410	0.0000	2361.3875
121	186.7233	82.0147	0.0000	2379.5135
122	186.7233	78.3535	0.0000	2398.2615
123	186.7233	78.9977	0.0000	2416.8801
124	186.7233	79.3239	0.0000	2436.0201
125	186.7233	78.5265	0.0000	2455.3046
126	186.7233	93.5337	0.0000	2474.8118
127	186.7233	95.3216	0.0000	2494.5545
128	186.7233	88.0730	0.0000	2513.8226
129	186.7233	83.9349	0.0000	2531.9638
130	186.7233	84.1388	0.0000	2550.1835
131	186.7233	88.7096	0.0000	2568.2509
132	186.7233	87.9015	0.0000	2587.4021
133	186.7233	89.6334	0.0000	2610.4698
134	186.7233	87.3435	0.0000	2628.4370
135	186.7233	83.7777	0.0000	2646.6558
136	186.7233	85.0115	0.0000	2664.4185
137	186.7233	85.2803	0.0000	2682.9691
138	186.7233	85.2923	0.0000	2701.9818
139	186.7233	79.5368	0.0000	2720.5212
140	186.7233	77.4877	0.0000	2738.7764
141	186.7233	91.2112	0.0000	2757.3917
142	186.7233	86.1468	0.0000	2776.9945
143	186.7233	84.0576	0.0000	2795.3868
144	186.7233	91.8023	0.0000	2814.8861
145	186.7233	80.7571	0.0000	2832.9673
146	186.7233	94.2402	0.0000	2851.3715
147	186.7233	89.1919	0.0000	2870.0967
148	186.7233	90.2262	0.0000	2888.6068
149	186.7233	96.0577	0.0000	2907.9411
150	186.7233	85.7608	0.0000	2927.8781
151	186.7233	90.8326	0.0000	2948.3068
152	186.7233	87.9373	0.0000	2969.7447
153	186.7233	78.7689	0.0000	2988.3883
154	186.7233	89.4127	0.0000	3007.4992
155	186.7233	96.8503	0.0000	3026.4995
156	186.7233	83.5224	0.0000	3044.7822
157	186.7233	88.8680	0.0000	3064.5015
158	186.7233	87.6409	0.0000	3083.4718
159	186.7233	86.3523	0.0000	3103.9994
160	186.7233	86.4206	0.0000	3125.2203
161	186.7233	95.1911	0.0000	3143.5268
162	186.7233	83.8510	0.0000	3162.0929
163	186.7233	79.8201	0.0000	3181.4158
164	186.7233	91.1171	0.0000	3199.8761
165	186.7233	88.8193	0.0000	3219.1212
166	186.7233	88.1706	0.0000	3237.9088
167	186.7233	90.0361	0.0000	3257.2000
168	186.7233	88.7696	0.0000	3276.2449
169	186.7233	85.8647	0.0000	3294.6820
170	186.7233	95.5622	0.0000	3313.8971
171	186.7233	90.4750	0.0000	3331.9435
172	186.7233	91.5363	0.0000	3351.2082
173	186.7233	89.1998	0.0000	3369.8514
174	186.7233	101.8196	0.0000	3390.9981
175	186.7233	95.0620	0.0000	3410.9612
176	186.7233	89.9200	0.0000	3431.2012
177	186.7233	90.6859	0.0000	3450.7232
178	186.7233	96.4374	0.0000	3470.2773
179	186.7233	93.8442	0.0000	3488.6250
180	186.7233	85.2650	0.0000	3507.8521
181	186.7233	82.7074	0.0000	3526.4218
182	186.7233	93.8177	0.0000	3544.9705
183	186.7233	84.5074	0.0000	3564.6894
184	186.7233	97.2485	0.0000	3582.5188
185	186.7233	97.7986	0.0000	3601.5909
186	186.7233	88.7490	0.0000	3619.6523
187	186.7233	83.9766	0.0000	3639.9601
188	186.7233	90.6317	0.0000	3660.2736
189	186.7233	83.6845	0.0000	3680.0756
190	186.7233	81.6804	0.0000	3698.9925
191	186.7233	96.4389	0.0000	3718.0927
192	186.7233	85.7907	0.0000	3738.4100
193	186.7233	92.9230	0.0000	3758.4059
194	186.7233	86.4807	0.0000	3778.4829
195	186.7233	85.9432	0.0000	3801.4665
196	186.7233	90.9902	0.0000	3820.5040
197	186.7233	88.7002	0.0000	3840.2045
198	186.7233	92.1437	0.0000	3861.1138
199	186.7233	95.0226	0.0000	3879.7901
200	186.7233	87.8443	0.0000	3899.3049
201	186.7233	88.7882	0.0000	3918.6039
202	186.7233	93.7397	0.0000	3936.8248
203	186.7233	87.9139	0.0000	3954.8209
204	186.7233	95.7412	0.0000	3973.5925
205	186.7233	98.5048	0.0000	3992.0526
206	186.7233	82.4749	0.0000	4011.4594
207	186.7233	95.5379	0.0000	4030.0927
208	186.7233	90.7432	0.0000	4048.6264
209	186.7233	88.3615	0.0000	4066.9878
210	186.7233	96.8319	0.0000	4085.8104
211	186.7233	88.8918	0.0000	4104.2759
212	186.7233	94.6615	0.0000	4124.1872
213	186.7233	93.7671	0.0000	4142.3225
214	186.7233	87.0323	0.0000	4161.2685
215	186.7233	95.9712	0.0000	4181.2279
216	186.7233	87.6966	0.0000	4200.4740
217	186.7233	84.1786	0.0000	4220.6686
218	186.7233	84.8673	0.0000	4241.0650
219	186.7233	76.3391	0.0000	4260.5481
220	186.7233	83.2729	0.0000	4282.3224
221	186.7233	93.0667	0.0000	4305.3243
222	186.7306	91.2975	0.0000	4325.5150
223	186.7306	95.2375	0.0000	4344.9230
224	186.7306	85.8132	0.0000	4364.2368
225	186.7306	87.9998	0.0000	4383.0557
226	186.7306	88.2119	0.0000	4403.9259
227	186.7306	88.7608	0.0000	4422.3564
228	186.7306	86.2119	0.0000	4441.1876
229	186.7306	93.3948	0.0000	4459.6252
230	186.7306	90.3817	0.0000	4479.0649
231	186.7306	88.0282	0.0000	4497.4065
232	186.7306	93.2996	0.0000	4516.9742
233	186.7306	90.6183	0.0000	4536.4327
234	186.7306	86.5665	0.0000	4556.4733
235	186.7306	75.0508	0.0000	4575.7306
236	186.7306	90.7772	0.0000	4593.7312
237	186.7306	91.4472	0.0000	4611.7930
238	186.7306	86.8560	0.0000	4629.6060
239	186.7306	91.8395	0.0000	4649.1632
240	186.7306	88.3780	0.0000	4667.5386
241	186.7306	87.2272	0.0000	4686.5125
242	186.7306	86.4896	0.0000	4705.3068
243	186.7306	85.2160	0.0000	4724.2708
244	186.7306	87.7838	0.0000	4742.8007
245	186.7306	88.8398	0.0000	4762.5346
246	186.7306	95.8750	0.0000	4780.3752
247	186.7306	86.9592	0.0000	4800.3008
248	186.7306	87.6781	0.0000	4818.8107
249	186.7306	76.9659	0.0000	4837.6367
250	186.7306	104.4480	0.0000	4857.0602
251	186.7306	91.0706	0.0000	4876.0574
252	186.7306	95.4275	0.0000	4894.5668
253	186.7306	98.0713	0.0000	4914.0680
254	186.7306	94.7972	0.0000	4934.4840
255	186.7306	88.7532	0.0000	4953.1803
256	186.7306	92.8394	0.0000	4971.9844
257	186.7306	88.0056	0.0000	4991.2868
258	186.7306	92.4526	0.0000	5011.2791
259	186.7306	80.7317	0.0000	5029.3095
260	186.7306	88.0740	0.0000	5048.3775
261	186.7306	87.1402	0.0000	5067.2333
262	186.7306	91.4332	0.0000	5086.2415
263	186.7306	90.1884	0.0000	5104.8095
264	186.7306	87.1434	0.0000	5124.8331
265	186.7306	89.0172	0.0000	5144.4499
266	186.7306	88.3025	0.0000	5162.2744
267	186.7306	82.9583	0.0000	5180.8455
268	186.7306	79.0630	0.0000	5199.3978
269	186.7306	92.6906	0.0000	5217.6425
270	186.7306	85.0132	0.0000	5235.8615
271	186.7306	83.9748	0.0000	5254.2915
272	186.7306	94.6476	0.0000	5272.7506
273	186.7306	92.1984	0.0000	5292.4953
274	186.7306	91.3507	0.0000	5311.8021
275	186.7306	83.1562	0.0000	5331.0957
276	186.7306	91.7541	0.0000	5349.3290
277	186.7306	84.8043	0.0000	5368.8717
278	186.7306	84.8775	0.0000	5387.4493
279	186.7306	81.9945	0.0000	5405.5421
280	186.7306	88.0797	0.0000	5423.5151
281	186.7306	87.7846	0.0000	5441.6871
282	186.7306	91.2026	0.0000	5461.1263
283	186.7306	84.5313	0.0000	5479.5268
284	186.7306	100.0605	0.0000	5497.7651
285	186.7306	94.5672	0.0000	5516.1963
286	186.7306	86.5338	0.0000	5533.6213
287	186.7306	86.8454	0.0000	5553.5851
288	186.7306	100.0532	0.0000	5572.4096
289	186.7306	91.5292	0.0000	5591.5146
290	186.7306	89.7808	0.0000	5611.0246
291	186.7306	98.9392	0.0000	5629.3626
292	186.7306	91.2576	0.0000	5647.5687
293	186.7306	93.7406	0.0000	5665.6148
294	186.7306	85.2107	0.0000	5684.2330
295	186.7306	93.5352	0.0000	5702.8582
296	186.7306	82.7944	0.0000	5721.8397
297	186.7306	92.8478	0.0000	5741.0071
298	186.7306	97.2824	0.0000	5761.9541
299	186.7306	95.4693	0.0000	5782.4314
300	186.7306	93.2765	0.0000	5801.1177
301	186.7306	86.2874	0.0000	5819.8149
302	186.7306	100.3960	0.0000	5838.2835
303	186.7306	91.1053	0.0000	5857.2299
304	186.7306	89.7418	0.0000	5876.0545
305	186.7306	79.9168	0.0000	5896.3008
306	186.7306	98.6519	0.0000	5922.4992
307	186.7306	89.6476	0.0000	5945.2879
308	186.7306	84.4421	0.0000	5965.0223
309	186.7306	91.4444	0.0000	5983.5782
310	186.7306	90.1762	0.0000	6002.2454
311	186.7306	89.9061	0.0000	6021.3525
312	186.7306	87.2351	0.0000	6039.6783
313	186.7306	85.4960	0.0000	6059.5274
