ID: vincent	Date: 2018-08-22 21:29:22	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	0.9989	0.1780	0.0000	199.8367
1	0.9989	0.2357	0.0000	349.3783
2	0.9989	0.3110	0.0000	501.0033
3	0.9991	0.3269	0.0000	656.8890
4	0.9991	0.3584	0.0000	820.8880
5	0.9991	0.4023	0.0000	1000.5238
6	0.9991	0.4139	0.0000	1147.5565
7	0.9991	0.4833	0.0000	1308.6119
8	0.9991	0.5002	0.0000	1479.2771
9	0.9991	0.5372	0.0000	1652.5660
10	0.9991	0.5508	0.0000	1837.7936
11	0.9991	0.5696	0.0000	2020.9591
12	0.9991	0.6132	0.0000	2224.7927
13	0.9991	0.6437	0.0000	2385.1306
14	0.9995	0.6435	0.0000	2572.3176
15	0.9995	0.6696	0.0000	2777.8068
16	0.9995	0.6915	0.0000	2925.3883
17	0.9997	0.6878	0.0000	3091.7993
18	0.9999	0.7212	0.0000	3286.6707
19	0.9999	0.7408	0.0000	3464.0911
20	0.9999	0.7653	0.0000	3618.4771
21	0.9999	0.7530	0.0000	3776.2597
22	0.9999	0.7888	0.0000	3953.2363
23	0.9999	0.7905	0.0000	4110.0380
24	0.9999	0.8089	0.0000	4272.1763
25	0.9999	0.8048	0.0000	4441.1037
26	0.9999	0.8123	0.0000	4621.0060
27	0.9999	0.8333	0.0000	4771.9777
28	0.9999	0.8406	0.0000	4955.7681
29	0.9999	0.8247	0.0000	5128.4165
30	1.0000	0.8553	0.0000	5314.0075
31	1.0000	0.8470	0.0000	5508.8840
32	1.0000	0.8802	0.0000	5673.0013
33	1.0000	0.8660	0.0000	5838.5267
34	1.0000	0.8701	0.0000	6031.8601
35	1.0000	0.8899	0.0000	6209.5821
36	1.0000	0.8850	0.0000	6369.3514
37	1.0000	0.8970	0.0000	6565.7182
38	1.0000	0.8986	0.0000	6749.8863
39	1.0000	0.8903	0.0000	6930.2437
40	1.0000	0.9081	0.0000	7107.7232
41	1.0000	0.9202	0.0000	7276.7887
42	1.0000	0.9248	0.0000	7449.1007
43	1.0000	0.9281	0.0000	7639.3034
44	1.0000	0.9339	0.0000	7816.3114
45	1.0000	0.9215	0.0000	8017.9696
46	1.0000	0.9270	0.0000	8236.2237
47	1.0000	0.9211	0.0000	8405.5817
48	1.0000	0.9288	0.0000	8553.5059
49	1.0000	0.9381	0.0000	8760.6623
50	1.0000	0.9348	0.0000	8964.8929
51	1.0000	0.9451	0.0000	9134.5816
52	1.0000	0.9415	0.0000	9296.6166
53	1.0000	0.9476	0.0000	9464.9487
54	1.0000	0.9475	0.0000	9622.0272
55	1.0000	0.9438	0.0000	9808.9712
56	1.0000	0.9473	0.0000	10005.6772
57	1.0000	0.9496	0.0000	10153.7817
58	1.0000	0.9517	0.0000	10355.8159
59	1.0000	0.9481	0.0000	10544.6517
60	1.0000	0.9485	0.0000	10718.7233
61	1.0000	0.9656	0.0000	10909.1256
62	1.0000	0.9601	0.0000	11084.1188
63	1.0000	0.9656	0.0000	11259.0029
64	1.0000	0.9719	0.0000	11470.6743
65	1.0000	0.9628	0.0000	11675.3767
66	1.0000	0.9720	0.0000	11853.7617
67	1.0000	0.9739	0.0000	12043.1299
68	1.0000	0.9658	0.0000	12233.6385
69	1.0000	0.9743	0.0000	12426.0554
70	1.0000	0.9733	0.0000	12646.9378
71	1.0000	0.9696	0.0000	12827.4941
72	1.0000	0.9738	0.0000	13018.2078
73	1.0000	0.9790	0.0000	13203.3610
74	1.0000	0.9769	0.0000	13422.3082
75	1.0000	0.9727	0.0000	13645.7903
76	1.0000	0.9811	0.0000	13840.8489
77	1.0000	0.9739	0.0000	14012.3703
78	1.0000	0.9815	0.0000	14186.2714
79	1.0000	0.9879	0.0000	14363.1675
80	1.0000	0.9870	0.0000	14549.0153
81	1.0000	0.9870	0.0000	14737.9377
82	1.0000	0.9854	0.0000	14935.6236
83	1.0000	0.9802	0.0000	15145.9525
84	1.0000	0.9783	0.0000	15346.3590
85	1.0000	0.9830	0.0000	15556.2551
86	1.0000	0.9859	0.0000	15725.5728
87	1.0000	0.9850	0.0000	15887.1326
88	1.0000	0.9809	0.0000	16103.2083
89	1.0000	0.9848	0.0000	16279.4206
90	1.0000	0.9873	0.0000	16468.7092
91	1.0000	0.9879	0.0000	16673.0785
92	1.0000	0.9819	0.0000	16843.0262
93	1.0000	0.9811	0.0000	16999.9146
94	1.0000	0.9890	0.0000	17174.2408
95	1.0000	0.9836	0.0000	17329.3631
96	1.0000	0.9854	0.0000	17497.6099
97	1.0000	0.9903	0.0000	17638.9458
98	1.0000	0.9896	0.0000	17776.9337
99	1.0000	0.9816	0.0000	17917.6664
100	1.0000	0.9897	0.0000	18060.7741
101	1.0000	0.9875	0.0000	18201.1857
102	1.0000	0.9873	0.0000	18407.6133
103	1.0000	0.9847	0.0000	18553.7019
104	1.0000	0.9870	0.0000	18696.8505
105	1.0000	0.9854	0.0000	18847.9393
106	1.0000	0.9906	0.0000	19020.2579
107	1.0000	0.9953	0.0000	19184.8600
