ID: equal_maxima	Date: 2018-06-14 13:54:13	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	0.9999	0.3290	1.0000	67.3432
1	0.9999	0.3280	0.9936	107.5010
2	0.9999	0.2944	0.9980	148.4137
3	0.9999	0.2916	1.0000	189.8277
4	1.0000	0.4405	1.0000	232.6169
5	1.0000	0.3980	1.0000	274.2295
6	1.0000	0.5133	1.0000	315.8541
7	1.0000	0.4136	1.0000	358.0847
8	1.0000	0.4895	0.9985	398.2060
9	1.0000	0.5212	1.0000	438.7341
10	1.0000	0.4943	1.0000	479.2216
11	1.0000	0.6006	1.0000	519.1729
12	1.0000	0.6506	0.9996	560.0867
13	1.0000	0.6564	1.0000	600.2934
14	1.0000	0.6566	1.0000	641.7482
15	1.0000	0.6084	1.0000	682.0502
16	1.0000	0.6613	1.0000	721.6911
17	1.0000	0.6669	1.0000	761.8639
18	1.0000	0.6964	1.0000	802.2540
19	1.0000	0.6128	1.0000	842.4938
20	1.0000	0.6458	1.0000	882.5545
21	1.0000	0.7094	1.0000	922.3676
22	1.0000	0.7459	1.0000	962.0490
23	1.0000	0.7839	0.9987	1002.1436
24	1.0000	0.6739	1.0000	1044.3320
25	1.0000	0.7495	1.0000	1081.1944
26	1.0000	0.7306	0.9981	1116.8075
27	1.0000	0.6881	0.9983	1152.4684
28	1.0000	0.7263	0.9981	1188.0238
29	1.0000	0.7360	0.9972	1223.7074
30	1.0000	0.7969	0.9992	1258.9872
31	1.0000	0.7699	0.9998	1294.7602
32	1.0000	0.8141	0.9992	1330.1346
33	1.0000	0.7954	0.9976	1365.0758
34	1.0000	0.7957	0.9969	1400.3139
35	1.0000	0.7973	0.9982	1437.5629
36	1.0000	0.8882	0.9975	1472.8668
37	1.0000	0.8379	0.9968	1508.0898
38	1.0000	0.8709	0.9969	1543.3059
39	1.0000	0.9035	0.9966	1578.4550
40	1.0000	0.8408	0.9970	1613.8835
41	1.0000	0.8986	0.9968	1649.5323
42	1.0000	0.8560	0.9963	1684.8829
43	1.0000	0.8446	0.9970	1720.1829
44	1.0000	0.9070	0.9976	1755.5692
45	1.0000	0.9023	0.9986	1792.5208
46	1.0000	0.9005	0.9977	1828.2254
47	1.0000	0.8600	0.9979	1860.8601
48	1.0000	0.8802	1.0000	1896.3108
49	1.0000	0.8903	1.0000	1933.2683
50	1.0000	0.8688	0.9997	1971.5261
51	1.0000	0.8428	0.9992	2008.2483
52	1.0000	0.9231	0.9991	2044.6925
53	1.0000	0.9285	0.9987	2081.2218
54	1.0000	0.9191	0.9984	2117.4946
55	1.0000	0.9218	0.9987	2154.2227
56	1.0000	0.9292	0.9992	2190.6798
57	1.0000	0.8846	1.0000	2226.6743
58	1.0000	0.8983	1.0000	2262.5241
59	1.0000	0.9347	0.9995	2298.1992
60	1.0000	0.9259	1.0000	2333.9739
61	1.0000	0.9168	1.0000	2370.1553
62	1.0000	0.9172	0.9991	2406.3752
