ID: five_uneven_peak_trap	Date: 2018-06-14 13:52:00	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	200.0000	92.8255	1.0000	61.4836
1	200.0000	105.6560	0.9994	98.8033
2	200.0000	91.4806	0.9960	136.1055
3	200.0000	105.8083	0.9909	173.5833
4	200.0000	117.1784	0.9908	212.6093
5	200.0000	99.3857	0.9879	250.1497
6	200.0000	118.6220	0.9848	286.5775
7	200.0000	113.1593	0.9839	324.0418
8	200.0000	123.5249	0.9826	361.9821
9	200.0000	114.0934	0.9821	398.5786
10	200.0000	121.5289	0.9819	435.2698
11	200.0000	118.4690	0.9801	472.0058
12	200.0000	118.8052	0.9792	508.2483
13	200.0000	118.3139	0.9787	545.1939
14	200.0000	110.6654	0.9759	582.4232
15	200.0000	134.1018	0.9731	619.3392
16	200.0000	126.2060	0.9691	656.9059
17	200.0000	117.0768	0.9691	693.1055
18	200.0000	113.5469	0.9674	728.8504
19	200.0000	126.2928	0.9616	765.0113
20	200.0000	121.7941	0.9613	801.3403
21	200.0000	133.0495	0.9611	837.3120
22	200.0000	121.5742	0.9599	873.5871
23	200.0000	135.8156	0.9574	910.0478
24	200.0000	130.1624	0.9562	945.9119
25	200.0000	131.8700	0.9552	982.0585
26	200.0000	136.9649	0.9541	1018.3902
27	200.0000	131.6924	0.9523	1055.5487
28	200.0000	143.3137	0.9522	1092.3359
29	200.0000	129.7005	0.9494	1128.8459
30	200.0000	138.7640	0.9452	1165.0681
31	200.0000	142.3159	0.9427	1201.3052
32	200.0000	142.8811	0.9418	1237.6664
33	200.0000	140.4441	0.9425	1274.5671
34	200.0000	148.5708	0.9423	1310.9910
35	200.0000	150.0596	0.9408	1348.6636
36	200.0000	142.7502	0.9400	1384.5778
37	200.0000	141.4376	0.9380	1420.5363
38	200.0000	142.5632	0.9360	1457.0072
39	200.0000	145.9619	0.9365	1493.5217
40	200.0000	141.1553	0.9364	1529.7871
41	200.0000	150.7991	0.9360	1565.8264
42	200.0000	139.1733	0.9348	1602.4573
43	200.0000	148.1990	0.9343	1639.0116
44	200.0000	146.8691	0.9317	1676.2097
45	200.0000	145.9660	0.9314	1712.5635
46	200.0000	150.3410	0.9314	1748.5266
47	200.0000	145.3003	0.9312	1785.1236
48	200.0000	147.7044	0.9305	1821.4903
49	200.0000	147.9419	0.9308	1858.4251
50	200.0000	146.0863	0.9310	1894.4821
51	200.0000	147.1794	0.9316	1930.2585
52	200.0000	150.1604	0.9307	1966.2855
53	200.0000	146.6110	0.9299	2002.2297
54	200.0000	145.4971	0.9297	2038.2905
55	200.0000	150.1223	0.9296	2077.2450
56	200.0000	150.0547	0.9284	2119.5793
57	200.0000	143.5878	0.9252	2160.4044
58	200.0000	149.1341	0.9250	2202.7669
59	200.0000	156.2217	0.9248	2243.1562
60	200.0000	150.2133	0.9245	2283.6251
61	200.0000	152.9136	0.9253	2324.7693
62	200.0000	151.0003	0.9255	2366.7495
63	200.0000	147.3240	0.9256	2407.1329
64	200.0000	151.7240	0.9246	2447.2671
65	200.0000	156.2594	0.9243	2486.7394
66	200.0000	151.1040	0.9239	2526.5136
67	200.0000	151.1476	0.9238	2567.3289
68	200.0000	153.1182	0.9235	2606.9016
69	200.0000	152.5437	0.9228	2647.7592
70	200.0000	157.4824	0.9221	2687.4523
71	200.0000	158.9695	0.9213	2726.7067
72	200.0000	152.8740	0.9198	2765.7018
73	200.0000	151.1096	0.9194	2804.5642
74	200.0000	151.2807	0.9188	2844.1348
75	200.0000	155.5539	0.9182	2883.7025
76	200.0000	158.8873	0.9182	2923.0170
77	200.0000	154.7618	0.9178	2962.4376
78	200.0000	157.2459	0.9177	3001.6994
79	200.0000	157.1219	0.9175	3040.7426
80	200.0000	157.0977	0.9174	3079.6092
81	200.0000	153.9237	0.9173	3118.7246
82	200.0000	155.1111	0.9173	3157.4976
83	200.0000	154.1260	0.9170	3196.6038
84	200.0000	151.6658	0.9170	3236.0590
85	200.0000	155.0659	0.9170	3275.7707
86	200.0000	156.0290	0.9176	3315.4802
87	200.0000	159.1025	0.9172	3354.8744
88	200.0000	157.6010	0.9171	3394.2709
89	200.0000	161.2352	0.9168	3434.5913
90	200.0000	154.5435	0.9164	3474.0787
91	200.0000	155.3262	0.9163	3514.7583
92	200.0000	157.7898	0.9163	3553.8254
93	200.0000	153.6853	0.9162	3592.8957
94	200.0000	155.4366	0.9161	3632.0422
95	200.0000	154.9883	0.9156	3671.4563
96	200.0000	155.9051	0.9151	3710.6345
97	200.0000	155.7042	0.9151	3751.5786
98	200.0000	154.7738	0.9151	3791.2085
99	200.0000	156.1756	0.9148	3831.4562
100	200.0000	156.6618	0.9148	3871.1116
101	200.0000	155.0044	0.9149	3910.4645
102	200.0000	155.7221	0.9149	3950.1138
103	200.0000	159.6719	0.9149	3989.4361
104	200.0000	156.7317	0.9146	4028.7187
105	200.0000	156.9137	0.9143	4069.4265
106	200.0000	161.9927	0.9138	4109.2982
107	200.0000	155.8564	0.9139	4148.7565
108	200.0000	157.1949	0.9138	4188.2637
109	200.0000	154.6476	0.9137	4227.5419
110	200.0000	158.4350	0.9135	4267.0021
111	200.0000	152.5057	0.9133	4307.0681
112	200.0000	154.8502	0.9132	4348.5789
113	200.0000	157.2428	0.9132	4388.7360
114	200.0000	157.4190	0.9132	4428.0849
115	200.0000	161.7174	0.9130	4467.8535
116	200.0000	159.4030	0.9129	4507.5243
117	200.0000	156.9578	0.9130	4547.1406
118	200.0000	157.9940	0.9130	4586.4129
119	200.0000	157.8452	0.9123	4625.6814
120	200.0000	159.0416	0.9117	4665.2265
121	200.0000	157.1315	0.9116	4704.7102
122	200.0000	158.9500	0.9116	4744.3912
123	200.0000	160.9267	0.9114	4784.0867
124	200.0000	157.7674	0.9114	4823.8459
125	200.0000	160.2872	0.9113	4864.4671
126	200.0000	158.8110	0.9112	4905.1666
127	200.0000	158.2883	0.9112	4945.4861
128	200.0000	157.9786	0.9112	4985.1701
129	200.0000	162.5327	0.9111	5024.8642
130	200.0000	157.5292	0.9111	5063.8697
131	200.0000	158.9161	0.9111	5103.2717
132	200.0000	162.0487	0.9111	5142.4525
133	200.0000	158.7001	0.9109	5181.6142
134	200.0000	160.2095	0.9110	5220.7615
135	200.0000	159.8308	0.9110	5259.4163
136	200.0000	158.7360	0.9109	5298.2960
137	200.0000	157.4152	0.9109	5338.4528
138	200.0000	156.6270	0.9109	5378.3848
139	200.0000	158.5987	0.9109	5418.6761
140	200.0000	160.1780	0.9109	5458.3342
141	200.0000	157.0854	0.9111	5498.0812
142	200.0000	159.0468	0.9110	5537.9362
143	200.0000	160.4814	0.9110	5577.4918
144	200.0000	161.0125	0.9109	5616.8299
145	200.0000	161.8261	0.9109	5656.2395
146	200.0000	157.3674	0.9109	5696.8184
147	200.0000	157.9134	0.9108	5736.8455
148	200.0000	160.2554	0.9108	5777.5965
149	200.0000	155.7540	0.9108	5817.1535
150	200.0000	161.0565	0.9106	5856.7333
151	200.0000	157.9463	0.9106	5896.4419
152	200.0000	160.9385	0.9105	5936.4452
153	200.0000	156.7777	0.9105	5975.6792
154	200.0000	163.3486	0.9105	6015.2617
155	200.0000	159.6273	0.9105	6055.3272
156	200.0000	160.4009	0.9105	6090.6863
157	200.0000	158.7694	0.9104	6126.0314
158	200.0000	156.5930	0.9104	6161.2017
159	200.0000	162.6710	0.9104	6197.5591
160	200.0000	165.2789	0.9104	6232.7147
161	200.0000	162.4533	0.9104	6267.9040
162	200.0000	157.1393	0.9104	6302.8040
163	200.0000	156.9000	0.9104	6338.5653
164	200.0000	156.5577	0.9100	6373.4288
165	200.0000	161.0858	0.9099	6408.3986
166	200.0000	165.2369	0.9100	6444.6783
167	200.0000	160.7299	0.9100	6480.7463
168	200.0000	157.3922	0.9100	6516.8314
169	200.0000	160.3619	0.9100	6551.9822
170	200.0000	159.9208	0.9099	6586.7498
171	200.0000	162.2063	0.9099	6622.4923
172	200.0000	165.3967	0.9099	6657.2561
173	200.0000	162.9329	0.9098	6692.5645
174	200.0000	163.4487	0.9099	6727.4413
175	200.0000	161.1909	0.9098	6762.4288
176	200.0000	158.1544	0.9100	6797.9844
177	200.0000	164.1267	0.9100	6833.6129
178	200.0000	157.0806	0.9099	6869.4339
179	200.0000	155.7300	0.9099	6905.7515
180	200.0000	168.4136	0.9100	6941.9050
181	200.0000	160.4666	0.9102	6977.0794
182	200.0000	162.8606	0.9102	7012.8758
183	200.0000	162.6988	0.9101	7048.1458
184	200.0000	169.7590	0.9101	7083.5865
185	200.0000	164.5692	0.9101	7118.1386
186	200.0000	163.6540	0.9102	7152.8709
187	200.0000	160.6194	0.9102	7188.8411
188	200.0000	157.3347	0.9102	7224.9005
189	200.0000	162.3629	0.9101	7260.4949
190	200.0000	162.2125	0.9101	7295.6171
191	200.0000	163.2241	0.9101	7330.9937
192	200.0000	160.6770	0.9101	7366.8690
193	200.0000	162.0878	0.9101	7402.6279
194	200.0000	165.2161	0.9101	7437.9137
195	200.0000	159.6301	0.9101	7473.1338
196	200.0000	163.9751	0.9102	7508.5850
197	200.0000	161.4487	0.9101	7543.7078
198	200.0000	162.2817	0.9100	7579.0505
199	200.0000	160.9260	0.9100	7614.5363
200	200.0000	158.4003	0.9100	7649.6031
201	200.0000	161.9187	0.9100	7686.1167
202	200.0000	161.5016	0.9100	7720.6981
203	200.0000	162.9804	0.9100	7755.0960
204	200.0000	157.5268	0.9100	7790.1449
205	200.0000	160.1203	0.9100	7824.2145
206	200.0000	165.2242	0.9101	7858.9039
207	200.0000	160.5007	0.9101	7893.7290
208	200.0000	161.3753	0.9101	7928.4678
209	200.0000	160.0481	0.9101	7963.0108
210	200.0000	158.5522	0.9100	7997.4475
211	200.0000	160.7414	0.9100	8032.3071
212	200.0000	161.7828	0.9101	8066.9820
213	200.0000	161.0260	0.9101	8101.1362
214	200.0000	161.0059	0.9101	8135.0117
215	200.0000	160.1090	0.9101	8168.7493
216	200.0000	157.6453	0.9101	8202.8949
217	200.0000	160.5861	0.9101	8237.2711
218	200.0000	165.8069	0.9101	8273.2470
219	200.0000	165.9733	0.9102	8307.4219
220	200.0000	164.8773	0.9102	8341.7747
221	200.0000	161.8780	0.9102	8376.2507
222	200.0000	161.6269	0.9102	8411.2883
223	200.0000	157.3796	0.9102	8446.2132
224	200.0000	161.7144	0.9102	8480.5415
225	200.0000	158.4163	0.9102	8514.8060
226	200.0000	162.3844	0.9102	8549.8137
227	200.0000	160.0349	0.9103	8585.0303
228	200.0000	162.3087	0.9103	8619.8373
229	200.0000	160.2367	0.9103	8654.6972
230	200.0000	161.6376	0.9103	8689.4219
231	200.0000	159.4069	0.9103	8724.4878
232	200.0000	157.8376	0.9103	8759.8832
233	200.0000	158.3694	0.9102	8795.0170
234	200.0000	161.0695	0.9103	8830.6999
235	200.0000	159.8074	0.9103	8866.7147
236	200.0000	161.4484	0.9103	8901.9251
237	200.0000	159.9425	0.9102	8936.6364
238	200.0000	168.7808	0.9102	8971.3919
239	200.0000	162.2929	0.9102	9005.6276
240	200.0000	161.5871	0.9102	9040.1680
241	200.0000	167.5363	0.9102	9076.1039
242	200.0000	162.1366	0.9102	9110.1475
243	200.0000	160.0162	0.9101	9144.2504
244	200.0000	161.4667	0.9101	9179.9181
245	200.0000	160.0420	0.9101	9214.7396
246	200.0000	159.5057	0.9101	9250.1609
247	200.0000	165.6419	0.9101	9284.8723
248	200.0000	162.5279	0.9100	9319.2952
249	200.0000	161.0939	0.9100	9353.7350
250	200.0000	160.6664	0.9100	9388.6790
251	200.0000	161.4611	0.9101	9424.2117
252	200.0000	165.1162	0.9101	9459.4283
253	200.0000	157.4365	0.9099	9493.6345
254	200.0000	157.3530	0.9099	9527.8924
255	200.0000	157.4617	0.9099	9562.4652
256	200.0000	161.0415	0.9099	9596.9188
257	200.0000	163.5419	0.9097	9631.4332
258	200.0000	158.5330	0.9097	9666.7283
259	200.0000	160.0957	0.9097	9702.5995
260	200.0000	161.9960	0.9098	9737.8273
261	200.0000	162.5211	0.9097	9772.6305
262	200.0000	168.8566	0.9097	9807.7672
263	200.0000	165.7981	0.9097	9843.4408
264	200.0000	164.2233	0.9098	9878.7341
265	200.0000	163.3214	0.9097	9912.8706
266	200.0000	161.6500	0.9097	9947.1157
267	200.0000	160.9471	0.9097	9982.1272
268	200.0000	162.4490	0.9097	10016.9554
269	200.0000	162.8724	0.9097	10051.7859
270	200.0000	163.7835	0.9097	10089.5240
271	200.0000	158.1523	0.9097	10128.4618
272	200.0000	164.9142	0.9097	10169.0750
273	200.0000	159.8579	0.9098	10209.0077
274	200.0000	167.5062	0.9097	10249.0091
275	200.0000	162.9441	0.9097	10288.6686
276	200.0000	163.8895	0.9097	10328.0499
277	200.0000	161.6984	0.9097	10367.8956
278	200.0000	163.4284	0.9097	10407.9978
279	200.0000	163.0685	0.9097	10448.7052
280	200.0000	163.3411	0.9098	10489.8338
281	200.0000	162.1280	0.9098	10528.7571
282	200.0000	161.7212	0.9098	10569.0649
283	200.0000	159.0868	0.9098	10609.1363
284	200.0000	161.5345	0.9098	10649.4896
285	200.0000	164.9119	0.9098	10688.5068
286	200.0000	159.9617	0.9098	10727.9422
287	200.0000	162.4856	0.9098	10768.0368
288	200.0000	166.9757	0.9098	10806.9751
289	200.0000	159.5417	0.9098	10845.5424
290	200.0000	164.9159	0.9098	10884.8851
291	200.0000	164.2903	0.9098	10924.7489
292	200.0000	160.6649	0.9098	10963.9766
293	200.0000	162.6657	0.9098	11004.0674
294	200.0000	163.5188	0.9098	11043.1232
295	200.0000	161.8368	0.9098	11081.9557
296	200.0000	163.0325	0.9098	11120.4543
297	200.0000	164.6848	0.9098	11159.1680
298	200.0000	159.8117	0.9098	11197.6085
299	200.0000	159.7449	0.9097	11236.2247
300	200.0000	163.4540	0.9097	11274.7681
301	200.0000	161.8271	0.9097	11313.8144
302	200.0000	168.2015	0.9097	11353.0784
303	200.0000	161.4818	0.9097	11391.4957
304	200.0000	160.3029	0.9097	11430.3787
305	200.0000	160.7002	0.9097	11469.0423
306	200.0000	161.4233	0.9097	11508.0185
307	200.0000	159.8303	0.9097	11547.9953
308	200.0000	161.8549	0.9097	11586.8638
309	200.0000	161.8178	0.9097	11625.8395
310	200.0000	160.7939	0.9097	11664.7820
311	200.0000	165.0635	0.9097	11705.0083
312	200.0000	158.7350	0.9097	11744.6079
313	200.0000	159.5330	0.9097	11784.5490
314	200.0000	164.7783	0.9097	11823.6442
315	200.0000	161.5079	0.9097	11862.6058
316	200.0000	160.6564	0.9097	11901.6809
317	200.0000	162.6943	0.9097	11941.1657
318	200.0000	158.3581	0.9097	11981.0748
319	200.0000	160.3551	0.9097	12020.2692
320	200.0000	161.9363	0.9097	12059.0467
321	200.0000	162.3564	0.9097	12097.5761
322	200.0000	164.3399	0.9097	12136.5821
323	200.0000	163.1243	0.9097	12175.1361
324	200.0000	156.7585	0.9097	12213.7308
325	200.0000	161.4454	0.9097	12252.4438
326	200.0000	168.2965	0.9097	12291.3544
327	200.0000	161.4871	0.9097	12330.5633
328	200.0000	159.9096	0.9097	12370.1417
329	200.0000	161.0956	0.9098	12410.0704
330	200.0000	162.7166	0.9098	12450.5847
331	200.0000	162.6950	0.9098	12490.7439
332	200.0000	157.9202	0.9098	12531.4503
333	200.0000	159.8483	0.9098	12572.0811
334	200.0000	164.3317	0.9098	12612.1230
335	200.0000	163.1439	0.9098	12651.3205
336	200.0000	165.1438	0.9097	12690.2826
337	200.0000	167.9326	0.9098	12728.9593
338	200.0000	161.1499	0.9098	12767.6649
339	200.0000	161.9623	0.9098	12806.7887
340	200.0000	162.6782	0.9098	12845.1741
341	200.0000	158.3600	0.9098	12883.3880
342	200.0000	160.2977	0.9098	12921.6809
343	200.0000	162.3681	0.9098	12960.7477
344	200.0000	160.7223	0.9098	13000.3016
345	200.0000	157.9378	0.9098	13039.0158
346	200.0000	158.7340	0.9098	13077.7967
347	200.0000	162.3250	0.9098	13116.7927
348	200.0000	159.0964	0.9098	13156.2395
349	200.0000	162.2596	0.9098	13195.1196
350	200.0000	165.1505	0.9098	13234.7207
351	200.0000	162.7632	0.9098	13273.2871
352	200.0000	165.1114	0.9098	13312.7420
353	200.0000	165.1391	0.9098	13352.1228
354	200.0000	162.3191	0.9098	13391.0804
355	200.0000	157.9293	0.9098	13430.2723
356	200.0000	157.5323	0.9098	13469.9392
357	200.0000	160.3289	0.9098	13509.4774
358	200.0000	159.9273	0.9098	13549.3810
359	200.0000	159.9522	0.9098	13589.7086
360	200.0000	160.7657	0.9098	13628.5985
361	200.0000	162.3463	0.9098	13668.0789
362	200.0000	166.7385	0.9098	13707.2763
363	200.0000	158.3466	0.9098	13746.0995
364	200.0000	161.5223	0.9098	13785.1069
365	200.0000	162.3295	0.9098	13824.3041
366	200.0000	161.9359	0.9098	13862.6904
367	200.0000	167.1378	0.9098	13901.9904
368	200.0000	164.7872	0.9098	13940.6290
369	200.0000	162.3677	0.9098	13978.8728
370	200.0000	162.3319	0.9098	14017.6795
371	200.0000	159.9705	0.9098	14056.3071
372	200.0000	164.3445	0.9098	14091.8148
373	200.0000	165.5712	0.9098	14126.1182
374	200.0000	163.5686	0.9098	14160.5895
375	200.0000	167.1306	0.9098	14196.1682
376	200.0000	164.7468	0.9098	14230.7034
377	200.0000	161.1481	0.9098	14266.3453
378	200.0000	160.3552	0.9098	14301.6663
379	200.0000	160.3580	0.9098	14336.7724
380	200.0000	162.3382	0.9098	14372.7119
381	200.0000	161.5771	0.9098	14409.0269
382	200.0000	160.3499	0.9098	14445.1399
383	200.0000	163.1692	0.9098	14480.0284
384	200.0000	158.3519	0.9098	14515.5878
385	200.0000	162.3547	0.9098	14551.4123
386	200.0000	163.5388	0.9098	14587.6148
387	200.0000	165.1688	0.9098	14624.2626
388	200.0000	166.3571	0.9098	14658.9501
389	200.0000	162.3619	0.9098	14693.5070
390	200.0000	161.5511	0.9098	14729.2147
