ID: modified_rastrigin_all	Date: 2018-06-14 21:37:26	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	-2.6487	-16.8503	1.0000	210.4695
1	-2.3447	-15.1829	0.9989	329.9520
2	-2.1943	-14.6293	0.9957	455.0006
3	-2.1943	-14.3281	0.9994	577.8503
4	-2.0445	-13.0506	0.9991	700.0175
5	-2.0023	-13.1511	1.0000	824.2249
6	-2.0023	-11.5899	1.0000	946.9025
7	-2.0023	-11.1974	1.0000	1076.9467
8	-2.0023	-12.0720	0.9989	1197.5384
9	-2.0023	-9.6410	0.9971	1320.7517
10	-2.0023	-9.2333	0.9964	1445.0152
11	-2.0023	-9.8102	0.9953	1565.4984
12	-2.0023	-10.2746	0.9926	1690.1746
13	-2.0023	-8.6593	0.9926	1817.2443
14	-2.0023	-9.2575	0.9892	1937.6500
15	-2.0023	-8.0352	0.9880	2057.0967
16	-2.0023	-9.1836	0.9848	2177.5620
17	-2.0010	-8.2626	0.9861	2298.0683
18	-2.0010	-7.5468	0.9855	2416.9474
19	-2.0010	-7.0818	0.9825	2536.8907
20	-2.0010	-6.9085	0.9808	2655.4921
21	-2.0010	-6.4141	0.9813	2777.7865
22	-2.0010	-7.2038	0.9792	2895.3557
23	-2.0010	-6.2717	0.9779	3013.9337
24	-2.0010	-6.2282	0.9781	3133.0733
25	-2.0010	-6.1303	0.9809	3251.3568
26	-2.0010	-5.1741	0.9812	3375.0577
27	-2.0010	-5.6457	0.9803	3492.3468
28	-2.0010	-4.9913	0.9794	3611.4280
29	-2.0010	-5.1498	0.9790	3729.1389
30	-2.0010	-4.3136	0.9793	3847.5859
31	-2.0000	-3.7705	0.9786	3967.6719
32	-2.0000	-4.1077	0.9767	4092.9937
33	-2.0000	-3.2279	0.9759	4210.4416
34	-2.0000	-3.9577	0.9758	4328.6757
35	-2.0000	-4.1701	0.9748	4446.3930
36	-2.0000	-3.8694	0.9740	4564.3897
37	-2.0000	-3.7233	0.9731	4688.4201
38	-2.0000	-3.2882	0.9721	4815.7482
39	-2.0000	-3.4862	0.9717	4941.6065
40	-2.0000	-3.2524	0.9712	5058.4619
41	-2.0000	-3.0186	0.9705	5178.1285
42	-2.0000	-3.0405	0.9709	5297.6949
43	-2.0000	-2.9521	0.9691	5420.8767
44	-2.0000	-2.9446	0.9677	5542.7027
45	-2.0000	-2.7275	0.9682	5665.0608
46	-2.0000	-2.7905	0.9670	5789.9981
47	-2.0000	-2.8254	0.9667	5908.0074
48	-2.0000	-2.5294	0.9666	6028.7983
49	-2.0000	-2.6484	0.9666	6145.9987
50	-2.0000	-2.5778	0.9661	6264.7378
51	-2.0000	-2.5049	0.9661	6381.5503
52	-2.0000	-2.5649	0.9660	6499.8379
53	-2.0000	-2.6709	0.9663	6626.7192
54	-2.0000	-2.6419	0.9658	6743.7766
55	-2.0000	-2.5456	0.9650	6863.0702
56	-2.0000	-2.3464	0.9652	6984.6406
57	-2.0000	-2.6994	0.9650	7103.8330
58	-2.0000	-2.5214	0.9649	7222.7769
59	-2.0000	-2.4345	0.9651	7339.5348
60	-2.0000	-2.3392	0.9650	7458.2708
61	-2.0000	-2.4251	0.9653	7575.2854
62	-2.0000	-2.3255	0.9656	7691.9696
63	-2.0000	-2.5639	0.9652	7811.7509
64	-2.0000	-2.3269	0.9643	7929.7366
65	-2.0000	-2.2157	0.9642	8049.2272
66	-2.0000	-2.3371	0.9638	8182.8628
67	-2.0000	-2.1849	0.9636	8311.8951
68	-2.0000	-2.2286	0.9637	8430.1782
69	-2.0000	-2.2897	0.9642	8547.6012
70	-2.0000	-2.2632	0.9643	8665.1583
71	-2.0000	-2.1867	0.9641	8783.4358
72	-2.0000	-2.1624	0.9639	8909.9071
73	-2.0000	-2.1368	0.9636	9029.2718
74	-2.0000	-2.2450	0.9636	9150.9268
75	-2.0000	-2.1642	0.9634	9274.0829
76	-2.0000	-2.1879	0.9634	9391.1459
77	-2.0000	-2.1663	0.9630	9508.4114
78	-2.0000	-2.1619	0.9624	9626.3640
79	-2.0000	-2.1665	0.9621	9749.4318
80	-2.0000	-2.2179	0.9621	9868.4957
81	-2.0000	-2.1126	0.9621	9996.8200
82	-2.0000	-2.1752	0.9620	10114.0854
83	-2.0000	-2.0840	0.9620	10245.1377
84	-2.0000	-2.1349	0.9617	10363.0223
85	-2.0000	-2.1294	0.9618	10480.1304
86	-2.0000	-2.2079	0.9618	10598.2697
87	-2.0000	-2.1546	0.9617	10716.3708
88	-2.0000	-2.1713	0.9617	10837.1215
89	-2.0000	-2.0982	0.9616	10959.8105
90	-2.0000	-2.1037	0.9616	11076.9637
91	-2.0000	-2.1470	0.9615	11194.5531
92	-2.0000	-2.1508	0.9615	11312.4890
93	-2.0000	-2.0790	0.9616	11430.8085
94	-2.0000	-2.1595	0.9616	11549.1745
95	-2.0000	-2.2009	0.9617	11676.6090
96	-2.0000	-2.1090	0.9615	11794.4138
97	-2.0000	-2.1246	0.9613	11911.1807
98	-2.0000	-2.0648	0.9612	12028.4517
99	-2.0000	-2.1060	0.9612	12146.0161
100	-2.0000	-2.2156	0.9611	12262.4853
101	-2.0000	-2.0842	0.9611	12379.1862
102	-2.0000	-2.0340	0.9611	12495.9230
103	-2.0000	-2.0898	0.9611	12613.6556
104	-2.0000	-2.0497	0.9610	12738.7950
105	-2.0000	-2.1018	0.9610	12857.7139
106	-2.0000	-2.1377	0.9610	12974.0400
107	-2.0000	-2.0261	0.9612	13090.1546
108	-2.0000	-2.1003	0.9611	13207.2845
109	-2.0000	-2.0979	0.9609	13327.8148
110	-2.0000	-2.0983	0.9608	13442.9736
111	-2.0000	-2.0233	0.9608	13559.1531
112	-2.0000	-2.1002	0.9609	13675.8392
113	-2.0000	-2.1148	0.9607	13795.8226
114	-2.0000	-2.1062	0.9608	13913.4347
115	-2.0000	-2.0951	0.9608	14029.9952
116	-2.0000	-2.1033	0.9608	14146.4024
117	-2.0000	-2.1018	0.9608	14262.7838
118	-2.0000	-2.0264	0.9606	14381.8541
119	-2.0000	-2.0262	0.9602	14499.1748
120	-2.0000	-2.0948	0.9602	14624.4376
121	-2.0000	-2.0233	0.9601	14741.1435
122	-2.0000	-2.0791	0.9603	14859.8514
123	-2.0000	-2.0330	0.9603	14979.0921
124	-2.0000	-2.1398	0.9602	15095.4816
125	-2.0000	-2.0424	0.9603	15211.7569
126	-2.0000	-2.0559	0.9603	15327.8143
127	-2.0000	-2.0700	0.9603	15442.3275
128	-2.0000	-2.0629	0.9603	15559.8364
129	-2.0000	-2.0342	0.9602	15678.1306
130	-2.0000	-2.0453	0.9602	15797.1954
131	-2.0000	-2.0293	0.9603	15917.5858
132	-2.0000	-2.0301	0.9602	16043.1068
133	-2.0000	-2.0131	0.9602	16161.0031
134	-2.0000	-2.0432	0.9601	16278.5153
135	-2.0000	-2.0433	0.9601	16393.9269
136	-2.0000	-2.0151	0.9601	16508.2984
137	-2.0000	-2.0496	0.9601	16622.9560
138	-2.0000	-2.0272	0.9601	16739.9583
139	-2.0000	-2.0354	0.9601	16859.1340
140	-2.0000	-2.0061	0.9601	16975.0164
141	-2.0000	-2.0193	0.9601	17090.6527
142	-2.0000	-2.0166	0.9602	17206.2380
143	-2.0000	-2.0110	0.9602	17323.7977
144	-2.0000	-2.0330	0.9601	17439.2381
145	-2.0000	-2.0198	0.9600	17575.0706
146	-2.0000	-2.0312	0.9600	17689.5659
147	-2.0000	-2.0231	0.9597	17805.3942
148	-2.0000	-2.0272	0.9596	17921.4692
149	-2.0000	-2.0164	0.9594	18037.6120
150	-2.0000	-2.0243	0.9593	18169.6479
151	-2.0000	-2.0161	0.9592	18286.6969
152	-2.0000	-2.0301	0.9591	18403.9800
153	-2.0000	-2.0512	0.9591	18520.9827
154	-2.0000	-2.0420	0.9591	18637.2557
155	-2.0000	-2.0400	0.9591	18757.5281
156	-2.0000	-2.0259	0.9591	18875.9375
157	-2.0000	-2.0109	0.9590	18991.8599
158	-2.0000	-2.0164	0.9590	19107.8730
159	-2.0000	-2.0093	0.9590	19224.7458
160	-2.0000	-2.0681	0.9590	19343.5004
161	-2.0000	-2.0382	0.9591	19459.4026
162	-2.0000	-2.0360	0.9590	19575.1820
163	-2.0000	-2.0128	0.9590	19691.6566
164	-2.0000	-2.0080	0.9590	19808.5887
165	-2.0000	-2.0212	0.9590	19927.5823
166	-2.0000	-2.0303	0.9590	20047.4124
167	-2.0000	-2.0086	0.9590	20167.6118
168	-2.0000	-2.0238	0.9590	20284.7435
169	-2.0000	-2.0119	0.9590	20415.5607
170	-2.0000	-2.0025	0.9589	20550.0524
171	-2.0000	-2.0106	0.9588	20680.8233
172	-2.0000	-2.0089	0.9589	20802.2480
173	-2.0000	-2.0193	0.9588	20919.9591
174	-2.0000	-2.0190	0.9588	21038.7716
175	-2.0000	-2.0083	0.9588	21157.0330
176	-2.0000	-2.0195	0.9587	21274.6828
177	-2.0000	-2.0087	0.9587	21394.1450
178	-2.0000	-2.0075	0.9587	21510.8016
179	-2.0000	-2.0145	0.9587	21628.1989
180	-2.0000	-2.0068	0.9586	21746.5093
181	-2.0000	-2.0093	0.9586	21864.2356
182	-2.0000	-2.0104	0.9586	21982.1889
183	-2.0000	-2.0082	0.9586	22114.3010
184	-2.0000	-2.0251	0.9586	22232.1272
185	-2.0000	-2.0108	0.9586	22355.7606
186	-2.0000	-2.0083	0.9586	22473.2094
187	-2.0000	-2.0197	0.9586	22591.1684
188	-2.0000	-2.0127	0.9585	22708.5359
189	-2.0000	-2.0066	0.9585	22826.8116
190	-2.0000	-2.0174	0.9585	22944.6549
191	-2.0000	-2.0106	0.9585	23062.3009
192	-2.0000	-2.0186	0.9585	23179.1565
193	-2.0000	-2.0122	0.9585	23296.1118
194	-2.0000	-2.0042	0.9585	23412.4784
195	-2.0000	-2.0170	0.9584	23529.1657
196	-2.0000	-2.0181	0.9583	23646.7247
197	-2.0000	-2.0132	0.9583	23767.3583
198	-2.0000	-2.0067	0.9583	23886.4739
199	-2.0000	-2.0042	0.9583	24008.2364
200	-2.0000	-2.0075	0.9582	24125.6125
201	-2.0000	-2.0141	0.9582	24244.9462
202	-2.0000	-2.0080	0.9582	24364.2423
203	-2.0000	-2.0048	0.9582	24494.9415
204	-2.0000	-2.0053	0.9582	24612.5979
205	-2.0000	-2.0145	0.9582	24731.3445
206	-2.0000	-2.0020	0.9582	24852.1440
207	-2.0000	-2.0045	0.9582	24970.7999
208	-2.0000	-2.0035	0.9582	25089.7911
209	-2.0000	-2.0125	0.9582	25209.1753
210	-2.0000	-2.0015	0.9582	25327.8322
211	-2.0000	-2.0039	0.9582	25447.8011
212	-2.0000	-2.0030	0.9582	25567.4953
213	-2.0000	-2.0053	0.9582	25687.4514
214	-2.0000	-2.0044	0.9582	25809.0324
215	-2.0000	-2.0094	0.9583	25927.0134
216	-2.0000	-2.0152	0.9583	26044.6315
217	-2.0000	-2.0068	0.9583	26161.7265
218	-2.0000	-2.0055	0.9583	26278.3949
219	-2.0000	-2.0042	0.9583	26394.7694
220	-2.0000	-2.0018	0.9583	26511.2162
221	-2.0000	-2.0081	0.9583	26628.6855
222	-2.0000	-2.0088	0.9583	26748.1949
223	-2.0000	-2.0075	0.9583	26867.0802
224	-2.0000	-2.0073	0.9582	26991.4923
225	-2.0000	-2.0044	0.9582	27107.5504
226	-2.0000	-2.0050	0.9582	27227.8926
227	-2.0000	-2.0079	0.9582	27348.8166
228	-2.0000	-2.0046	0.9582	27467.2139
229	-2.0000	-2.0012	0.9582	27592.1075
230	-2.0000	-2.0073	0.9582	27712.5299
231	-2.0000	-2.0141	0.9582	27831.0177
232	-2.0000	-2.0037	0.9582	27963.5656
233	-2.0000	-2.0010	0.9582	28080.3947
234	-2.0000	-2.0085	0.9582	28197.8712
235	-2.0000	-2.0019	0.9582	28328.2814
236	-2.0000	-2.0010	0.9582	28445.8885
237	-2.0000	-2.0058	0.9582	28563.2586
238	-2.0000	-2.0113	0.9582	28683.7640
239	-2.0000	-2.0136	0.9582	28802.9435
240	-2.0000	-2.0067	0.9582	28921.8302
241	-2.0000	-2.0076	0.9582	29040.7608
242	-2.0000	-2.0015	0.9582	29158.8297
243	-2.0000	-2.0040	0.9582	29276.2027
244	-2.0000	-2.0081	0.9582	29394.3624
245	-2.0000	-2.0137	0.9582	29511.8163
246	-2.0000	-2.0002	0.9582	29629.6425
247	-2.0000	-2.0045	0.9582	29748.4047
248	-2.0000	-2.0093	0.9582	29882.5424
249	-2.0000	-2.0009	0.9582	30006.2580
250	-2.0000	-2.0013	0.9582	30133.3132
251	-2.0000	-2.0010	0.9582	30264.2839
252	-2.0000	-2.0039	0.9582	30391.9394
253	-2.0000	-2.0064	0.9582	30509.1183
254	-2.0000	-2.0089	0.9582	30630.8203
255	-2.0000	-2.0129	0.9582	30750.5901
256	-2.0000	-2.0097	0.9582	30871.5589
257	-2.0000	-2.0060	0.9582	30989.9602
258	-2.0000	-2.0034	0.9582	31107.6503
259	-2.0000	-2.0003	0.9582	31226.2442
260	-2.0000	-2.0069	0.9582	31342.9878
261	-2.0000	-2.0071	0.9582	31460.4583
262	-2.0000	-2.0005	0.9582	31582.8540
263	-2.0000	-2.0053	0.9582	31700.9025
264	-2.0000	-2.0065	0.9582	31821.2342
265	-2.0000	-2.0006	0.9582	31938.5715
266	-2.0000	-2.0044	0.9582	32056.9162
267	-2.0000	-2.0036	0.9581	32183.2550
268	-2.0000	-2.0004	0.9581	32301.8935
269	-2.0000	-2.0052	0.9581	32419.8959
270	-2.0000	-2.0153	0.9581	32536.4809
271	-2.0000	-2.0053	0.9581	32653.6653
272	-2.0000	-2.0044	0.9581	32771.7474
273	-2.0000	-2.0003	0.9581	32887.9135
274	-2.0000	-2.0032	0.9581	33005.4059
275	-2.0000	-2.0081	0.9581	33122.4337
276	-2.0000	-2.0106	0.9581	33239.6257
277	-2.0000	-2.0037	0.9581	33355.9496
278	-2.0000	-2.0054	0.9581	33473.0752
279	-2.0000	-2.0039	0.9581	33589.5693
280	-2.0000	-2.0030	0.9581	33705.7674
281	-2.0000	-2.0046	0.9580	33834.5103
282	-2.0000	-2.0053	0.9580	33959.5125
283	-2.0000	-2.0151	0.9580	34078.5749
284	-2.0000	-2.0038	0.9580	34195.0219
285	-2.0000	-2.0019	0.9580	34314.9428
286	-2.0000	-2.0018	0.9580	34435.0424
287	-2.0000	-2.0028	0.9580	34553.3364
288	-2.0000	-2.0004	0.9580	34682.5411
289	-2.0000	-2.0023	0.9580	34801.4872
290	-2.0000	-2.0066	0.9580	34920.7568
291	-2.0000	-2.0020	0.9580	35039.0573
292	-2.0000	-2.0032	0.9580	35156.6424
293	-2.0000	-2.0015	0.9580	35275.1548
294	-2.0000	-2.0039	0.9580	35391.5987
295	-2.0000	-2.0023	0.9580	35508.6794
296	-2.0000	-2.0021	0.9579	35625.0641
297	-2.0000	-2.0022	0.9579	35742.2819
298	-2.0000	-2.0016	0.9579	35863.6642
299	-2.0000	-2.0016	0.9579	35981.3468
300	-2.0000	-2.0010	0.9579	36106.3771
301	-2.0000	-2.0042	0.9579	36228.4584
