ID: 048b55cf-2d8c-43ce-bfff-a7619403f817	Date: 2018-05-02 02:10:30	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	185.3540	30.4377	1.0000	0.9625
1	197.5813	116.6136	0.8822	1.6592
2	197.5813	148.0559	0.7947	2.4650
3	197.5813	156.8220	0.7732	3.2113
4	197.5813	163.6742	0.7194	3.8941
5	197.6599	172.5748	0.6017	4.5707
6	197.6599	180.6092	0.5888	5.2645
7	197.6599	182.1231	0.6610	5.9376
8	199.6071	187.2963	0.5917	6.6166
9	199.7802	192.2320	0.5358	7.3423
10	199.9640	192.9604	0.4990	8.0259
11	199.9640	193.8451	0.4839	8.7194
12	199.9640	194.6952	0.4764	9.4025
13	199.9640	194.8311	0.4721	10.1659
14	199.9692	195.4898	0.4120	10.8447
15	199.9692	196.1917	0.3932	11.5690
16	199.9692	197.4022	0.3889	12.2640
17	199.9692	197.9564	0.3150	12.9387
18	199.9692	198.2114	0.3089	13.6974
19	199.9692	198.3194	0.2984	14.4811
20	199.9692	198.5799	0.2044	15.1949
21	199.9692	198.6746	0.1991	15.8873
22	199.9890	199.4938	0.1267	16.5641
23	199.9968	199.5624	0.1143	17.2400
24	199.9968	199.8634	0.0352	17.9121
25	199.9968	199.8998	0.0321	18.5838
26	199.9968	199.9417	0.0256	19.3162
27	199.9968	199.9569	0.0210	19.9964
28	199.9977	199.9827	0.0131	20.6788
29	199.9985	199.9917	0.0103	21.3840
30	199.9991	199.9943	0.0086	22.0742
31	199.9991	199.9965	0.0063	22.7661
32	200.0000	199.9977	0.0053	23.4826
33	200.0000	199.9985	0.0040	24.1587
34	200.0000	199.9989	0.0032	24.8375
35	200.0000	199.9993	0.0029	25.5156
36	200.0000	199.9995	0.0030	26.2086
37	200.0000	199.9997	0.0021	26.8896
38	200.0000	199.9997	0.0019	27.5998
39	200.0000	199.9998	0.0016	28.2731
40	200.0000	199.9998	0.0014	28.9452
41	200.0000	199.9999	0.0009	29.7005
42	200.0000	199.9999	0.0008	30.4866
43	200.0000	200.0000	0.0007	31.2307
44	200.0000	200.0000	0.0005	31.9118
45	200.0000	200.0000	0.0004	32.5873
46	200.0000	200.0000	0.0003	33.2792
47	200.0000	200.0000	0.0003	33.9563
48	200.0000	200.0000	0.0002	34.6360
49	200.0000	200.0000	0.0001	35.3408
50	200.0000	200.0000	0.0001	36.0205
51	200.0000	200.0000	0.0001	36.7210
52	200.0000	200.0000	0.0000	37.3943
53	200.0000	200.0000	0.0000	38.0704
54	200.0000	200.0000	0.0000	38.7454
55	200.0000	200.0000	0.0000	39.4464
56	200.0000	200.0000	0.0000	40.1316
57	200.0000	200.0000	0.0000	40.8061
58	200.0000	200.0000	0.0000	41.4841
59	200.0000	200.0000	0.0000	42.1591
60	200.0000	200.0000	0.0000	42.8326
61	200.0000	200.0000	0.0000	43.5426
62	200.0000	200.0000	0.0000	44.2200
63	200.0000	200.0000	0.0000	44.8964
64	200.0000	200.0000	0.0000	45.5742
65	200.0000	200.0000	0.0000	46.2532
66	200.0000	200.0000	0.0000	47.0378
67	200.0000	200.0000	0.0000	47.8122
68	200.0000	200.0000	0.0000	48.4943
69	200.0000	200.0000	0.0000	49.1724
