ID: 090faaf8-6fc3-458a-b941-125913754d99	Date: 2018-05-02 02:04:42	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	169.6986	-176.6909	1.0000	0.9673
1	180.3710	-93.0517	0.9717	1.7109
2	180.3710	-13.8498	0.8394	2.3823
3	190.7568	91.5792	0.8485	3.1772
4	190.9868	100.3779	0.8608	3.8476
5	190.9868	106.0924	0.8326	4.5104
6	190.9868	137.7968	0.8282	5.1904
7	190.9868	152.6885	0.8081	5.8966
8	194.2652	161.7963	0.7518	6.5668
9	194.2652	167.2625	0.7273	7.2300
10	194.8624	173.0376	0.7490	7.8936
11	196.7532	178.6179	0.7530	8.5659
12	196.7532	182.4941	0.7029	9.2299
13	197.7107	183.5370	0.7495	9.9399
14	198.5199	184.3310	0.7592	10.6030
15	198.5199	187.5869	0.6227	11.2658
16	198.8882	188.4642	0.6263	11.9443
17	199.0069	190.7713	0.7390	12.6066
18	199.8651	193.7214	0.7344	13.2644
19	199.9574	194.6943	0.6417	14.0345
20	199.9574	195.7575	0.6186	14.8365
21	199.9574	196.3973	0.6200	15.5082
22	199.9574	197.1852	0.6298	16.2113
23	199.9574	197.2543	0.6288	16.8662
24	199.9821	197.5968	0.6223	17.5269
25	199.9821	197.8995	0.6142	18.2302
26	199.9821	198.0928	0.6068	18.9178
27	199.9821	198.3960	0.6103	19.5775
28	199.9821	198.9658	0.6054	20.2384
29	199.9821	199.1212	0.5984	20.8988
30	199.9821	199.3050	0.5057	21.5559
31	199.9821	199.3142	0.5050	22.2559
32	199.9974	199.4198	0.7041	22.9263
33	199.9974	199.6511	0.7007	23.5889
34	199.9974	199.7918	0.5982	24.2496
35	199.9981	199.7943	0.5933	24.9169
36	199.9981	199.8582	0.5880	25.6240
37	199.9981	199.8677	0.5885	26.2873
38	199.9981	199.9068	0.5895	26.9477
39	199.9981	199.9088	0.5894	27.6122
40	199.9981	199.9251	0.5863	28.2772
41	199.9981	199.9283	0.5869	28.9531
42	199.9998	199.9455	0.5865	29.6268
43	199.9998	199.9460	0.5862	30.2932
44	200.0000	199.9539	0.4307	31.1520
45	200.0000	199.9722	0.4271	31.8215
46	200.0000	199.9786	0.3218	32.4984
47	200.0000	199.9924	0.2155	33.1726
48	200.0000	199.9944	0.2144	33.8466
49	200.0000	199.9958	0.1089	34.5099
50	200.0000	199.9968	0.1080	35.1772
51	200.0000	199.9989	0.0027	35.9511
52	200.0000	199.9993	0.0021	36.6209
53	200.0000	199.9996	0.0015	37.2887
54	200.0000	199.9997	0.0013	37.9524
55	200.0000	199.9997	0.0012	38.6157
56	200.0000	199.9999	0.0009	39.2888
57	200.0000	199.9999	0.0008	39.9537
58	200.0000	199.9999	0.0007	40.6253
59	200.0000	200.0000	0.0005	41.2943
60	200.0000	200.0000	0.0004	41.9607
61	200.0000	200.0000	0.0003	42.6352
62	200.0000	200.0000	0.0002	43.2987
63	200.0000	200.0000	0.0002	43.9601
64	200.0000	200.0000	0.0001	44.6439
65	200.0000	200.0000	0.0001	45.3033
66	200.0000	200.0000	0.0001	45.9833
67	200.0000	200.0000	0.0001	46.6449
68	200.0000	200.0000	0.0001	47.4041
69	200.0000	200.0000	0.0000	48.1539
70	200.0000	200.0000	0.0000	48.8188
71	200.0000	200.0000	0.0000	49.4967
72	200.0000	200.0000	0.0000	50.1637
73	200.0000	200.0000	0.0000	50.8265
74	200.0000	200.0000	0.0000	51.4827
75	200.0000	200.0000	0.0000	52.1398
76	200.0000	200.0000	0.0000	52.8347
77	200.0000	200.0000	0.0000	53.5028
78	200.0000	200.0000	0.0000	54.1680
79	200.0000	200.0000	0.0000	54.9126
80	200.0000	200.0000	0.0000	55.5789
81	200.0000	200.0000	0.0000	56.2584
82	200.0000	200.0000	0.0000	56.9241
83	200.0000	200.0000	0.0000	57.5902
84	200.0000	200.0000	0.0000	58.2519
85	200.0000	200.0000	0.0000	58.9170
86	200.0000	200.0000	0.0000	59.5932
87	200.0000	200.0000	0.0000	60.2546
88	200.0000	200.0000	0.0000	60.9224
89	200.0000	200.0000	0.0000	61.5883
90	200.0000	200.0000	0.0000	62.2566
91	200.0000	200.0000	0.0000	62.9418
92	200.0000	200.0000	0.0000	63.6058
93	200.0000	200.0000	0.0000	64.4584
94	200.0000	200.0000	0.0000	65.1321
95	200.0000	200.0000	0.0000	65.8016
96	200.0000	200.0000	0.0000	66.4833
97	200.0000	200.0000	0.0000	67.1504
98	200.0000	200.0000	0.0000	67.8158
99	200.0000	200.0000	0.0000	68.4831
100	200.0000	200.0000	0.0000	69.1512
101	200.0000	200.0000	0.0000	69.8388
102	200.0000	200.0000	0.0000	70.5054
103	200.0000	200.0000	0.0000	71.1782
104	200.0000	200.0000	0.0000	71.8489
105	200.0000	200.0000	0.0000	72.5198
106	200.0000	200.0000	0.0000	73.2055
107	200.0000	200.0000	0.0000	73.8757
