ID: 0dff4e08-85da-4d57-846e-651948664003	Date: 2018-05-02 02:09:26	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	186.4051	-7.8506	1.0000	1.0598
1	192.7194	61.6922	0.8812	1.8291
2	192.7194	80.5436	0.8554	2.6217
3	192.7194	88.0408	0.8714	3.3143
4	192.7194	111.0178	0.7682	4.0345
5	192.7194	141.0442	0.7688	4.7123
6	194.2714	155.5653	0.7683	5.3999
7	194.5191	159.4886	0.7674	6.0723
8	199.2164	171.2719	0.7019	6.7406
9	199.2164	178.1708	0.7552	7.4162
10	199.2164	178.8991	0.7608	8.1155
11	199.2164	180.7024	0.7697	8.8010
12	199.2164	183.6888	0.7548	9.4733
13	199.2164	187.3603	0.7207	10.1500
14	199.2164	188.2658	0.7146	10.8209
15	199.2164	188.2944	0.7143	11.4915
16	199.5377	191.1030	0.5242	12.2211
17	199.5377	192.6773	0.5060	12.8920
18	199.5377	193.1163	0.5002	13.5648
19	199.5377	194.0278	0.5068	14.2362
20	199.7752	196.4583	0.5025	14.9069
21	199.9787	196.6260	0.4926	15.5880
22	199.9787	197.1524	0.4865	16.4645
23	199.9787	197.3216	0.4873	17.2412
24	199.9787	197.3223	0.4873	17.9157
25	199.9787	198.4914	0.4602	18.5838
26	199.9787	198.7206	0.4578	19.2735
27	199.9787	198.9680	0.4520	19.9928
28	199.9787	199.1621	0.4530	20.7720
29	199.9885	199.5233	0.2703	21.4496
30	199.9885	199.6770	0.2672	22.1188
31	199.9885	199.6803	0.2687	22.8026
32	199.9885	199.6817	0.3084	23.4728
33	199.9885	199.7471	0.3070	24.1554
34	199.9885	199.7979	0.3904	24.8177
35	199.9885	199.8297	0.4770	25.4853
36	199.9885	199.8753	0.4739	26.1683
37	199.9965	199.9213	0.5618	26.8419
38	199.9972	199.9300	0.5617	27.5161
39	199.9972	199.9404	0.5618	28.1904
40	199.9996	199.9437	0.5610	28.8634
41	199.9996	199.9506	0.4711	29.5475
42	199.9996	199.9577	0.3779	30.2219
43	199.9996	199.9681	0.3777	30.8948
44	199.9996	199.9699	0.3775	31.5645
45	199.9996	199.9710	0.3774	32.2483
46	199.9997	199.9876	0.3761	33.0980
47	199.9997	199.9923	0.1900	33.8600
48	199.9997	199.9929	0.2359	34.5323
49	199.9997	199.9943	0.2348	35.1992
50	199.9997	199.9958	0.2348	35.8694
51	199.9999	199.9961	0.1420	36.5586
52	199.9999	199.9973	0.1413	37.2293
53	200.0000	199.9982	0.0489	37.9000
54	200.0000	199.9986	0.0480	38.5709
55	200.0000	199.9989	0.0476	39.2416
56	200.0000	199.9998	0.0012	40.0167
57	200.0000	199.9999	0.0006	40.6899
58	200.0000	199.9999	0.0005	41.3589
59	200.0000	200.0000	0.0004	42.0337
60	200.0000	200.0000	0.0003	42.7046
61	200.0000	200.0000	0.0002	43.3841
62	200.0000	200.0000	0.0002	44.0578
63	200.0000	200.0000	0.0002	44.7302
64	200.0000	200.0000	0.0001	45.4013
65	200.0000	200.0000	0.0001	46.0758
66	200.0000	200.0000	0.0001	46.7608
67	200.0000	200.0000	0.0001	47.4310
68	200.0000	200.0000	0.0000	48.1069
69	200.0000	200.0000	0.0000	48.7742
70	200.0000	200.0000	0.0000	49.4769
71	200.0000	200.0000	0.0000	50.3819
72	200.0000	200.0000	0.0000	51.0635
73	200.0000	200.0000	0.0000	51.7347
74	200.0000	200.0000	0.0000	52.4123
75	200.0000	200.0000	0.0000	53.0844
76	200.0000	200.0000	0.0000	53.7777
77	200.0000	200.0000	0.0000	54.4524
78	200.0000	200.0000	0.0000	55.1267
79	200.0000	200.0000	0.0000	55.7959
80	200.0000	200.0000	0.0000	56.4737
81	200.0000	200.0000	0.0000	57.1578
82	200.0000	200.0000	0.0000	57.8265
83	200.0000	200.0000	0.0000	58.5001
84	200.0000	200.0000	0.0000	59.2344
85	200.0000	200.0000	0.0000	59.9098
86	200.0000	200.0000	0.0000	60.5910
87	200.0000	200.0000	0.0000	61.2621
88	200.0000	200.0000	0.0000	61.9323
89	200.0000	200.0000	0.0000	62.6018
90	200.0000	200.0000	0.0000	63.2718
91	200.0000	200.0000	0.0000	63.9579
92	200.0000	200.0000	0.0000	64.6327
93	200.0000	200.0000	0.0000	65.3014
94	200.0000	200.0000	0.0000	66.1254
95	200.0000	200.0000	0.0000	67.0493
96	200.0000	200.0000	0.0000	67.7519
97	200.0000	200.0000	0.0000	68.4342
98	200.0000	200.0000	0.0000	69.1161
99	200.0000	200.0000	0.0000	69.7920
100	200.0000	200.0000	0.0000	70.4684
