ID: 15387557-1dc7-4401-8270-418a4f805d5e	Date: 2018-05-02 01:55:59	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	197.8554	31.6479	1.0000	0.9384
1	197.8554	85.7299	0.9124	1.6708
2	197.8554	102.8585	0.8747	2.3539
3	197.8554	137.0588	0.8858	3.0284
4	197.8554	147.7584	0.8138	3.7065
5	199.2575	158.9156	0.7190	4.3879
6	199.2575	170.0171	0.5706	5.0833
7	199.2575	177.4613	0.5678	5.8060
8	199.2575	188.5738	0.4702	6.4862
9	199.2575	190.3640	0.4830	7.1630
10	199.5898	192.9023	0.4962	7.8802
11	199.5898	194.3582	0.4479	8.5707
12	199.6994	195.8166	0.4729	9.2485
13	199.6994	196.2850	0.4798	9.9580
14	199.6994	196.5088	0.4511	10.6308
15	199.9054	197.7996	0.4877	11.3022
16	199.9100	198.0833	0.4860	11.9879
17	199.9100	198.6913	0.4350	12.6624
18	199.9913	198.9401	0.3682	13.3302
19	199.9913	199.2169	0.2548	14.0507
20	199.9913	199.4309	0.2392	14.7221
21	199.9913	199.6530	0.2144	15.4662
22	199.9913	199.7022	0.2129	16.2289
23	199.9913	199.7408	0.1282	16.9013
24	199.9932	199.8563	0.1110	17.6306
25	199.9978	199.9116	0.1015	18.2993
26	199.9990	199.9450	0.1003	18.9922
27	199.9992	199.9456	0.1000	19.6729
28	199.9992	199.9512	0.0990	20.3459
29	199.9999	199.9582	0.0951	21.0176
30	199.9999	199.9603	0.0932	21.7168
31	199.9999	199.9662	0.0920	22.4035
32	199.9999	199.9678	0.0899	23.0763
33	200.0000	199.9686	0.0885	23.7460
34	200.0000	199.9974	0.0035	24.4179
35	200.0000	199.9986	0.0033	25.0895
36	200.0000	199.9991	0.0022	25.7988
37	200.0000	199.9996	0.0016	26.4714
38	200.0000	199.9999	0.0012	27.2083
39	200.0000	199.9999	0.0010	27.8769
40	200.0000	199.9999	0.0008	28.5428
41	200.0000	200.0000	0.0005	29.2304
42	200.0000	200.0000	0.0005	29.9132
43	200.0000	200.0000	0.0003	30.5822
44	200.0000	200.0000	0.0002	31.2569
45	200.0000	200.0000	0.0002	31.9335
46	200.0000	200.0000	0.0001	32.7597
47	200.0000	200.0000	0.0001	33.4318
48	200.0000	200.0000	0.0001	34.1053
49	200.0000	200.0000	0.0001	34.7812
50	200.0000	200.0000	0.0000	35.4540
51	200.0000	200.0000	0.0000	36.1483
52	200.0000	200.0000	0.0000	36.8204
53	200.0000	200.0000	0.0000	37.5159
54	200.0000	200.0000	0.0000	38.1892
55	200.0000	200.0000	0.0000	38.8653
56	200.0000	200.0000	0.0000	39.5484
57	200.0000	200.0000	0.0000	40.2169
58	200.0000	200.0000	0.0000	40.8885
59	200.0000	200.0000	0.0000	41.5659
60	200.0000	200.0000	0.0000	42.2349
61	200.0000	200.0000	0.0000	42.9230
62	200.0000	200.0000	0.0000	43.6018
63	200.0000	200.0000	0.0000	44.2679
64	200.0000	200.0000	0.0000	44.9350
65	200.0000	200.0000	0.0000	45.6097
66	200.0000	200.0000	0.0000	46.2918
67	200.0000	200.0000	0.0000	47.0045
68	200.0000	200.0000	0.0000	47.6983
69	200.0000	200.0000	0.0000	48.3661
70	200.0000	200.0000	0.0000	49.1858
71	200.0000	200.0000	0.0000	49.8772
72	200.0000	200.0000	0.0000	50.5488
73	200.0000	200.0000	0.0000	51.2257
74	200.0000	200.0000	0.0000	51.9009
75	200.0000	200.0000	0.0000	52.5715
76	200.0000	200.0000	0.0000	53.2591
77	200.0000	200.0000	0.0000	53.9358
78	200.0000	200.0000	0.0000	54.6088
79	200.0000	200.0000	0.0000	55.2878
80	200.0000	200.0000	0.0000	55.9640
81	200.0000	200.0000	0.0000	56.6587
82	200.0000	200.0000	0.0000	57.3399
83	200.0000	200.0000	0.0000	58.0187
84	200.0000	200.0000	0.0000	58.7006
85	200.0000	200.0000	0.0000	59.3770
86	200.0000	200.0000	0.0000	60.0715
87	200.0000	200.0000	0.0000	60.7488
88	200.0000	200.0000	0.0000	61.4266
89	200.0000	200.0000	0.0000	62.1097
90	200.0000	200.0000	0.0000	62.7847
91	200.0000	200.0000	0.0000	63.4739
92	200.0000	200.0000	0.0000	64.1513
93	200.0000	200.0000	0.0000	64.8282
94	200.0000	200.0000	0.0000	65.5887
95	200.0000	200.0000	0.0000	66.4184
96	200.0000	200.0000	0.0000	67.1091
97	200.0000	200.0000	0.0000	67.7893
98	200.0000	200.0000	0.0000	68.4695
99	200.0000	200.0000	0.0000	69.1457
100	200.0000	200.0000	0.0000	69.8307
101	200.0000	200.0000	0.0000	70.5302
102	200.0000	200.0000	0.0000	71.2097
103	200.0000	200.0000	0.0000	71.8873
104	200.0000	200.0000	0.0000	72.5610
105	200.0000	200.0000	0.0000	73.2374
106	200.0000	200.0000	0.0000	73.9317
107	200.0000	200.0000	0.0000	74.6074
108	200.0000	200.0000	0.0000	75.2890
109	200.0000	200.0000	0.0000	75.9706
110	200.0000	200.0000	0.0000	76.6480
111	200.0000	200.0000	0.0000	77.3439
112	200.0000	200.0000	0.0000	78.0244
113	200.0000	200.0000	0.0000	78.7034
114	200.0000	200.0000	0.0000	79.3974
115	200.0000	200.0000	0.0000	80.0929
116	200.0000	200.0000	0.0000	80.8063
117	200.0000	200.0000	0.0000	81.5024
118	200.0000	200.0000	0.0000	82.2635
119	200.0000	200.0000	0.0000	83.0028
120	200.0000	200.0000	0.0000	83.6859
121	200.0000	200.0000	0.0000	84.3780
122	200.0000	200.0000	0.0000	85.0627
123	200.0000	200.0000	0.0000	85.7451
124	200.0000	200.0000	0.0000	86.4904
125	200.0000	200.0000	0.0000	87.1649
126	200.0000	200.0000	0.0000	87.8630
127	200.0000	200.0000	0.0000	88.5508
128	200.0000	200.0000	0.0000	89.2253
129	200.0000	200.0000	0.0000	89.9010
130	200.0000	200.0000	0.0000	90.5840
131	200.0000	200.0000	0.0000	91.2783
132	200.0000	200.0000	0.0000	91.9759
133	200.0000	200.0000	0.0000	92.6542
134	200.0000	200.0000	0.0000	93.3340
135	200.0000	200.0000	0.0000	94.0187
136	200.0000	200.0000	0.0000	94.7156
137	200.0000	200.0000	0.0000	95.3977
138	200.0000	200.0000	0.0000	96.0715
139	200.0000	200.0000	0.0000	96.7526
140	200.0000	200.0000	0.0000	97.4360
141	200.0000	200.0000	0.0000	98.1240
142	200.0000	200.0000	0.0000	98.9175
143	200.0000	200.0000	0.0000	99.6346
144	200.0000	200.0000	0.0000	100.3113
145	200.0000	200.0000	0.0000	100.9960
146	200.0000	200.0000	0.0000	101.6920
147	200.0000	200.0000	0.0000	102.3717
148	200.0000	200.0000	0.0000	103.0529
149	200.0000	200.0000	0.0000	103.7319
150	200.0000	200.0000	0.0000	104.4085
151	200.0000	200.0000	0.0000	105.1080
152	200.0000	200.0000	0.0000	105.8969
153	200.0000	200.0000	0.0000	106.5767
154	200.0000	200.0000	0.0000	107.2547
155	200.0000	200.0000	0.0000	107.9378
156	200.0000	200.0000	0.0000	108.6278
157	200.0000	200.0000	0.0000	109.3054
158	200.0000	200.0000	0.0000	109.9865
159	200.0000	200.0000	0.0000	110.6670
160	200.0000	200.0000	0.0000	111.3467
161	200.0000	200.0000	0.0000	112.0365
162	200.0000	200.0000	0.0000	112.7183
163	200.0000	200.0000	0.0000	113.4000
164	200.0000	200.0000	0.0000	114.0738
165	200.0000	200.0000	0.0000	114.7444
166	200.0000	200.0000	0.0000	115.5548
167	200.0000	200.0000	0.0000	116.3201
168	200.0000	200.0000	0.0000	116.9989
169	200.0000	200.0000	0.0000	117.6744
170	200.0000	200.0000	0.0000	118.3519
