ID: 2515b5e5-e0bf-408e-865b-9b0ede4ad97e	Date: 2018-05-02 02:12:47	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	197.4047	25.5887	1.0000	0.9265
1	199.8960	93.8660	0.9961	1.7283
2	199.8960	130.1601	0.9081	2.4505
3	199.8960	167.8142	0.7014	3.1157
4	199.8960	179.8522	0.6511	3.8159
5	199.8960	186.1770	0.5759	4.4754
6	199.8960	187.8552	0.4634	5.1715
7	199.8981	193.9620	0.4042	5.8348
8	199.9866	195.6764	0.3679	6.4917
9	199.9866	196.3646	0.3495	7.1473
10	199.9866	196.5725	0.3441	7.8442
11	199.9866	198.7087	0.2625	8.5163
12	199.9866	199.0694	0.1801	9.1701
13	199.9982	199.3196	0.1618	9.8288
14	199.9984	199.4518	0.1568	10.4928
15	199.9984	199.7421	0.1450	11.1620
16	199.9984	199.8040	0.0589	11.8644
17	199.9984	199.8592	0.0510	12.5203
18	199.9984	199.8765	0.0491	13.1745
19	199.9984	199.9025	0.0435	13.8292
20	199.9995	199.9484	0.0271	14.4885
21	199.9995	199.9620	0.0236	15.1539
22	199.9995	199.9754	0.0197	15.8298
23	199.9995	199.9797	0.0183	16.4847
24	199.9995	199.9843	0.0125	17.1413
25	200.0000	199.9942	0.0092	17.7944
26	200.0000	199.9956	0.0074	18.6360
27	200.0000	199.9966	0.0061	19.2964
28	200.0000	199.9977	0.0049	19.9871
29	200.0000	199.9987	0.0035	20.7109
30	200.0000	199.9992	0.0028	21.3695
31	200.0000	199.9994	0.0027	22.0399
32	200.0000	199.9996	0.0023	22.7003
33	200.0000	199.9997	0.0021	23.3531
34	200.0000	199.9998	0.0016	24.0178
35	200.0000	199.9999	0.0012	24.6723
36	200.0000	199.9999	0.0010	25.3389
37	200.0000	200.0000	0.0007	26.0000
38	200.0000	200.0000	0.0006	26.6573
39	200.0000	200.0000	0.0005	27.3087
40	200.0000	200.0000	0.0003	27.9903
41	200.0000	200.0000	0.0003	28.6584
42	200.0000	200.0000	0.0002	29.3131
43	200.0000	200.0000	0.0002	29.9888
44	200.0000	200.0000	0.0001	30.6447
45	200.0000	200.0000	0.0001	31.2994
46	200.0000	200.0000	0.0001	31.9703
47	200.0000	200.0000	0.0001	32.6295
48	200.0000	200.0000	0.0001	33.2873
49	200.0000	200.0000	0.0000	33.9420
50	200.0000	200.0000	0.0000	34.5919
51	200.0000	200.0000	0.0000	35.3968
52	200.0000	200.0000	0.0000	36.0639
53	200.0000	200.0000	0.0000	36.7479
54	200.0000	200.0000	0.0000	37.4074
55	200.0000	200.0000	0.0000	38.0597
56	200.0000	200.0000	0.0000	38.7287
57	200.0000	200.0000	0.0000	39.3815
58	200.0000	200.0000	0.0000	40.1053
59	200.0000	200.0000	0.0000	40.7608
60	200.0000	200.0000	0.0000	41.4174
61	200.0000	200.0000	0.0000	42.0947
62	200.0000	200.0000	0.0000	42.7508
63	200.0000	200.0000	0.0000	43.4031
64	200.0000	200.0000	0.0000	44.0612
65	200.0000	200.0000	0.0000	44.7226
66	200.0000	200.0000	0.0000	45.3947
67	200.0000	200.0000	0.0000	46.1855
68	200.0000	200.0000	0.0000	46.8481
69	200.0000	200.0000	0.0000	47.5063
70	200.0000	200.0000	0.0000	48.1715
71	200.0000	200.0000	0.0000	48.8427
72	200.0000	200.0000	0.0000	49.5048
73	200.0000	200.0000	0.0000	50.1602
74	200.0000	200.0000	0.0000	50.8177
75	200.0000	200.0000	0.0000	51.6071
76	200.0000	200.0000	0.0000	52.3384
77	200.0000	200.0000	0.0000	53.0050
78	200.0000	200.0000	0.0000	53.6699
79	200.0000	200.0000	0.0000	54.3334
80	200.0000	200.0000	0.0000	54.9974
81	200.0000	200.0000	0.0000	55.6812
82	200.0000	200.0000	0.0000	56.3514
83	200.0000	200.0000	0.0000	57.0209
84	200.0000	200.0000	0.0000	57.6878
85	200.0000	200.0000	0.0000	58.3563
86	200.0000	200.0000	0.0000	59.0959
87	200.0000	200.0000	0.0000	59.7641
88	200.0000	200.0000	0.0000	60.4322
89	200.0000	200.0000	0.0000	61.0983
90	200.0000	200.0000	0.0000	61.7650
91	200.0000	200.0000	0.0000	62.4413
92	200.0000	200.0000	0.0000	63.1044
93	200.0000	200.0000	0.0000	63.7705
94	200.0000	200.0000	0.0000	64.4350
95	200.0000	200.0000	0.0000	65.0969
96	200.0000	200.0000	0.0000	65.7673
97	200.0000	200.0000	0.0000	66.4296
98	200.0000	200.0000	0.0000	67.1232
99	200.0000	200.0000	0.0000	67.7924
100	200.0000	200.0000	0.0000	68.5644
101	200.0000	200.0000	0.0000	69.2689
102	200.0000	200.0000	0.0000	69.9873
103	200.0000	200.0000	0.0000	70.7030
104	200.0000	200.0000	0.0000	71.3933
105	200.0000	200.0000	0.0000	72.0773
106	200.0000	200.0000	0.0000	72.7730
107	200.0000	200.0000	0.0000	73.4427
108	200.0000	200.0000	0.0000	74.1153
109	200.0000	200.0000	0.0000	74.7855
110	200.0000	200.0000	0.0000	75.4504
111	200.0000	200.0000	0.0000	76.1340
112	200.0000	200.0000	0.0000	76.7977
113	200.0000	200.0000	0.0000	77.4629
114	200.0000	200.0000	0.0000	78.1868
115	200.0000	200.0000	0.0000	78.8608
116	200.0000	200.0000	0.0000	79.5400
117	200.0000	200.0000	0.0000	80.2057
118	200.0000	200.0000	0.0000	80.8713
119	200.0000	200.0000	0.0000	81.5330
120	200.0000	200.0000	0.0000	82.2003
121	200.0000	200.0000	0.0000	82.8755
122	200.0000	200.0000	0.0000	83.5421
123	200.0000	200.0000	0.0000	84.2292
124	200.0000	200.0000	0.0000	84.9533
125	200.0000	200.0000	0.0000	85.6333
126	200.0000	200.0000	0.0000	86.3197
127	200.0000	200.0000	0.0000	87.0163
128	200.0000	200.0000	0.0000	87.6954
129	200.0000	200.0000	0.0000	88.3610
130	200.0000	200.0000	0.0000	89.0312
131	200.0000	200.0000	0.0000	89.7131
132	200.0000	200.0000	0.0000	90.3802
133	200.0000	200.0000	0.0000	91.0449
134	200.0000	200.0000	0.0000	91.7110
135	200.0000	200.0000	0.0000	92.4006
136	200.0000	200.0000	0.0000	93.0800
137	200.0000	200.0000	0.0000	93.7481
138	200.0000	200.0000	0.0000	94.4219
139	200.0000	200.0000	0.0000	95.1076
140	200.0000	200.0000	0.0000	95.7770
141	200.0000	200.0000	0.0000	96.4565
142	200.0000	200.0000	0.0000	97.1284
143	200.0000	200.0000	0.0000	97.8026
144	200.0000	200.0000	0.0000	98.5341
145	200.0000	200.0000	0.0000	99.2060
146	200.0000	200.0000	0.0000	99.8881
147	200.0000	200.0000	0.0000	100.5878
148	200.0000	200.0000	0.0000	101.2559
149	200.0000	200.0000	0.0000	102.0019
150	200.0000	200.0000	0.0000	102.6661
151	200.0000	200.0000	0.0000	103.3840
152	200.0000	200.0000	0.0000	104.0599
153	200.0000	200.0000	0.0000	104.7220
154	200.0000	200.0000	0.0000	105.3848
155	200.0000	200.0000	0.0000	106.0472
156	200.0000	200.0000	0.0000	106.7333
157	200.0000	200.0000	0.0000	107.4033
158	200.0000	200.0000	0.0000	108.0739
159	200.0000	200.0000	0.0000	108.7639
160	200.0000	200.0000	0.0000	109.4296
161	200.0000	200.0000	0.0000	110.1036
162	200.0000	200.0000	0.0000	110.7671
163	200.0000	200.0000	0.0000	111.4306
164	200.0000	200.0000	0.0000	112.0949
165	200.0000	200.0000	0.0000	112.7613
166	200.0000	200.0000	0.0000	113.4367
167	200.0000	200.0000	0.0000	114.0995
168	200.0000	200.0000	0.0000	114.7623
169	200.0000	200.0000	0.0000	115.4249
170	200.0000	200.0000	0.0000	116.0963
171	200.0000	200.0000	0.0000	116.7727
172	200.0000	200.0000	0.0000	117.4929
173	200.0000	200.0000	0.0000	118.2034
174	200.0000	200.0000	0.0000	118.9172
175	200.0000	200.0000	0.0000	119.6024
176	200.0000	200.0000	0.0000	120.2872
177	200.0000	200.0000	0.0000	120.9528
178	200.0000	200.0000	0.0000	121.6290
179	200.0000	200.0000	0.0000	122.2975
180	200.0000	200.0000	0.0000	122.9610
181	200.0000	200.0000	0.0000	123.6796
182	200.0000	200.0000	0.0000	124.3649
183	200.0000	200.0000	0.0000	125.0396
184	200.0000	200.0000	0.0000	125.7153
185	200.0000	200.0000	0.0000	126.3959
186	200.0000	200.0000	0.0000	127.1119
187	200.0000	200.0000	0.0000	127.8062
188	200.0000	200.0000	0.0000	128.4719
189	200.0000	200.0000	0.0000	129.1366
190	200.0000	200.0000	0.0000	129.7979
191	200.0000	200.0000	0.0000	130.4736
192	200.0000	200.0000	0.0000	131.1324
193	200.0000	200.0000	0.0000	131.8047
194	200.0000	200.0000	0.0000	132.4728
195	200.0000	200.0000	0.0000	133.1403
196	200.0000	200.0000	0.0000	133.8198
197	200.0000	200.0000	0.0000	134.5072
198	200.0000	200.0000	0.0000	135.2539
199	200.0000	200.0000	0.0000	135.9413
Pos: [3.0000000192637573, 1.9999999982433698]

Run: 1
Iter	Gbest	AvrFit	Diver	ETime	
0	176.7746	-69.2150	1.0000	0.8883
1	188.2326	13.0152	0.8743	1.6062
2	188.2326	61.4325	0.8055	2.3489
3	188.8728	103.9651	0.8589	3.0553
4	193.7123	108.9314	0.8176	3.7470
5	197.6242	138.8611	0.7834	4.4603
6	197.6242	142.7046	0.7923	5.1994
7	197.6242	149.5579	0.8678	5.9001
8	197.6242	169.8909	0.9153	6.5911
9	197.6242	173.3454	0.7887	7.8056
10	197.6242	176.1025	0.8170	8.5618
11	199.3720	183.4956	0.7850	9.2711
12	199.3720	185.6197	0.7835	9.9742
13	199.3720	188.8087	0.7591	10.7191
14	199.3720	193.5387	0.6898	11.4784
15	199.3720	193.5558	0.6900	12.1772
16	199.3720	193.8770	0.6784	13.1819
17	199.7415	194.3107	0.5886	13.9706
18	199.7909	195.3416	0.5342	14.6575
19	199.7909	195.5601	0.5358	15.3856
20	199.7909	196.0537	0.5337	16.1233
21	199.7909	196.0553	0.5341	16.8846
22	199.8298	196.3188	0.5383	17.6256
23	199.8775	196.8379	0.6500	18.3661
24	199.9584	197.7351	0.5438	19.0921
25	199.9584	198.1633	0.6177	19.8092
26	199.9584	198.1709	0.6156	20.5052
27	199.9879	198.4786	0.6064	21.1782
28	199.9879	198.6153	0.6001	21.8782
29	199.9879	199.2206	0.6059	22.5725
30	199.9879	199.3622	0.5979	23.2534
31	199.9879	199.4293	0.5925	23.9644
32	199.9879	199.4982	0.4934	24.6394
33	199.9879	199.8626	0.2782	25.3062
34	199.9897	199.8762	0.2757	26.0093
35	199.9935	199.9048	0.2721	27.4677
36	199.9935	199.9136	0.2702	29.0215
37	199.9994	199.9222	0.2675	30.4332
38	199.9994	199.9568	0.2664	31.3718
39	199.9994	199.9628	0.2645	32.0690
40	199.9994	199.9689	0.1165	32.7673
41	199.9997	199.9747	0.1138	33.4740
42	199.9997	199.9765	0.1119	34.7652
43	200.0000	199.9804	0.0103	36.1481
44	200.0000	199.9983	0.0039	37.5302
45	200.0000	199.9990	0.0027	38.9686
46	200.0000	199.9996	0.0017	40.3864
47	200.0000	199.9998	0.0013	41.8203
48	200.0000	199.9999	0.0010	43.1771
49	200.0000	199.9999	0.0009	44.5244
50	200.0000	200.0000	0.0006	45.5632
51	200.0000	200.0000	0.0005	46.4153
52	200.0000	200.0000	0.0004	47.0967
53	200.0000	200.0000	0.0003	47.8847
54	200.0000	200.0000	0.0001	48.6495
55	200.0000	200.0000	0.0001	49.3407
56	200.0000	200.0000	0.0001	50.0629
57	200.0000	200.0000	0.0001	50.7493
58	200.0000	200.0000	0.0000	51.4431
59	200.0000	200.0000	0.0000	52.1417
60	200.0000	200.0000	0.0000	52.8173
61	200.0000	200.0000	0.0000	53.5238
62	200.0000	200.0000	0.0000	54.2455
63	200.0000	200.0000	0.0000	54.9572
64	200.0000	200.0000	0.0000	55.6509
65	200.0000	200.0000	0.0000	56.3588
66	200.0000	200.0000	0.0000	57.0698
67	200.0000	200.0000	0.0000	57.8008
68	200.0000	200.0000	0.0000	58.5651
69	200.0000	200.0000	0.0000	59.2685
70	200.0000	200.0000	0.0000	59.9604
71	200.0000	200.0000	0.0000	60.6472
72	200.0000	200.0000	0.0000	61.3225
73	200.0000	200.0000	0.0000	62.0694
74	200.0000	200.0000	0.0000	62.7890
75	200.0000	200.0000	0.0000	63.4897
76	200.0000	200.0000	0.0000	64.2216
77	200.0000	200.0000	0.0000	64.9436
78	200.0000	200.0000	0.0000	65.6412
79	200.0000	200.0000	0.0000	66.3605
80	200.0000	200.0000	0.0000	67.0772
81	200.0000	200.0000	0.0000	67.7831
82	200.0000	200.0000	0.0000	68.4876
83	200.0000	200.0000	0.0000	69.2060
84	200.0000	200.0000	0.0000	69.9511
85	200.0000	200.0000	0.0000	70.6241
86	200.0000	200.0000	0.0000	71.3511
87	200.0000	200.0000	0.0000	72.0723
88	200.0000	200.0000	0.0000	72.7487
89	200.0000	200.0000	0.0000	73.4706
90	200.0000	200.0000	0.0000	74.2142
91	200.0000	200.0000	0.0000	74.9300
92	200.0000	200.0000	0.0000	75.5906
93	200.0000	200.0000	0.0000	76.3130
94	200.0000	200.0000	0.0000	77.0202
95	200.0000	200.0000	0.0000	77.8282
96	200.0000	200.0000	0.0000	78.5406
97	200.0000	200.0000	0.0000	79.3235
98	200.0000	200.0000	0.0000	80.0335
99	200.0000	200.0000	0.0000	80.7004
100	200.0000	200.0000	0.0000	81.4548
101	200.0000	200.0000	0.0000	82.1400
102	200.0000	200.0000	0.0000	82.8502
103	200.0000	200.0000	0.0000	83.5311
104	200.0000	200.0000	0.0000	84.2633
105	200.0000	200.0000	0.0000	84.9307
106	200.0000	200.0000	0.0000	85.6142
107	200.0000	200.0000	0.0000	86.3488
108	200.0000	200.0000	0.0000	87.0667
109	200.0000	200.0000	0.0000	87.7273
110	200.0000	200.0000	0.0000	88.3880
111	200.0000	200.0000	0.0000	89.1240
112	200.0000	200.0000	0.0000	89.7911
113	200.0000	200.0000	0.0000	90.4799
114	200.0000	200.0000	0.0000	91.2044
115	200.0000	200.0000	0.0000	91.8715
116	200.0000	200.0000	0.0000	92.5751
117	200.0000	200.0000	0.0000	93.3025
118	200.0000	200.0000	0.0000	93.9717
119	200.0000	200.0000	0.0000	94.6338
120	200.0000	200.0000	0.0000	95.3555
121	200.0000	200.0000	0.0000	96.1366
122	200.0000	200.0000	0.0000	96.9639
123	200.0000	200.0000	0.0000	97.6334
124	200.0000	200.0000	0.0000	98.3548
125	200.0000	200.0000	0.0000	99.0851
126	200.0000	200.0000	0.0000	99.7696
127	200.0000	200.0000	0.0000	100.4372
128	200.0000	200.0000	0.0000	101.1069
129	200.0000	200.0000	0.0000	101.8035
130	200.0000	200.0000	0.0000	102.4954
131	200.0000	200.0000	0.0000	103.1704
132	200.0000	200.0000	0.0000	103.8890
133	200.0000	200.0000	0.0000	104.5692
134	200.0000	200.0000	0.0000	105.2599
135	200.0000	200.0000	0.0000	105.9906
