ID: 3a6a6f9f-4144-4820-87a4-6f9280d3cc2c	Date: 2018-05-02 02:12:16	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	195.9939	-71.2247	1.0000	1.0135
1	195.9939	-33.5047	0.9808	1.7183
2	195.9939	9.0865	0.9063	2.4133
3	196.3123	85.1979	0.9289	3.2239
4	196.3123	108.3451	0.9417	3.9186
5	196.3123	114.9496	0.9768	4.6470
6	196.3123	117.2632	0.9722	5.3482
7	198.6441	129.8763	0.9644	6.1185
8	198.6441	134.3066	1.0000	6.8631
9	198.6441	149.1751	0.9978	7.6013
10	198.9689	151.9758	0.9744	8.3218
11	198.9689	152.4564	0.9654	9.0272
12	198.9689	153.0938	0.9773	9.7144
13	198.9689	173.9814	0.8268	10.4163
14	199.7673	181.6867	0.9118	11.1058
15	199.7673	184.2511	0.8124	11.7953
16	199.7673	185.7728	0.8055	12.5527
17	199.7733	188.4656	0.8300	13.2403
18	199.7733	189.0931	0.8391	13.9287
19	199.7733	189.3939	0.8326	14.6148
20	199.7733	190.6582	0.8290	15.3027
21	199.7733	190.9594	0.8303	15.9996
22	199.7733	191.8736	0.9476	16.7403
23	199.7910	194.1237	1.0000	17.4234
24	199.7910	194.5814	1.0000	18.1074
25	199.7974	194.9392	0.9623	18.7922
26	199.7974	197.6804	0.9493	19.4955
27	199.9796	197.9146	0.9539	20.2053
28	199.9796	198.3248	0.9498	20.8840
29	199.9796	198.3306	0.9494	21.5614
30	199.9909	198.5064	0.9478	22.2411
31	199.9909	198.6267	0.9463	22.9349
32	199.9909	198.7286	0.9457	23.7093
33	199.9909	198.7802	0.9462	24.4055
34	199.9909	198.8326	1.0000	25.1589
35	199.9909	198.8326	1.0000	25.8381
36	199.9909	198.8333	1.0000	26.5365
37	199.9911	198.8469	0.9999	27.2241
38	199.9911	198.8747	0.9998	27.9105
39	199.9911	199.1299	1.0000	28.6210
40	199.9911	199.1299	1.0000	29.3097
41	199.9911	199.1304	1.0000	30.0045
42	199.9911	199.1337	0.9691	30.6830
43	199.9930	199.1381	0.9684	31.3752
44	199.9989	199.4265	0.8692	32.0647
45	199.9989	199.4358	0.8692	32.7582
46	199.9989	199.6571	0.9678	33.4563
47	199.9989	199.6964	0.9742	34.1403
48	199.9989	199.7016	0.9739	34.8260
49	199.9989	199.7125	0.9747	35.5086
50	199.9989	199.7249	0.8651	36.2153
51	199.9989	199.7249	0.8651	36.9132
52	199.9989	199.7249	0.8651	37.5993
53	199.9989	199.7250	0.8651	38.2836
54	199.9989	199.8242	0.8655	38.9667
55	199.9989	199.8350	0.8653	39.6502
56	199.9989	199.8487	0.8634	40.4451
57	199.9989	199.8608	0.8631	41.1346
58	199.9997	199.9342	0.7521	41.8172
59	199.9997	199.9448	0.6419	42.4984
60	199.9997	199.9749	0.4240	43.1786
61	200.0000	199.9771	0.4238	43.8690
62	200.0000	199.9771	0.4237	44.5714
63	200.0000	199.9775	0.4234	45.2528
64	200.0000	199.9857	0.3128	45.9356
65	200.0000	199.9885	0.2814	46.6192
66	200.0000	199.9905	0.2804	47.3080
67	200.0000	199.9909	0.2799	47.9836
68	200.0000	199.9986	0.2228	48.6701
69	200.0000	199.9989	0.2222	49.3498
70	200.0000	199.9991	0.2218	50.0367
71	200.0000	199.9994	0.2214	50.7269
72	200.0000	199.9994	0.2212	51.4104
73	200.0000	199.9997	0.1110	52.0930
74	200.0000	199.9997	0.1108	52.8026
75	200.0000	199.9997	0.1108	53.4854
76	200.0000	199.9998	0.1107	54.1973
77	200.0000	199.9998	0.1106	54.8759
78	200.0000	199.9998	0.1105	55.5651
79	200.0000	199.9998	0.1105	56.2482
80	200.0000	199.9998	0.1104	57.0445
81	200.0000	199.9998	0.1104	57.7757
82	200.0000	199.9998	0.1104	58.4621
83	200.0000	200.0000	0.0001	59.1636
84	200.0000	200.0000	0.0001	59.8683
85	200.0000	200.0000	0.0000	60.5536
86	200.0000	200.0000	0.0000	61.2550
87	200.0000	200.0000	0.0000	61.9411
88	200.0000	200.0000	0.0000	62.6223
89	200.0000	200.0000	0.0000	63.3745
90	200.0000	200.0000	0.0000	64.0776
91	200.0000	200.0000	0.0000	64.7817
92	200.0000	200.0000	0.0000	65.4633
93	200.0000	200.0000	0.0000	66.1511
94	200.0000	200.0000	0.0000	66.8352
95	200.0000	200.0000	0.0000	67.5166
96	200.0000	200.0000	0.0000	68.2328
97	200.0000	200.0000	0.0000	68.9211
98	200.0000	200.0000	0.0000	69.6056
99	200.0000	200.0000	0.0000	70.2975
100	200.0000	200.0000	0.0000	70.9798
101	200.0000	200.0000	0.0000	71.6867
102	200.0000	200.0000	0.0000	72.3691
103	200.0000	200.0000	0.0000	73.0968
104	200.0000	200.0000	0.0000	73.8935
105	200.0000	200.0000	0.0000	74.6024
106	200.0000	200.0000	0.0000	75.3021
107	200.0000	200.0000	0.0000	75.9835
108	200.0000	200.0000	0.0000	76.7379
109	200.0000	200.0000	0.0000	77.4250
110	200.0000	200.0000	0.0000	78.1217
111	200.0000	200.0000	0.0000	78.9499
112	200.0000	200.0000	0.0000	79.6337
113	200.0000	200.0000	0.0000	80.3399
114	200.0000	200.0000	0.0000	81.0194
115	200.0000	200.0000	0.0000	81.7285
116	200.0000	200.0000	0.0000	82.4738
117	200.0000	200.0000	0.0000	83.1912
118	200.0000	200.0000	0.0000	83.8871
119	200.0000	200.0000	0.0000	84.5795
120	200.0000	200.0000	0.0000	85.2683
121	200.0000	200.0000	0.0000	85.9683
122	200.0000	200.0000	0.0000	86.6573
123	200.0000	200.0000	0.0000	87.3423
124	200.0000	200.0000	0.0000	88.0299
125	200.0000	200.0000	0.0000	88.7222
126	200.0000	200.0000	0.0000	89.4804
127	200.0000	200.0000	0.0000	90.2553
128	200.0000	200.0000	0.0000	90.9710
129	200.0000	200.0000	0.0000	91.6631
130	200.0000	200.0000	0.0000	92.3810
131	200.0000	200.0000	0.0000	93.1263
132	200.0000	200.0000	0.0000	93.8115
133	200.0000	200.0000	0.0000	94.5055
134	200.0000	200.0000	0.0000	95.1900
