ID: 40d97454-0e53-4435-8bec-0ef0890b52af	Date: 2018-05-02 02:01:39	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	191.2727	0.7353	1.0000	1.0574
1	191.2727	73.1698	1.0000	1.9269
2	195.0586	99.9156	0.9376	2.6119
3	195.0586	120.9443	0.9349	3.2883
4	196.2290	148.4940	0.9232	3.9937
5	197.5340	156.1099	0.9603	4.6656
6	198.1688	163.7830	0.9206	5.3489
7	198.1688	172.4315	0.7320	6.0241
8	198.1688	173.8978	0.7423	6.6960
9	199.3606	177.8736	0.6920	7.3874
10	199.6166	182.3782	0.6370	8.0936
11	199.6166	188.2150	0.6424	8.8139
12	199.9932	189.6739	0.6398	9.9471
13	199.9932	192.3639	0.6543	10.6888
14	199.9932	194.0840	0.6424	11.3738
15	199.9932	194.6141	0.7255	12.0864
16	199.9932	195.0775	0.7154	12.7695
17	199.9932	196.0585	0.7153	13.4382
18	199.9932	196.3522	0.7080	14.1063
19	199.9932	197.6026	0.7081	14.7731
20	199.9932	198.1620	0.6111	15.4381
21	199.9932	198.7277	0.3972	16.1633
22	199.9932	198.8439	0.3937	16.8324
23	199.9932	198.9609	0.3917	17.6048
24	199.9943	199.6426	0.3722	18.3403
25	199.9943	199.6814	0.3638	19.0153
26	199.9979	199.7024	0.3590	19.7644
27	199.9979	199.7179	0.3588	20.4344
28	199.9986	199.8141	0.2471	21.1020
29	199.9986	199.9016	0.1351	21.7714
30	199.9989	199.9245	0.1316	22.4416
31	199.9994	199.9346	0.1295	23.1264
32	199.9994	199.9413	0.1275	23.8464
33	200.0000	199.9537	0.1225	24.5171
34	200.0000	199.9614	0.1192	25.1896
35	200.0000	199.9630	0.1169	25.8629
36	200.0000	199.9636	0.1163	26.5529
37	200.0000	199.9637	0.1158	27.2443
38	200.0000	199.9639	0.1155	27.9758
39	200.0000	199.9645	0.1150	28.7061
40	200.0000	199.9645	0.1150	29.4774
41	200.0000	199.9647	0.1141	30.1890
42	200.0000	199.9647	0.1139	30.8626
43	200.0000	199.9648	0.1136	31.5363
44	200.0000	200.0000	0.0008	32.2325
45	200.0000	200.0000	0.0006	32.9068
46	200.0000	200.0000	0.0006	33.5989
47	200.0000	200.0000	0.0004	34.3919
48	200.0000	200.0000	0.0003	35.0628
49	200.0000	200.0000	0.0002	35.7599
50	200.0000	200.0000	0.0002	36.4323
51	200.0000	200.0000	0.0002	37.1199
52	200.0000	200.0000	0.0001	37.7903
53	200.0000	200.0000	0.0001	38.4865
54	200.0000	200.0000	0.0001	39.1600
55	200.0000	200.0000	0.0000	39.8595
56	200.0000	200.0000	0.0000	40.5605
57	200.0000	200.0000	0.0000	41.2328
58	200.0000	200.0000	0.0000	41.9033
59	200.0000	200.0000	0.0000	42.5940
60	200.0000	200.0000	0.0000	43.2620
61	200.0000	200.0000	0.0000	43.9730
62	200.0000	200.0000	0.0000	44.6475
63	200.0000	200.0000	0.0000	45.3207
64	200.0000	200.0000	0.0000	45.9929
65	200.0000	200.0000	0.0000	46.6588
66	200.0000	200.0000	0.0000	47.3430
67	200.0000	200.0000	0.0000	48.0354
68	200.0000	200.0000	0.0000	48.7363
69	200.0000	200.0000	0.0000	49.4151
70	200.0000	200.0000	0.0000	50.0844
71	200.0000	200.0000	0.0000	50.8616
72	200.0000	200.0000	0.0000	51.5902
73	200.0000	200.0000	0.0000	52.3083
74	200.0000	200.0000	0.0000	52.9952
75	200.0000	200.0000	0.0000	53.6821
76	200.0000	200.0000	0.0000	54.3876
77	200.0000	200.0000	0.0000	55.0895
78	200.0000	200.0000	0.0000	55.7902
79	200.0000	200.0000	0.0000	56.4771
80	200.0000	200.0000	0.0000	57.1873
81	200.0000	200.0000	0.0000	57.9185
82	200.0000	200.0000	0.0000	58.6073
83	200.0000	200.0000	0.0000	59.3135
84	200.0000	200.0000	0.0000	60.0522
85	200.0000	200.0000	0.0000	60.7715
86	200.0000	200.0000	0.0000	61.4736
87	200.0000	200.0000	0.0000	62.1653
88	200.0000	200.0000	0.0000	62.8636
89	200.0000	200.0000	0.0000	63.5638
90	200.0000	200.0000	0.0000	64.2819
91	200.0000	200.0000	0.0000	65.0170
92	200.0000	200.0000	0.0000	65.7203
93	200.0000	200.0000	0.0000	66.4268
94	200.0000	200.0000	0.0000	67.1270
95	200.0000	200.0000	0.0000	67.9219
96	200.0000	200.0000	0.0000	68.6336
97	200.0000	200.0000	0.0000	69.3419
98	200.0000	200.0000	0.0000	70.0383
99	200.0000	200.0000	0.0000	70.7424
100	200.0000	200.0000	0.0000	71.4386
101	200.0000	200.0000	0.0000	72.1569
102	200.0000	200.0000	0.0000	72.8514
103	200.0000	200.0000	0.0000	73.5583
104	200.0000	200.0000	0.0000	74.2674
105	200.0000	200.0000	0.0000	74.9629
106	200.0000	200.0000	0.0000	75.6841
107	200.0000	200.0000	0.0000	76.4191
108	200.0000	200.0000	0.0000	77.1170
109	200.0000	200.0000	0.0000	77.8437
110	200.0000	200.0000	0.0000	78.5406
111	200.0000	200.0000	0.0000	79.2537
112	200.0000	200.0000	0.0000	79.9549
113	200.0000	200.0000	0.0000	80.6706
114	200.0000	200.0000	0.0000	81.3725
115	200.0000	200.0000	0.0000	82.0675
116	200.0000	200.0000	0.0000	82.7901
117	200.0000	200.0000	0.0000	83.5249
118	200.0000	200.0000	0.0000	84.3141
119	200.0000	200.0000	0.0000	84.9884
120	200.0000	200.0000	0.0000	85.6667
121	200.0000	200.0000	0.0000	86.3643
122	200.0000	200.0000	0.0000	87.1146
123	200.0000	200.0000	0.0000	87.8026
124	200.0000	200.0000	0.0000	88.5081
125	200.0000	200.0000	0.0000	89.2019
126	200.0000	200.0000	0.0000	89.9253
127	200.0000	200.0000	0.0000	90.6942
128	200.0000	200.0000	0.0000	91.4483
129	200.0000	200.0000	0.0000	92.1447
130	200.0000	200.0000	0.0000	92.8700
131	200.0000	200.0000	0.0000	93.5781
132	200.0000	200.0000	0.0000	94.2566
133	200.0000	200.0000	0.0000	94.9364
134	200.0000	200.0000	0.0000	95.6202
135	200.0000	200.0000	0.0000	96.2956
136	200.0000	200.0000	0.0000	97.0068
137	200.0000	200.0000	0.0000	97.7044
138	200.0000	200.0000	0.0000	98.4373
139	200.0000	200.0000	0.0000	99.2143
140	200.0000	200.0000	0.0000	99.9398
141	200.0000	200.0000	0.0000	100.6753
142	200.0000	200.0000	0.0000	101.4802
143	200.0000	200.0000	0.0000	102.1605
144	200.0000	200.0000	0.0000	102.8523
145	200.0000	200.0000	0.0000	103.5368
146	200.0000	200.0000	0.0000	104.2347
147	200.0000	200.0000	0.0000	104.9190
148	200.0000	200.0000	0.0000	105.6001
149	200.0000	200.0000	0.0000	106.2846
150	200.0000	200.0000	0.0000	107.0530
151	200.0000	200.0000	0.0000	107.7609
152	200.0000	200.0000	0.0000	108.4461
153	200.0000	200.0000	0.0000	109.1259
154	200.0000	200.0000	0.0000	109.8039
155	200.0000	200.0000	0.0000	110.4858
156	200.0000	200.0000	0.0000	111.1765
157	200.0000	200.0000	0.0000	111.8546
158	200.0000	200.0000	0.0000	112.5324
159	200.0000	200.0000	0.0000	113.2085
160	200.0000	200.0000	0.0000	113.8899
161	200.0000	200.0000	0.0000	114.5782
162	200.0000	200.0000	0.0000	115.2558
163	200.0000	200.0000	0.0000	115.9401
164	200.0000	200.0000	0.0000	116.6146
165	200.0000	200.0000	0.0000	117.3425
166	200.0000	200.0000	0.0000	118.1488
167	200.0000	200.0000	0.0000	118.8257
168	200.0000	200.0000	0.0000	119.4999
169	200.0000	200.0000	0.0000	120.1818
170	200.0000	200.0000	0.0000	120.8682
171	200.0000	200.0000	0.0000	121.5537
172	200.0000	200.0000	0.0000	122.2286
173	200.0000	200.0000	0.0000	122.9103
174	200.0000	200.0000	0.0000	123.5888
175	200.0000	200.0000	0.0000	124.2697
176	200.0000	200.0000	0.0000	124.9721
177	200.0000	200.0000	0.0000	125.6526
178	200.0000	200.0000	0.0000	126.4098
179	200.0000	200.0000	0.0000	127.0893
180	200.0000	200.0000	0.0000	127.7738
181	200.0000	200.0000	0.0000	128.4688
182	200.0000	200.0000	0.0000	129.1535
183	200.0000	200.0000	0.0000	129.8292
184	200.0000	200.0000	0.0000	130.5072
185	200.0000	200.0000	0.0000	131.1903
186	200.0000	200.0000	0.0000	131.8848
187	200.0000	200.0000	0.0000	132.5669
188	200.0000	200.0000	0.0000	133.2469
189	200.0000	200.0000	0.0000	133.9459
190	200.0000	200.0000	0.0000	134.7542
191	200.0000	200.0000	0.0000	135.4473
192	200.0000	200.0000	0.0000	136.1542
193	200.0000	200.0000	0.0000	136.8654
194	200.0000	200.0000	0.0000	137.5644
195	200.0000	200.0000	0.0000	138.2697
196	200.0000	200.0000	0.0000	138.9577
197	200.0000	200.0000	0.0000	139.6651
