ID: 4ecfcaab-ef71-4daf-aae6-2d785cadf80f	Date: 2018-05-02 02:05:51	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	187.2171	19.1507	1.0000	1.0240
1	187.2171	64.4379	1.0000	1.7247
2	195.9614	109.0571	0.8442	2.6608
3	195.9614	131.3189	0.7950	3.3500
4	195.9614	150.1719	0.7642	4.0288
5	198.3166	159.3819	0.7124	4.6947
6	199.6982	185.8162	0.4857	5.4331
7	199.6982	187.5556	0.5306	6.1092
8	199.6982	191.1868	0.5263	6.7840
9	199.8082	193.4739	0.4705	7.4575
10	199.9833	194.2431	0.3581	8.1329
11	199.9833	194.6189	0.3476	8.8153
12	199.9833	196.5131	0.3061	9.5305
13	199.9936	198.1872	0.3048	10.2050
14	199.9936	198.8985	0.2092	10.8714
15	199.9936	199.1049	0.2163	11.5473
16	199.9936	199.3547	0.2739	12.2304
17	199.9936	199.4782	0.2753	12.9886
18	199.9936	199.6285	0.2638	13.8230
19	199.9936	199.6761	0.3362	14.5292
20	199.9950	199.7040	0.3397	15.2023
21	199.9950	199.8162	0.3337	15.8913
22	199.9955	199.8401	0.2541	16.5963
23	199.9986	199.8639	0.1748	17.3700
24	199.9986	199.8679	0.1735	18.0473
25	199.9986	199.8687	0.1741	18.8279
26	199.9988	199.8842	0.1693	19.5522
27	199.9996	199.8877	0.1682	20.2250
28	199.9999	199.9623	0.1664	20.9017
29	199.9999	199.9649	0.1648	21.6105
30	199.9999	199.9652	0.1647	22.2862
31	199.9999	199.9672	0.1639	22.9740
32	199.9999	199.9696	0.1639	23.6607
33	199.9999	199.9856	0.0848	24.3413
34	199.9999	199.9860	0.0839	25.0201
35	199.9999	199.9864	0.0833	25.6991
36	199.9999	199.9871	0.0821	26.3901
37	200.0000	199.9872	0.0818	27.0665
38	200.0000	199.9873	0.0811	27.7500
39	200.0000	199.9874	0.0810	28.4820
40	200.0000	199.9998	0.0015	29.1877
41	200.0000	199.9999	0.0011	29.8700
42	200.0000	199.9999	0.0010	30.5512
43	200.0000	199.9999	0.0009	31.2276
44	200.0000	200.0000	0.0007	31.9080
45	200.0000	200.0000	0.0006	32.5778
46	200.0000	200.0000	0.0004	33.3188
47	200.0000	200.0000	0.0003	34.0025
48	200.0000	200.0000	0.0003	34.6725
49	200.0000	200.0000	0.0002	35.4352
50	200.0000	200.0000	0.0002	36.1555
51	200.0000	200.0000	0.0002	36.8509
52	200.0000	200.0000	0.0001	37.5593
53	200.0000	200.0000	0.0001	38.2576
54	200.0000	200.0000	0.0001	38.9373
55	200.0000	200.0000	0.0001	39.6104
56	200.0000	200.0000	0.0001	40.2994
57	200.0000	200.0000	0.0000	40.9772
58	200.0000	200.0000	0.0000	41.6760
59	200.0000	200.0000	0.0000	42.3543
60	200.0000	200.0000	0.0000	43.0408
61	200.0000	200.0000	0.0000	43.7415
62	200.0000	200.0000	0.0000	44.4098
63	200.0000	200.0000	0.0000	45.0830
64	200.0000	200.0000	0.0000	45.7494
65	200.0000	200.0000	0.0000	46.4215
66	200.0000	200.0000	0.0000	47.1253
67	200.0000	200.0000	0.0000	47.7962
68	200.0000	200.0000	0.0000	48.4676
69	200.0000	200.0000	0.0000	49.1464
70	200.0000	200.0000	0.0000	49.8226
71	200.0000	200.0000	0.0000	50.5083
72	200.0000	200.0000	0.0000	51.1913
73	200.0000	200.0000	0.0000	51.9419
74	200.0000	200.0000	0.0000	52.6969
75	200.0000	200.0000	0.0000	53.4461
76	200.0000	200.0000	0.0000	54.1344
77	200.0000	200.0000	0.0000	54.8022
78	200.0000	200.0000	0.0000	55.4783
79	200.0000	200.0000	0.0000	56.1590
80	200.0000	200.0000	0.0000	56.8383
81	200.0000	200.0000	0.0000	57.5337
82	200.0000	200.0000	0.0000	58.2187
83	200.0000	200.0000	0.0000	58.8913
84	200.0000	200.0000	0.0000	59.5627
85	200.0000	200.0000	0.0000	60.2376
86	200.0000	200.0000	0.0000	60.9281
87	200.0000	200.0000	0.0000	61.6009
88	200.0000	200.0000	0.0000	62.2802
89	200.0000	200.0000	0.0000	62.9935
90	200.0000	200.0000	0.0000	63.6976
91	200.0000	200.0000	0.0000	64.3954
92	200.0000	200.0000	0.0000	65.0749
93	200.0000	200.0000	0.0000	65.7556
94	200.0000	200.0000	0.0000	66.4594
95	200.0000	200.0000	0.0000	67.1411
96	200.0000	200.0000	0.0000	67.8337
97	200.0000	200.0000	0.0000	68.5687
98	200.0000	200.0000	0.0000	69.3638
99	200.0000	200.0000	0.0000	70.0455
100	200.0000	200.0000	0.0000	70.7223
101	200.0000	200.0000	0.0000	71.4190
102	200.0000	200.0000	0.0000	72.1021
103	200.0000	200.0000	0.0000	72.7880
104	200.0000	200.0000	0.0000	73.5116
105	200.0000	200.0000	0.0000	74.1913
106	200.0000	200.0000	0.0000	74.8901
107	200.0000	200.0000	0.0000	75.5768
108	200.0000	200.0000	0.0000	76.2618
109	200.0000	200.0000	0.0000	76.9382
110	200.0000	200.0000	0.0000	77.6176
111	200.0000	200.0000	0.0000	78.3098
112	200.0000	200.0000	0.0000	78.9845
113	200.0000	200.0000	0.0000	79.6640
114	200.0000	200.0000	0.0000	80.3387
115	200.0000	200.0000	0.0000	81.0270
116	200.0000	200.0000	0.0000	81.7244
117	200.0000	200.0000	0.0000	82.4058
118	200.0000	200.0000	0.0000	83.0839
119	200.0000	200.0000	0.0000	83.7617
120	200.0000	200.0000	0.0000	84.4390
121	200.0000	200.0000	0.0000	85.1614
122	200.0000	200.0000	0.0000	85.9699
123	200.0000	200.0000	0.0000	86.6482
124	200.0000	200.0000	0.0000	87.3246
125	200.0000	200.0000	0.0000	88.0249
126	200.0000	200.0000	0.0000	88.7222
127	200.0000	200.0000	0.0000	89.4446
128	200.0000	200.0000	0.0000	90.1344
129	200.0000	200.0000	0.0000	90.8165
130	200.0000	200.0000	0.0000	91.5191
131	200.0000	200.0000	0.0000	92.2239
132	200.0000	200.0000	0.0000	92.9763
133	200.0000	200.0000	0.0000	93.6537
134	200.0000	200.0000	0.0000	94.3372
135	200.0000	200.0000	0.0000	95.0112
136	200.0000	200.0000	0.0000	95.7007
137	200.0000	200.0000	0.0000	96.3771
138	200.0000	200.0000	0.0000	97.0604
139	200.0000	200.0000	0.0000	97.7445
140	200.0000	200.0000	0.0000	98.4218
141	200.0000	200.0000	0.0000	99.1178
142	200.0000	200.0000	0.0000	99.7992
143	200.0000	200.0000	0.0000	100.4760
144	200.0000	200.0000	0.0000	101.1565
145	200.0000	200.0000	0.0000	101.8584
146	200.0000	200.0000	0.0000	102.6742
147	200.0000	200.0000	0.0000	103.3602
148	200.0000	200.0000	0.0000	104.0411
149	200.0000	200.0000	0.0000	104.7215
150	200.0000	200.0000	0.0000	105.3987
151	200.0000	200.0000	0.0000	106.0970
152	200.0000	200.0000	0.0000	106.7798
153	200.0000	200.0000	0.0000	107.4581
154	200.0000	200.0000	0.0000	108.1412
155	200.0000	200.0000	0.0000	108.8238
156	200.0000	200.0000	0.0000	109.5235
157	200.0000	200.0000	0.0000	110.2018
158	200.0000	200.0000	0.0000	110.8809
159	200.0000	200.0000	0.0000	111.5582
160	200.0000	200.0000	0.0000	112.3049
161	200.0000	200.0000	0.0000	113.0381
162	200.0000	200.0000	0.0000	113.7168
163	200.0000	200.0000	0.0000	114.4044
164	200.0000	200.0000	0.0000	115.0846
165	200.0000	200.0000	0.0000	115.7665
166	200.0000	200.0000	0.0000	116.4780
167	200.0000	200.0000	0.0000	117.1634
168	200.0000	200.0000	0.0000	117.8463
169	200.0000	200.0000	0.0000	118.5467
170	200.0000	200.0000	0.0000	119.3104
171	200.0000	200.0000	0.0000	120.0120
172	200.0000	200.0000	0.0000	120.6849
173	200.0000	200.0000	0.0000	121.3698
174	200.0000	200.0000	0.0000	122.0481
175	200.0000	200.0000	0.0000	122.7236
176	200.0000	200.0000	0.0000	123.4174
177	200.0000	200.0000	0.0000	124.0904
178	200.0000	200.0000	0.0000	124.7697
179	200.0000	200.0000	0.0000	125.4773
180	200.0000	200.0000	0.0000	126.1597
181	200.0000	200.0000	0.0000	126.8485
182	200.0000	200.0000	0.0000	127.5203
183	200.0000	200.0000	0.0000	128.2029
184	200.0000	200.0000	0.0000	128.8791
185	200.0000	200.0000	0.0000	129.5602
186	200.0000	200.0000	0.0000	130.2567
187	200.0000	200.0000	0.0000	131.0484
188	200.0000	200.0000	0.0000	131.7804
189	200.0000	200.0000	0.0000	132.4613
190	200.0000	200.0000	0.0000	133.1501
191	200.0000	200.0000	0.0000	133.8472
192	200.0000	200.0000	0.0000	134.5248
193	200.0000	200.0000	0.0000	135.2618
194	200.0000	200.0000	0.0000	136.0335
