ID: 51903e4d-48a0-45ef-8c84-a4ebf7a33cb0	Date: 2018-05-02 02:06:44	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	192.6957	0.2906	1.0000	0.9964
1	192.6957	63.2914	0.9048	1.7140
2	192.6957	117.5140	0.7793	2.4965
3	192.6957	120.5276	0.7429	3.1853
4	194.8027	134.2577	0.7229	4.0200
5	194.8027	141.6395	0.6250	4.7412
6	196.1884	172.2882	0.6028	5.4269
7	199.8340	176.8374	0.5418	6.1002
8	199.8340	180.3247	0.4827	6.7739
9	199.8340	186.8278	0.3406	7.5190
10	199.9089	190.5353	0.3139	8.2395
11	199.9715	194.7786	0.2781	8.9374
12	199.9715	197.0189	0.1751	9.6121
13	199.9715	197.6776	0.1603	10.3114
14	199.9842	198.1019	0.1396	11.0590
15	199.9842	198.9109	0.1184	11.7860
16	199.9842	199.5070	0.0797	12.5012
17	199.9957	199.7667	0.0527	13.1845
18	199.9959	199.8864	0.0382	13.8576
19	199.9959	199.9356	0.0278	14.5481
20	199.9997	199.9765	0.0177	15.4498
21	199.9999	199.9847	0.0151	16.1464
22	199.9999	199.9885	0.0136	16.8202
23	199.9999	199.9894	0.0131	17.4975
24	200.0000	199.9956	0.0086	18.1737
25	200.0000	199.9974	0.0062	18.8465
26	200.0000	199.9986	0.0048	19.5773
27	200.0000	199.9990	0.0031	20.3576
28	200.0000	199.9997	0.0017	21.1132
29	200.0000	199.9998	0.0015	21.7867
30	200.0000	199.9999	0.0013	22.4617
31	200.0000	199.9999	0.0011	23.1462
32	200.0000	199.9999	0.0008	23.8528
33	200.0000	200.0000	0.0006	24.5492
34	200.0000	200.0000	0.0005	25.2159
35	200.0000	200.0000	0.0004	25.8832
36	200.0000	200.0000	0.0003	26.5925
37	200.0000	200.0000	0.0002	27.2655
38	200.0000	200.0000	0.0002	27.9911
39	200.0000	200.0000	0.0002	28.6584
40	200.0000	200.0000	0.0001	29.3319
41	200.0000	200.0000	0.0001	30.0148
42	200.0000	200.0000	0.0001	30.7665
43	200.0000	200.0000	0.0001	31.4677
44	200.0000	200.0000	0.0001	32.1484
45	200.0000	200.0000	0.0000	32.8245
46	200.0000	200.0000	0.0000	33.5517
47	200.0000	200.0000	0.0000	34.2469
48	200.0000	200.0000	0.0000	34.9166
49	200.0000	200.0000	0.0000	35.5890
50	200.0000	200.0000	0.0000	36.2673
51	200.0000	200.0000	0.0000	37.0691
52	200.0000	200.0000	0.0000	37.8160
53	200.0000	200.0000	0.0000	38.4839
54	200.0000	200.0000	0.0000	39.1631
55	200.0000	200.0000	0.0000	39.8412
56	200.0000	200.0000	0.0000	40.5431
57	200.0000	200.0000	0.0000	41.2445
58	200.0000	200.0000	0.0000	41.9211
59	200.0000	200.0000	0.0000	42.5880
60	200.0000	200.0000	0.0000	43.2808
61	200.0000	200.0000	0.0000	43.9703
62	200.0000	200.0000	0.0000	44.6379
63	200.0000	200.0000	0.0000	45.3086
64	200.0000	200.0000	0.0000	45.9759
65	200.0000	200.0000	0.0000	46.6480
66	200.0000	200.0000	0.0000	47.3237
67	200.0000	200.0000	0.0000	47.9996
68	200.0000	200.0000	0.0000	48.6667
69	200.0000	200.0000	0.0000	49.3774
70	200.0000	200.0000	0.0000	50.0863
71	200.0000	200.0000	0.0000	50.7734
72	200.0000	200.0000	0.0000	51.4500
73	200.0000	200.0000	0.0000	52.1212
74	200.0000	200.0000	0.0000	52.7947
75	200.0000	200.0000	0.0000	53.4694
76	200.0000	200.0000	0.0000	54.3222
77	200.0000	200.0000	0.0000	55.0034
78	200.0000	200.0000	0.0000	55.6870
79	200.0000	200.0000	0.0000	56.3681
80	200.0000	200.0000	0.0000	57.0502
81	200.0000	200.0000	0.0000	57.7583
82	200.0000	200.0000	0.0000	58.4345
83	200.0000	200.0000	0.0000	59.1106
84	200.0000	200.0000	0.0000	59.8290
85	200.0000	200.0000	0.0000	60.5085
86	200.0000	200.0000	0.0000	61.2082
87	200.0000	200.0000	0.0000	61.8823
88	200.0000	200.0000	0.0000	62.5589
89	200.0000	200.0000	0.0000	63.2422
90	200.0000	200.0000	0.0000	63.9248
91	200.0000	200.0000	0.0000	64.6172
92	200.0000	200.0000	0.0000	65.2931
93	200.0000	200.0000	0.0000	65.9771
94	200.0000	200.0000	0.0000	66.6597
95	200.0000	200.0000	0.0000	67.3461
96	200.0000	200.0000	0.0000	68.0346
97	200.0000	200.0000	0.0000	68.7125
98	200.0000	200.0000	0.0000	69.4618
99	200.0000	200.0000	0.0000	70.1537
100	200.0000	200.0000	0.0000	71.0018
101	200.0000	200.0000	0.0000	71.7006
102	200.0000	200.0000	0.0000	72.3848
103	200.0000	200.0000	0.0000	73.0669
104	200.0000	200.0000	0.0000	73.7388
105	200.0000	200.0000	0.0000	74.4412
106	200.0000	200.0000	0.0000	75.1309
107	200.0000	200.0000	0.0000	75.8336
108	200.0000	200.0000	0.0000	76.5305
109	200.0000	200.0000	0.0000	77.2121
110	200.0000	200.0000	0.0000	77.8906
111	200.0000	200.0000	0.0000	78.5859
112	200.0000	200.0000	0.0000	79.2909
113	200.0000	200.0000	0.0000	80.0483
114	200.0000	200.0000	0.0000	80.7371
115	200.0000	200.0000	0.0000	81.4219
116	200.0000	200.0000	0.0000	82.1152
117	200.0000	200.0000	0.0000	82.8001
118	200.0000	200.0000	0.0000	83.5042
119	200.0000	200.0000	0.0000	84.2104
120	200.0000	200.0000	0.0000	84.9185
121	200.0000	200.0000	0.0000	85.6071
122	200.0000	200.0000	0.0000	86.3369
123	200.0000	200.0000	0.0000	87.1403
124	200.0000	200.0000	0.0000	87.8851
125	200.0000	200.0000	0.0000	88.5644
126	200.0000	200.0000	0.0000	89.2820
127	200.0000	200.0000	0.0000	89.9892
128	200.0000	200.0000	0.0000	90.6711
129	200.0000	200.0000	0.0000	91.3744
130	200.0000	200.0000	0.0000	92.0682
131	200.0000	200.0000	0.0000	92.7558
132	200.0000	200.0000	0.0000	93.4601
133	200.0000	200.0000	0.0000	94.1451
134	200.0000	200.0000	0.0000	94.8269
135	200.0000	200.0000	0.0000	95.5114
136	200.0000	200.0000	0.0000	96.2055
137	200.0000	200.0000	0.0000	96.8823
138	200.0000	200.0000	0.0000	97.5585
139	200.0000	200.0000	0.0000	98.2366
140	200.0000	200.0000	0.0000	98.9642
141	200.0000	200.0000	0.0000	99.6668
142	200.0000	200.0000	0.0000	100.3749
143	200.0000	200.0000	0.0000	101.0563
144	200.0000	200.0000	0.0000	101.7394
145	200.0000	200.0000	0.0000	102.4194
146	200.0000	200.0000	0.0000	103.1158
147	200.0000	200.0000	0.0000	103.9035
148	200.0000	200.0000	0.0000	104.5873
149	200.0000	200.0000	0.0000	105.2668
150	200.0000	200.0000	0.0000	105.9468
151	200.0000	200.0000	0.0000	106.6458
152	200.0000	200.0000	0.0000	107.3234
153	200.0000	200.0000	0.0000	108.0356
154	200.0000	200.0000	0.0000	108.8033
155	200.0000	200.0000	0.0000	109.4923
156	200.0000	200.0000	0.0000	110.2021
157	200.0000	200.0000	0.0000	110.8849
158	200.0000	200.0000	0.0000	111.5673
159	200.0000	200.0000	0.0000	112.2432
160	200.0000	200.0000	0.0000	112.9224
161	200.0000	200.0000	0.0000	113.6122
162	200.0000	200.0000	0.0000	114.3003
163	200.0000	200.0000	0.0000	114.9814
164	200.0000	200.0000	0.0000	115.6673
165	200.0000	200.0000	0.0000	116.3509
166	200.0000	200.0000	0.0000	117.0371
167	200.0000	200.0000	0.0000	117.7106
168	200.0000	200.0000	0.0000	118.4120
169	200.0000	200.0000	0.0000	119.0889
170	200.0000	200.0000	0.0000	119.7693
171	200.0000	200.0000	0.0000	120.6441
172	200.0000	200.0000	0.0000	121.3248
173	200.0000	200.0000	0.0000	122.0093
174	200.0000	200.0000	0.0000	122.6931
175	200.0000	200.0000	0.0000	123.3709
176	200.0000	200.0000	0.0000	124.0687
177	200.0000	200.0000	0.0000	124.7690
178	200.0000	200.0000	0.0000	125.4442
179	200.0000	200.0000	0.0000	126.1203
180	200.0000	200.0000	0.0000	126.8203
181	200.0000	200.0000	0.0000	127.5346
182	200.0000	200.0000	0.0000	128.2775
183	200.0000	200.0000	0.0000	128.9575
184	200.0000	200.0000	0.0000	129.6422
185	200.0000	200.0000	0.0000	130.3289
186	200.0000	200.0000	0.0000	131.0217
187	200.0000	200.0000	0.0000	131.7058
188	200.0000	200.0000	0.0000	132.3838
189	200.0000	200.0000	0.0000	133.0681
190	200.0000	200.0000	0.0000	133.7445
191	200.0000	200.0000	0.0000	134.4357
192	200.0000	200.0000	0.0000	135.1140
193	200.0000	200.0000	0.0000	135.8020
194	200.0000	200.0000	0.0000	136.4772
195	200.0000	200.0000	0.0000	137.3453
196	200.0000	200.0000	0.0000	138.0341
197	200.0000	200.0000	0.0000	138.7129
198	200.0000	200.0000	0.0000	139.3964
199	200.0000	200.0000	0.0000	140.0731
Pos: [2.999999994860969, 2.0000000056770766]

