ID: 63b2f52e-5246-4102-8418-1370cba409cc	Date: 2018-05-02 01:47:56	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	196.6099	33.3665	1.0000	1.0281
1	196.6099	88.7341	1.0000	1.7717
2	199.6936	129.3008	0.9610	2.5918
3	199.6936	142.6574	0.9174	3.2835
4	199.6936	157.0170	0.9555	3.9976
5	199.6936	161.5381	0.8681	4.6842
6	199.6936	172.5660	0.8594	5.4281
7	199.6936	176.4504	0.8417	6.1667
8	199.6936	176.4878	0.8422	6.8717
9	199.6936	180.6137	0.8101	7.5798
10	199.6936	186.5799	0.8116	8.3444
11	199.9478	190.0341	0.7979	9.0654
12	199.9478	193.8855	0.8148	9.8028
13	199.9478	195.2895	0.8249	10.5262
14	199.9478	195.8725	0.7498	11.2822
15	199.9601	196.2690	0.7989	11.9679
16	199.9601	196.6375	0.8042	12.7046
17	199.9601	197.6611	0.8714	13.4215
18	199.9601	197.8774	0.8630	14.0848
19	199.9601	197.8795	0.8627	14.7476
20	199.9601	198.3000	0.8248	15.4378
21	199.9601	198.5264	0.6978	16.1300
22	199.9601	198.7298	0.6679	16.8087
23	199.9601	198.8748	0.6685	17.5459
24	199.9813	198.9998	0.6659	18.2266
25	199.9813	199.0477	0.6606	18.9033
26	199.9813	199.1525	0.7353	19.6006
27	199.9813	199.2095	0.7368	20.2806
28	199.9813	199.3450	0.6990	20.9668
29	199.9872	199.4338	0.6252	21.6799
30	199.9872	199.5704	0.5521	22.3627
31	199.9872	199.5704	0.5521	23.1142
32	199.9872	199.7177	0.5856	23.8171
33	199.9872	199.7299	0.5846	24.5049
34	199.9872	199.8977	0.4941	25.1977
35	199.9872	199.9100	0.5670	25.9268
36	199.9999	199.9343	0.5426	26.6433
37	199.9999	199.9371	0.5407	27.4186
38	199.9999	199.9440	0.5413	28.1432
39	199.9999	199.9635	0.3405	28.8329
40	199.9999	199.9742	0.3418	29.5665
41	199.9999	199.9770	0.3395	30.2870
42	199.9999	199.9809	0.3394	30.9918
43	199.9999	199.9841	0.3364	31.6985
44	199.9999	199.9852	0.3359	32.3954
45	199.9999	199.9866	0.3352	33.0904
46	199.9999	199.9875	0.3348	33.8092
47	199.9999	199.9899	0.3343	34.4906
48	199.9999	199.9912	0.3341	35.2383
49	199.9999	199.9913	0.3342	36.0396
50	199.9999	199.9921	0.3338	36.7479
51	199.9999	199.9925	0.3338	37.4975
52	199.9999	199.9931	0.3336	38.1768
53	199.9999	199.9934	0.3336	38.8565
54	199.9999	199.9936	0.3346	39.5765
55	199.9999	199.9942	0.4158	40.2822
56	200.0000	199.9977	0.4152	40.9873
57	200.0000	199.9979	0.4969	41.6908
58	200.0000	199.9980	0.4969	42.3708
59	200.0000	199.9980	0.4968	43.0539
60	200.0000	199.9981	0.4556	43.7443
61	200.0000	199.9983	0.4554	44.5533
62	200.0000	199.9986	0.4556	45.2576
63	200.0000	199.9993	0.4550	45.9814
64	200.0000	199.9994	0.4550	46.7041
65	200.0000	199.9994	0.4962	47.3893
66	200.0000	199.9995	0.4963	48.0845
67	200.0000	199.9996	0.4964	48.7652
68	200.0000	199.9997	0.4964	49.4707
69	200.0000	199.9997	0.4140	50.1525
70	200.0000	199.9997	0.4141	50.8289
71	200.0000	199.9997	0.4140	51.5213
72	200.0000	199.9998	0.4962	52.2017
73	200.0000	199.9998	0.4961	52.8791
74	200.0000	199.9998	0.4134	53.5913
75	200.0000	199.9998	0.3309	54.3079
76	200.0000	199.9999	0.3309	55.0060
77	200.0000	199.9999	0.3309	55.6815
78	200.0000	199.9999	0.3308	56.4065
79	200.0000	199.9999	0.2484	57.1074
80	200.0000	200.0000	0.2482	57.8334
81	200.0000	200.0000	0.1656	58.5284
82	200.0000	200.0000	0.1655	59.2127
83	200.0000	200.0000	0.1655	59.8979
84	200.0000	200.0000	0.1655	60.6666
85	200.0000	200.0000	0.1655	61.4319
86	200.0000	200.0000	0.0828	62.1321
87	200.0000	200.0000	0.0828	62.8586
88	200.0000	200.0000	0.0828	63.5471
89	200.0000	200.0000	0.0828	64.2591
90	200.0000	200.0000	0.0827	64.9502
91	200.0000	200.0000	0.0827	65.6712
92	200.0000	200.0000	0.0827	66.4239
93	200.0000	200.0000	0.0827	67.1070
94	200.0000	200.0000	0.0000	67.7898
95	200.0000	200.0000	0.0000	68.4762
96	200.0000	200.0000	0.0000	69.2194
97	200.0000	200.0000	0.0000	69.9074
98	200.0000	200.0000	0.0000	70.5872
99	200.0000	200.0000	0.0000	71.2824
100	200.0000	200.0000	0.0000	71.9647
101	200.0000	200.0000	0.0000	72.7112
102	200.0000	200.0000	0.0000	73.4322
103	200.0000	200.0000	0.0000	74.1274
104	200.0000	200.0000	0.0000	74.8336
105	200.0000	200.0000	0.0000	75.5217
106	200.0000	200.0000	0.0000	76.2138
107	200.0000	200.0000	0.0000	76.8905
108	200.0000	200.0000	0.0000	77.6951
109	200.0000	200.0000	0.0000	78.3918
110	200.0000	200.0000	0.0000	79.1073
111	200.0000	200.0000	0.0000	79.8221
112	200.0000	200.0000	0.0000	80.5209
113	200.0000	200.0000	0.0000	81.2380
114	200.0000	200.0000	0.0000	81.9340
115	200.0000	200.0000	0.0000	82.6430
116	200.0000	200.0000	0.0000	83.3538
117	200.0000	200.0000	0.0000	84.0375
118	200.0000	200.0000	0.0000	84.7235
119	200.0000	200.0000	0.0000	85.4590
120	200.0000	200.0000	0.0000	86.1819
121	200.0000	200.0000	0.0000	86.9124
122	200.0000	200.0000	0.0000	87.6153
123	200.0000	200.0000	0.0000	88.3214
124	200.0000	200.0000	0.0000	89.0279
125	200.0000	200.0000	0.0000	89.7624
126	200.0000	200.0000	0.0000	90.4779
127	200.0000	200.0000	0.0000	91.1717
