ID: 754fc64b-3fa2-48fe-9a0b-f7cb6404a2d3	Date: 2018-05-02 02:09:07	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	198.3924	83.0648	1.0000	0.9651
1	198.3924	106.6642	0.9515	1.6491
2	198.3924	138.9357	0.9301	2.5275
3	198.3924	156.2933	1.0000	3.2570
4	199.1721	164.8430	1.0000	4.2090
5	199.1721	167.3185	0.8763	4.8964
6	199.1721	170.9646	0.8622	5.5852
7	199.1721	177.6549	0.8890	6.2568
8	199.1721	183.7724	0.9200	6.9942
9	199.5232	186.8893	0.8943	7.6818
10	199.5232	190.0526	0.8473	8.3599
11	199.5232	190.0526	0.8473	9.0473
12	199.5232	191.6738	0.8433	9.7234
13	199.8973	192.4990	0.9395	10.4287
14	199.9290	192.9116	0.9811	11.1070
15	199.9290	193.8571	1.0000	11.7822
16	199.9290	195.6226	1.0000	12.4633
17	199.9290	196.6601	0.9847	13.1330
18	199.9692	197.2234	0.9972	13.8133
19	199.9692	197.5046	0.9937	14.5204
20	199.9692	197.5046	0.9937	15.1911
21	199.9692	197.6585	0.9897	15.8739
22	199.9692	197.6861	1.0000	16.5467
23	199.9692	197.8548	0.9984	17.2179
24	199.9692	197.8876	1.0000	17.8893
25	199.9692	197.9290	1.0000	18.5952
26	199.9692	197.9927	1.0000	19.2809
27	199.9692	197.9927	1.0000	19.9525
28	199.9692	198.0661	1.0000	20.8440
29	199.9692	198.2533	0.9965	21.5757
30	199.9846	198.6181	0.9596	22.2819
31	199.9846	198.6194	0.9597	22.9743
32	199.9846	198.6299	0.9600	23.6490
33	199.9846	198.7125	0.9610	24.3163
34	199.9846	198.7158	0.9598	24.9867
35	199.9846	198.7158	0.9598	25.6591
36	199.9846	198.7168	0.9600	26.3693
37	199.9846	198.7406	1.0000	27.0445
38	199.9846	198.8993	0.9982	27.7169
39	199.9846	199.2154	0.9997	28.4138
40	199.9846	199.3788	0.9985	29.0909
41	199.9846	199.3788	0.9985	29.7732
42	199.9986	199.4304	0.9987	30.4592
43	199.9986	199.4355	0.9373	31.1351
44	199.9986	199.4653	0.9370	31.8313
45	199.9986	199.4653	0.9370	32.5077
46	199.9990	199.4913	0.9318	33.1976
47	199.9990	199.5409	0.8768	33.9530
48	199.9990	199.5409	0.8768	34.6670
49	199.9990	199.5684	0.8756	35.3396
50	199.9993	199.5691	0.8759	36.0067
51	199.9998	199.5704	0.8754	36.6955
52	199.9999	199.7326	0.8798	37.5836
53	199.9999	199.7350	0.8798	38.2614
54	199.9999	199.7383	0.8734	38.9602
55	199.9999	199.7391	0.8734	39.6662
56	199.9999	199.7890	0.8650	40.3674
57	199.9999	199.7890	0.8650	41.1310
58	199.9999	199.7934	0.8654	41.8069
59	199.9999	199.8199	0.8637	42.4788
60	199.9999	199.8199	0.8637	43.1495
61	199.9999	199.8213	0.8138	43.8294
62	199.9999	199.8451	0.6865	44.4982
63	199.9999	199.8473	0.6856	45.1705
64	199.9999	199.8493	0.6852	45.8434
65	199.9999	199.9025	0.5577	46.5231
66	199.9999	199.9519	0.3896	47.2093
67	199.9999	199.9773	0.2618	47.8737
68	199.9999	199.9817	0.2604	48.5435
69	199.9999	199.9829	0.2602	49.2146
70	199.9999	199.9841	0.2603	49.8869
71	199.9999	199.9850	0.2591	50.5714
72	199.9999	199.9979	0.0039	51.2421
73	199.9999	199.9988	0.0028	51.9116
74	200.0000	199.9996	0.0016	52.5794
75	200.0000	199.9997	0.0011	53.2744
76	200.0000	199.9998	0.0009	54.1756
77	200.0000	199.9999	0.0007	54.8937
78	200.0000	199.9999	0.0006	55.5675
79	200.0000	200.0000	0.0005	56.2558
80	200.0000	200.0000	0.0004	56.9715
81	200.0000	200.0000	0.0003	57.6770
82	200.0000	200.0000	0.0003	58.3487
83	200.0000	200.0000	0.0002	59.0181
84	200.0000	200.0000	0.0002	59.6812
85	200.0000	200.0000	0.0001	60.3943
86	200.0000	200.0000	0.0001	61.0793
87	200.0000	200.0000	0.0001	61.7678
88	200.0000	200.0000	0.0001	62.4490
89	200.0000	200.0000	0.0001	63.1247
90	200.0000	200.0000	0.0000	63.7987
91	200.0000	200.0000	0.0000	64.4822
92	200.0000	200.0000	0.0000	65.1550
93	200.0000	200.0000	0.0000	65.8286
94	200.0000	200.0000	0.0000	66.5016
95	200.0000	200.0000	0.0000	67.1716
96	200.0000	200.0000	0.0000	67.8530
97	200.0000	200.0000	0.0000	68.5265
98	200.0000	200.0000	0.0000	69.1946
99	200.0000	200.0000	0.0000	69.8884
100	200.0000	200.0000	0.0000	70.7717
101	200.0000	200.0000	0.0000	71.4664
102	200.0000	200.0000	0.0000	72.1333
103	200.0000	200.0000	0.0000	72.8271
104	200.0000	200.0000	0.0000	73.4971
105	200.0000	200.0000	0.0000	74.1622
106	200.0000	200.0000	0.0000	74.8553
107	200.0000	200.0000	0.0000	75.5277
108	200.0000	200.0000	0.0000	76.2005
109	200.0000	200.0000	0.0000	76.8716
110	200.0000	200.0000	0.0000	77.5392
111	200.0000	200.0000	0.0000	78.2723
112	200.0000	200.0000	0.0000	78.9526
113	200.0000	200.0000	0.0000	79.7281
114	200.0000	200.0000	0.0000	80.3952
115	200.0000	200.0000	0.0000	81.0666
116	200.0000	200.0000	0.0000	81.7456
117	200.0000	200.0000	0.0000	82.4478
118	200.0000	200.0000	0.0000	83.1852
119	200.0000	200.0000	0.0000	84.1610
120	200.0000	200.0000	0.0000	84.8377
121	200.0000	200.0000	0.0000	85.5212
122	200.0000	200.0000	0.0000	86.1933
123	200.0000	200.0000	0.0000	86.9262
124	200.0000	200.0000	0.0000	87.7845
