ID: 7ddaa0e1-77ff-4d3b-8435-1cccc5b2665b	Date: 2018-05-02 02:00:00	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	199.5009	6.4570	1.0000	0.9346
1	199.5009	76.6529	0.9244	1.6248
2	199.5009	139.4420	0.8564	2.5063
3	199.5009	162.5415	0.8281	3.2041
4	199.8142	181.6820	0.8094	3.9284
5	199.8871	188.8065	0.6600	4.6599
6	199.8902	190.0145	0.7004	5.4343
7	199.9568	190.3675	0.7062	6.1095
8	199.9568	197.2298	0.6766	6.7868
9	199.9568	197.9714	0.5829	7.4525
10	199.9568	198.1718	0.5815	8.1518
11	199.9568	198.2111	0.6222	8.8363
12	199.9568	199.0290	0.6143	9.5010
13	199.9854	199.1664	0.6228	10.1647
14	199.9854	199.2419	0.5406	10.8285
15	199.9963	199.2471	0.5412	11.4939
16	199.9963	199.2471	0.5412	12.3346
17	199.9963	199.2505	0.5412	13.0095
18	199.9963	199.2832	0.5397	13.6747
19	199.9984	199.3225	0.5420	14.3468
20	199.9984	199.3384	0.5416	15.0149
21	199.9984	199.3952	0.5531	15.7285
22	199.9984	199.4172	0.5526	16.3949
23	199.9984	199.5214	0.6352	17.0650
24	199.9984	199.5214	0.6352	17.7279
25	199.9984	199.7176	0.6289	18.4002
26	199.9986	199.7537	0.6291	19.0804
27	199.9986	199.8424	0.6650	19.7854
28	199.9986	199.8555	0.6639	20.4535
29	199.9986	199.8743	0.6649	21.1432
30	199.9986	199.8765	0.5806	21.9300
31	199.9986	199.8859	0.5801	22.6834
32	199.9986	199.8859	0.5801	23.3657
33	199.9986	199.9007	0.5773	24.0741
34	199.9986	199.9014	0.5777	24.7405
35	199.9989	199.9204	0.5280	25.4214
36	199.9990	199.9476	0.6117	26.1104
37	199.9990	199.9493	0.6110	26.7816
38	199.9990	199.9504	0.6110	27.4503
39	199.9990	199.9596	0.5609	28.1570
40	199.9990	199.9600	0.5609	28.8324
41	199.9996	199.9617	0.6462	29.5146
42	199.9997	199.9646	0.5205	30.2043
43	199.9997	199.9730	0.5200	30.8692
44	199.9997	199.9778	0.5189	31.6951
45	199.9997	199.9778	0.5189	32.3620
46	199.9997	199.9817	0.5191	33.0572
47	199.9997	199.9837	0.6052	33.7300
48	199.9997	199.9841	0.6048	34.4028
49	199.9997	199.9852	0.6050	35.0697
50	199.9997	199.9859	0.6911	35.7449
51	199.9997	199.9863	0.8256	36.4366
52	199.9997	199.9863	0.8256	37.1044
53	199.9997	199.9874	0.8256	37.7700
54	199.9998	199.9879	0.8253	38.5907
55	199.9998	199.9879	0.8253	39.2668
56	199.9998	199.9879	0.8253	39.9837
57	199.9998	199.9880	0.8252	40.6461
58	199.9998	199.9889	0.6044	41.3506
59	199.9998	199.9937	0.6040	42.0358
60	199.9998	199.9937	0.6039	42.7008
61	199.9999	199.9938	0.6039	43.3819
62	199.9999	199.9956	0.6028	44.0519
63	199.9999	199.9957	0.6029	44.7166
64	200.0000	199.9959	0.6025	45.3873
65	200.0000	199.9972	0.5110	46.0515
66	200.0000	199.9972	0.5110	46.7277
67	200.0000	199.9972	0.5110	47.3936
68	200.0000	199.9972	0.5110	48.0647
69	200.0000	199.9973	0.5108	48.7330
70	200.0000	199.9975	0.5107	49.4034
71	200.0000	199.9975	0.5107	50.0836
72	200.0000	199.9975	0.5107	50.8683
73	200.0000	199.9975	0.5107	51.5375
74	200.0000	199.9975	0.5107	52.2103
75	200.0000	199.9978	0.3847	52.8772
