ID: 82941af5-9d54-40d5-bf5a-15d2b37c39e4	Date: 2018-05-02 01:48:34	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	188.7158	14.1123	1.0000	1.0710
1	195.0112	102.8327	0.8957	1.7550
2	195.0112	128.7522	0.8901	2.4285
3	198.5092	160.2738	0.7745	3.0944
4	198.8080	162.4415	0.7662	3.8090
5	198.8080	168.3058	0.7656	4.4692
6	198.8080	173.4659	0.7518	5.1420
7	198.9629	179.4876	0.6616	5.8100
8	199.9372	183.7971	0.5877	6.4774
9	199.9372	192.4479	0.5058	7.1402
10	199.9372	194.3370	0.4882	7.8440
11	199.9372	196.9059	0.5072	8.5685
12	199.9372	198.1540	0.4916	9.2702
13	199.9638	198.7735	0.5021	9.9354
14	199.9638	199.1114	0.5067	10.5917
15	199.9638	199.2155	0.6559	11.2498
16	199.9638	199.5113	0.5793	12.0759
17	199.9982	199.6023	0.5704	12.8293
18	199.9982	199.6581	0.4815	13.4985
19	199.9982	199.7357	0.4757	14.1635
20	199.9987	199.7604	0.3884	14.8304
21	199.9987	199.7803	0.3033	15.5289
22	199.9987	199.8419	0.2095	16.1872
23	199.9987	199.8823	0.2063	16.8502
24	199.9987	199.8866	0.2043	17.5056
25	199.9987	199.9000	0.1128	18.1944
26	199.9998	199.9367	0.1067	18.8715
27	199.9998	199.9556	0.0999	19.5739
28	199.9998	199.9597	0.0965	20.2336
29	199.9998	199.9949	0.0085	20.8900
30	199.9998	199.9965	0.0078	21.5440
31	200.0000	199.9988	0.0044	22.2113
32	200.0000	199.9993	0.0034	22.8770
33	200.0000	199.9995	0.0031	23.5612
34	200.0000	199.9997	0.0019	24.2212
35	200.0000	199.9998	0.0019	24.8835
36	200.0000	199.9998	0.0016	25.5549
37	200.0000	199.9999	0.0009	26.2110
38	200.0000	200.0000	0.0005	26.8657
39	200.0000	200.0000	0.0004	27.5247
40	200.0000	200.0000	0.0003	28.2450
41	200.0000	200.0000	0.0002	29.0978
42	200.0000	200.0000	0.0002	29.7596
43	200.0000	200.0000	0.0001	30.4236
44	200.0000	200.0000	0.0001	31.0829
45	200.0000	200.0000	0.0001	31.7678
46	200.0000	200.0000	0.0001	32.4378
47	200.0000	200.0000	0.0001	33.0980
48	200.0000	200.0000	0.0000	33.7608
49	200.0000	200.0000	0.0000	34.4229
50	200.0000	200.0000	0.0000	35.0842
51	200.0000	200.0000	0.0000	35.7630
52	200.0000	200.0000	0.0000	36.4254
53	200.0000	200.0000	0.0000	37.0822
54	200.0000	200.0000	0.0000	37.7412
55	200.0000	200.0000	0.0000	38.4021
56	200.0000	200.0000	0.0000	39.0780
57	200.0000	200.0000	0.0000	39.7606
58	200.0000	200.0000	0.0000	40.4279
59	200.0000	200.0000	0.0000	41.0974
60	200.0000	200.0000	0.0000	41.7621
61	200.0000	200.0000	0.0000	42.4364
62	200.0000	200.0000	0.0000	43.0968
63	200.0000	200.0000	0.0000	43.7610
64	200.0000	200.0000	0.0000	44.4210
65	200.0000	200.0000	0.0000	45.1548
66	200.0000	200.0000	0.0000	45.9177
67	200.0000	200.0000	0.0000	46.5832
68	200.0000	200.0000	0.0000	47.3595
69	200.0000	200.0000	0.0000	48.0177
70	200.0000	200.0000	0.0000	48.6774
71	200.0000	200.0000	0.0000	49.3469
72	200.0000	200.0000	0.0000	50.0093
73	200.0000	200.0000	0.0000	50.6694
74	200.0000	200.0000	0.0000	51.3308
75	200.0000	200.0000	0.0000	51.9910
76	200.0000	200.0000	0.0000	52.6707
77	200.0000	200.0000	0.0000	53.3266
78	200.0000	200.0000	0.0000	53.9923
79	200.0000	200.0000	0.0000	54.6501
80	200.0000	200.0000	0.0000	55.3730
81	200.0000	200.0000	0.0000	56.0553
82	200.0000	200.0000	0.0000	56.7212
83	200.0000	200.0000	0.0000	57.3854
84	200.0000	200.0000	0.0000	58.0537
85	200.0000	200.0000	0.0000	58.7187
86	200.0000	200.0000	0.0000	59.4034
87	200.0000	200.0000	0.0000	60.0700
88	200.0000	200.0000	0.0000	60.7374
89	200.0000	200.0000	0.0000	61.4021
90	200.0000	200.0000	0.0000	62.2411
91	200.0000	200.0000	0.0000	62.9244
92	200.0000	200.0000	0.0000	63.5986
93	200.0000	200.0000	0.0000	64.2645
94	200.0000	200.0000	0.0000	64.9307
95	200.0000	200.0000	0.0000	65.5994
96	200.0000	200.0000	0.0000	66.2799
97	200.0000	200.0000	0.0000	66.9458
98	200.0000	200.0000	0.0000	67.7071
