ID: 89ffc710-ca32-4065-9a15-2775a2ef8e5e	Date: 2018-05-02 02:03:03	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	198.9960	-43.8788	1.0000	0.9911
1	198.9960	76.0881	0.8914	1.6797
2	198.9960	102.0848	0.9866	2.3432
3	198.9960	133.3977	0.9734	3.1264
4	198.9960	152.8017	1.0000	3.7925
5	198.9960	154.9935	0.9365	4.4489
6	198.9960	163.7895	0.9590	5.1692
7	198.9960	172.6979	0.8675	5.8327
8	198.9960	177.3720	0.8770	6.4852
9	198.9960	180.7639	0.8053	7.1464
10	199.6860	182.0773	0.7895	7.8185
11	199.6860	184.6174	0.7659	8.6184
12	199.6860	186.1115	0.7381	9.2940
13	199.6860	188.7637	0.7994	9.9568
14	199.6860	189.0619	0.7904	10.6118
15	199.6860	189.4733	0.7894	11.2736
16	199.6860	189.8287	0.7899	12.0764
17	199.6860	190.1503	0.8192	12.8026
18	199.8669	192.4246	0.7317	13.4625
19	199.8825	195.2284	0.6810	14.1256
20	199.8825	196.6795	0.6501	14.7843
21	199.8825	197.0830	0.6303	15.4560
22	199.8825	197.5008	0.5329	16.1226
23	199.8825	198.2487	0.4490	16.8164
24	199.9914	198.4740	0.3411	17.4770
25	199.9914	198.6415	0.3328	18.1365
26	199.9939	198.8767	0.3149	18.8141
27	199.9939	199.5178	0.3015	19.4762
28	199.9939	199.6471	0.2269	20.1306
29	199.9950	199.6559	0.2257	20.8127
30	199.9975	199.6814	0.1507	21.4777
31	199.9975	199.7720	0.0433	22.1469
32	200.0000	199.9605	0.0225	22.8057
33	200.0000	199.9696	0.0198	23.4628
34	200.0000	199.9817	0.0149	24.1225
35	200.0000	199.9864	0.0135	24.7877
36	200.0000	199.9931	0.0091	25.4598
37	200.0000	199.9942	0.0078	26.1161
38	200.0000	199.9951	0.0072	26.7725
39	200.0000	199.9963	0.0067	27.4322
40	200.0000	199.9985	0.0036	28.1789
41	200.0000	199.9995	0.0027	29.0489
42	200.0000	199.9996	0.0023	29.7098
43	200.0000	199.9997	0.0020	30.3686
44	200.0000	199.9998	0.0013	31.0266
45	200.0000	200.0000	0.0006	31.7054
46	200.0000	200.0000	0.0006	32.4051
47	200.0000	200.0000	0.0006	33.0706
48	200.0000	200.0000	0.0005	33.7262
49	200.0000	200.0000	0.0004	34.3833
50	200.0000	200.0000	0.0003	35.0413
51	200.0000	200.0000	0.0003	35.7172
52	200.0000	200.0000	0.0002	36.3736
53	200.0000	200.0000	0.0001	37.0405
54	200.0000	200.0000	0.0001	37.6995
55	200.0000	200.0000	0.0001	38.3532
56	200.0000	200.0000	0.0001	39.0210
57	200.0000	200.0000	0.0001	39.6798
58	200.0000	200.0000	0.0000	40.3347
59	200.0000	200.0000	0.0000	41.0237
60	200.0000	200.0000	0.0000	41.6856
61	200.0000	200.0000	0.0000	42.3536
62	200.0000	200.0000	0.0000	43.0169
63	200.0000	200.0000	0.0000	43.6780
64	200.0000	200.0000	0.0000	44.3394
65	200.0000	200.0000	0.0000	45.1043
66	200.0000	200.0000	0.0000	45.8567
67	200.0000	200.0000	0.0000	46.5178
68	200.0000	200.0000	0.0000	47.2672
69	200.0000	200.0000	0.0000	47.9300
70	200.0000	200.0000	0.0000	48.6159
71	200.0000	200.0000	0.0000	49.4907
72	200.0000	200.0000	0.0000	50.2427
73	200.0000	200.0000	0.0000	50.9222
74	200.0000	200.0000	0.0000	51.5962
75	200.0000	200.0000	0.0000	52.2742
76	200.0000	200.0000	0.0000	52.9704
77	200.0000	200.0000	0.0000	53.6499
78	200.0000	200.0000	0.0000	54.3225
79	200.0000	200.0000	0.0000	54.9960
80	200.0000	200.0000	0.0000	55.6722
81	200.0000	200.0000	0.0000	56.3588
82	200.0000	200.0000	0.0000	57.0400
83	200.0000	200.0000	0.0000	57.7190
84	200.0000	200.0000	0.0000	58.3980
85	200.0000	200.0000	0.0000	59.0806
86	200.0000	200.0000	0.0000	59.7744
87	200.0000	200.0000	0.0000	60.4692
88	200.0000	200.0000	0.0000	61.1675
89	200.0000	200.0000	0.0000	61.8880
90	200.0000	200.0000	0.0000	62.5856
91	200.0000	200.0000	0.0000	63.2689
92	200.0000	200.0000	0.0000	63.9405
93	200.0000	200.0000	0.0000	64.6064
94	200.0000	200.0000	0.0000	65.2668
95	200.0000	200.0000	0.0000	65.9280
96	200.0000	200.0000	0.0000	66.6864
97	200.0000	200.0000	0.0000	67.3661
98	200.0000	200.0000	0.0000	68.0299
99	200.0000	200.0000	0.0000	68.7008
100	200.0000	200.0000	0.0000	69.3638
101	200.0000	200.0000	0.0000	70.0502
102	200.0000	200.0000	0.0000	70.7169
103	200.0000	200.0000	0.0000	71.3818
104	200.0000	200.0000	0.0000	72.0448
105	200.0000	200.0000	0.0000	72.7153
106	200.0000	200.0000	0.0000	73.3988
107	200.0000	200.0000	0.0000	74.0681
108	200.0000	200.0000	0.0000	74.7330
109	200.0000	200.0000	0.0000	75.3977
110	200.0000	200.0000	0.0000	76.0691
111	200.0000	200.0000	0.0000	76.7422
112	200.0000	200.0000	0.0000	77.4074
113	200.0000	200.0000	0.0000	78.0697
114	200.0000	200.0000	0.0000	78.9213
115	200.0000	200.0000	0.0000	79.5889
116	200.0000	200.0000	0.0000	80.2681
117	200.0000	200.0000	0.0000	80.9379
118	200.0000	200.0000	0.0000	81.6002
119	200.0000	200.0000	0.0000	82.2644
120	200.0000	200.0000	0.0000	82.9298
121	200.0000	200.0000	0.0000	83.6012
122	200.0000	200.0000	0.0000	84.2602
123	200.0000	200.0000	0.0000	84.9259
124	200.0000	200.0000	0.0000	85.6190
125	200.0000	200.0000	0.0000	86.2899
126	200.0000	200.0000	0.0000	86.9749
127	200.0000	200.0000	0.0000	87.6408
128	200.0000	200.0000	0.0000	88.3029
129	200.0000	200.0000	0.0000	88.9931
130	200.0000	200.0000	0.0000	89.6587
131	200.0000	200.0000	0.0000	90.3404
132	200.0000	200.0000	0.0000	91.0125
133	200.0000	200.0000	0.0000	91.6786
134	200.0000	200.0000	0.0000	92.3431
135	200.0000	200.0000	0.0000	93.0095
136	200.0000	200.0000	0.0000	93.6940
137	200.0000	200.0000	0.0000	94.3701
138	200.0000	200.0000	0.0000	95.1691
139	200.0000	200.0000	0.0000	95.9001
140	200.0000	200.0000	0.0000	96.5657
141	200.0000	200.0000	0.0000	97.2450
142	200.0000	200.0000	0.0000	97.9128
143	200.0000	200.0000	0.0000	98.5830
144	200.0000	200.0000	0.0000	99.2532
145	200.0000	200.0000	0.0000	99.9200
146	200.0000	200.0000	0.0000	100.6033
147	200.0000	200.0000	0.0000	101.2762
148	200.0000	200.0000	0.0000	101.9518
149	200.0000	200.0000	0.0000	102.6213
150	200.0000	200.0000	0.0000	103.2798
151	200.0000	200.0000	0.0000	103.9693
152	200.0000	200.0000	0.0000	104.7387
153	200.0000	200.0000	0.0000	105.4122
154	200.0000	200.0000	0.0000	106.0779
155	200.0000	200.0000	0.0000	106.7419
156	200.0000	200.0000	0.0000	107.4462
157	200.0000	200.0000	0.0000	108.1140
158	200.0000	200.0000	0.0000	108.7821
159	200.0000	200.0000	0.0000	109.4556
160	200.0000	200.0000	0.0000	110.1217
161	200.0000	200.0000	0.0000	110.7974
162	200.0000	200.0000	0.0000	111.4607
163	200.0000	200.0000	0.0000	112.3233
164	200.0000	200.0000	0.0000	113.0013
165	200.0000	200.0000	0.0000	113.6658
166	200.0000	200.0000	0.0000	114.3692
167	200.0000	200.0000	0.0000	115.0358
168	200.0000	200.0000	0.0000	115.7022
169	200.0000	200.0000	0.0000	116.3709
170	200.0000	200.0000	0.0000	117.0416
171	200.0000	200.0000	0.0000	117.7137
172	200.0000	200.0000	0.0000	118.3770
173	200.0000	200.0000	0.0000	119.0445
174	200.0000	200.0000	0.0000	119.7171
175	200.0000	200.0000	0.0000	120.3852
176	200.0000	200.0000	0.0000	121.0756
177	200.0000	200.0000	0.0000	121.7496
178	200.0000	200.0000	0.0000	122.4103
179	200.0000	200.0000	0.0000	123.0779
