ID: 8e7f82e7-0b63-4418-8f68-5d29df71fd95	Date: 2018-05-02 02:05:10	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	194.9699	71.1201	1.0000	0.9961
1	194.9699	80.0696	0.9895	1.6816
2	194.9699	100.0724	0.9756	2.4583
3	194.9699	136.4255	0.9324	3.1464
4	194.9699	148.4351	0.9085	3.8223
5	199.6725	168.4724	0.9261	4.6241
6	199.6725	169.7725	0.8980	5.3432
7	199.6725	176.3056	0.9785	6.0158
8	199.6725	179.8416	0.9704	6.6888
9	199.6725	180.9962	0.8476	7.3714
10	199.6725	181.5026	0.8518	8.0428
11	199.6725	183.4951	0.9754	8.7698
12	199.7263	183.7018	0.9667	9.4450
13	199.7263	184.0094	0.9730	10.1161
14	199.7263	187.6015	0.9578	10.7889
15	199.8773	189.2653	0.8755	11.4615
16	199.8773	189.3164	0.8813	12.1434
17	199.8773	191.0653	0.8891	12.8484
18	199.8773	191.1673	0.8922	13.5162
19	199.8773	193.2028	1.0000	14.2395
20	199.8773	193.2031	1.0000	14.9100
21	199.8783	194.2146	0.9667	15.5911
22	199.8783	194.2470	0.9681	16.2985
23	199.8783	194.2817	0.9695	16.9764
24	199.8783	194.6220	0.9492	17.6482
25	199.8783	195.0183	0.9553	18.3220
26	199.9990	195.6154	0.9535	19.0101
27	199.9990	196.1778	0.7773	19.6791
28	199.9990	196.1912	0.7761	20.3829
29	199.9990	198.6761	0.7549	21.2073
30	199.9990	198.9014	0.6882	21.8785
31	199.9990	198.9395	0.6869	22.5675
32	199.9990	198.9418	0.6868	23.2451
33	199.9990	199.0093	0.6840	23.9186
34	199.9990	199.2323	0.5127	24.6370
35	199.9990	199.7004	0.5036	25.3079
36	199.9990	199.7679	0.5013	25.9922
37	199.9990	199.8467	0.3744	26.6604
38	199.9995	199.8711	0.3736	27.3273
39	199.9996	199.9357	0.1270	28.0013
40	199.9996	199.9408	0.1267	28.7023
41	199.9996	199.9486	0.1257	29.4077
42	199.9996	199.9531	0.1247	30.0751
43	199.9996	199.9548	0.1240	30.8776
44	199.9996	199.9636	0.1223	31.7254
45	199.9996	199.9675	0.1203	32.4149
46	199.9996	199.9686	0.1197	33.1616
47	199.9998	199.9700	0.1190	33.8383
48	199.9998	199.9712	0.1181	34.5109
49	199.9998	199.9977	0.0036	35.1806
50	199.9998	199.9984	0.0029	35.8586
51	200.0000	199.9990	0.0022	36.5508
52	200.0000	199.9993	0.0016	37.2245
53	200.0000	199.9995	0.0014	38.0025
54	200.0000	199.9996	0.0013	38.6703
55	200.0000	199.9997	0.0011	39.3610
56	200.0000	199.9999	0.0008	40.0538
57	200.0000	199.9999	0.0007	40.7603
58	200.0000	199.9999	0.0006	41.4488
59	200.0000	200.0000	0.0004	42.1352
60	200.0000	200.0000	0.0003	42.7990
61	200.0000	200.0000	0.0002	43.5045
62	200.0000	200.0000	0.0002	44.1868
63	200.0000	200.0000	0.0001	44.8709
64	200.0000	200.0000	0.0001	45.5387
65	200.0000	200.0000	0.0001	46.2134
