ID: 91d55ef7-4830-4cf6-a54a-18701d45cb7d	Date: 2018-05-02 02:00:17	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	197.1006	64.4396	1.0000	1.0209
1	197.1006	116.9621	0.9626	1.6971
2	197.1006	128.6069	0.9081	2.4817
3	197.1006	142.7755	0.8360	3.1393
4	197.1006	177.4311	0.6185	3.8016
5	197.1006	180.9162	0.5911	4.4651
6	198.6675	183.9788	0.6310	5.1768
7	198.6675	184.9928	0.6856	5.8348
8	199.2066	190.2421	0.6625	6.4907
9	199.5920	192.9142	0.6291	7.1549
10	199.5920	193.7553	0.6361	7.8180
11	199.5920	194.0446	0.6561	8.4908
12	199.5920	195.2299	0.6324	9.1913
13	199.5920	195.4496	0.6487	9.8474
14	199.9879	196.0355	0.6474	10.5064
15	199.9879	196.8373	0.5932	11.3592
16	199.9879	196.9537	0.5864	12.0955
17	199.9879	197.0481	0.5875	12.8000
18	199.9879	197.3397	0.5996	13.4645
19	199.9879	197.5616	0.6032	14.1234
20	199.9879	197.7991	0.6043	14.7848
21	199.9879	198.1655	0.4660	15.4550
22	199.9879	198.3239	0.4604	16.1946
23	199.9879	198.5081	0.6025	17.1936
24	199.9879	198.7965	0.5921	17.8783
25	199.9946	199.1206	0.6858	18.5683
26	199.9946	199.1377	0.5767	19.2714
27	199.9946	199.2631	0.4674	19.9413
28	199.9946	199.3430	0.4668	20.6351
29	199.9946	199.4515	0.4592	21.3640
30	199.9946	199.4535	0.4592	22.0451
31	199.9946	199.4877	0.4564	22.7435
32	199.9946	199.6605	0.3215	23.4277
33	199.9946	199.6792	0.4257	24.1077
34	199.9956	199.7595	0.4215	24.8239
35	199.9956	199.7764	0.4203	25.5051
36	199.9956	199.8222	0.4175	26.1843
37	199.9956	199.8383	0.5246	26.8490
38	199.9981	199.8389	0.6343	27.5116
39	199.9981	199.8512	0.6342	28.3201
40	199.9981	199.8574	0.6296	29.0129
41	199.9981	199.9672	0.5154	29.6917
42	199.9981	199.9682	0.4597	30.4804
43	199.9981	199.9740	0.3478	31.1441
44	199.9984	199.9779	0.3463	31.8081
45	199.9987	199.9824	0.3451	32.4728
46	199.9991	199.9829	0.3448	33.1717
47	199.9991	199.9867	0.3450	33.8371
48	199.9991	199.9909	0.3445	34.4992
49	200.0000	199.9934	0.3991	35.1632
50	200.0000	199.9948	0.3431	35.8276
51	200.0000	199.9950	0.3987	36.5062
52	200.0000	199.9950	0.3987	37.1692
53	200.0000	199.9956	0.3983	37.8270
54	200.0000	199.9966	0.3983	38.4803
55	200.0000	199.9968	0.3982	39.1371
56	200.0000	199.9969	0.3981	39.8083
57	200.0000	199.9980	0.3978	40.4675
58	200.0000	199.9986	0.3974	41.1325
59	200.0000	199.9990	0.3973	41.7969
60	200.0000	199.9992	0.3972	42.4626
61	200.0000	199.9995	0.3970	43.1387
62	200.0000	199.9995	0.3970	43.7968
63	200.0000	199.9996	0.3969	44.5330
64	200.0000	199.9996	0.3968	45.2662
65	200.0000	199.9998	0.2838	45.9301
66	200.0000	199.9999	0.2835	46.6058
67	200.0000	200.0000	0.2267	47.2605
68	200.0000	200.0000	0.1135	47.9248
69	200.0000	200.0000	0.1135	48.5861
70	200.0000	200.0000	0.1134	49.3343
71	200.0000	200.0000	0.0002	50.0119
72	200.0000	200.0000	0.0001	50.6806
73	200.0000	200.0000	0.0001	51.3415
74	200.0000	200.0000	0.0001	52.0022
75	200.0000	200.0000	0.0001	52.6574
76	200.0000	200.0000	0.0000	53.3299
77	200.0000	200.0000	0.0000	53.9935
78	200.0000	200.0000	0.0000	54.6548
79	200.0000	200.0000	0.0000	55.3081
80	200.0000	200.0000	0.0000	55.9719
81	200.0000	200.0000	0.0000	56.6413
82	200.0000	200.0000	0.0000	57.2975
83	200.0000	200.0000	0.0000	57.9588
84	200.0000	200.0000	0.0000	58.6278
85	200.0000	200.0000	0.0000	59.2933
86	200.0000	200.0000	0.0000	59.9627
87	200.0000	200.0000	0.0000	60.6225
88	200.0000	200.0000	0.0000	61.3694
89	200.0000	200.0000	0.0000	62.0294
90	200.0000	200.0000	0.0000	62.6836
91	200.0000	200.0000	0.0000	63.3581
92	200.0000	200.0000	0.0000	64.0206
93	200.0000	200.0000	0.0000	64.6815
94	200.0000	200.0000	0.0000	65.3512
95	200.0000	200.0000	0.0000	66.0152
96	200.0000	200.0000	0.0000	66.6904
97	200.0000	200.0000	0.0000	67.3544
98	200.0000	200.0000	0.0000	68.0237
99	200.0000	200.0000	0.0000	68.7125
100	200.0000	200.0000	0.0000	69.3715
101	200.0000	200.0000	0.0000	70.0583
102	200.0000	200.0000	0.0000	70.7276
103	200.0000	200.0000	0.0000	71.4009
104	200.0000	200.0000	0.0000	72.0689
105	200.0000	200.0000	0.0000	72.7367
106	200.0000	200.0000	0.0000	73.4177
107	200.0000	200.0000	0.0000	74.0843
108	200.0000	200.0000	0.0000	74.7511
109	200.0000	200.0000	0.0000	75.4240
110	200.0000	200.0000	0.0000	76.0930
111	200.0000	200.0000	0.0000	76.7775
112	200.0000	200.0000	0.0000	77.4484
113	200.0000	200.0000	0.0000	78.2635
114	200.0000	200.0000	0.0000	78.9297
115	200.0000	200.0000	0.0000	79.5991
116	200.0000	200.0000	0.0000	80.2999
117	200.0000	200.0000	0.0000	80.9712
118	200.0000	200.0000	0.0000	81.6338
119	200.0000	200.0000	0.0000	82.2961
120	200.0000	200.0000	0.0000	82.9895
121	200.0000	200.0000	0.0000	83.6737
122	200.0000	200.0000	0.0000	84.3413
123	200.0000	200.0000	0.0000	85.0110
124	200.0000	200.0000	0.0000	85.6869
125	200.0000	200.0000	0.0000	86.3590
126	200.0000	200.0000	0.0000	87.0404
127	200.0000	200.0000	0.0000	87.7767
128	200.0000	200.0000	0.0000	88.4464
129	200.0000	200.0000	0.0000	89.1187
130	200.0000	200.0000	0.0000	89.7820
131	200.0000	200.0000	0.0000	90.4663
132	200.0000	200.0000	0.0000	91.1329
133	200.0000	200.0000	0.0000	91.7995
134	200.0000	200.0000	0.0000	92.4699
135	200.0000	200.0000	0.0000	93.1430
136	200.0000	200.0000	0.0000	93.8332
137	200.0000	200.0000	0.0000	94.6019
138	200.0000	200.0000	0.0000	95.3341
139	200.0000	200.0000	0.0000	95.9964
140	200.0000	200.0000	0.0000	96.6682
141	200.0000	200.0000	0.0000	97.3752
142	200.0000	200.0000	0.0000	98.0482
143	200.0000	200.0000	0.0000	98.7155
144	200.0000	200.0000	0.0000	99.3917
145	200.0000	200.0000	0.0000	100.0576
146	200.0000	200.0000	0.0000	100.7402
147	200.0000	200.0000	0.0000	101.5060
148	200.0000	200.0000	0.0000	102.1819
149	200.0000	200.0000	0.0000	102.8514
150	200.0000	200.0000	0.0000	103.5230
151	200.0000	200.0000	0.0000	104.2063
152	200.0000	200.0000	0.0000	104.8756
153	200.0000	200.0000	0.0000	105.5520
154	200.0000	200.0000	0.0000	106.2269
155	200.0000	200.0000	0.0000	106.9634
156	200.0000	200.0000	0.0000	107.6672
157	200.0000	200.0000	0.0000	108.3350
158	200.0000	200.0000	0.0000	109.0121
159	200.0000	200.0000	0.0000	109.6790
160	200.0000	200.0000	0.0000	110.3363
161	200.0000	200.0000	0.0000	111.0566
162	200.0000	200.0000	0.0000	111.8782
163	200.0000	200.0000	0.0000	112.5488
164	200.0000	200.0000	0.0000	113.2121
165	200.0000	200.0000	0.0000	113.8816
166	200.0000	200.0000	0.0000	114.5637
167	200.0000	200.0000	0.0000	115.2318
168	200.0000	200.0000	0.0000	115.9048
169	200.0000	200.0000	0.0000	116.5769
170	200.0000	200.0000	0.0000	117.2516
171	200.0000	200.0000	0.0000	117.9359
172	200.0000	200.0000	0.0000	118.6032
173	200.0000	200.0000	0.0000	119.2722
174	200.0000	200.0000	0.0000	119.9410
175	200.0000	200.0000	0.0000	120.6079
176	200.0000	200.0000	0.0000	121.2940
177	200.0000	200.0000	0.0000	121.9618
178	200.0000	200.0000	0.0000	122.6277
179	200.0000	200.0000	0.0000	123.3017
180	200.0000	200.0000	0.0000	123.9765
181	200.0000	200.0000	0.0000	124.6653
182	200.0000	200.0000	0.0000	125.3371
183	200.0000	200.0000	0.0000	126.0068
184	200.0000	200.0000	0.0000	126.7579
185	200.0000	200.0000	0.0000	127.4254
186	200.0000	200.0000	0.0000	128.2957
187	200.0000	200.0000	0.0000	128.9632
188	200.0000	200.0000	0.0000	129.6339
189	200.0000	200.0000	0.0000	130.3051
190	200.0000	200.0000	0.0000	130.9745
191	200.0000	200.0000	0.0000	131.6500
192	200.0000	200.0000	0.0000	132.3149
193	200.0000	200.0000	0.0000	132.9901
194	200.0000	200.0000	0.0000	133.6613
195	200.0000	200.0000	0.0000	134.3296
196	200.0000	200.0000	0.0000	135.0114
197	200.0000	200.0000	0.0000	135.6735
198	200.0000	200.0000	0.0000	136.3382
199	200.0000	200.0000	0.0000	137.0077
Pos: [-2.8051180848386537, 3.1313125250768095]

