ID: 97c29823-2590-40c5-bdd5-48e4c7239d61	Date: 2018-05-02 02:07:00	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	199.9284	-36.2054	1.0000	0.9954
1	199.9284	55.2048	1.0000	1.6844
2	199.9284	82.7846	0.9405	2.4064
3	199.9284	123.3936	0.9106	3.2098
4	199.9284	147.2886	0.8769	3.8898
5	199.9856	151.8311	0.9104	4.5915
6	199.9856	153.1104	0.8451	5.3015
7	199.9856	169.8271	0.7796	6.0008
8	199.9856	172.2503	0.7898	6.7496
9	199.9856	174.0563	0.8247	7.4410
10	199.9856	177.9867	0.8723	8.1210
11	199.9856	179.0704	0.8680	8.8296
12	199.9856	182.3303	0.8018	9.5115
13	199.9856	184.5984	0.8783	10.2158
14	199.9856	187.6239	0.8813	10.9055
15	199.9856	192.1513	0.9219	11.5802
16	199.9856	192.2769	0.9213	12.2862
17	199.9856	193.4350	0.9159	12.9874
18	199.9856	193.8918	0.9005	13.6633
19	199.9856	194.5580	0.9159	14.3654
20	199.9856	194.7110	0.9047	15.0399
21	199.9856	195.0664	0.8873	15.7270
22	199.9856	195.1515	0.9030	16.4602
23	199.9856	195.5308	0.9058	17.2381
24	199.9856	195.7105	0.8421	17.9095
25	199.9856	195.7213	0.7824	18.6961
26	199.9856	195.7253	0.7809	19.3923
27	199.9856	196.4574	0.7989	20.0684
28	199.9856	196.4582	0.7973	20.7412
29	199.9856	197.2467	0.6955	21.4388
30	199.9856	197.8320	0.8448	22.1119
31	199.9856	198.1002	0.8252	22.8503
32	199.9856	198.2445	0.8263	23.5493
33	199.9856	198.3465	0.8261	24.2200
34	199.9856	198.5901	0.8227	24.8909
35	199.9856	198.5901	0.8227	25.5611
36	199.9856	198.7841	0.8040	26.2554
37	199.9856	198.9125	0.7324	26.9418
38	199.9856	198.9136	0.8448	27.6313
39	199.9856	198.9136	0.8448	28.3413
40	199.9856	199.0867	0.8435	29.0196
41	199.9856	199.1453	0.8421	29.7058
42	199.9856	199.2187	0.8305	30.3841
43	199.9856	199.2484	0.8310	31.0621
44	199.9915	199.4556	0.8276	31.7330
45	199.9915	199.6252	0.7236	32.4085
46	199.9915	199.6642	0.8320	33.1767
47	199.9951	199.7064	0.8306	33.9360
48	199.9998	199.7902	0.8298	34.6181
49	199.9998	199.8782	0.7122	35.3143
50	199.9998	199.8801	0.7125	36.0165
51	199.9998	199.8858	0.7125	36.7069
52	199.9998	199.9300	0.6415	37.3795
53	199.9998	199.9305	0.6411	38.1792
54	199.9998	199.9305	0.6411	38.8525
55	199.9998	199.9311	0.7556	39.5277
56	199.9998	199.9311	0.7556	40.2310
57	199.9998	199.9318	0.7559	40.9033
58	199.9998	199.9318	0.7559	41.5728
59	199.9998	199.9329	0.7556	42.2983
60	199.9998	199.9467	0.8686	43.2043
61	199.9998	199.9493	0.7532	43.9625
62	199.9998	199.9493	0.7531	44.6560
63	199.9998	199.9527	0.7531	45.3658
64	199.9998	199.9743	0.5811	46.0579
65	199.9998	199.9837	0.5817	46.7529
66	199.9998	199.9896	0.5820	47.5006
67	199.9998	199.9898	0.5820	48.1775
68	199.9998	199.9902	0.5819	48.8482
69	199.9998	199.9917	0.5816	49.5229
70	199.9998	199.9924	0.5815	50.3953
71	199.9998	199.9936	0.5813	51.0824
72	199.9998	199.9942	0.5812	51.7573
73	199.9998	199.9942	0.5812	52.4342
74	199.9998	199.9958	0.5804	53.1135
