ID: 47725834-55b6-4d99-83f0-50135976f78b	Date: 2018-05-16 11:14:32	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	-2.0460	-16.8434	1.0000	237.2825
1	-2.0173	-15.7340	0.9938	480.3414
2	-2.0035	-14.1003	0.9970	721.0841
3	-2.0035	-12.8741	0.9940	964.4332
4	-2.0035	-10.2532	0.9984	1204.1101
5	-2.0035	-11.0444	0.9927	1471.6311
6	-2.0035	-10.0039	0.9892	1715.2116
7	-2.0035	-9.7233	0.9862	1949.1324
8	-2.0035	-10.4064	0.9770	2206.5763
9	-2.0035	-8.9649	0.9719	2432.9581
10	-2.0035	-7.6116	0.9716	2671.5946
11	-2.0035	-7.4396	0.9700	2964.0303
12	-2.0035	-7.5583	0.9711	3210.0990
13	-2.0035	-6.9271	0.9693	3443.2147
14	-2.0035	-6.1607	0.9646	3674.3555
15	-2.0035	-5.8338	0.9605	3898.6769
16	-2.0035	-4.9273	0.9604	4135.1385
17	-2.0033	-5.3071	0.9617	4387.7485
18	-2.0033	-5.4064	0.9582	4623.8396
19	-2.0033	-4.3705	0.9575	4855.3813
20	-2.0033	-4.5453	0.9552	5089.3037
21	-2.0033	-4.3286	0.9528	5322.8326
22	-2.0033	-4.0745	0.9528	5568.2347
23	-2.0033	-3.9476	0.9539	5814.6791
24	-2.0017	-3.6044	0.9529	6044.7471
25	-2.0013	-3.8272	0.9506	6290.4646
26	-2.0013	-3.5333	0.9502	6558.2786
27	-2.0013	-3.0822	0.9493	6799.2852
28	-2.0013	-3.6504	0.9481	7051.1124
29	-2.0013	-3.5630	0.9472	7313.3016
30	-2.0013	-2.9079	0.9457	7560.6525
31	-2.0013	-3.1703	0.9447	7807.5459
32	-2.0001	-2.8877	0.9446	8049.4790
33	-2.0001	-2.9618	0.9446	8272.4099
34	-2.0001	-2.6654	0.9445	8498.4405
35	-2.0001	-2.8363	0.9441	8736.6724
36	-2.0001	-2.5641	0.9438	9003.9368
37	-2.0001	-2.9690	0.9441	9260.5267
38	-2.0001	-2.9492	0.9428	9493.1498
39	-2.0001	-2.8275	0.9420	9718.5409
40	-2.0001	-2.7843	0.9421	9942.2238
41	-2.0001	-2.6468	0.9421	10197.2208
42	-2.0001	-2.6360	0.9429	10434.6759
43	-2.0001	-2.3972	0.9425	10683.3777
44	-2.0001	-2.5644	0.9422	10917.4972
45	-2.0001	-2.3208	0.9415	11169.6935
46	-2.0001	-2.5592	0.9426	11428.5886
47	-2.0001	-2.6006	0.9429	11656.8003
48	-2.0001	-2.4895	0.9424	11898.6576
49	-2.0001	-2.3813	0.9433	12160.7387
50	-2.0001	-2.2806	0.9429	12397.8186
51	-2.0001	-2.3380	0.9419	12664.5615
52	-2.0001	-2.2615	0.9422	12924.6039
53	-2.0000	-2.3873	0.9422	13176.8422
54	-2.0000	-2.2862	0.9419	13407.0637
55	-2.0000	-2.2240	0.9421	13644.9242
56	-2.0000	-2.1288	0.9417	13873.0218
57	-2.0000	-2.2356	0.9418	14115.6287
58	-2.0000	-2.1390	0.9415	14371.3372
59	-2.0000	-2.1708	0.9413	14611.5682
60	-2.0000	-2.1952	0.9413	14851.8770
61	-2.0000	-2.2533	0.9416	15102.0002
62	-2.0000	-2.1738	0.9415	15327.0676
63	-2.0000	-2.2396	0.9412	15576.1230
64	-2.0000	-2.1446	0.9409	15837.9316
65	-2.0000	-2.0929	0.9404	16064.6479
66	-2.0000	-2.1737	0.9401	16308.6898
67	-2.0000	-2.1532	0.9402	16571.1987
68	-2.0000	-2.0894	0.9400	16802.7821
69	-2.0000	-2.0955	0.9399	17036.4590
70	-2.0000	-2.0521	0.9399	17261.3959
71	-2.0000	-2.1436	0.9398	17495.6770
72	-2.0000	-2.0983	0.9395	17743.9852
73	-2.0000	-2.1042	0.9396	17976.8336
74	-2.0000	-2.0764	0.9397	18237.2215
75	-2.0000	-2.1047	0.9397	18471.3666
76	-2.0000	-2.1302	0.9397	18704.0305
77	-2.0000	-2.1013	0.9396	18939.8613
78	-2.0000	-2.0903	0.9396	19181.8051
79	-2.0000	-2.0588	0.9397	19415.4203
