ID: a36e5fdd-e873-46e2-be7f-62741de7cbe6	Date: 2018-05-02 02:06:38	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	197.7352	13.1510	1.0000	0.9477
1	197.7352	103.3982	0.9319	1.7886
2	197.7352	113.3139	0.9678	2.5854
3	197.7352	149.3861	0.7964	3.4370
4	198.5040	163.3003	0.7725	4.1149
5	198.5040	172.2088	0.7531	4.7891
6	199.9096	176.8501	0.7627	5.5804
7	199.9096	180.2026	0.7149	6.5928
8	199.9229	184.7431	0.5991	7.5269
9	199.9229	188.0756	0.6050	8.4803
10	199.9229	188.9907	0.5974	9.4087
11	199.9229	190.6493	0.6078	10.1769
12	199.9229	191.7462	0.6075	10.8476
13	199.9229	192.3665	0.6027	11.5118
14	199.9229	192.4973	0.5959	12.1768
15	199.9229	193.6201	0.7201	12.8407
16	199.9229	194.4072	0.6844	13.5660
17	199.9229	195.4523	0.6442	14.2405
18	199.9229	196.7345	0.6276	14.9131
19	199.9591	196.9878	0.6263	15.5804
20	199.9591	197.1950	0.6253	16.3484
21	199.9591	197.2452	0.6210	17.0379
22	199.9591	197.6200	0.6200	17.7438
23	199.9591	197.6470	0.6179	18.4112
24	199.9839	197.8484	0.6094	19.1851
25	199.9921	198.0483	0.6058	19.9785
26	199.9921	198.7135	0.4862	20.6699
27	199.9991	198.7946	0.5946	21.3807
28	199.9991	198.8012	0.5940	22.0435
29	199.9991	198.8970	0.4770	22.7365
30	199.9991	198.9103	0.4766	23.4120
31	199.9991	199.8826	0.4118	24.0901
32	199.9998	199.8929	0.5772	24.7586
33	199.9998	199.9287	0.5749	25.4750
34	199.9998	199.9755	0.4631	26.1679
35	199.9998	199.9793	0.4627	26.8390
36	199.9998	199.9822	0.4624	27.5214
37	199.9999	199.9846	0.4595	28.1873
38	199.9999	199.9861	0.4589	28.8541
39	199.9999	199.9892	0.4586	29.5608
40	199.9999	199.9905	0.4589	30.2291
41	199.9999	199.9926	0.4591	30.9052
42	199.9999	199.9928	0.5725	31.5719
43	199.9999	199.9937	0.5164	32.2409
44	200.0000	199.9972	0.4009	32.9151
45	200.0000	199.9981	0.4005	33.6025
46	200.0000	199.9986	0.5132	34.3101
47	200.0000	199.9988	0.3996	34.9782
48	200.0000	199.9996	0.3989	35.8407
49	200.0000	199.9997	0.3985	36.6251
50	200.0000	199.9997	0.3985	37.3247
51	200.0000	199.9998	0.3986	38.0147
52	200.0000	199.9999	0.3986	38.6846
53	200.0000	199.9999	0.2278	39.3746
54	200.0000	199.9999	0.2278	40.0429
55	200.0000	199.9999	0.2278	40.7093
56	200.0000	200.0000	0.2277	41.3935
57	200.0000	200.0000	0.2276	42.0847
58	200.0000	200.0000	0.2276	42.7520
59	200.0000	200.0000	0.2276	43.4146
60	200.0000	200.0000	0.1138	44.0824
61	200.0000	200.0000	0.0001	44.7648
62	200.0000	200.0000	0.0001	45.4612
63	200.0000	200.0000	0.0001	46.1304
64	200.0000	200.0000	0.0000	46.7961
65	200.0000	200.0000	0.0000	47.4606
66	200.0000	200.0000	0.0000	48.1386
67	200.0000	200.0000	0.0000	48.8024
68	200.0000	200.0000	0.0000	49.4690
69	200.0000	200.0000	0.0000	50.1418
70	200.0000	200.0000	0.0000	50.8080
71	200.0000	200.0000	0.0000	51.4827
72	200.0000	200.0000	0.0000	52.1505
73	200.0000	200.0000	0.0000	53.0498
74	200.0000	200.0000	0.0000	53.7264
75	200.0000	200.0000	0.0000	54.4958
76	200.0000	200.0000	0.0000	55.1889
77	200.0000	200.0000	0.0000	55.8643
78	200.0000	200.0000	0.0000	56.5598
79	200.0000	200.0000	0.0000	57.2271
80	200.0000	200.0000	0.0000	57.8945
81	200.0000	200.0000	0.0000	58.5980
82	200.0000	200.0000	0.0000	59.2661
83	200.0000	200.0000	0.0000	59.9291
84	200.0000	200.0000	0.0000	60.5993
85	200.0000	200.0000	0.0000	61.2750
86	200.0000	200.0000	0.0000	61.9576
87	200.0000	200.0000	0.0000	62.6237
88	200.0000	200.0000	0.0000	63.2918
89	200.0000	200.0000	0.0000	63.9760
90	200.0000	200.0000	0.0000	64.6491
91	200.0000	200.0000	0.0000	65.3329
92	200.0000	200.0000	0.0000	66.0014
93	200.0000	200.0000	0.0000	66.6668
94	200.0000	200.0000	0.0000	67.3296
95	200.0000	200.0000	0.0000	68.0034
96	200.0000	200.0000	0.0000	68.6860
97	200.0000	200.0000	0.0000	69.6445
98	200.0000	200.0000	0.0000	70.3335
99	200.0000	200.0000	0.0000	71.0118
100	200.0000	200.0000	0.0000	71.6879
101	200.0000	200.0000	0.0000	72.3825
102	200.0000	200.0000	0.0000	73.2191
103	200.0000	200.0000	0.0000	74.1298
104	200.0000	200.0000	0.0000	74.8148
105	200.0000	200.0000	0.0000	75.5169
106	200.0000	200.0000	0.0000	76.2098
107	200.0000	200.0000	0.0000	76.8857
108	200.0000	200.0000	0.0000	77.5654
109	200.0000	200.0000	0.0000	78.2437
110	200.0000	200.0000	0.0000	78.9406
111	200.0000	200.0000	0.0000	79.6509
112	200.0000	200.0000	0.0000	80.3216
113	200.0000	200.0000	0.0000	80.9946
114	200.0000	200.0000	0.0000	81.6720
115	200.0000	200.0000	0.0000	82.3462
116	200.0000	200.0000	0.0000	83.0405
117	200.0000	200.0000	0.0000	83.7646
118	200.0000	200.0000	0.0000	84.4390
119	200.0000	200.0000	0.0000	85.1140
120	200.0000	200.0000	0.0000	85.9418
121	200.0000	200.0000	0.0000	86.7312
122	200.0000	200.0000	0.0000	87.4088
123	200.0000	200.0000	0.0000	88.0842
124	200.0000	200.0000	0.0000	88.7566
125	200.0000	200.0000	0.0000	89.4592
126	200.0000	200.0000	0.0000	90.1613
127	200.0000	200.0000	0.0000	90.8403
128	200.0000	200.0000	0.0000	91.5337
129	200.0000	200.0000	0.0000	92.2129
130	200.0000	200.0000	0.0000	92.9556
131	200.0000	200.0000	0.0000	93.6852
132	200.0000	200.0000	0.0000	94.3589
133	200.0000	200.0000	0.0000	95.0408
134	200.0000	200.0000	0.0000	95.7170
135	200.0000	200.0000	0.0000	96.3910
136	200.0000	200.0000	0.0000	97.0757
137	200.0000	200.0000	0.0000	97.7578
138	200.0000	200.0000	0.0000	98.4361
139	200.0000	200.0000	0.0000	99.1120
140	200.0000	200.0000	0.0000	99.7910
141	200.0000	200.0000	0.0000	100.4763
142	200.0000	200.0000	0.0000	101.1493
143	200.0000	200.0000	0.0000	101.8243
144	200.0000	200.0000	0.0000	102.7451
145	200.0000	200.0000	0.0000	103.4575
146	200.0000	200.0000	0.0000	104.1505
147	200.0000	200.0000	0.0000	104.8272
148	200.0000	200.0000	0.0000	105.5059
149	200.0000	200.0000	0.0000	106.2031
150	200.0000	200.0000	0.0000	106.8788
151	200.0000	200.0000	0.0000	107.5807
152	200.0000	200.0000	0.0000	108.2814
153	200.0000	200.0000	0.0000	108.9637
154	200.0000	200.0000	0.0000	109.6394
155	200.0000	200.0000	0.0000	110.3160
156	200.0000	200.0000	0.0000	111.0046
157	200.0000	200.0000	0.0000	111.6822
158	200.0000	200.0000	0.0000	112.4601
159	200.0000	200.0000	0.0000	113.1411
160	200.0000	200.0000	0.0000	113.8244
161	200.0000	200.0000	0.0000	114.5163
162	200.0000	200.0000	0.0000	115.1924
163	200.0000	200.0000	0.0000	115.8669
164	200.0000	200.0000	0.0000	116.5397
165	200.0000	200.0000	0.0000	117.2154
166	200.0000	200.0000	0.0000	117.9082
167	200.0000	200.0000	0.0000	118.5787
168	200.0000	200.0000	0.0000	119.4720
169	200.0000	200.0000	0.0000	120.1646
170	200.0000	200.0000	0.0000	120.8422
171	200.0000	200.0000	0.0000	121.5386
172	200.0000	200.0000	0.0000	122.2417
173	200.0000	200.0000	0.0000	122.9365
174	200.0000	200.0000	0.0000	123.6138
175	200.0000	200.0000	0.0000	124.2952
176	200.0000	200.0000	0.0000	125.0114
177	200.0000	200.0000	0.0000	125.6952
178	200.0000	200.0000	0.0000	126.3709
179	200.0000	200.0000	0.0000	127.0506
180	200.0000	200.0000	0.0000	127.7320
181	200.0000	200.0000	0.0000	128.4182
182	200.0000	200.0000	0.0000	129.0896
183	200.0000	200.0000	0.0000	129.7672
184	200.0000	200.0000	0.0000	130.4424
185	200.0000	200.0000	0.0000	131.1188
186	200.0000	200.0000	0.0000	131.9060
187	200.0000	200.0000	0.0000	132.5889
188	200.0000	200.0000	0.0000	133.2648
189	200.0000	200.0000	0.0000	133.9478
190	200.0000	200.0000	0.0000	134.6266
191	200.0000	200.0000	0.0000	135.3166
192	200.0000	200.0000	0.0000	136.1961
193	200.0000	200.0000	0.0000	136.8845
194	200.0000	200.0000	0.0000	137.5639
195	200.0000	200.0000	0.0000	138.2411
196	200.0000	200.0000	0.0000	138.9349
197	200.0000	200.0000	0.0000	139.6365
198	200.0000	200.0000	0.0000	140.3136
199	200.0000	200.0000	0.0000	141.0105
Pos: [-2.8051180793973454, 3.131312525434736]

