ID: ab866718-2865-4c41-ab1c-d6c36a808eed	Date: 2018-05-02 02:01:51	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	180.1394	62.3151	1.0000	0.9332
1	198.0032	109.1363	1.0000	1.6539
2	198.0032	122.6973	1.0000	2.3227
3	198.1121	156.7184	0.9932	3.0003
4	198.1121	164.0559	0.8989	3.7904
5	198.1121	171.7943	0.8779	4.4639
6	198.1121	176.8219	0.8988	5.1408
7	198.1121	180.2460	0.8547	5.8031
8	198.1635	184.4856	0.8089	6.4676
9	198.1635	186.7278	0.8283	7.1344
10	198.1635	188.4099	0.8086	7.8378
11	199.5691	190.9343	0.8899	8.5161
12	199.5691	192.6955	0.8372	9.2108
13	199.5691	194.0225	0.7326	9.8939
14	199.5691	195.8007	0.7225	10.5608
15	199.5691	196.7715	0.7684	11.2281
16	199.5691	197.2906	0.7606	11.9529
17	199.9252	198.0205	0.7454	12.6252
18	199.9252	198.0538	0.7455	13.2875
19	199.9252	198.2733	0.7437	13.9539
20	199.9252	198.5517	0.7260	14.6201
21	199.9858	198.5931	0.7263	15.2962
22	199.9858	198.9583	0.6065	15.9981
23	199.9907	199.0563	0.6040	16.6605
24	199.9907	199.1136	0.5975	17.3247
25	199.9996	199.2028	0.5925	17.9896
26	199.9996	199.2989	0.4867	18.6832
27	199.9996	199.4268	0.3727	19.3703
28	199.9996	199.4617	0.3701	20.0641
29	199.9996	199.4753	0.3657	20.7391
30	200.0000	199.5350	0.2508	21.4043
31	200.0000	199.6192	0.2500	22.0871
32	200.0000	199.6710	0.2327	22.8212
33	200.0000	199.6860	0.2230	23.4897
34	200.0000	199.8475	0.1450	24.1601
35	200.0000	199.8570	0.1431	24.8306
36	200.0000	199.8583	0.1425	25.6078
37	200.0000	199.8617	0.1410	26.3450
38	200.0000	199.9428	0.1270	27.0171
39	200.0000	199.9432	0.1261	27.6859
40	200.0000	199.9447	0.1243	28.3735
41	200.0000	199.9469	0.1221	29.0613
42	200.0000	199.9471	0.1217	29.7351
43	200.0000	199.9475	0.1208	30.3984
44	200.0000	199.9999	0.0014	31.0600
45	200.0000	199.9999	0.0010	31.7290
46	200.0000	200.0000	0.0006	32.4047
47	200.0000	200.0000	0.0006	33.0644
48	200.0000	200.0000	0.0005	33.7291
49	200.0000	200.0000	0.0004	34.3914
50	200.0000	200.0000	0.0004	35.0609
51	200.0000	200.0000	0.0003	35.7466
52	200.0000	200.0000	0.0003	36.4134
53	200.0000	200.0000	0.0002	37.0793
54	200.0000	200.0000	0.0002	37.7431
55	200.0000	200.0000	0.0001	38.4045
56	200.0000	200.0000	0.0001	39.0797
57	200.0000	200.0000	0.0001	39.7460
58	200.0000	200.0000	0.0001	40.4141
59	200.0000	200.0000	0.0001	41.0776
60	200.0000	200.0000	0.0001	41.7399
61	200.0000	200.0000	0.0000	42.5909
62	200.0000	200.0000	0.0000	43.2591
63	200.0000	200.0000	0.0000	43.9246
64	200.0000	200.0000	0.0000	44.5864
65	200.0000	200.0000	0.0000	45.2480
66	200.0000	200.0000	0.0000	45.9232
67	200.0000	200.0000	0.0000	46.5817
68	200.0000	200.0000	0.0000	47.2460
69	200.0000	200.0000	0.0000	47.9112
70	200.0000	200.0000	0.0000	48.5823
71	200.0000	200.0000	0.0000	49.2604
72	200.0000	200.0000	0.0000	49.9246
73	200.0000	200.0000	0.0000	50.5903
74	200.0000	200.0000	0.0000	51.2602
75	200.0000	200.0000	0.0000	51.9316
76	200.0000	200.0000	0.0000	52.6624
77	200.0000	200.0000	0.0000	53.3259
78	200.0000	200.0000	0.0000	53.9889
79	200.0000	200.0000	0.0000	54.6517
80	200.0000	200.0000	0.0000	55.3105
81	200.0000	200.0000	0.0000	55.9886
82	200.0000	200.0000	0.0000	56.6635
83	200.0000	200.0000	0.0000	57.3332
84	200.0000	200.0000	0.0000	58.0003
85	200.0000	200.0000	0.0000	58.6612
86	200.0000	200.0000	0.0000	59.4943
87	200.0000	200.0000	0.0000	60.1637
88	200.0000	200.0000	0.0000	60.8306
89	200.0000	200.0000	0.0000	61.4944
90	200.0000	200.0000	0.0000	62.1595
91	200.0000	200.0000	0.0000	62.8872
92	200.0000	200.0000	0.0000	63.5531
93	200.0000	200.0000	0.0000	64.2247
94	200.0000	200.0000	0.0000	64.8990
95	200.0000	200.0000	0.0000	65.5732
96	200.0000	200.0000	0.0000	66.2584
97	200.0000	200.0000	0.0000	66.9298
98	200.0000	200.0000	0.0000	67.6074
99	200.0000	200.0000	0.0000	68.2812
100	200.0000	200.0000	0.0000	68.9569
101	200.0000	200.0000	0.0000	69.6516
102	200.0000	200.0000	0.0000	70.3280
103	200.0000	200.0000	0.0000	70.9999
104	200.0000	200.0000	0.0000	71.6708
105	200.0000	200.0000	0.0000	72.3450
106	200.0000	200.0000	0.0000	73.0839
107	200.0000	200.0000	0.0000	73.7576
108	200.0000	200.0000	0.0000	74.4281
109	200.0000	200.0000	0.0000	75.0945
110	200.0000	200.0000	0.0000	75.9525
111	200.0000	200.0000	0.0000	76.6432
112	200.0000	200.0000	0.0000	77.3175
113	200.0000	200.0000	0.0000	77.9893
114	200.0000	200.0000	0.0000	78.6610
115	200.0000	200.0000	0.0000	79.3293
116	200.0000	200.0000	0.0000	80.0135
117	200.0000	200.0000	0.0000	80.6913
118	200.0000	200.0000	0.0000	81.3651
119	200.0000	200.0000	0.0000	82.0391
120	200.0000	200.0000	0.0000	82.7923
121	200.0000	200.0000	0.0000	83.4739
122	200.0000	200.0000	0.0000	84.1503
123	200.0000	200.0000	0.0000	84.8238
124	200.0000	200.0000	0.0000	85.4945
125	200.0000	200.0000	0.0000	86.1704
126	200.0000	200.0000	0.0000	86.8573
127	200.0000	200.0000	0.0000	87.5316
128	200.0000	200.0000	0.0000	88.2046
129	200.0000	200.0000	0.0000	88.8760
130	200.0000	200.0000	0.0000	89.5500
131	200.0000	200.0000	0.0000	90.2367
132	200.0000	200.0000	0.0000	90.9035
133	200.0000	200.0000	0.0000	91.5768
134	200.0000	200.0000	0.0000	92.4273
135	200.0000	200.0000	0.0000	93.1246
136	200.0000	200.0000	0.0000	93.8106
137	200.0000	200.0000	0.0000	94.4872
138	200.0000	200.0000	0.0000	95.1576
139	200.0000	200.0000	0.0000	95.8321
140	200.0000	200.0000	0.0000	96.5042
141	200.0000	200.0000	0.0000	97.1882
142	200.0000	200.0000	0.0000	97.8549
143	200.0000	200.0000	0.0000	98.5274
144	200.0000	200.0000	0.0000	99.1960
145	200.0000	200.0000	0.0000	99.8693
146	200.0000	200.0000	0.0000	100.5545
147	200.0000	200.0000	0.0000	101.2280
148	200.0000	200.0000	0.0000	101.9199
149	200.0000	200.0000	0.0000	102.6547
150	200.0000	200.0000	0.0000	103.3218
151	200.0000	200.0000	0.0000	104.0170
152	200.0000	200.0000	0.0000	104.6898
153	200.0000	200.0000	0.0000	105.3586
154	200.0000	200.0000	0.0000	106.0271
155	200.0000	200.0000	0.0000	106.6964
156	200.0000	200.0000	0.0000	107.3728
157	200.0000	200.0000	0.0000	108.0449
158	200.0000	200.0000	0.0000	108.7539
159	200.0000	200.0000	0.0000	109.5529
160	200.0000	200.0000	0.0000	110.5046
161	200.0000	200.0000	0.0000	111.3038
162	200.0000	200.0000	0.0000	112.0183
163	200.0000	200.0000	0.0000	112.7226
164	200.0000	200.0000	0.0000	113.4276
165	200.0000	200.0000	0.0000	114.1350
166	200.0000	200.0000	0.0000	114.8531
167	200.0000	200.0000	0.0000	115.5629
168	200.0000	200.0000	0.0000	116.2674
169	200.0000	200.0000	0.0000	116.9693
