ID: bc5ee760-b581-42ec-8951-912fb1381299	Date: 2018-05-02 02:10:00	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	144.9480	-35.3363	1.0000	0.9327
1	184.2941	31.2377	0.9823	1.6098
2	195.0433	128.5244	0.8337	2.4965
3	198.4052	157.5734	0.9134	3.3085
4	199.0150	163.1707	0.9212	3.9735
5	199.0150	165.9839	0.7883	4.6344
6	199.0150	169.0100	0.7963	5.3122
7	199.0150	171.0497	0.7201	5.9755
8	199.0150	174.0260	0.7115	6.6357
9	199.8370	180.3189	0.6486	7.3369
10	199.8370	184.5712	0.6487	8.0011
11	199.8370	186.0647	0.5993	8.6787
12	199.8370	192.3317	0.5735	9.3400
13	199.8370	192.8867	0.5049	10.0033
14	199.8370	194.1644	0.4703	10.6626
15	199.8370	194.6830	0.4591	11.3671
16	199.8786	198.0345	0.4392	12.0373
17	199.8786	198.5111	0.4401	12.7006
18	199.9769	198.7648	0.4279	13.3593
19	199.9769	199.0214	0.4262	14.0193
20	199.9769	199.1638	0.4876	14.6813
21	199.9769	199.5775	0.4778	15.3894
22	199.9823	199.6099	0.4791	16.0527
23	199.9942	199.8383	0.3272	16.7172
24	199.9975	199.9149	0.2460	17.3786
25	199.9987	199.9392	0.0924	18.0404
26	199.9987	199.9768	0.0153	18.7159
27	200.0000	199.9918	0.0074	19.5515
28	200.0000	199.9943	0.0074	20.2119
29	200.0000	199.9960	0.0067	20.8771
30	200.0000	199.9979	0.0043	21.5385
31	200.0000	199.9985	0.0035	22.2108
32	200.0000	199.9994	0.0020	22.8739
33	200.0000	199.9996	0.0015	23.5705
34	200.0000	199.9999	0.0011	24.2267
35	200.0000	199.9999	0.0010	24.8845
36	200.0000	199.9999	0.0007	25.5611
37	200.0000	200.0000	0.0006	26.2306
38	200.0000	200.0000	0.0006	26.8905
39	200.0000	200.0000	0.0004	27.5803
40	200.0000	200.0000	0.0004	28.2414
41	200.0000	200.0000	0.0003	28.9199
42	200.0000	200.0000	0.0002	29.5792
43	200.0000	200.0000	0.0001	30.2429
44	200.0000	200.0000	0.0001	30.9072
45	200.0000	200.0000	0.0001	31.6033
46	200.0000	200.0000	0.0001	32.2828
47	200.0000	200.0000	0.0001	32.9461
48	200.0000	200.0000	0.0001	33.6123
49	200.0000	200.0000	0.0000	34.2784
50	200.0000	200.0000	0.0000	34.9410
51	200.0000	200.0000	0.0000	35.7609
52	200.0000	200.0000	0.0000	36.4957
53	200.0000	200.0000	0.0000	37.1609
54	200.0000	200.0000	0.0000	37.8242
55	200.0000	200.0000	0.0000	38.6012
56	200.0000	200.0000	0.0000	39.2907
57	200.0000	200.0000	0.0000	39.9599
58	200.0000	200.0000	0.0000	40.6313
59	200.0000	200.0000	0.0000	41.2984
60	200.0000	200.0000	0.0000	41.9631
61	200.0000	200.0000	0.0000	42.6431
62	200.0000	200.0000	0.0000	43.3078
63	200.0000	200.0000	0.0000	43.9718
64	200.0000	200.0000	0.0000	44.6374
65	200.0000	200.0000	0.0000	45.3014
