ID: c829d3fe-e8f0-4510-adf3-adc6cb87626c	Date: 2018-05-02 01:48:48	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	192.7756	18.9810	1.0000	1.1506
1	192.7756	102.9737	0.9638	2.0378
2	192.7756	119.7267	0.9704	2.7447
3	199.5429	145.1896	0.9149	3.5369
4	199.5429	152.0945	1.0000	4.2224
5	199.5429	163.3659	1.0000	4.9665
6	199.5429	183.0424	1.0000	5.7213
7	199.6725	189.4225	0.8328	6.4075
8	199.6725	189.7594	0.8345	7.2036
9	199.6725	192.9598	0.6851	7.9412
10	199.9756	193.0490	0.6823	8.6274
11	199.9756	194.3864	0.6730	9.3200
12	199.9756	194.9278	0.6592	10.0083
13	199.9756	195.4281	0.5907	10.7119
14	199.9845	196.3755	0.5759	11.4248
15	199.9911	197.9791	0.6235	12.1064
16	199.9911	198.6666	0.5098	12.7976
17	199.9911	199.1147	0.4992	13.4792
18	199.9911	199.1535	0.4958	14.1561
19	199.9911	199.2404	0.4948	14.9693
20	199.9940	199.3898	0.4911	15.6581
21	199.9940	199.3907	0.4911	16.3486
22	199.9988	199.5971	0.4124	17.0271
23	199.9988	199.6132	0.4118	17.8843
24	199.9988	199.6853	0.3353	18.5733
25	199.9988	199.7723	0.2647	19.2966
26	199.9988	199.8235	0.2667	20.0231
27	199.9988	199.8507	0.2598	20.7131
28	199.9992	199.8718	0.1354	21.3978
29	199.9997	199.8930	0.1297	22.1033
30	199.9997	199.9108	0.1229	22.7816
31	200.0000	199.9116	0.1231	23.5169
32	200.0000	199.9127	0.1218	24.2183
33	200.0000	199.9130	0.1207	24.9019
34	200.0000	199.9132	0.1205	25.5847
35	200.0000	199.9133	0.1201	26.2692
36	200.0000	199.9133	0.1201	27.0066
37	200.0000	199.9999	0.0008	27.6904
38	200.0000	200.0000	0.0006	28.3704
39	200.0000	200.0000	0.0004	29.0480
40	200.0000	200.0000	0.0003	29.7334
41	200.0000	200.0000	0.0001	30.4291
42	200.0000	200.0000	0.0001	31.1487
43	200.0000	200.0000	0.0001	31.8418
44	200.0000	200.0000	0.0000	32.5255
45	200.0000	200.0000	0.0000	33.2096
46	200.0000	200.0000	0.0000	33.9901
47	200.0000	200.0000	0.0000	34.8752
48	200.0000	200.0000	0.0000	35.5906
49	200.0000	200.0000	0.0000	36.2875
50	200.0000	200.0000	0.0000	37.0026
51	200.0000	200.0000	0.0000	37.7018
52	200.0000	200.0000	0.0000	38.3921
53	200.0000	200.0000	0.0000	39.1033
54	200.0000	200.0000	0.0000	39.7863
55	200.0000	200.0000	0.0000	40.4775
56	200.0000	200.0000	0.0000	41.1720
57	200.0000	200.0000	0.0000	41.8584
58	200.0000	200.0000	0.0000	42.5401
59	200.0000	200.0000	0.0000	43.2415
60	200.0000	200.0000	0.0000	43.9317
61	200.0000	200.0000	0.0000	44.6353
62	200.0000	200.0000	0.0000	45.3217
63	200.0000	200.0000	0.0000	45.9979
64	200.0000	200.0000	0.0000	46.6723
65	200.0000	200.0000	0.0000	47.3614
66	200.0000	200.0000	0.0000	48.0578
67	200.0000	200.0000	0.0000	48.7356
68	200.0000	200.0000	0.0000	49.4156
69	200.0000	200.0000	0.0000	50.0929
70	200.0000	200.0000	0.0000	50.8034
71	200.0000	200.0000	0.0000	51.6837
72	200.0000	200.0000	0.0000	52.3593
73	200.0000	200.0000	0.0000	53.1428
74	200.0000	200.0000	0.0000	53.8266
75	200.0000	200.0000	0.0000	54.5089
76	200.0000	200.0000	0.0000	55.2340
77	200.0000	200.0000	0.0000	55.9254
78	200.0000	200.0000	0.0000	56.6142
79	200.0000	200.0000	0.0000	57.2956
80	200.0000	200.0000	0.0000	57.9803
81	200.0000	200.0000	0.0000	58.6810
82	200.0000	200.0000	0.0000	59.3691
83	200.0000	200.0000	0.0000	60.0550
84	200.0000	200.0000	0.0000	60.7345
85	200.0000	200.0000	0.0000	61.4183
86	200.0000	200.0000	0.0000	62.1252
87	200.0000	200.0000	0.0000	62.8490
88	200.0000	200.0000	0.0000	63.5493
89	200.0000	200.0000	0.0000	64.2385
90	200.0000	200.0000	0.0000	64.9288
91	200.0000	200.0000	0.0000	65.6354
92	200.0000	200.0000	0.0000	66.3218
93	200.0000	200.0000	0.0000	67.0166
94	200.0000	200.0000	0.0000	67.9018
95	200.0000	200.0000	0.0000	68.6057
96	200.0000	200.0000	0.0000	69.3061
97	200.0000	200.0000	0.0000	70.0204
98	200.0000	200.0000	0.0000	70.7138
99	200.0000	200.0000	0.0000	71.4107
100	200.0000	200.0000	0.0000	72.1526
101	200.0000	200.0000	0.0000	72.8664
102	200.0000	200.0000	0.0000	73.5629
103	200.0000	200.0000	0.0000	74.2483
104	200.0000	200.0000	0.0000	74.9438
105	200.0000	200.0000	0.0000	75.6316
106	200.0000	200.0000	0.0000	76.3330
107	200.0000	200.0000	0.0000	77.0185
108	200.0000	200.0000	0.0000	77.7152
109	200.0000	200.0000	0.0000	78.4187
110	200.0000	200.0000	0.0000	79.1242
111	200.0000	200.0000	0.0000	79.8230
112	200.0000	200.0000	0.0000	80.5111
113	200.0000	200.0000	0.0000	81.1963
114	200.0000	200.0000	0.0000	81.9175
115	200.0000	200.0000	0.0000	82.6328
116	200.0000	200.0000	0.0000	83.3898
117	200.0000	200.0000	0.0000	84.0919
118	200.0000	200.0000	0.0000	84.9576
119	200.0000	200.0000	0.0000	85.6450
