ID: d20d659b-97a4-4de9-8036-afa96df340a1	Date: 2018-05-02 02:09:50	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	185.1183	95.2116	1.0000	0.9522
1	199.5122	132.6585	0.9372	1.6844
2	199.5122	150.1882	0.8683	2.5470
3	199.6179	161.7797	0.8025	3.2909
4	199.6179	171.4549	0.7757	3.9473
5	199.6179	177.0292	0.7757	4.6096
6	199.6179	180.5465	0.7593	5.3542
7	199.6988	184.9022	0.7551	6.0530
8	199.6988	184.9022	0.7551	6.7132
9	199.9660	185.3515	0.7427	7.3779
10	199.9660	187.3334	0.6530	8.0385
11	199.9660	189.2435	0.6755	8.7099
12	199.9660	191.7902	0.8018	9.3746
13	199.9660	191.7902	0.8018	10.0729
14	199.9660	194.7580	0.7919	10.7355
15	199.9660	194.8586	0.7988	11.4043
16	199.9660	194.8586	0.7988	12.0850
17	199.9660	195.6454	0.8010	12.7494
18	199.9660	195.7672	0.8040	13.4163
19	199.9660	196.6170	0.7179	14.1335
20	199.9660	196.6961	0.7464	14.8017
21	199.9660	196.6961	0.7464	15.4815
22	199.9660	196.6961	0.7464	16.1445
23	199.9660	196.7914	0.7469	16.8097
24	199.9660	197.2436	0.7847	17.4887
25	199.9660	197.2965	0.7837	18.1701
26	199.9660	198.0078	0.6939	18.8649
27	199.9660	198.0242	0.6942	19.6826
28	199.9660	198.5685	0.6869	20.3514
29	199.9796	198.6875	0.7373	21.0197
30	199.9796	199.0016	0.7391	21.6930
31	199.9796	199.0145	0.7419	22.3773
32	199.9796	199.1086	0.8506	23.0663
33	199.9796	199.1086	0.8506	23.7484
34	199.9796	199.1453	0.9132	24.5028
35	199.9796	199.1586	0.9142	25.1722
36	199.9796	199.1586	0.9142	25.8813
37	199.9796	199.2191	0.9093	26.5455
38	199.9796	199.2774	0.8435	27.2098
39	199.9952	199.3505	0.8444	27.8752
40	199.9952	199.4384	0.8456	28.5392
41	199.9952	199.4384	0.8456	29.2134
42	199.9952	199.4394	0.8457	29.8855
43	199.9952	199.4989	0.8401	30.5467
44	199.9952	199.5624	0.8365	31.2104
45	199.9952	199.5757	0.7681	31.8749
46	199.9952	199.5757	0.7681	32.5515
47	199.9970	199.6066	0.7661	33.2148
48	199.9970	199.6118	0.7656	33.9074
49	199.9970	199.6177	0.8711	34.5759
50	199.9970	199.6957	0.8700	35.2418
51	199.9970	199.6963	0.8697	36.0677
52	199.9970	199.6975	0.8668	36.7334
53	199.9970	199.6979	0.8668	37.3979
54	199.9970	199.7004	0.9150	38.0611
55	199.9970	199.7058	0.8641	38.7292
56	199.9970	199.8500	0.7553	39.4106
57	199.9988	199.9115	0.7512	40.0779
58	199.9988	199.9300	0.6927	40.7417
59	199.9988	199.9300	0.6927	41.4038
