ID: d755ef89-8237-4c12-8140-39db8f25b314	Date: 2018-05-02 02:02:05	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	195.9941	22.4675	1.0000	0.9687
1	195.9941	104.9591	0.9373	1.8151
2	195.9941	110.3567	0.9984	2.5494
3	195.9941	129.1814	0.9035	3.2229
4	199.1448	140.8552	0.9478	3.9525
5	199.1448	158.2340	1.0000	4.8175
6	199.1448	161.6457	1.0000	5.5978
7	199.1448	171.9189	1.0000	6.2916
8	199.1448	176.2825	0.9751	7.0057
9	199.1448	179.3124	0.8893	7.6816
10	199.1448	182.1557	0.8911	8.3542
11	199.1448	182.9125	0.8859	9.0437
12	199.1448	183.1844	0.8919	9.7136
13	199.1448	189.1419	0.8258	10.3855
14	199.1448	190.6264	0.8229	11.1303
15	199.1448	191.5315	0.9226	11.8713
16	199.1650	192.9494	0.9283	12.6114
17	199.1650	193.4281	0.9249	13.3383
18	199.1650	193.8038	0.8208	14.0712
19	199.3247	194.4891	0.8102	14.8015
20	199.8307	194.5589	0.8060	15.5818
21	199.9430	194.9301	0.8077	16.3245
22	199.9430	194.9301	0.8077	17.0453
23	199.9430	195.0552	0.8058	17.7653
24	199.9430	196.3304	0.7924	18.5299
25	199.9430	196.3304	0.7924	19.2182
26	199.9430	196.8401	0.7955	19.9025
27	199.9430	197.1324	0.7942	20.7057
28	199.9430	197.5516	0.8429	21.4410
29	199.9430	197.5625	0.9090	22.1243
30	199.9430	197.5625	0.9090	22.8398
31	199.9430	197.6051	0.9083	23.5231
32	199.9430	197.9293	0.9091	24.2610
33	199.9430	197.9293	0.9091	24.9412
34	199.9430	198.0243	0.9083	25.6135
35	199.9430	198.3205	0.7525	26.2876
36	199.9430	198.3351	0.7532	26.9988
37	199.9477	199.1103	0.8599	27.6904
38	199.9477	199.1436	0.8552	28.3940
39	199.9540	199.1452	0.9153	29.0642
40	199.9540	199.1452	0.9153	29.7332
41	199.9540	199.1452	0.9153	30.4255
42	199.9540	199.1776	0.9141	31.0986
43	199.9540	199.2634	0.8703	31.7714
44	199.9864	199.3559	0.7989	32.4445
45	199.9864	199.3711	0.7973	33.1135
46	199.9864	199.4228	0.8014	33.7989
47	199.9864	199.6988	0.6820	34.5244
48	199.9864	199.7165	0.6817	35.1918
49	199.9864	199.7278	0.6053	35.8605
50	199.9976	199.8022	0.5702	36.5267
51	199.9976	199.8423	0.5678	37.3573
52	199.9976	199.8910	0.5638	38.0964
53	199.9976	199.9198	0.5579	38.7771
54	199.9976	199.9292	0.5560	39.4514
55	199.9991	199.9368	0.5557	40.1225
56	199.9991	199.9489	0.5554	40.8075
57	199.9991	199.9528	0.5566	41.4755
58	199.9991	199.9672	0.5539	42.1436
59	199.9991	199.9816	0.3742	42.8183
60	199.9991	199.9847	0.4919	43.4828
61	199.9991	199.9888	0.4918	44.2235
62	199.9991	199.9939	0.3690	44.9150
63	199.9991	199.9944	0.3689	45.5806
64	199.9999	199.9956	0.3672	46.2480
65	199.9999	199.9962	0.3669	46.9337
66	200.0000	199.9969	0.3662	47.6184
67	200.0000	199.9973	0.3658	48.2836
68	200.0000	199.9976	0.3653	48.9490
69	200.0000	199.9977	0.3653	49.6190
70	200.0000	199.9978	0.3652	50.2868
71	200.0000	199.9985	0.2440	50.9665
72	200.0000	199.9987	0.2437	51.6307
73	200.0000	199.9990	0.1223	52.2966
74	200.0000	199.9990	0.1220	52.9635
75	200.0000	199.9990	0.1218	53.7546
76	200.0000	199.9991	0.1216	54.6865
77	200.0000	200.0000	0.0004	55.3613
78	200.0000	200.0000	0.0004	56.0315
79	200.0000	200.0000	0.0003	56.7014
80	200.0000	200.0000	0.0003	57.3716
81	200.0000	200.0000	0.0001	58.0788
82	200.0000	200.0000	0.0001	58.7544
83	200.0000	200.0000	0.0001	59.4196
84	200.0000	200.0000	0.0001	60.0824
85	200.0000	200.0000	0.0001	60.7500
86	200.0000	200.0000	0.0000	61.4631
87	200.0000	200.0000	0.0000	62.1338
88	200.0000	200.0000	0.0000	62.8064
89	200.0000	200.0000	0.0000	63.5509
90	200.0000	200.0000	0.0000	64.2211
91	200.0000	200.0000	0.0000	64.9030
92	200.0000	200.0000	0.0000	65.5704
93	200.0000	200.0000	0.0000	66.2386
94	200.0000	200.0000	0.0000	66.9127
95	200.0000	200.0000	0.0000	67.5836
96	200.0000	200.0000	0.0000	68.2650
97	200.0000	200.0000	0.0000	68.9478
98	200.0000	200.0000	0.0000	69.6123
99	200.0000	200.0000	0.0000	70.2865
100	200.0000	200.0000	0.0000	71.2063
101	200.0000	200.0000	0.0000	71.9082
102	200.0000	200.0000	0.0000	72.6237
103	200.0000	200.0000	0.0000	73.3669
104	200.0000	200.0000	0.0000	74.0395
105	200.0000	200.0000	0.0000	74.7156
106	200.0000	200.0000	0.0000	75.3999
107	200.0000	200.0000	0.0000	76.0722
108	200.0000	200.0000	0.0000	76.7431
109	200.0000	200.0000	0.0000	77.4069
110	200.0000	200.0000	0.0000	78.0907
111	200.0000	200.0000	0.0000	78.7735
112	200.0000	200.0000	0.0000	79.4423
113	200.0000	200.0000	0.0000	80.1206
114	200.0000	200.0000	0.0000	80.7884
115	200.0000	200.0000	0.0000	81.4555
116	200.0000	200.0000	0.0000	82.1373
117	200.0000	200.0000	0.0000	82.8459
118	200.0000	200.0000	0.0000	83.5204
119	200.0000	200.0000	0.0000	84.1885
120	200.0000	200.0000	0.0000	84.8582
121	200.0000	200.0000	0.0000	85.5453
122	200.0000	200.0000	0.0000	86.2203
123	200.0000	200.0000	0.0000	86.8983
124	200.0000	200.0000	0.0000	87.8091
125	200.0000	200.0000	0.0000	88.4929
126	200.0000	200.0000	0.0000	89.1840
127	200.0000	200.0000	0.0000	89.8633
128	200.0000	200.0000	0.0000	90.5638
129	200.0000	200.0000	0.0000	91.2380
130	200.0000	200.0000	0.0000	92.0203
131	200.0000	200.0000	0.0000	92.7327
132	200.0000	200.0000	0.0000	93.4100
133	200.0000	200.0000	0.0000	94.0869
134	200.0000	200.0000	0.0000	94.7769
135	200.0000	200.0000	0.0000	95.4499
136	200.0000	200.0000	0.0000	96.1399
137	200.0000	200.0000	0.0000	96.8254
138	200.0000	200.0000	0.0000	97.5220
139	200.0000	200.0000	0.0000	98.1946
140	200.0000	200.0000	0.0000	98.8932
141	200.0000	200.0000	0.0000	99.5829
142	200.0000	200.0000	0.0000	100.2584
143	200.0000	200.0000	0.0000	100.9474
144	200.0000	200.0000	0.0000	101.6653
145	200.0000	200.0000	0.0000	102.3431
146	200.0000	200.0000	0.0000	103.0321
147	200.0000	200.0000	0.0000	103.7180
148	200.0000	200.0000	0.0000	104.6083
149	200.0000	200.0000	0.0000	105.2892
150	200.0000	200.0000	0.0000	105.9663
151	200.0000	200.0000	0.0000	106.6658
152	200.0000	200.0000	0.0000	107.3456
153	200.0000	200.0000	0.0000	108.0163
154	200.0000	200.0000	0.0000	108.6948
155	200.0000	200.0000	0.0000	109.3750
156	200.0000	200.0000	0.0000	110.0628
157	200.0000	200.0000	0.0000	110.7419
158	200.0000	200.0000	0.0000	111.5494
159	200.0000	200.0000	0.0000	112.2212
160	200.0000	200.0000	0.0000	112.8962
161	200.0000	200.0000	0.0000	113.5919
162	200.0000	200.0000	0.0000	114.2716
163	200.0000	200.0000	0.0000	114.9466
164	200.0000	200.0000	0.0000	115.6237
165	200.0000	200.0000	0.0000	116.2972
166	200.0000	200.0000	0.0000	116.9829
167	200.0000	200.0000	0.0000	117.6543
168	200.0000	200.0000	0.0000	118.3255
169	200.0000	200.0000	0.0000	119.0023
170	200.0000	200.0000	0.0000	119.6733
171	200.0000	200.0000	0.0000	120.3935
172	200.0000	200.0000	0.0000	121.3188
173	200.0000	200.0000	0.0000	121.9990
174	200.0000	200.0000	0.0000	122.7074
175	200.0000	200.0000	0.0000	123.3888
176	200.0000	200.0000	0.0000	124.0847
177	200.0000	200.0000	0.0000	124.7663
178	200.0000	200.0000	0.0000	125.4447
179	200.0000	200.0000	0.0000	126.1425
180	200.0000	200.0000	0.0000	126.8222
181	200.0000	200.0000	0.0000	127.5108
182	200.0000	200.0000	0.0000	128.1996
183	200.0000	200.0000	0.0000	128.8769
184	200.0000	200.0000	0.0000	129.5562
185	200.0000	200.0000	0.0000	130.2454
186	200.0000	200.0000	0.0000	131.0594
187	200.0000	200.0000	0.0000	131.7320
188	200.0000	200.0000	0.0000	132.4074
189	200.0000	200.0000	0.0000	133.0843
