ID: daadd588-45c6-47c4-bd82-e1c009f24c4c	Date: 2018-05-02 02:10:20	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	194.1149	87.8191	1.0000	0.9828
1	194.1149	108.1196	0.9668	1.6918
2	194.1149	139.5396	0.8652	2.5239
3	195.7401	158.1375	0.7467	3.2177
4	197.6904	168.5745	0.7525	3.8941
5	199.2751	175.2784	0.6920	4.5729
6	199.2869	183.4966	0.5499	5.2617
7	199.2869	184.4740	0.5313	5.9738
8	199.2869	189.0910	0.5249	6.6524
9	199.5567	191.1293	0.4731	7.3247
10	199.6336	191.2620	0.4710	7.9985
11	199.8573	192.1081	0.4819	8.6792
12	199.8573	196.4031	0.4157	9.3558
13	199.8573	197.2774	0.3992	10.0651
14	199.8573	197.6221	0.3966	10.7450
15	199.9138	197.8420	0.3940	11.5273
16	199.9582	197.8963	0.3921	12.4726
17	199.9582	198.6299	0.3296	13.1526
18	199.9938	198.9491	0.2540	13.8578
19	199.9938	199.6440	0.0547	14.5509
20	199.9983	199.9184	0.0238	15.2245
21	199.9983	199.9529	0.0202	15.9123
22	199.9983	199.9719	0.0141	16.5870
23	200.0000	199.9816	0.0129	17.2617
24	200.0000	199.9896	0.0112	17.9715
25	200.0000	199.9917	0.0103	18.6427
26	200.0000	199.9930	0.0099	19.3331
27	200.0000	199.9953	0.0093	20.0021
28	200.0000	199.9970	0.0075	20.6740
29	200.0000	199.9980	0.0048	21.3439
30	200.0000	199.9988	0.0034	22.0249
31	200.0000	199.9990	0.0030	22.7127
32	200.0000	199.9995	0.0022	23.3841
33	200.0000	199.9997	0.0016	24.0560
34	200.0000	199.9997	0.0015	24.7300
35	200.0000	199.9998	0.0014	25.4037
36	200.0000	199.9999	0.0008	26.1161
37	200.0000	200.0000	0.0008	26.7959
38	200.0000	200.0000	0.0009	27.4711
39	200.0000	200.0000	0.0006	28.2247
40	200.0000	200.0000	0.0004	29.0618
41	200.0000	200.0000	0.0003	29.7549
42	200.0000	200.0000	0.0003	30.4356
43	200.0000	200.0000	0.0002	31.1501
44	200.0000	200.0000	0.0002	31.8856
45	200.0000	200.0000	0.0002	32.5625
46	200.0000	200.0000	0.0001	33.2494
47	200.0000	200.0000	0.0001	33.9615
48	200.0000	200.0000	0.0001	34.6370
49	200.0000	200.0000	0.0001	35.3096
50	200.0000	200.0000	0.0000	35.9871
51	200.0000	200.0000	0.0000	36.6826
52	200.0000	200.0000	0.0000	37.3566
53	200.0000	200.0000	0.0000	38.0354
