ID: dc410f97-ee8a-4458-8b78-33b59bb75b76	Date: 2018-05-02 02:05:28	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	197.3498	52.7751	1.0000	1.0633
1	197.3498	85.4977	1.0000	1.7743
2	199.0737	132.9540	0.9411	2.5578
3	199.0737	146.9356	0.9290	3.4103
4	199.0737	166.9486	0.9421	4.0951
5	199.0737	170.5061	0.9184	4.7708
6	199.0737	171.0488	0.9212	5.4626
7	199.0737	172.9783	0.9261	6.1603
8	199.0737	172.9783	0.9261	6.8479
9	199.0737	182.9838	0.8138	7.5634
10	199.3008	186.5784	0.7300	8.2424
11	199.3008	187.8149	0.7373	8.9355
12	199.3008	188.1452	0.7283	9.6071
13	199.3008	190.2834	0.7707	10.2882
14	199.3008	190.3396	0.7709	10.9630
15	199.3008	191.8040	0.7007	11.6758
16	199.3008	193.2548	0.7025	12.4128
17	199.3008	193.8405	0.6796	13.0951
18	199.3008	194.3727	0.6665	13.7658
19	199.3008	194.9679	0.7558	14.4331
20	199.5172	195.5826	0.6237	15.0993
21	199.7804	195.6075	0.6220	15.8300
22	199.7804	196.1239	0.6149	16.5880
23	199.7804	197.4251	0.5963	17.3743
24	199.7804	197.5024	0.5954	18.0490
25	199.7804	197.6635	0.5974	18.7354
26	199.8518	198.0629	0.4918	19.5100
27	199.8624	198.2131	0.4956	20.2005
28	199.9977	198.2872	0.3968	20.8702
29	199.9977	198.5884	0.3970	21.6284
30	199.9980	198.9028	0.4798	22.3093
31	199.9980	199.4670	0.4337	23.0069
32	199.9980	199.4767	0.4339	23.7157
33	199.9980	199.5777	0.3306	24.3864
34	199.9980	199.6007	0.2320	25.0649
35	199.9980	199.6171	0.2319	25.7406
36	199.9980	199.6787	0.3294	26.4239
37	199.9980	199.7541	0.3302	27.0975
38	199.9980	199.7583	0.3295	27.7789
39	199.9980	199.8522	0.3261	28.4534
40	199.9983	199.8711	0.3226	29.1262
41	199.9994	199.8747	0.3220	29.8138
42	199.9994	199.8828	0.3206	30.4875
43	199.9996	199.8843	0.3203	31.1694
44	199.9996	199.8843	0.3204	31.8990
45	199.9996	199.9039	0.3187	32.5980
46	199.9999	199.9075	0.3179	33.4873
47	199.9999	199.9129	0.3157	34.1723
48	199.9999	199.9399	0.3131	34.8532
49	199.9999	199.9553	0.2088	35.5365
50	199.9999	199.9848	0.1059	36.2346
51	199.9999	199.9853	0.1057	36.9303
52	200.0000	199.9990	0.0023	37.6041
53	200.0000	199.9993	0.0018	38.2826
54	200.0000	199.9996	0.0015	38.9566
55	200.0000	199.9998	0.0011	39.6550
56	200.0000	199.9999	0.0006	40.3452
57	200.0000	199.9999	0.0006	41.1184
58	200.0000	200.0000	0.0004	41.7962
59	200.0000	200.0000	0.0004	42.4719
60	200.0000	200.0000	0.0003	43.1471
61	200.0000	200.0000	0.0002	43.8335
62	200.0000	200.0000	0.0002	44.5056
63	200.0000	200.0000	0.0001	45.1851
64	200.0000	200.0000	0.0001	45.8643
65	200.0000	200.0000	0.0001	46.5412
66	200.0000	200.0000	0.0001	47.2322
67	200.0000	200.0000	0.0000	47.9114
68	200.0000	200.0000	0.0000	48.5878
69	200.0000	200.0000	0.0000	49.2685
70	200.0000	200.0000	0.0000	50.0855
71	200.0000	200.0000	0.0000	50.8177
72	200.0000	200.0000	0.0000	51.4998
73	200.0000	200.0000	0.0000	52.1708
74	200.0000	200.0000	0.0000	52.8669
75	200.0000	200.0000	0.0000	53.5445
76	200.0000	200.0000	0.0000	54.2374
77	200.0000	200.0000	0.0000	54.9133
78	200.0000	200.0000	0.0000	55.7020
79	200.0000	200.0000	0.0000	56.5791
80	200.0000	200.0000	0.0000	57.2820
81	200.0000	200.0000	0.0000	57.9903
82	200.0000	200.0000	0.0000	58.6669
83	200.0000	200.0000	0.0000	59.3505
84	200.0000	200.0000	0.0000	60.1034
85	200.0000	200.0000	0.0000	60.7870
86	200.0000	200.0000	0.0000	61.4736
87	200.0000	200.0000	0.0000	62.1526
88	200.0000	200.0000	0.0000	62.8302
89	200.0000	200.0000	0.0000	63.5068
90	200.0000	200.0000	0.0000	64.2347
91	200.0000	200.0000	0.0000	65.0313
92	200.0000	200.0000	0.0000	65.7253
93	200.0000	200.0000	0.0000	66.4425
94	200.0000	200.0000	0.0000	67.2178
95	200.0000	200.0000	0.0000	67.8940
96	200.0000	200.0000	0.0000	68.5878
97	200.0000	200.0000	0.0000	69.3097
98	200.0000	200.0000	0.0000	70.0321
99	200.0000	200.0000	0.0000	70.7173
100	200.0000	200.0000	0.0000	71.3949
101	200.0000	200.0000	0.0000	72.0921
