ID: e2104b55-e40c-49d8-ab47-95ed8294b15b	Date: 2018-05-02 01:50:01	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	184.1624	27.6412	1.0000	1.1358
1	184.1624	108.2729	0.9010	1.9701
2	193.9091	137.0705	0.9120	2.7950
3	198.3853	167.2667	0.9434	3.4821
4	198.3853	174.3886	0.7427	4.1494
5	198.3853	177.8284	0.7593	4.8318
6	199.4901	185.5868	0.6457	5.5695
7	199.4901	186.8323	0.7008	6.2349
8	199.5032	191.3071	0.7127	6.8998
9	199.5032	193.2472	0.6741	7.5877
10	199.5032	194.1861	0.6658	8.2781
11	199.5032	195.6188	0.5103	8.9612
12	199.5032	196.0676	0.5062	9.6784
13	199.5032	196.5968	0.4994	10.3378
14	199.5032	197.9043	0.3618	10.9975
15	199.7688	198.2957	0.2821	11.6637
16	199.7688	198.5754	0.2167	12.3646
17	199.7688	198.9084	0.2803	13.0286
18	199.7688	199.0343	0.2714	13.7322
19	199.8774	199.2178	0.1817	14.4179
20	199.8774	199.4469	0.0963	15.0795
21	199.9873	199.6212	0.0769	16.0069
22	199.9947	199.8447	0.0451	16.6888
23	200.0000	199.9056	0.0327	17.4010
24	200.0000	199.9205	0.0305	18.0631
25	200.0000	199.9543	0.0252	18.7292
26	200.0000	199.9700	0.0201	19.4077
27	200.0000	199.9815	0.0151	20.0672
28	200.0000	199.9886	0.0132	20.7324
29	200.0000	199.9913	0.0092	21.4186
30	200.0000	199.9929	0.0083	22.0759
31	200.0000	199.9963	0.0051	22.7520
32	200.0000	199.9982	0.0037	23.4151
33	200.0000	199.9987	0.0036	24.0746
34	200.0000	199.9994	0.0027	24.7352
35	200.0000	199.9996	0.0021	25.4276
36	200.0000	199.9998	0.0014	26.1009
37	200.0000	199.9999	0.0011	26.7594
38	200.0000	200.0000	0.0005	27.4217
39	200.0000	200.0000	0.0005	28.0881
40	200.0000	200.0000	0.0002	28.7573
41	200.0000	200.0000	0.0002	29.4554
42	200.0000	200.0000	0.0002	30.1208
43	200.0000	200.0000	0.0001	30.7832
44	200.0000	200.0000	0.0001	31.4457
45	200.0000	200.0000	0.0001	32.1391
46	200.0000	200.0000	0.0001	32.9230
47	200.0000	200.0000	0.0001	33.6506
48	200.0000	200.0000	0.0001	34.3254
49	200.0000	200.0000	0.0001	35.0525
50	200.0000	200.0000	0.0001	35.7196
51	200.0000	200.0000	0.0000	36.3967
52	200.0000	200.0000	0.0000	37.0688
53	200.0000	200.0000	0.0000	37.7595
