ID: e26c0f82-7ca7-49ba-a599-5b4e51bcc7b8	Date: 2018-05-02 01:50:23	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	182.1092	-43.6570	1.0000	0.9828
1	197.2425	18.9186	0.9902	1.8017
2	197.2425	104.3872	0.9247	2.5201
3	197.2425	136.8622	0.9359	3.1927
4	197.2425	149.8828	0.7939	3.8683
5	197.2425	156.9948	0.7804	4.5354
6	197.2425	166.5537	0.7368	5.2240
7	199.1102	175.9857	0.6727	5.9631
8	199.8672	182.6347	0.6139	6.6805
9	199.8672	186.4068	0.6046	7.3476
10	199.8672	190.8548	0.5801	8.0132
11	199.8672	191.2305	0.5897	8.6977
12	199.8672	192.0942	0.5272	9.3737
13	199.8672	193.4600	0.4167	10.0806
14	199.8701	196.8067	0.3453	10.7543
15	199.8701	197.5471	0.4366	11.4231
16	199.8701	198.5584	0.4111	12.1069
17	199.8701	198.9001	0.1953	12.7792
18	199.8701	199.2691	0.1857	13.4914
19	199.9665	199.5426	0.1684	14.2317
20	199.9665	199.6854	0.1515	14.9326
21	199.9991	199.7225	0.1470	15.6131
22	199.9992	199.8518	0.0311	16.2816
23	199.9992	199.9295	0.0226	16.9551
24	199.9992	199.9515	0.0199	17.6194
25	199.9992	199.9762	0.0141	18.3277
26	199.9999	199.9808	0.0119	19.0153
27	199.9999	199.9888	0.0093	19.6841
28	199.9999	199.9944	0.0077	20.3538
29	199.9999	199.9956	0.0066	21.0230
30	199.9999	199.9968	0.0052	21.6885
31	199.9999	199.9984	0.0035	22.4154
32	200.0000	199.9991	0.0025	23.0849
33	200.0000	199.9995	0.0020	23.7575
34	200.0000	199.9996	0.0019	24.4291
35	200.0000	199.9998	0.0013	25.1250
36	200.0000	199.9999	0.0010	25.8076
37	200.0000	199.9999	0.0008	26.5064
38	200.0000	199.9999	0.0007	27.1747
39	200.0000	199.9999	0.0006	27.8435
40	200.0000	200.0000	0.0005	28.5168
41	200.0000	200.0000	0.0003	29.2053
42	200.0000	200.0000	0.0002	29.8727
43	200.0000	200.0000	0.0002	30.7021
44	200.0000	200.0000	0.0001	31.3745
45	200.0000	200.0000	0.0001	32.0446
46	200.0000	200.0000	0.0000	32.9123
47	200.0000	200.0000	0.0000	33.7272
48	200.0000	200.0000	0.0000	34.4231
49	200.0000	200.0000	0.0000	35.1288
50	200.0000	200.0000	0.0000	35.8024
51	200.0000	200.0000	0.0000	36.4978
52	200.0000	200.0000	0.0000	37.1671
53	200.0000	200.0000	0.0000	37.8444
54	200.0000	200.0000	0.0000	38.5268
55	200.0000	200.0000	0.0000	39.1970
56	200.0000	200.0000	0.0000	39.8827
57	200.0000	200.0000	0.0000	40.5526
58	200.0000	200.0000	0.0000	41.2216
59	200.0000	200.0000	0.0000	41.8928
60	200.0000	200.0000	0.0000	42.5658
61	200.0000	200.0000	0.0000	43.2527
62	200.0000	200.0000	0.0000	43.9241
63	200.0000	200.0000	0.0000	44.5907
64	200.0000	200.0000	0.0000	45.3203
65	200.0000	200.0000	0.0000	45.9936
66	200.0000	200.0000	0.0000	46.6721
