ID: e4d7fa6c-7362-4904-8331-912135d8a48a	Date: 2018-05-02 01:49:36	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	177.7919	18.4247	1.0000	1.6465
1	187.0254	112.5675	0.8824	2.6791
2	190.4196	119.9237	0.7833	3.3677
3	190.4196	131.4269	0.7260	4.0934
4	190.4196	142.5771	0.7196	4.7731
5	197.5498	150.0828	0.7456	5.4793
6	199.4803	160.1815	0.6843	6.1870
7	199.4803	173.6206	0.6524	6.8727
8	199.4803	179.5611	0.6405	7.5612
9	199.4803	182.1645	0.6310	8.2757
10	199.8232	185.8110	0.5761	8.9471
11	199.8232	191.1860	0.5558	9.6264
12	199.9960	192.7990	0.5347	10.2901
13	199.9960	194.8133	0.4637	10.9563
14	199.9960	195.8086	0.3666	11.6234
15	199.9986	197.9857	0.3165	12.3298
16	199.9986	198.3043	0.3056	13.0093
17	199.9986	198.3160	0.3034	13.6693
18	199.9986	199.0287	0.2747	14.3292
19	199.9986	199.0466	0.2741	14.9970
20	199.9986	199.0919	0.2669	15.6879
21	199.9986	199.1641	0.2594	16.4127
22	199.9998	199.1724	0.2566	17.1487
23	199.9998	199.3787	0.1324	17.9036
24	199.9998	199.9901	0.0089	18.5685
25	199.9998	199.9925	0.0071	19.2327
26	199.9998	199.9957	0.0054	19.9521
27	199.9999	199.9979	0.0032	20.6201
28	200.0000	199.9990	0.0026	21.2805
29	200.0000	199.9992	0.0028	21.9464
30	200.0000	199.9995	0.0020	22.6121
31	200.0000	199.9997	0.0016	23.2935
32	200.0000	199.9999	0.0008	23.9995
33	200.0000	199.9999	0.0007	24.6675
34	200.0000	200.0000	0.0005	25.5108
35	200.0000	200.0000	0.0004	26.1855
36	200.0000	200.0000	0.0004	26.8655
37	200.0000	200.0000	0.0004	27.5319
38	200.0000	200.0000	0.0002	28.2362
39	200.0000	200.0000	0.0002	28.9006
40	200.0000	200.0000	0.0001	29.5613
41	200.0000	200.0000	0.0001	30.2389
42	200.0000	200.0000	0.0001	30.9014
43	200.0000	200.0000	0.0001	31.5676
44	200.0000	200.0000	0.0000	32.2359
45	200.0000	200.0000	0.0000	32.9072
46	200.0000	200.0000	0.0000	33.5979
47	200.0000	200.0000	0.0000	34.4179
48	200.0000	200.0000	0.0000	35.0864
49	200.0000	200.0000	0.0000	35.7537
50	200.0000	200.0000	0.0000	36.4239
51	200.0000	200.0000	0.0000	37.1134
52	200.0000	200.0000	0.0000	37.7815
53	200.0000	200.0000	0.0000	38.4481
54	200.0000	200.0000	0.0000	39.1157
55	200.0000	200.0000	0.0000	39.7849
56	200.0000	200.0000	0.0000	40.4649
57	200.0000	200.0000	0.0000	41.1239
58	200.0000	200.0000	0.0000	41.7871
59	200.0000	200.0000	0.0000	42.4511
60	200.0000	200.0000	0.0000	43.1175
61	200.0000	200.0000	0.0000	43.7953
62	200.0000	200.0000	0.0000	44.5368
63	200.0000	200.0000	0.0000	45.2881
64	200.0000	200.0000	0.0000	45.9569
65	200.0000	200.0000	0.0000	46.6230
66	200.0000	200.0000	0.0000	47.3027
67	200.0000	200.0000	0.0000	47.9791
68	200.0000	200.0000	0.0000	48.6450
69	200.0000	200.0000	0.0000	49.3088
70	200.0000	200.0000	0.0000	49.9735
71	200.0000	200.0000	0.0000	50.8027
72	200.0000	200.0000	0.0000	51.4724
73	200.0000	200.0000	0.0000	52.1512
74	200.0000	200.0000	0.0000	52.8452
75	200.0000	200.0000	0.0000	53.5173
76	200.0000	200.0000	0.0000	54.2231
77	200.0000	200.0000	0.0000	54.9049
78	200.0000	200.0000	0.0000	55.6037
79	200.0000	200.0000	0.0000	56.2801
80	200.0000	200.0000	0.0000	56.9551
81	200.0000	200.0000	0.0000	57.6587
