ID: e5e11dba-6ca7-4d13-b1d9-faf97861a99d	Date: 2018-05-02 02:00:58	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	190.6078	-53.1519	1.0000	1.0109
1	190.6078	39.5555	0.9504	1.8260
2	194.0615	126.1974	0.8498	2.5547
3	194.8383	139.1081	0.7859	3.2852
4	199.7390	169.3356	0.6907	4.1478
5	199.7390	176.1101	0.6901	4.8249
6	199.7390	181.1332	0.5623	5.5146
7	199.7390	185.6293	0.5655	6.1879
8	199.9278	188.0711	0.5156	6.8934
9	199.9278	194.1699	0.4643	7.5748
10	199.9278	195.9027	0.4540	8.2486
11	199.9278	196.8822	0.4502	8.9369
12	199.9278	197.2676	0.4903	9.6171
13	199.9278	198.0066	0.4126	10.2952
14	199.9278	198.0066	0.4126	11.0068
15	199.9691	198.1877	0.4051	11.6768
16	199.9691	198.5992	0.3862	12.3641
17	199.9691	198.8866	0.3896	13.0427
18	199.9691	199.0860	0.3926	13.7146
19	199.9691	199.1110	0.3910	14.3905
20	199.9691	199.3438	0.3898	15.1513
21	199.9691	199.4862	0.3868	15.9898
22	199.9691	199.6350	0.3770	16.6626
23	199.9691	199.6381	0.3770	17.3349
24	199.9691	199.7126	0.3073	18.0078
25	199.9759	199.7474	0.3057	18.7221
26	199.9759	199.7583	0.3051	19.4101
27	199.9759	199.7644	0.3045	20.0834
28	199.9941	199.7793	0.3028	20.7598
29	199.9941	199.8076	0.2961	21.4334
30	199.9941	199.8246	0.2225	22.1088
31	199.9941	199.8375	0.2223	22.9962
32	199.9995	199.8746	0.2519	23.6819
33	199.9995	199.8882	0.2508	24.3578
34	199.9995	199.9034	0.2484	25.0366
35	199.9995	199.9309	0.2412	25.7151
36	199.9995	199.9390	0.2405	26.4051
37	199.9995	199.9637	0.1648	27.0994
38	199.9995	199.9722	0.1620	27.7929
39	199.9995	199.9760	0.1609	28.4743
40	199.9995	199.9773	0.1606	29.1512
41	199.9995	199.9907	0.0837	29.8386
42	199.9998	199.9946	0.0822	30.5414
43	199.9998	199.9957	0.1581	31.2228
44	199.9998	199.9979	0.1573	31.9903
45	200.0000	199.9984	0.1576	32.7373
46	200.0000	199.9988	0.1570	33.4282
47	200.0000	199.9989	0.1567	34.1053
48	200.0000	199.9991	0.1563	34.7910
49	200.0000	199.9993	0.1561	35.4660
50	200.0000	199.9996	0.0789	36.1383
51	200.0000	199.9997	0.0788	36.8323
52	200.0000	199.9999	0.0781	37.5061
53	200.0000	199.9999	0.0781	38.1813
54	200.0000	199.9999	0.0779	38.8806
55	200.0000	199.9999	0.0777	39.5603
56	200.0000	199.9999	0.0776	40.2477
57	200.0000	200.0000	0.0776	40.9327
58	200.0000	200.0000	0.0775	41.6062
59	200.0000	200.0000	0.0002	42.4395
60	200.0000	200.0000	0.0001	43.1581
61	200.0000	200.0000	0.0001	43.8511
62	200.0000	200.0000	0.0001	44.5333
63	200.0000	200.0000	0.0000	45.2058
64	200.0000	200.0000	0.0000	45.8868
65	200.0000	200.0000	0.0000	46.5882
66	200.0000	200.0000	0.0000	47.6680
67	200.0000	200.0000	0.0000	48.6405
68	200.0000	200.0000	0.0000	49.3717
69	200.0000	200.0000	0.0000	50.0576
70	200.0000	200.0000	0.0000	50.7655
71	200.0000	200.0000	0.0000	51.4557
72	200.0000	200.0000	0.0000	52.1293
73	200.0000	200.0000	0.0000	52.8030
74	200.0000	200.0000	0.0000	53.4720
75	200.0000	200.0000	0.0000	54.1525
76	200.0000	200.0000	0.0000	54.8706
77	200.0000	200.0000	0.0000	55.5429
78	200.0000	200.0000	0.0000	56.2220
79	200.0000	200.0000	0.0000	56.8988
80	200.0000	200.0000	0.0000	57.5838
81	200.0000	200.0000	0.0000	58.2716
82	200.0000	200.0000	0.0000	58.9478
83	200.0000	200.0000	0.0000	59.6228
84	200.0000	200.0000	0.0000	60.3020
85	200.0000	200.0000	0.0000	60.9801
86	200.0000	200.0000	0.0000	61.7526
87	200.0000	200.0000	0.0000	62.4270
88	200.0000	200.0000	0.0000	63.1027
89	200.0000	200.0000	0.0000	63.7813
90	200.0000	200.0000	0.0000	64.4581
91	200.0000	200.0000	0.0000	65.1612
92	200.0000	200.0000	0.0000	65.8717
93	200.0000	200.0000	0.0000	66.5612
94	200.0000	200.0000	0.0000	67.2441
95	200.0000	200.0000	0.0000	67.9278
96	200.0000	200.0000	0.0000	68.6204
97	200.0000	200.0000	0.0000	69.3052
98	200.0000	200.0000	0.0000	69.9892
99	200.0000	200.0000	0.0000	70.7252
100	200.0000	200.0000	0.0000	71.4099
101	200.0000	200.0000	0.0000	72.1099
102	200.0000	200.0000	0.0000	72.7913
103	200.0000	200.0000	0.0000	73.4749
104	200.0000	200.0000	0.0000	74.1563
105	200.0000	200.0000	0.0000	74.8439
106	200.0000	200.0000	0.0000	75.5434
107	200.0000	200.0000	0.0000	76.2310
108	200.0000	200.0000	0.0000	76.9153
109	200.0000	200.0000	0.0000	77.5940
110	200.0000	200.0000	0.0000	78.2688
111	200.0000	200.0000	0.0000	78.9788
112	200.0000	200.0000	0.0000	79.6731
113	200.0000	200.0000	0.0000	80.3647
114	200.0000	200.0000	0.0000	81.0835
115	200.0000	200.0000	0.0000	81.8036
116	200.0000	200.0000	0.0000	82.6461
117	200.0000	200.0000	0.0000	83.3297
118	200.0000	200.0000	0.0000	84.0137
119	200.0000	200.0000	0.0000	84.6961
120	200.0000	200.0000	0.0000	85.3996
121	200.0000	200.0000	0.0000	86.1228
122	200.0000	200.0000	0.0000	86.8104
123	200.0000	200.0000	0.0000	87.4970
124	200.0000	200.0000	0.0000	88.1753
125	200.0000	200.0000	0.0000	88.8538
126	200.0000	200.0000	0.0000	89.5588
127	200.0000	200.0000	0.0000	90.2433
128	200.0000	200.0000	0.0000	90.9803
129	200.0000	200.0000	0.0000	91.6693
130	200.0000	200.0000	0.0000	92.3569
131	200.0000	200.0000	0.0000	93.0643
132	200.0000	200.0000	0.0000	93.7488
133	200.0000	200.0000	0.0000	94.4340
134	200.0000	200.0000	0.0000	95.1221
135	200.0000	200.0000	0.0000	95.8066
136	200.0000	200.0000	0.0000	96.5047
137	200.0000	200.0000	0.0000	97.1913
138	200.0000	200.0000	0.0000	97.8754
139	200.0000	200.0000	0.0000	98.6736
140	200.0000	200.0000	0.0000	99.4544
141	200.0000	200.0000	0.0000	100.2316
142	200.0000	200.0000	0.0000	100.9104
143	200.0000	200.0000	0.0000	101.5897
144	200.0000	200.0000	0.0000	102.2770
145	200.0000	200.0000	0.0000	102.9868
146	200.0000	200.0000	0.0000	103.6839
147	200.0000	200.0000	0.0000	104.3677
148	200.0000	200.0000	0.0000	105.0565
149	200.0000	200.0000	0.0000	105.7441
150	200.0000	200.0000	0.0000	106.4239
151	200.0000	200.0000	0.0000	107.1329
152	200.0000	200.0000	0.0000	107.8143
153	200.0000	200.0000	0.0000	108.4948
154	200.0000	200.0000	0.0000	109.1802
155	200.0000	200.0000	0.0000	109.9091
156	200.0000	200.0000	0.0000	110.6102
157	200.0000	200.0000	0.0000	111.2945
158	200.0000	200.0000	0.0000	111.9752
159	200.0000	200.0000	0.0000	112.6575
160	200.0000	200.0000	0.0000	113.3423
161	200.0000	200.0000	0.0000	114.0368
162	200.0000	200.0000	0.0000	114.7246
163	200.0000	200.0000	0.0000	115.4499
164	200.0000	200.0000	0.0000	116.1604
165	200.0000	200.0000	0.0000	116.8416
166	200.0000	200.0000	0.0000	117.5413
167	200.0000	200.0000	0.0000	118.2251
168	200.0000	200.0000	0.0000	118.9594
169	200.0000	200.0000	0.0000	119.6840
170	200.0000	200.0000	0.0000	120.3640
171	200.0000	200.0000	0.0000	121.0527
172	200.0000	200.0000	0.0000	121.7282
173	200.0000	200.0000	0.0000	122.4053
174	200.0000	200.0000	0.0000	123.0919
175	200.0000	200.0000	0.0000	123.7752
176	200.0000	200.0000	0.0000	124.4791
177	200.0000	200.0000	0.0000	125.1605
178	200.0000	200.0000	0.0000	125.8440
179	200.0000	200.0000	0.0000	126.5318
180	200.0000	200.0000	0.0000	127.2142
181	200.0000	200.0000	0.0000	127.9085
182	200.0000	200.0000	0.0000	128.5913
183	200.0000	200.0000	0.0000	129.2739
184	200.0000	200.0000	0.0000	129.9551
185	200.0000	200.0000	0.0000	130.6438
186	200.0000	200.0000	0.0000	131.3393
187	200.0000	200.0000	0.0000	132.1478
188	200.0000	200.0000	0.0000	132.8681
189	200.0000	200.0000	0.0000	133.5452
190	200.0000	200.0000	0.0000	134.2275
191	200.0000	200.0000	0.0000	134.9266
192	200.0000	200.0000	0.0000	135.6070
193	200.0000	200.0000	0.0000	136.2898
194	200.0000	200.0000	0.0000	136.9770
195	200.0000	200.0000	0.0000	137.6812
196	200.0000	200.0000	0.0000	138.4749
197	200.0000	200.0000	0.0000	139.3518
