ID: e83cbfcc-de6d-4eff-b19b-46704d9df1ca	Date: 2018-05-02 02:13:05	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	184.9377	-10.4756	1.0000	0.9735
1	188.6539	61.5072	0.9404	1.6749
2	199.8607	138.5311	0.8319	2.3863
3	199.8607	159.0589	0.8046	3.0594
4	199.8607	169.5416	0.8135	3.7372
5	199.8607	177.0020	0.8091	4.5722
6	199.8607	184.2683	0.7175	5.2640
7	199.8607	189.9708	0.7598	5.9552
8	199.8607	193.7268	0.6961	6.6404
9	199.8607	194.7675	0.7897	7.3161
10	199.8607	195.3596	0.7442	7.9930
11	199.8607	196.0968	0.7021	8.6787
12	199.8607	196.1220	0.7085	9.3558
13	199.8607	196.1537	0.7097	10.0594
14	199.8607	196.5881	0.6449	10.7310
15	199.8885	196.8818	0.6228	11.4036
16	199.8885	197.6057	0.5395	12.0873
17	199.8885	197.7924	0.4291	12.7649
18	199.9631	198.3580	0.3311	13.4373
19	199.9631	198.5387	0.4096	14.1797
20	199.9631	198.7887	0.3992	14.8613
21	199.9631	199.0982	0.5210	15.5647
22	199.9631	199.2734	0.5005	16.3136
23	199.9631	199.4998	0.5824	16.9883
24	199.9631	199.5261	0.5777	17.6582
25	199.9973	199.6217	0.6656	18.3766
26	199.9973	199.7465	0.6656	19.0704
27	199.9975	199.7712	0.5194	19.7518
28	199.9975	199.7749	0.5154	20.4189
29	199.9986	199.7982	0.5153	21.0903
30	199.9996	199.8255	0.5142	21.7876
31	199.9996	199.8499	0.4137	22.5234
32	199.9996	199.8953	0.3148	23.3085
33	199.9996	199.9457	0.2090	23.9940
34	199.9998	199.9694	0.1084	24.6720
35	199.9998	199.9847	0.1063	25.3513
36	199.9998	199.9852	0.1057	26.0990
37	200.0000	199.9864	0.1041	26.7751
38	200.0000	199.9868	0.1039	27.4448
39	200.0000	199.9869	0.1034	28.1167
40	200.0000	199.9891	0.1009	28.7895
41	200.0000	199.9894	0.1000	29.4669
42	200.0000	199.9896	0.0996	30.1750
43	200.0000	199.9897	0.0994	30.8504
44	200.0000	199.9897	0.0994	31.5256
45	200.0000	199.9898	0.0993	32.2025
46	200.0000	199.9899	0.0990	33.1135
47	200.0000	199.9899	0.0988	33.7875
48	200.0000	199.9899	0.0988	34.5085
49	200.0000	200.0000	0.0003	35.1980
50	200.0000	200.0000	0.0003	35.8806
51	200.0000	200.0000	0.0002	36.5696
52	200.0000	200.0000	0.0001	37.2384
53	200.0000	200.0000	0.0001	37.9100
54	200.0000	200.0000	0.0001	38.6291
55	200.0000	200.0000	0.0001	39.3054
56	200.0000	200.0000	0.0000	39.9921
57	200.0000	200.0000	0.0000	40.6687
58	200.0000	200.0000	0.0000	41.3401
59	200.0000	200.0000	0.0000	42.0349
60	200.0000	200.0000	0.0000	42.7752
61	200.0000	200.0000	0.0000	43.4654
62	200.0000	200.0000	0.0000	44.1360
63	200.0000	200.0000	0.0000	44.8117
64	200.0000	200.0000	0.0000	45.4843
65	200.0000	200.0000	0.0000	46.1597
66	200.0000	200.0000	0.0000	46.8733
67	200.0000	200.0000	0.0000	47.5483
68	200.0000	200.0000	0.0000	48.2175
69	200.0000	200.0000	0.0000	48.9516
70	200.0000	200.0000	0.0000	49.7568
71	200.0000	200.0000	0.0000	50.4718
72	200.0000	200.0000	0.0000	51.1541
73	200.0000	200.0000	0.0000	51.9183
74	200.0000	200.0000	0.0000	52.5982
75	200.0000	200.0000	0.0000	53.2968
76	200.0000	200.0000	0.0000	53.9975
77	200.0000	200.0000	0.0000	54.6741
78	200.0000	200.0000	0.0000	55.3458
79	200.0000	200.0000	0.0000	56.0148
80	200.0000	200.0000	0.0000	56.6857
81	200.0000	200.0000	0.0000	57.3692
82	200.0000	200.0000	0.0000	58.0442
83	200.0000	200.0000	0.0000	58.7213
84	200.0000	200.0000	0.0000	59.3889
85	200.0000	200.0000	0.0000	60.0588
86	200.0000	200.0000	0.0000	60.7464
87	200.0000	200.0000	0.0000	61.4963
88	200.0000	200.0000	0.0000	62.2268
89	200.0000	200.0000	0.0000	62.8998
90	200.0000	200.0000	0.0000	63.5736
91	200.0000	200.0000	0.0000	64.2600
92	200.0000	200.0000	0.0000	64.9362
93	200.0000	200.0000	0.0000	65.6610
94	200.0000	200.0000	0.0000	66.4096
95	200.0000	200.0000	0.0000	67.0896
