ID: f2aae4f7-a577-4551-8e9d-8cb2decfa9f7	Date: 2018-05-02 01:58:20	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	195.2765	97.4027	1.0000	0.9601
1	199.0187	119.6329	0.9755	1.6348
2	199.0187	127.2954	0.8570	2.3000
3	199.0187	144.8586	0.7419	2.9664
4	199.0187	147.6315	0.7362	3.6302
5	199.0187	170.5692	0.8559	4.3271
6	199.0187	176.4962	0.8512	5.0080
7	199.0187	180.3571	0.8385	5.6698
8	199.0187	182.1360	0.8221	6.4175
9	199.0187	182.3062	0.8131	7.0803
10	199.0187	184.8328	0.7879	7.7467
11	199.8409	189.4234	0.7879	8.4815
12	199.8409	190.7683	0.8884	9.2716
13	199.8409	192.3595	0.9464	9.9378
14	199.8409	194.3326	0.9367	10.5989
15	199.8409	194.8928	0.8808	11.2653
16	199.8409	194.9400	0.8387	11.9407
17	199.8409	195.2320	0.7331	12.6452
18	199.8409	195.4546	0.6689	13.3083
19	199.9382	195.7141	0.6770	13.9680
20	199.9382	196.3622	0.7703	14.6272
21	199.9382	197.3674	0.7531	15.3060
22	199.9382	197.3786	0.7492	15.9683
23	199.9382	197.6851	0.7384	16.6693
24	199.9382	197.7526	0.7938	17.3247
25	199.9382	198.8485	0.7549	17.9861
26	199.9382	198.9751	0.7544	18.6653
27	199.9382	199.0102	0.7552	19.3198
28	199.9382	199.0651	0.8777	19.9809
29	199.9382	199.1160	0.7818	20.6809
30	199.9382	199.3154	0.7944	21.3485
31	199.9382	199.3154	0.7944	22.0253
32	199.9926	199.3560	0.7918	22.6867
33	199.9926	199.3796	0.7988	23.3550
34	199.9926	199.3889	0.7997	24.0209
35	199.9926	199.6171	0.7918	24.7171
36	199.9926	199.6238	0.7899	25.5673
37	199.9926	199.7124	0.7870	26.2923
38	199.9926	199.7126	0.7869	26.9587
39	199.9926	199.7126	0.7869	27.6332
40	199.9926	199.7564	0.7495	28.3518
41	199.9926	199.7704	0.6203	29.0339
42	199.9926	199.8192	0.7032	29.6972
43	199.9926	199.8257	0.7022	30.3972
44	199.9926	199.8508	0.7023	31.0757
45	199.9926	199.8532	0.7026	31.7516
46	199.9926	199.8737	0.5516	32.4676
47	199.9926	199.8805	0.5518	33.1385
48	199.9926	199.9011	0.5496	33.7999
49	199.9947	199.9240	0.5515	34.4636
50	199.9947	199.9256	0.5527	35.1484
51	199.9947	199.9322	0.5501	35.8486
52	199.9947	199.9431	0.4179	36.5338
53	199.9947	199.9508	0.4158	37.2148
54	199.9947	199.9642	0.4134	37.8766
55	199.9995	199.9684	0.4123	38.5370
56	199.9995	199.9824	0.7349	39.2494
57	199.9995	199.9830	0.7354	39.9089
58	199.9995	199.9842	0.7346	40.5943
59	199.9995	199.9861	0.7345	41.2586
60	199.9995	199.9878	0.7339	42.0156
61	199.9995	199.9891	0.7330	42.7790
62	199.9996	199.9902	0.8631	43.4418
63	199.9997	199.9915	0.8626	44.1003
64	199.9997	199.9919	0.8626	44.8041
65	199.9997	199.9940	0.8619	45.6316
66	199.9997	199.9940	0.8616	46.3114
67	199.9997	199.9974	0.7300	46.9713
68	199.9999	199.9981	0.5974	47.6360
69	199.9999	199.9986	0.5973	48.3444
70	199.9999	199.9989	0.5969	49.0084
71	199.9999	199.9990	0.5971	49.6826
72	199.9999	199.9991	0.5969	50.3442
73	199.9999	199.9992	0.5968	50.9999
74	200.0000	199.9994	0.5966	51.6622
75	200.0000	199.9994	0.3988	52.3262
76	200.0000	199.9994	0.3988	53.0021
77	200.0000	199.9996	0.4646	53.6649
78	200.0000	199.9997	0.4643	54.3442
79	200.0000	199.9998	0.4638	55.0053
80	200.0000	199.9999	0.4637	55.7079
81	200.0000	199.9999	0.4635	56.3843
82	200.0000	199.9999	0.4636	57.0438
83	200.0000	199.9999	0.4636	57.7037
84	200.0000	199.9999	0.4636	58.3653
85	200.0000	199.9999	0.4635	59.2220
86	200.0000	199.9999	0.4633	59.8979
87	200.0000	200.0000	0.4630	60.5705
88	200.0000	200.0000	0.4629	61.2297
89	200.0000	200.0000	0.3308	61.8901
90	200.0000	200.0000	0.3307	62.5505
91	200.0000	200.0000	0.3307	63.2229
92	200.0000	200.0000	0.3307	63.8814
93	200.0000	200.0000	0.3306	64.5690
94	200.0000	200.0000	0.3306	65.2294
95	200.0000	200.0000	0.3306	65.8920
96	200.0000	200.0000	0.3306	66.5655
97	200.0000	200.0000	0.3306	67.2297
98	200.0000	200.0000	0.3306	67.8895
99	200.0000	200.0000	0.3306	69.3321
100	200.0000	200.0000	0.3305	70.0293
101	200.0000	200.0000	0.3305	70.7352
102	200.0000	200.0000	0.3305	71.3992
103	200.0000	200.0000	0.3305	72.0620
104	200.0000	200.0000	0.3305	72.7313
105	200.0000	200.0000	0.3305	73.3957
106	200.0000	200.0000	0.3305	74.1022
107	200.0000	200.0000	0.3305	74.7685
108	200.0000	200.0000	0.3305	75.6118
109	200.0000	200.0000	0.3305	76.2861
110	200.0000	200.0000	0.3305	76.9541
111	200.0000	200.0000	0.5949	77.6310
112	200.0000	200.0000	0.5949	78.2969
113	200.0000	200.0000	0.5949	78.9673
114	200.0000	200.0000	0.4627	79.6318
115	200.0000	200.0000	0.4627	80.2977
116	200.0000	200.0000	0.4627	80.9710
117	200.0000	200.0000	0.4627	81.6319
118	200.0000	200.0000	0.3305	82.2966
119	200.0000	200.0000	0.3305	82.9668
120	200.0000	200.0000	0.3305	83.7786
121	200.0000	200.0000	0.3305	84.4636
122	200.0000	200.0000	0.3305	85.1324
123	200.0000	200.0000	0.3305	85.7978
124	200.0000	200.0000	0.1983	86.4618
125	200.0000	200.0000	0.1983	87.1305
126	200.0000	200.0000	0.1983	87.8158
127	200.0000	200.0000	0.0661	88.4929
128	200.0000	200.0000	0.0661	89.1569
129	200.0000	200.0000	0.0661	89.8149
130	200.0000	200.0000	0.0661	90.4727
131	200.0000	200.0000	0.0661	91.1503
132	200.0000	200.0000	0.0661	91.8849
133	200.0000	200.0000	0.0661	92.6831
134	200.0000	200.0000	0.0000	93.3719
135	200.0000	200.0000	0.0000	94.0318
136	200.0000	200.0000	0.0000	94.7025
137	200.0000	200.0000	0.0000	95.3672
138	200.0000	200.0000	0.0000	96.0362
139	200.0000	200.0000	0.0000	96.7040
140	200.0000	200.0000	0.0000	97.3692
141	200.0000	200.0000	0.0000	98.0496
142	200.0000	200.0000	0.0000	98.7175
143	200.0000	200.0000	0.0000	99.3867
144	200.0000	200.0000	0.0000	100.0535
145	200.0000	200.0000	0.0000	100.7271
146	200.0000	200.0000	0.0000	101.4111
147	200.0000	200.0000	0.0000	102.0825
148	200.0000	200.0000	0.0000	102.8907
149	200.0000	200.0000	0.0000	103.5678
150	200.0000	200.0000	0.0000	104.2430
151	200.0000	200.0000	0.0000	104.9347
152	200.0000	200.0000	0.0000	105.6011
153	200.0000	200.0000	0.0000	106.2677
154	200.0000	200.0000	0.0000	106.9334
155	200.0000	200.0000	0.0000	107.5966
156	200.0000	200.0000	0.0000	108.2816
157	200.0000	200.0000	0.0000	109.1352
158	200.0000	200.0000	0.0000	109.8089
159	200.0000	200.0000	0.0000	110.4758
160	200.0000	200.0000	0.0000	111.1510
161	200.0000	200.0000	0.0000	111.8293
162	200.0000	200.0000	0.0000	112.4976
163	200.0000	200.0000	0.0000	113.1701
164	200.0000	200.0000	0.0000	113.8432
165	200.0000	200.0000	0.0000	114.5120
166	200.0000	200.0000	0.0000	115.2008
167	200.0000	200.0000	0.0000	115.8698
168	200.0000	200.0000	0.0000	116.5392
169	200.0000	200.0000	0.0000	117.2101
170	200.0000	200.0000	0.0000	117.8818
171	200.0000	200.0000	0.0000	118.5646
172	200.0000	200.0000	0.0000	119.2391
173	200.0000	200.0000	0.0000	119.9059
174	200.0000	200.0000	0.0000	120.5792
175	200.0000	200.0000	0.0000	121.2499
176	200.0000	200.0000	0.0000	121.9394
177	200.0000	200.0000	0.0000	122.7496
178	200.0000	200.0000	0.0000	123.4212
179	200.0000	200.0000	0.0000	124.0959
180	200.0000	200.0000	0.0000	124.7749
181	200.0000	200.0000	0.0000	125.6514
182	200.0000	200.0000	0.0000	126.3187
183	200.0000	200.0000	0.0000	126.9934
184	200.0000	200.0000	0.0000	127.6650
185	200.0000	200.0000	0.0000	128.3374
186	200.0000	200.0000	0.0000	129.0243
187	200.0000	200.0000	0.0000	129.6935
188	200.0000	200.0000	0.0000	130.3620
189	200.0000	200.0000	0.0000	131.0334
190	200.0000	200.0000	0.0000	131.7074
191	200.0000	200.0000	0.0000	132.3950
192	200.0000	200.0000	0.0000	133.0705
193	200.0000	200.0000	0.0000	133.7469
194	200.0000	200.0000	0.0000	134.4159
195	200.0000	200.0000	0.0000	135.0887
