ID: fcdb4c17-7e2b-4552-8017-b7b2aa96fef0	Date: 2018-05-02 02:02:39	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	148.4321	-13.2471	1.0000	0.9437
1	182.8030	20.1295	1.0000	1.6582
2	189.7931	90.4501	0.9397	2.4452
3	191.7133	117.7659	0.9664	3.1235
4	191.7133	132.6538	0.9400	3.8204
5	196.1571	147.7631	0.7781	4.5345
6	196.1571	160.2908	0.8982	5.2209
7	199.0723	168.2634	0.8934	5.8920
8	199.4833	176.8319	0.7714	6.5641
9	199.4833	183.2521	0.6839	7.2339
10	199.4833	183.9546	0.6838	7.9455
11	199.4833	187.6742	0.6538	8.6288
12	199.4833	188.4229	0.5734	9.3956
13	199.8451	192.1371	0.4688	10.1652
14	199.8451	192.2283	0.5555	10.8349
15	199.8451	192.2296	0.5555	11.5075
16	199.9218	194.9871	0.4485	12.2607
17	199.9218	195.8713	0.4256	12.9354
18	199.9218	197.6056	0.5176	13.6092
19	199.9218	197.8858	0.5047	14.2829
20	199.9985	198.2366	0.5066	14.9541
21	199.9985	198.4103	0.5013	15.6446
22	199.9985	198.4581	0.4999	16.3503
23	199.9985	198.6936	0.4910	17.0269
24	199.9985	198.9840	0.4836	17.6973
25	199.9985	199.2127	0.3672	18.3911
26	199.9985	199.2248	0.3628	19.0828
27	199.9985	199.2469	0.3642	19.7585
28	199.9985	199.2692	0.3615	20.4768
29	199.9985	199.8829	0.1291	21.1799
30	199.9985	199.9527	0.0134	21.9519
31	199.9998	199.9650	0.0129	22.6359
32	199.9998	199.9884	0.0084	23.3107
33	199.9999	199.9915	0.0067	24.0078
34	199.9999	199.9970	0.0037	24.7090
35	199.9999	199.9982	0.0028	25.3806
36	199.9999	199.9986	0.0024	26.2454
37	200.0000	199.9988	0.0021	26.9172
38	200.0000	199.9993	0.0017	27.5931
39	200.0000	199.9995	0.0013	28.2693
40	200.0000	199.9996	0.0011	28.9390
41	200.0000	199.9996	0.0009	29.6288
42	200.0000	199.9999	0.0005	30.2994
43	200.0000	200.0000	0.0004	30.9937
44	200.0000	200.0000	0.0003	31.6713
45	200.0000	200.0000	0.0001	32.3710
46	200.0000	200.0000	0.0001	33.0503
47	200.0000	200.0000	0.0001	33.7217
48	200.0000	200.0000	0.0001	34.3926
49	200.0000	200.0000	0.0001	35.0826
50	200.0000	200.0000	0.0000	35.7640
51	200.0000	200.0000	0.0000	36.4580
52	200.0000	200.0000	0.0000	37.1523
53	200.0000	200.0000	0.0000	37.8246
54	200.0000	200.0000	0.0000	38.4963
55	200.0000	200.0000	0.0000	39.1669
56	200.0000	200.0000	0.0000	39.8524
57	200.0000	200.0000	0.0000	40.5319
58	200.0000	200.0000	0.0000	41.3098
59	200.0000	200.0000	0.0000	41.9822
60	200.0000	200.0000	0.0000	42.7635
61	200.0000	200.0000	0.0000	43.5190
62	200.0000	200.0000	0.0000	44.1928
63	200.0000	200.0000	0.0000	44.8656
64	200.0000	200.0000	0.0000	45.5632
65	200.0000	200.0000	0.0000	46.2422
66	200.0000	200.0000	0.0000	46.9222
67	200.0000	200.0000	0.0000	47.5976
68	200.0000	200.0000	0.0000	48.2731
69	200.0000	200.0000	0.0000	48.9447
70	200.0000	200.0000	0.0000	49.6471
71	200.0000	200.0000	0.0000	50.3557
72	200.0000	200.0000	0.0000	51.0268
73	200.0000	200.0000	0.0000	51.7209
74	200.0000	200.0000	0.0000	52.3982
75	200.0000	200.0000	0.0000	53.0732
76	200.0000	200.0000	0.0000	53.7791
77	200.0000	200.0000	0.0000	54.4505
78	200.0000	200.0000	0.0000	55.1271
79	200.0000	200.0000	0.0000	55.7959
80	200.0000	200.0000	0.0000	56.4694
81	200.0000	200.0000	0.0000	57.1542
82	200.0000	200.0000	0.0000	57.8294
83	200.0000	200.0000	0.0000	58.5041
84	200.0000	200.0000	0.0000	59.2525
85	200.0000	200.0000	0.0000	60.1609
86	200.0000	200.0000	0.0000	60.8721
87	200.0000	200.0000	0.0000	61.5671
88	200.0000	200.0000	0.0000	62.2447
89	200.0000	200.0000	0.0000	62.9277
90	200.0000	200.0000	0.0000	63.6039
91	200.0000	200.0000	0.0000	64.3036
92	200.0000	200.0000	0.0000	64.9865
93	200.0000	200.0000	0.0000	65.6693
94	200.0000	200.0000	0.0000	66.3457
95	200.0000	200.0000	0.0000	67.0276
96	200.0000	200.0000	0.0000	67.7168
97	200.0000	200.0000	0.0000	68.4190
98	200.0000	200.0000	0.0000	69.1028
99	200.0000	200.0000	0.0000	69.7765
100	200.0000	200.0000	0.0000	70.5492
101	200.0000	200.0000	0.0000	71.2547
102	200.0000	200.0000	0.0000	71.9371
103	200.0000	200.0000	0.0000	72.6640
104	200.0000	200.0000	0.0000	73.3466
105	200.0000	200.0000	0.0000	74.0204
106	200.0000	200.0000	0.0000	74.7397
107	200.0000	200.0000	0.0000	75.4189
108	200.0000	200.0000	0.0000	76.3116
109	200.0000	200.0000	0.0000	76.9908
110	200.0000	200.0000	0.0000	77.6708
111	200.0000	200.0000	0.0000	78.3627
112	200.0000	200.0000	0.0000	79.0412
113	200.0000	200.0000	0.0000	79.7682
114	200.0000	200.0000	0.0000	80.4555
115	200.0000	200.0000	0.0000	81.1305
116	200.0000	200.0000	0.0000	81.8188
117	200.0000	200.0000	0.0000	82.4931
118	200.0000	200.0000	0.0000	83.1735
119	200.0000	200.0000	0.0000	83.8528
120	200.0000	200.0000	0.0000	84.5306
121	200.0000	200.0000	0.0000	85.2461
122	200.0000	200.0000	0.0000	85.9208
123	200.0000	200.0000	0.0000	86.5960
124	200.0000	200.0000	0.0000	87.2934
125	200.0000	200.0000	0.0000	87.9729
126	200.0000	200.0000	0.0000	88.6681
127	200.0000	200.0000	0.0000	89.3984
128	200.0000	200.0000	0.0000	90.0807
129	200.0000	200.0000	0.0000	90.7602
130	200.0000	200.0000	0.0000	91.4400
131	200.0000	200.0000	0.0000	92.1569
132	200.0000	200.0000	0.0000	93.0417
133	200.0000	200.0000	0.0000	93.7181
134	200.0000	200.0000	0.0000	94.3937
135	200.0000	200.0000	0.0000	95.0706
136	200.0000	200.0000	0.0000	95.7882
137	200.0000	200.0000	0.0000	96.5137
138	200.0000	200.0000	0.0000	97.3232
139	200.0000	200.0000	0.0000	98.0456
140	200.0000	200.0000	0.0000	98.8288
141	200.0000	200.0000	0.0000	99.5536
142	200.0000	200.0000	0.0000	100.2483
143	200.0000	200.0000	0.0000	100.9510
144	200.0000	200.0000	0.0000	101.6531
145	200.0000	200.0000	0.0000	102.3290
146	200.0000	200.0000	0.0000	103.0354
147	200.0000	200.0000	0.0000	103.7307
148	200.0000	200.0000	0.0000	104.4149
149	200.0000	200.0000	0.0000	105.0940
150	200.0000	200.0000	0.0000	105.7689
151	200.0000	200.0000	0.0000	106.4637
152	200.0000	200.0000	0.0000	107.1415
153	200.0000	200.0000	0.0000	107.8205
154	200.0000	200.0000	0.0000	108.5696
155	200.0000	200.0000	0.0000	109.3409
156	200.0000	200.0000	0.0000	110.1224
157	200.0000	200.0000	0.0000	110.8022
158	200.0000	200.0000	0.0000	111.4771
159	200.0000	200.0000	0.0000	112.1581
160	200.0000	200.0000	0.0000	112.8373
161	200.0000	200.0000	0.0000	113.5283
162	200.0000	200.0000	0.0000	114.2023
163	200.0000	200.0000	0.0000	114.9075
164	200.0000	200.0000	0.0000	115.6054
165	200.0000	200.0000	0.0000	116.2806
166	200.0000	200.0000	0.0000	116.9634
167	200.0000	200.0000	0.0000	117.7292
168	200.0000	200.0000	0.0000	118.4335
169	200.0000	200.0000	0.0000	119.1113
170	200.0000	200.0000	0.0000	119.7855
171	200.0000	200.0000	0.0000	120.5249
172	200.0000	200.0000	0.0000	121.2151
173	200.0000	200.0000	0.0000	121.8963
174	200.0000	200.0000	0.0000	122.5758
175	200.0000	200.0000	0.0000	123.2522
176	200.0000	200.0000	0.0000	123.9583
177	200.0000	200.0000	0.0000	124.6636
178	200.0000	200.0000	0.0000	125.3409
179	200.0000	200.0000	0.0000	126.1938
180	200.0000	200.0000	0.0000	126.8833
181	200.0000	200.0000	0.0000	127.7652
182	200.0000	200.0000	0.0000	128.4564
183	200.0000	200.0000	0.0000	129.1366
184	200.0000	200.0000	0.0000	129.8206
185	200.0000	200.0000	0.0000	130.5008
186	200.0000	200.0000	0.0000	131.1908
187	200.0000	200.0000	0.0000	131.8727
188	200.0000	200.0000	0.0000	132.5481
189	200.0000	200.0000	0.0000	133.2262
190	200.0000	200.0000	0.0000	133.8992
191	200.0000	200.0000	0.0000	134.5916
192	200.0000	200.0000	0.0000	135.2916
193	200.0000	200.0000	0.0000	135.9725
194	200.0000	200.0000	0.0000	136.6475
195	200.0000	200.0000	0.0000	137.4469
196	200.0000	200.0000	0.0000	138.1383
197	200.0000	200.0000	0.0000	138.8204
198	200.0000	200.0000	0.0000	139.4951
199	200.0000	200.0000	0.0000	140.1765
Pos: [-3.779310249001537, -3.283186001195092]

