ID: himmelblau	Date: 2018-06-15 00:00:32	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	199.4885	18.6402	0.0000	101.2228
1	199.4885	-18.9569	0.0000	151.2201
2	199.4885	1.1846	0.0000	200.9571
3	199.4885	20.8719	0.0000	249.8262
4	199.4885	57.8935	0.0000	298.6317
5	199.4885	92.9719	0.0000	346.9737
6	199.4885	92.3845	0.0000	395.1371
7	199.4885	122.8890	0.0000	444.5379
8	199.4885	137.3239	0.0000	497.8716
9	199.4885	119.6431	0.0000	550.5486
10	199.9706	136.1367	0.0000	602.7551
11	199.9706	137.7118	0.0000	656.8868
12	199.9835	169.1794	0.0000	709.4052
13	199.9835	159.5851	0.0000	761.5623
14	199.9835	154.1986	0.0000	814.2133
15	199.9835	165.8915	0.0000	867.9576
16	199.9835	176.9276	0.0000	922.5073
17	199.9835	180.7750	0.0000	975.3408
18	199.9835	184.3284	0.0000	1028.0530
19	199.9835	183.0781	0.0000	1081.6586
20	199.9835	184.8023	0.0000	1135.4129
21	199.9835	181.0189	0.0000	1195.0867
22	199.9835	187.8480	0.0000	1254.5161
23	199.9835	185.7108	0.0000	1313.2663
24	199.9835	190.8691	0.0000	1374.8269
25	199.9835	188.8706	0.0000	1433.5811
26	199.9998	190.4434	0.0000	1492.6093
27	199.9998	190.2559	0.0000	1551.3046
28	199.9998	194.0288	0.0000	1609.9868
29	199.9998	191.3704	0.0000	1668.8359
30	199.9998	191.8028	0.0000	1728.4973
31	199.9998	192.4569	0.0000	1788.8999
32	199.9998	194.8198	0.0000	1848.0449
33	199.9998	194.3386	0.0000	1906.8146
34	199.9998	195.2500	0.0000	1965.9121
35	199.9998	194.7991	0.0000	2024.8125
36	199.9998	197.2801	0.0000	2083.7789
37	199.9999	196.2092	0.0000	2143.9033
38	199.9999	196.1613	0.0000	2202.7647
39	199.9999	195.4542	0.0000	2263.2141
40	199.9999	197.2261	0.0000	2323.5486
41	199.9999	195.2250	0.0000	2382.5536
42	199.9999	197.9247	0.0000	2441.4110
43	199.9999	197.0807	0.0000	2500.5124
44	199.9999	195.5316	0.0000	2559.3863
45	199.9999	196.6806	0.0000	2617.8012
46	199.9999	196.5676	0.0000	2677.2356
47	199.9999	196.9476	0.0000	2736.7961
48	199.9999	198.2363	0.0000	2795.6927
49	199.9999	197.2650	0.0000	2856.4713
50	199.9999	197.3959	0.0000	2916.2357
51	199.9999	198.4949	0.0000	2975.9469
52	199.9999	198.2387	0.0000	3035.0173
53	199.9999	197.8322	0.0000	3094.9819
54	199.9999	197.6197	0.0000	3155.1874
55	199.9999	198.4971	0.0000	3215.4350
56	199.9999	198.6216	0.0000	3276.2895
57	199.9999	198.7342	0.0000	3336.2658
58	199.9999	198.6184	0.0000	3395.7162
59	199.9999	198.3240	0.0000	3455.0033
60	199.9999	198.8585	0.0000	3514.5087
61	199.9999	199.0019	0.0000	3574.1644
62	199.9999	199.0048	0.0000	3634.5859
63	199.9999	199.2347	0.0000	3693.9919
64	199.9999	199.2436	0.0000	3754.4427
65	199.9999	199.4448	0.0000	3813.8995
66	199.9999	198.8251	0.0000	3872.9389
67	199.9999	199.4116	0.0000	3932.7178
68	199.9999	199.1246	0.0000	3992.1453
69	199.9999	199.1985	0.0000	4050.6394
70	199.9999	199.4695	0.0000	4110.4903
71	199.9999	199.3662	0.0000	4169.2128
72	199.9999	199.2319	0.0000	4227.9801
73	200.0000	199.2951	0.0000	4288.1229
74	200.0000	199.0731	0.0000	4346.5531
75	200.0000	199.4511	0.0000	4405.3814
76	200.0000	199.6416	0.0000	4464.2723
77	200.0000	199.1973	0.0000	4523.4118
78	200.0000	199.6361	0.0000	4583.1499
79	200.0000	199.3269	0.0000	4642.2427
80	200.0000	199.7026	0.0000	4701.9155
81	200.0000	199.7505	0.0000	4761.8346
82	200.0000	199.7507	0.0000	4823.2994
83	200.0000	199.7395	0.0000	4883.2419
84	200.0000	199.8653	0.0000	4943.5108
85	200.0000	199.7748	0.0000	5002.3046
86	200.0000	199.5705	0.0000	5061.4300
87	200.0000	199.6489	0.0000	5119.9834
88	200.0000	199.6522	0.0000	5174.0558
89	200.0000	199.7756	0.0000	5226.4192
90	200.0000	199.8327	0.0000	5280.1771
91	200.0000	199.7557	0.0000	5332.8748
92	200.0000	199.7345	0.0000	5385.2794
93	200.0000	199.7838	0.0000	5438.2317
94	200.0000	199.8390	0.0000	5491.5464
95	200.0000	199.8356	0.0000	5544.5457
96	200.0000	199.8663	0.0000	5597.9440
97	200.0000	199.8395	0.0000	5650.4779
98	200.0000	199.8650	0.0000	5702.6956
99	200.0000	199.8931	0.0000	5755.7433
100	200.0000	199.9061	0.0000	5808.4333
101	200.0000	199.8486	0.0000	5862.1414
102	200.0000	199.8823	0.0000	5915.5347
103	200.0000	199.8813	0.0000	5968.6656
104	200.0000	199.8903	0.0000	6020.8304
105	200.0000	199.8305	0.0000	6073.1003
106	200.0000	199.9152	0.0000	6126.5748
107	200.0000	199.8377	0.0000	6179.6091
108	200.0000	199.9129	0.0000	6233.3040
109	200.0000	199.9029	0.0000	6285.7370
110	200.0000	199.8685	0.0000	6338.1562
111	200.0000	199.8669	0.0000	6391.0339
112	200.0000	199.8946	0.0000	6445.1058
113	200.0000	199.8739	0.0000	6497.7939
114	200.0000	199.8774	0.0000	6551.1749
115	200.0000	199.8932	0.0000	6603.7588
116	200.0000	199.8721	0.0000	6653.9805
117	200.0000	199.9425	0.0000	6701.9007
118	200.0000	199.9312	0.0000	6750.3066
119	200.0000	199.8959	0.0000	6798.9795
120	200.0000	199.9722	0.0000	6847.7659
121	200.0000	199.9721	0.0000	6895.6029
122	200.0000	199.9257	0.0000	6944.5648
123	200.0000	199.9403	0.0000	6995.7895
124	200.0000	199.9172	0.0000	7048.1477
125	200.0000	199.9421	0.0000	7100.6377
126	200.0000	199.9381	0.0000	7152.9763
127	200.0000	199.8726	0.0000	7206.1803
128	200.0000	199.9452	0.0000	7259.0311
129	200.0000	199.9418	0.0000	7310.8556
130	200.0000	199.9309	0.0000	7362.8473
131	200.0000	199.9081	0.0000	7415.6802
132	200.0000	199.9119	0.0000	7469.2760
133	200.0000	199.9369	0.0000	7523.0479
134	200.0000	199.9592	0.0000	7576.0739
135	200.0000	199.9513	0.0000	7629.6241
136	200.0000	199.9863	0.0000	7683.4178
137	200.0000	199.9622	0.0000	7736.0075
138	200.0000	199.9613	0.0000	7789.0205
139	200.0000	199.9451	0.0000	7841.7625
140	200.0000	199.9605	0.0000	7894.5067
141	200.0000	199.9631	0.0000	7947.3746
142	200.0000	199.9736	0.0000	8000.4632
143	200.0000	199.9590	0.0000	8053.1070
144	200.0000	199.9578	0.0000	8105.4244
145	200.0000	199.9797	0.0000	8158.4167
146	200.0000	199.9830	0.0000	8211.3924
147	200.0000	199.9757	0.0000	8263.9718
148	200.0000	199.9714	0.0000	8317.0183
149	200.0000	199.9632	0.0000	8369.9346
150	200.0000	199.9843	0.0000	8423.0652
151	200.0000	199.9803	0.0000	8476.6736
152	200.0000	199.9649	0.0000	8529.2652
153	200.0000	199.9688	0.0000	8581.9247
154	200.0000	199.9770	0.0000	8635.5219
155	200.0000	199.9753	0.0000	8688.1511
156	200.0000	199.9843	0.0000	8741.8270
157	200.0000	199.9890	0.0000	8795.7258
158	200.0000	199.9819	0.0000	8848.8479
159	200.0000	199.9888	0.0000	8903.0945
160	200.0000	199.9784	0.0000	8957.3367
161	200.0000	199.9903	0.0000	9010.5917
162	200.0000	199.9449	0.0000	9064.3611
163	200.0000	199.9889	0.0000	9117.5537
164	200.0000	199.9904	0.0000	9175.6706
165	200.0000	199.9865	0.0000	9234.4353
166	200.0000	199.9891	0.0000	9293.7205
167	200.0000	199.9852	0.0000	9352.0792
168	200.0000	199.9910	0.0000	9410.2418
169	200.0000	199.9928	0.0000	9468.5166
170	200.0000	199.9887	0.0000	9527.5755
171	200.0000	199.9911	0.0000	9588.1581
172	200.0000	199.9892	0.0000	9647.8224
173	200.0000	199.9937	0.0000	9708.1420
174	200.0000	199.9909	0.0000	9767.9639
175	200.0000	199.9938	0.0000	9829.4454
176	200.0000	199.9907	0.0000	9889.2887
177	200.0000	199.9914	0.0000	9949.5580
178	200.0000	199.9890	0.0000	10010.5469
179	200.0000	199.9873	0.0000	10070.3428
180	200.0000	199.9933	0.0000	10130.9056
181	200.0000	199.9425	0.0000	10191.2882
182	200.0000	199.9469	0.0000	10252.7192
183	200.0000	199.9461	0.0000	10312.4752
184	200.0000	199.9951	0.0000	10372.9153
185	200.0000	199.9935	0.0000	10431.9966
186	200.0000	199.9919	0.0000	10491.8017
187	200.0000	199.9917	0.0000	10552.3925
188	200.0000	199.8992	0.0000	10612.8054
189	200.0000	199.9486	0.0000	10673.3813
190	200.0000	199.9978	0.0000	10733.3024
191	200.0000	199.9949	0.0000	10793.0541
192	200.0000	199.9946	0.0000	10851.9430
193	200.0000	199.9957	0.0000	10911.8555
194	200.0000	199.9479	0.0000	10970.9184
195	200.0000	199.9914	0.0000	11029.5570
196	200.0000	199.9961	0.0000	11091.2778
197	200.0000	199.9961	0.0000	11152.2839
198	200.0000	199.9951	0.0000	11213.1245
199	200.0000	199.9958	0.0000	11272.7025
200	200.0000	199.9956	0.0000	11333.3738
201	200.0000	199.9968	0.0000	11392.7279
202	200.0000	199.9954	0.0000	11451.3123
203	200.0000	199.9956	0.0000	11510.0574
204	200.0000	199.9476	0.0000	11568.9731
205	200.0000	199.9962	0.0000	11628.2055
206	200.0000	199.9940	0.0000	11687.1262
207	200.0000	199.9480	0.0000	11745.1487
208	200.0000	199.9992	0.0000	11806.6146
209	200.0000	199.9968	0.0000	11866.0116
210	200.0000	199.9960	0.0000	11925.6539
211	200.0000	199.9952	0.0000	11985.2788
212	200.0000	199.9989	0.0000	12046.4919
213	200.0000	199.9977	0.0000	12105.8514
214	200.0000	199.9987	0.0000	12164.7785
215	200.0000	199.9983	0.0000	12225.7202
216	200.0000	199.9956	0.0000	12288.8653
217	200.0000	199.9977	0.0000	12347.7929
218	200.0000	199.9983	0.0000	12408.6363
219	200.0000	199.9988	0.0000	12468.1764
220	200.0000	199.9994	0.0000	12526.3014
221	200.0000	199.9978	0.0000	12586.6380
222	200.0000	199.9987	0.0000	12647.0251
223	200.0000	199.9982	0.0000	12706.4869
224	200.0000	199.9989	0.0000	12766.9358
225	200.0000	199.9993	0.0000	12826.0601
226	200.0000	199.9988	0.0000	12886.1828
227	200.0000	199.9989	0.0000	12945.9441
228	200.0000	199.9993	0.0000	13004.9119
229	200.0000	199.9987	0.0000	13064.0283
230	200.0000	199.9993	0.0000	13123.2727
231	200.0000	199.9996	0.0000	13176.7600
232	200.0000	199.9518	0.0000	13224.7047
233	200.0000	199.9992	0.0000	13272.2225
234	200.0000	199.9984	0.0000	13320.1332
235	200.0000	199.9985	0.0000	13369.2822
236	200.0000	199.9989	0.0000	13417.8569
237	200.0000	199.9989	0.0000	13466.0263
238	200.0000	199.9988	0.0000	13515.7671
239	200.0000	199.9992	0.0000	13567.9162
240	200.0000	199.9985	0.0000	13621.0208
241	200.0000	199.9521	0.0000	13673.6143
242	200.0000	199.9990	0.0000	13728.6656
243	200.0000	199.9988	0.0000	13781.6770
244	200.0000	199.9991	0.0000	13834.0847
245	200.0000	199.9992	0.0000	13888.5300
246	200.0000	199.9991	0.0000	13941.9467
247	200.0000	199.9988	0.0000	13996.0425
248	200.0000	199.9988	0.0000	14048.2218
