ID: vincent	Date: 2018-06-04 17:37:59	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	0.9963	0.2511	1.0000	25187.9389
1	0.9963	0.3122	0.9982	52375.5593
2	0.9963	0.3844	0.9967	79466.4402
3	0.9963	0.4344	0.9958	106512.9170
4	0.9963	0.4668	0.9961	134822.8619
5	0.9985	0.5006	0.9957	162804.3010
6	0.9985	0.5327	0.9960	193229.7189
7	0.9985	0.5465	0.9965	221073.2396
8	0.9993	0.5743	0.9954	252448.5126
9	0.9993	0.5967	0.9957	282245.7614
10	0.9993	0.6195	0.9952	310118.4061
11	0.9993	0.6439	0.9950	337565.0327
12	0.9993	0.6565	0.9944	365612.9346
13	0.9993	0.6804	0.9936	397624.9473
14	0.9995	0.6968	0.9934	435074.2640
15	0.9995	0.7038	0.9927	467149.9758
16	0.9995	0.7049	0.9922	498277.4718
17	0.9995	0.7384	0.9913	527561.2257
18	0.9995	0.7581	0.9912	556715.8327
19	0.9995	0.7716	0.9902	586647.6834
20	0.9995	0.7690	0.9898	617884.3293
21	0.9995	0.7835	0.9889	650193.0952
22	0.9995	0.7952	0.9889	681377.1377
23	0.9997	0.8054	0.9890	712176.4832
24	0.9997	0.8090	0.9885	743617.6312
25	0.9997	0.8217	0.9881	773107.3923
26	0.9998	0.8282	0.9882	802641.4428
27	0.9999	0.8323	0.9879	832021.4484
28	0.9999	0.8468	0.9871	861649.1442
29	0.9999	0.8539	0.9862	891039.3009
30	0.9999	0.8495	0.9865	920181.8764
31	0.9999	0.8651	0.9859	949579.3283
32	0.9999	0.8686	0.9853	978864.9848
33	0.9999	0.8737	0.9852	1008291.6026
34	0.9999	0.8848	0.9848	1037678.0431
35	0.9999	0.8837	0.9845	1071548.7170
36	1.0000	0.8916	0.9840	1103777.0221
37	1.0000	0.8883	0.9837	1137427.8698
38	1.0000	0.8989	0.9835	1167930.5460
39	1.0000	0.8970	0.9831	1197099.6406
40	1.0000	0.9033	0.9829	1226364.3644
41	1.0000	0.9064	0.9824	1256147.6133
42	1.0000	0.9041	0.9820	1285597.5599
43	1.0000	0.9121	0.9816	1316233.8154
44	1.0000	0.9278	0.9815	1347630.9872
45	1.0000	0.9285	0.9813	1379778.5709
46	1.0000	0.9237	0.9809	1410666.2107
47	1.0000	0.9310	0.9803	1440863.4202
48	1.0000	0.9356	0.9796	1471498.1785
49	1.0000	0.9396	0.9792	1501489.8794
50	1.0000	0.9368	0.9788	1531395.1867
51	1.0000	0.9491	0.9784	1564429.3270
52	1.0000	0.9504	0.9780	1593442.3234
53	1.0000	0.9544	0.9778	1624772.2628
54	1.0000	0.9599	0.9777	1653654.6264
55	1.0000	0.9563	0.9773	1681838.0764
56	1.0000	0.9604	0.9773	1709957.2201
57	1.0000	0.9596	0.9771	1738672.1492
58	1.0000	0.9623	0.9768	1767263.4335
59	1.0000	0.9609	0.9766	1797341.5067
60	1.0000	0.9656	0.9762	1828460.3851
61	1.0000	0.9690	0.9760	1857971.7991
62	1.0000	0.9689	0.9756	1887079.7238
63	1.0000	0.9666	0.9753	1917014.2105
64	1.0000	0.9716	0.9750	1947177.8386
65	1.0000	0.9736	0.9748	1977096.4437
66	1.0000	0.9748	0.9747	2006922.6391
67	1.0000	0.9744	0.9745	2036218.7915
68	1.0000	0.9732	0.9745	2065389.5524
69	1.0000	0.9751	0.9742	2094253.7625
70	1.0000	0.9783	0.9742	2124918.8945
71	1.0000	0.9755	0.9740	2154941.5092
72	1.0000	0.9758	0.9738	2185866.0347
73	1.0000	0.9801	0.9735	2216045.9647
74	1.0000	0.9810	0.9736	2244282.1224
75	1.0000	0.9815	0.9735	2271753.4788
76	1.0000	0.9818	0.9735	2300195.7135
77	1.0000	0.9841	0.9734	2327879.2241
78	1.0000	0.9830	0.9731	2355543.3285
79	1.0000	0.9796	0.9730	2384743.2978
Pos: [4.111256618249957, 7.70624284851074, 7.706378458412869]

=================================================================================================================
