ID: shubert	Date: 2018-06-14 15:02:03	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	1813.5284	47.4451	1.0000	34218.0591
1	1813.5284	62.9224	1.0000	69329.2418
2	1813.5284	84.0041	0.9995	103217.4141
3	1813.5284	98.3796	0.9997	137923.8002
4	1813.5284	120.3875	1.0000	172815.8782
5	1813.5284	130.0523	1.0000	207497.8497
6	2273.8520	146.9400	0.9995	244819.6204
7	2273.8520	164.1535	0.9993	281188.1061
8	2273.8520	173.6052	0.9987	318039.5753
9	2273.8520	198.6937	0.9984	352515.9130
10	2545.1350	208.1055	0.9988	385171.4022
11	2545.1350	229.8835	0.9998	417812.2818
12	2545.1350	221.9384	0.9988	450250.4385
13	2545.1350	238.3736	0.9993	482458.6132
14	2545.1350	258.2982	0.9991	514963.7415
15	2545.1350	262.4989	0.9991	549206.5654
16	2545.1350	292.3888	0.9990	581884.0680
17	2665.7404	306.2985	0.9980	614512.7373
18	2665.7404	311.9755	0.9971	647099.2455
19	2665.7404	346.8472	0.9978	680263.2859
20	2665.7404	353.7188	0.9981	713557.3976
21	2665.7404	356.0563	0.9977	746720.4096
22	2665.7404	393.1871	0.9972	779976.8240
23	2665.7404	408.4540	0.9975	813147.4366
24	2665.7404	413.0018	0.9979	846358.7322
25	2665.7404	417.4879	0.9986	879969.5456
26	2665.7404	428.4015	0.9988	913117.7001
27	2665.7404	447.4108	0.9987	951496.7468
28	2665.7404	476.3921	0.9975	984103.7803
29	2665.7404	488.3185	0.9973	1016855.4094
30	2665.7404	482.7175	0.9984	1049826.7210
31	2665.7404	506.5379	0.9973	1083412.9577
32	2665.7404	541.9063	0.9976	1116159.0130
33	2665.7404	541.1495	0.9953	1151625.9255
34	2665.7404	557.6652	0.9931	1189132.8051
35	2665.7404	569.7676	0.9910	1223975.0531
36	2665.7404	593.9291	0.9911	1258937.7971
37	2665.7404	597.1031	0.9905	1292564.7552
38	2665.7404	631.6432	0.9906	1329873.9898
39	2665.7404	634.2745	0.9906	1365579.9000
40	2665.7404	644.2058	0.9904	1402656.5597
41	2665.7404	668.1044	0.9909	1440991.9009
42	2665.7404	717.5767	0.9915	1480493.8083
43	2665.7404	729.8803	0.9908	1519538.8176
44	2690.5053	732.7327	0.9908	1557795.7556
45	2690.5053	769.1931	0.9909	1596487.9475
46	2690.5053	818.5845	0.9904	1631612.9181
47	2690.5053	775.5560	0.9903	1667237.2947
48	2690.5053	792.4980	0.9905	1701054.2352
49	2690.5053	808.4957	0.9897	1734969.0032
50	2690.5053	854.5709	0.9885	1768201.8776
51	2690.5053	881.6788	0.9876	1800568.8283
52	2691.5439	846.8424	0.9872	1833549.1092
53	2691.5439	893.6077	0.9868	1866661.4549
54	2691.5439	922.7046	0.9869	1899519.1724
55	2691.5439	963.8490	0.9855	1933021.2252
56	2691.5439	972.5543	0.9853	1964126.3514
57	2700.6249	945.9388	0.9841	1997397.2340
58	2700.6249	921.6552	0.9841	2031776.5598
59	2700.6249	969.7492	0.9843	2064116.2241
60	2700.6249	948.3442	0.9837	2096400.8522
61	2700.6249	1000.7483	0.9836	2128753.2196
62	2700.6249	1018.7917	0.9842	2161151.0153
63	2700.6249	1002.6669	0.9829	2193597.5769
64	2700.6249	1033.5023	0.9825	2226070.6451
65	2700.6249	1067.5668	0.9830	2258699.5902
66	2700.6249	1066.0636	0.9832	2290237.9689
67	2700.6249	1073.8313	0.9835	2320208.8854
68	2703.2225	1099.0986	0.9832	2350243.7725
69	2703.2225	1076.9649	0.9827	2381143.3084
70	2703.2225	1074.4155	0.9821	2414246.5394
71	2703.2225	1117.9474	0.9820	2446966.0196
72	2703.2225	1121.3847	0.9818	2479218.1051
73	2703.2225	1099.4693	0.9813	2511554.7395
74	2703.2225	1166.4354	0.9811	2542981.4689
75	2703.2225	1147.1372	0.9812	2575517.6756
76	2703.2225	1115.7724	0.9803	2608524.3685
77	2703.2225	1116.0837	0.9808	2640097.4939
78	2703.2225	1162.1587	0.9813	2673561.2922
79	2706.6399	1180.0533	0.9819	2706890.9171
80	2706.6399	1236.2786	0.9816	2739868.8629
81	2706.6399	1197.2209	0.9816	2772709.7471
82	2706.6399	1203.1171	0.9810	2806654.6686
83	2706.6399	1180.1851	0.9813	2838343.5192
84	2706.6399	1179.5008	0.9812	2870132.1547
85	2706.6399	1193.7607	0.9804	2904960.3076
86	2706.6399	1245.4458	0.9803	2938821.8822
87	2706.6399	1238.5554	0.9800	2972918.1867
88	2706.6399	1269.1211	0.9803	3008866.1287
89	2707.2473	1280.3050	0.9803	3044152.1859
90	2707.2473	1257.9716	0.9810	3079386.3900
91	2707.2473	1271.8163	0.9810	3115509.9103
92	2707.2473	1305.5233	0.9810	3151504.5617
93	2707.2473	1252.3645	0.9797	3187569.8922
94	2707.2473	1334.9883	0.9804	3223215.0381
95	2707.2473	1274.2231	0.9799	3263257.1051
96	2707.2473	1304.3201	0.9797	3302879.8664
97	2707.2473	1307.0804	0.9789	3339655.5023
98	2708.4567	1352.7155	0.9789	3375483.1741
99	2708.4567	1333.4363	0.9778	3408319.4160
100	2708.4567	1380.3643	0.9779	3442994.0660
101	2708.4567	1311.5157	0.9782	3478886.9245
102	2708.4567	1320.8067	0.9779	3512417.9111
103	2708.4567	1310.9979	0.9776	3547650.1906
104	2708.4567	1376.1823	0.9772	3582110.0709
105	2708.4567	1400.9742	0.9771	3615650.0010
106	2708.4567	1361.4318	0.9771	3652898.1304
107	2708.4567	1415.4141	0.9772	3687332.5584
108	2708.4567	1350.0363	0.9769	3732394.0077
109	2708.4567	1418.8816	0.9760	3767147.9471
110	2708.4567	1405.3357	0.9761	3801506.9594
111	2708.4567	1355.5272	0.9758	3844514.7700
112	2708.4567	1386.1309	0.9757	3896548.3170
113	2708.4567	1383.3820	0.9764	3931485.3985
114	2708.4567	1391.7320	0.9753	3969353.5068
115	2708.4567	1400.6233	0.9756	4029542.2769
116	2708.4567	1391.0962	0.9736	4089858.2909
117	2708.4567	1393.6394	0.9738	4150574.0268
118	2708.4567	1403.6059	0.9737	4197445.6229
119	2708.4567	1393.4263	0.9729	4231801.3155
120	2708.4567	1382.0493	0.9723	4267722.2700
121	2708.4567	1419.2199	0.9721	4307503.3684
122	2708.4567	1403.2569	0.9719	4350446.4588
123	2708.4567	1430.7768	0.9717	4387614.2972
124	2708.4567	1468.9731	0.9715	4432765.5125
125	2708.4567	1444.3090	0.9721	4492423.1386
126	2708.4567	1427.5716	0.9722	4552088.8777
127	2708.4567	1444.5054	0.9729	4589972.6439
128	2708.4567	1454.9601	0.9730	4622680.8767
129	2708.4567	1465.6843	0.9734	4655156.6060
130	2708.4567	1465.6173	0.9736	4687535.0828
131	2708.4567	1427.1291	0.9743	4720070.3118
132	2708.4567	1478.2737	0.9750	4752700.9745
133	2708.4567	1421.9314	0.9748	4785312.0835
134	2708.4567	1449.9134	0.9750	4832620.7740
135	2708.4567	1505.4443	0.9752	4896644.6111
136	2708.4567	1502.7886	0.9755	4960697.3844
137	2708.4567	1460.1284	0.9756	5024809.5126
138	2708.4567	1484.8068	0.9755	5088902.5688
139	2708.4567	1493.9088	0.9757	5152157.5503
140	2708.4567	1504.0266	0.9766	5198369.6389
141	2708.4567	1474.8921	0.9765	5229919.5724
142	2708.4567	1453.7222	0.9776	5261487.7088
143	2708.6629	1496.8847	0.9774	5292907.9478
144	2708.6629	1461.5376	0.9772	5323562.1486
145	2708.6629	1511.0223	0.9785	5352679.3182
146	2708.6629	1496.9782	0.9780	5381733.8264
147	2708.6629	1474.2960	0.9777	5412429.6203
148	2708.9112	1521.9912	0.9777	5441465.9765
149	2708.9112	1510.9630	0.9777	5470491.0274
150	2708.9112	1510.7438	0.9766	5499608.5212
151	2708.9112	1542.8812	0.9767	5528597.1868
152	2708.9112	1471.8564	0.9762	5557677.7000
153	2709.0114	1542.2412	0.9761	5586766.3078
154	2709.0114	1510.8896	0.9763	5617572.7777
155	2709.0114	1532.9434	0.9769	5646655.4821
156	2709.0114	1533.2509	0.9771	5675657.8121
157	2709.0114	1515.1658	0.9769	5704809.4261
158	2709.0114	1529.4023	0.9771	5733860.7695
159	2709.0114	1516.1547	0.9772	5762916.7919
160	2709.0114	1525.7200	0.9774	5792055.0504
161	2709.0114	1519.4288	0.9781	5822517.5941
162	2709.0114	1509.3951	0.9788	5853184.2182
163	2709.0114	1505.7870	0.9788	5882167.4688
164	2709.0114	1519.8149	0.9791	5911146.9195
165	2709.0114	1555.6527	0.9781	5940067.3416
166	2709.0114	1486.3833	0.9780	5969127.2247
167	2709.0114	1528.0544	0.9783	5999674.4268
168	2709.0114	1531.1430	0.9783	6028699.8706
169	2709.0114	1527.1643	0.9783	6057624.1438
170	2709.0114	1541.9471	0.9786	6088274.5376
171	2709.0114	1558.8600	0.9785	6117188.8404
172	2709.0114	1564.6548	0.9784	6146151.0553
173	2709.0114	1549.8871	0.9785	6175148.8101
174	2709.0114	1549.1579	0.9783	6204117.8834
175	2709.0114	1557.0498	0.9784	6233171.3490
176	2709.0114	1526.6517	0.9776	6262111.0184
177	2709.0114	1532.4560	0.9774	6291089.9425
178	2709.0114	1549.5473	0.9774	6320375.1702
179	2709.0114	1565.9845	0.9774	6350893.5857
180	2709.0114	1536.3972	0.9783	6379983.8972
181	2709.0114	1556.6613	0.9790	6408954.5417
182	2709.0114	1577.9041	0.9790	6437985.8787
183	2709.0114	1567.1741	0.9786	6466979.9166
184	2709.0800	1538.7051	0.9785	6495906.7149
185	2709.0800	1557.1535	0.9785	6524948.1006
186	2709.0800	1585.1725	0.9800	6553894.6912
187	2709.0800	1595.6655	0.9801	6583062.0799
188	2709.0800	1555.9348	0.9805	6612313.9880
189	2709.0800	1566.8154	0.9810	6641268.1494
190	2709.0800	1551.8436	0.9811	6670263.3488
191	2709.0800	1605.3892	0.9811	6699212.4445
192	2709.0800	1561.5111	0.9813	6728133.2905
193	2709.0800	1537.7770	0.9801	6757272.5263
194	2709.0800	1541.3035	0.9802	6787889.3332
195	2709.0800	1552.8140	0.9802	6817102.9837
196	2709.0800	1541.9381	0.9806	6846029.4263
197	2709.0800	1569.7873	0.9799	6875050.3583
198	2709.0800	1530.7246	0.9804	6904093.2031
199	2709.0800	1560.1181	0.9800	6934656.4054
200	2709.0800	1564.2178	0.9800	6963579.2801
201	2709.0800	1566.1653	0.9811	6992389.5495
202	2709.0800	1573.7607	0.9812	7021333.5917
203	2709.0800	1562.6140	0.9810	7050130.0101
204	2709.0800	1566.3808	0.9824	7079036.5767
205	2709.0800	1555.1401	0.9825	7107950.4995
206	2709.0800	1573.5157	0.9817	7136797.8425
207	2709.0800	1571.2053	0.9820	7165780.1213
208	2709.0800	1621.9181	0.9820	7194689.0635
209	2709.0800	1535.7437	0.9826	7223680.6934
210	2709.0800	1598.2295	0.9821	7251737.1905
211	2709.0800	1612.6244	0.9820	7279560.1063
212	2709.0800	1580.4811	0.9823	7307369.8194
213	2709.0800	1562.6780	0.9823	7335279.0534
214	2709.0800	1617.7175	0.9820	7362987.0493
215	2709.0800	1585.2804	0.9821	7391137.6579
216	2709.0800	1559.3751	0.9820	7419219.5036
217	2709.0800	1610.9743	0.9826	7446913.9540
218	2709.0800	1611.0728	0.9826	7474922.1854
219	2709.0800	1566.6311	0.9827	7503092.1297
220	2709.0800	1594.6326	0.9819	7530802.5949
221	2709.0800	1613.0771	0.9820	7558832.4318
222	2709.0800	1612.4833	0.9818	7586743.3734
223	2709.0800	1590.6138	0.9818	7614697.8762
224	2709.0800	1621.7482	0.9818	7642830.4012
225	2709.0800	1634.9677	0.9826	7670810.4665
226	2709.0800	1597.2597	0.9827	7698924.0131
227	2709.0800	1578.8827	0.9827	7726561.3296
228	2709.0833	1555.4694	0.9827	7754352.8011
229	2709.0833	1565.4515	0.9831	7782294.0323
230	2709.0833	1621.4350	0.9830	7810074.7645
231	2709.0833	1589.9008	0.9819	7838066.6184
232	2709.0833	1580.4438	0.9819	7865776.8574
233	2709.0833	1582.3494	0.9820	7893779.1767
234	2709.0833	1600.5540	0.9820	7921987.6392
235	2709.0833	1584.7014	0.9822	7950145.6611
236	2709.0833	1581.5490	0.9823	7977942.6203
237	2709.0833	1610.9841	0.9822	8005667.1889
238	2709.0833	1593.1589	0.9821	8034034.9195
239	2709.0833	1612.3912	0.9819	8061674.8559
240	2709.0833	1592.5080	0.9821	8089203.1627
241	2709.0833	1619.0574	0.9822	8116770.3726
242	2709.0833	1613.1534	0.9816	8144281.4085
243	2709.0833	1597.8981	0.9818	8171765.0051
244	2709.0833	1588.6035	0.9819	8199257.5109
245	2709.0833	1627.6453	0.9819	8226804.2965
246	2709.0833	1595.8949	0.9813	8254311.5654
247	2709.0833	1607.0733	0.9818	8281830.1630
248	2709.0833	1614.1992	0.9819	8309336.7136
249	2709.0833	1625.8170	0.9819	8336825.1889
250	2709.0833	1652.8259	0.9814	8364347.8429
251	2709.0833	1615.8342	0.9813	8391875.1993
252	2709.0833	1647.3647	0.9815	8419424.3457
253	2709.0833	1617.1810	0.9815	8446950.3946
254	2709.0833	1602.5722	0.9816	8474788.0075
255	2709.0833	1636.0337	0.9806	8502554.9543
256	2709.0833	1652.5884	0.9814	8530308.7759
257	2709.0833	1611.2443	0.9814	8558064.3573
258	2709.0864	1633.9783	0.9814	8585602.1636
259	2709.0864	1614.8988	0.9814	8613096.9291
260	2709.0878	1626.2106	0.9815	8640631.5975
261	2709.0878	1631.4569	0.9818	8668180.9242
262	2709.0878	1608.2732	0.9805	8695682.0662
263	2709.0878	1638.7397	0.9801	8723190.4242
264	2709.0878	1597.0716	0.9799	8750696.4612
265	2709.0878	1619.7195	0.9799	8778226.4013
266	2709.0878	1620.6084	0.9796	8805693.7120
267	2709.0878	1635.3532	0.9788	8833196.6453
268	2709.0878	1627.9855	0.9788	8860673.5170
269	2709.0878	1647.5413	0.9799	8888220.8099
270	2709.0878	1610.3708	0.9799	8915732.2226
271	2709.0878	1609.7169	0.9815	8943238.6353
272	2709.0878	1625.0657	0.9816	8970979.7654
273	2709.0878	1615.7984	0.9798	8998531.7099
274	2709.0878	1646.3808	0.9791	9026234.5455
275	2709.0885	1639.8612	0.9787	9053748.5206
276	2709.0886	1623.0397	0.9787	9081295.6507
277	2709.0886	1628.6329	0.9795	9108840.3726
278	2709.0908	1646.5222	0.9795	9136404.3226
279	2709.0908	1629.9513	0.9796	9164028.1067
280	2709.0908	1677.8014	0.9798	9191661.0072
281	2709.0908	1613.9167	0.9806	9219366.9229
282	2709.0908	1618.9162	0.9805	9247146.6515
283	2709.0908	1622.6766	0.9806	9274621.1591
284	2709.0908	1619.7915	0.9806	9302128.4580
285	2709.0908	1634.1141	0.9807	9329638.4823
286	2709.0908	1595.7875	0.9805	9357203.1839
287	2709.0908	1611.7918	0.9804	9384776.5906
288	2709.0908	1585.2151	0.9804	9413267.2884
289	2709.0932	1639.2535	0.9794	9441751.4956
290	2709.0932	1635.6251	0.9800	9470165.8010
291	2709.0932	1616.9603	0.9800	9498700.6712
292	2709.0932	1622.4742	0.9799	9527091.3026
293	2709.0932	1622.1562	0.9799	9555413.5273
294	2709.0932	1633.7336	0.9799	9583997.1757
295	2709.0932	1618.1142	0.9807	9612454.3893
296	2709.0932	1632.3968	0.9802	9641038.3854
297	2709.0932	1620.7267	0.9804	9669591.7246
298	2709.0932	1635.5370	0.9810	9698043.5309
299	2709.0932	1600.4776	0.9809	9726630.7032
300	2709.0932	1635.6542	0.9800	9755275.2719
301	2709.0935	1616.5750	0.9793	9783772.4607
302	2709.0935	1649.3768	0.9803	9812481.3044
303	2709.0935	1648.7604	0.9812	9840991.7569
304	2709.0935	1587.0283	0.9812	9869242.4405
305	2709.0935	1632.8618	0.9818	9897621.2699
306	2709.0935	1631.8702	0.9813	9925774.8821
307	2709.0935	1645.7611	0.9813	9953241.7037
308	2709.0935	1641.8676	0.9828	9980563.8947
309	2709.0935	1644.6801	0.9829	10007865.9501
310	2709.0935	1668.0586	0.9828	10035170.4721
311	2709.0935	1625.3363	0.9833	10062469.2531
312	2709.0935	1628.3968	0.9842	10089779.7837
313	2709.0935	1661.6611	0.9843	10117091.7859
314	2709.0935	1662.8404	0.9840	10144421.8001
315	2709.0935	1643.2381	0.9839	10171757.9918
316	2709.0935	1621.5072	0.9838	10199101.6283
317	2709.0935	1633.9081	0.9836	10226417.9251
318	2709.0935	1639.4917	0.9831	10253718.1697
319	2709.0935	1634.1863	0.9830	10281059.9408
320	2709.0935	1664.5847	0.9835	10308316.2742
321	2709.0935	1640.4549	0.9838	10335538.7824
322	2709.0935	1628.2062	0.9838	10362811.4765
323	2709.0935	1640.6450	0.9844	10390114.8748
324	2709.0935	1652.7841	0.9854	10417459.3065
325	2709.0935	1623.8478	0.9856	10444731.3445
326	2709.0935	1677.5780	0.9857	10472017.9980
327	2709.0935	1639.5939	0.9857	10499322.4685
328	2709.0935	1625.7339	0.9865	10526604.5365
329	2709.0935	1659.0789	0.9874	10553862.9694
330	2709.0935	1661.5340	0.9871	10581089.0048
331	2709.0935	1626.3765	0.9872	10608373.5816
332	2709.0935	1635.2457	0.9871	10635602.4044
333	2709.0935	1653.6382	0.9873	10662833.8802
334	2709.0935	1676.3387	0.9872	10690053.5002
335	2709.0935	1677.0113	0.9872	10717352.5007
336	2709.0935	1648.0091	0.9866	10744612.8581
337	2709.0935	1645.4704	0.9865	10771913.1823
338	2709.0935	1644.9709	0.9865	10799385.4985
339	2709.0935	1641.6184	0.9861	10826658.4694
340	2709.0935	1610.3973	0.9861	10853888.7036
341	2709.0935	1653.9935	0.9861	10881129.4947
342	2709.0935	1679.4963	0.9860	10908402.6759
343	2709.0935	1655.3805	0.9858	10935699.1980
344	2709.0935	1664.4246	0.9856	10962925.2720
345	2709.0935	1658.1975	0.9853	10990196.0983
346	2709.0935	1627.8100	0.9856	11017570.9939
347	2709.0935	1683.5235	0.9853	11044886.6513
348	2709.0935	1676.7799	0.9852	11072102.2096
349	2709.0935	1667.5189	0.9852	11099311.5602
350	2709.0935	1680.5046	0.9852	11126488.8005
351	2709.0935	1658.8594	0.9853	11153678.6382
352	2709.0935	1671.2945	0.9847	11180846.6005
353	2709.0935	1684.2815	0.9851	11208029.6557
354	2709.0935	1690.3614	0.9850	11235225.5297
355	2709.0935	1683.3389	0.9853	11262421.4947
356	2709.0935	1680.1454	0.9847	11289639.5311
357	2709.0935	1660.9383	0.9848	11316860.0037
358	2709.0935	1698.2463	0.9849	11344138.7844
359	2709.0935	1670.6326	0.9852	11371380.4634
360	2709.0935	1685.8919	0.9853	11398705.4477
361	2709.0935	1662.9110	0.9849	11425927.8843
362	2709.0935	1658.8317	0.9840	11453204.8552
363	2709.0935	1645.7336	0.9841	11480407.1686
364	2709.0935	1676.3976	0.9848	11507619.8788
365	2709.0935	1654.2698	0.9840	11534835.9776
366	2709.0935	1641.1293	0.9839	11562042.2401
367	2709.0935	1709.8944	0.9840	11589271.8737
368	2709.0935	1683.6616	0.9831	11616462.7228
369	2709.0935	1670.3704	0.9832	11643650.6217
