ID: vincent	Date: 2018-06-04 20:07:07	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	0.9873	0.1670	1.0000	7260.6533
1	0.9984	0.2216	0.9989	14580.4286
2	0.9995	0.3159	0.9978	21888.8297
3	0.9995	0.3420	0.9971	29124.8569
4	0.9995	0.3727	0.9958	36562.4733
5	0.9995	0.4304	0.9938	43920.5790
6	0.9997	0.4507	0.9932	51199.4505
7	0.9997	0.4927	0.9923	57981.8861
8	0.9997	0.5364	0.9920	65205.2927
9	0.9997	0.5513	0.9911	72444.4745
10	1.0000	0.5952	0.9908	79518.8355
11	1.0000	0.5915	0.9887	86588.5046
12	1.0000	0.6278	0.9876	93714.1273
13	1.0000	0.6488	0.9868	100873.5101
14	1.0000	0.6674	0.9861	108095.2857
15	1.0000	0.7036	0.9852	115075.6891
16	1.0000	0.7032	0.9852	121915.2641
17	1.0000	0.7297	0.9830	128556.9863
18	1.0000	0.7483	0.9830	135470.8650
19	1.0000	0.7587	0.9823	142578.5503
20	1.0000	0.7730	0.9824	149792.4283
21	1.0000	0.7839	0.9806	156508.6961
22	1.0000	0.7917	0.9802	163616.5364
23	1.0000	0.8003	0.9788	170537.7371
24	1.0000	0.8094	0.9779	177623.3971
25	1.0000	0.8189	0.9772	184658.0656
26	1.0000	0.8286	0.9761	192780.4894
27	1.0000	0.8275	0.9749	199920.0912
28	1.0000	0.8496	0.9744	206854.4071
29	1.0000	0.8584	0.9736	214009.2468
30	1.0000	0.8616	0.9718	220899.2927
31	1.0000	0.8702	0.9712	227698.4489
32	1.0000	0.8685	0.9703	234220.7007
33	1.0000	0.8803	0.9695	240684.7596
34	1.0000	0.8915	0.9684	247243.7346
35	1.0000	0.8975	0.9672	253586.9401
36	1.0000	0.8929	0.9660	259855.5880
37	1.0000	0.9041	0.9649	266396.7025
38	1.0000	0.9022	0.9640	272958.3893
39	1.0000	0.9024	0.9634	279424.9134
40	1.0000	0.9115	0.9629	285993.9487
41	1.0000	0.9240	0.9620	292302.6025
42	1.0000	0.9270	0.9621	298826.8688
43	1.0000	0.9201	0.9625	305231.6353
44	1.0000	0.9290	0.9616	311593.2722
45	1.0000	0.9289	0.9613	318045.9530
46	1.0000	0.9363	0.9604	324449.6465
47	1.0000	0.9382	0.9593	330831.8119
48	1.0000	0.9418	0.9586	337207.3526
49	1.0000	0.9453	0.9577	343762.3577
50	1.0000	0.9459	0.9573	350156.8670
51	1.0000	0.9496	0.9567	356540.4046
52	1.0000	0.9433	0.9564	363169.2646
53	1.0000	0.9513	0.9559	369704.1371
54	1.0000	0.9543	0.9557	376314.7967
55	1.0000	0.9619	0.9554	383672.6182
56	1.0000	0.9534	0.9549	390848.2931
57	1.0000	0.9562	0.9540	398009.8917
58	1.0000	0.9571	0.9504	405086.8533
59	1.0000	0.9642	0.9500	412413.8417
60	1.0000	0.9669	0.9495	419439.0318
61	1.0000	0.9718	0.9490	426060.7667
62	1.0000	0.9663	0.9489	432789.4340
63	1.0000	0.9710	0.9485	439326.5035
64	1.0000	0.9751	0.9481	445613.7402
65	1.0000	0.9734	0.9478	451927.0854
66	1.0000	0.9741	0.9477	458433.0542
67	1.0000	0.9757	0.9473	464894.0113
68	1.0000	0.9801	0.9470	471309.6631
69	1.0000	0.9764	0.9466	477656.0335
70	1.0000	0.9790	0.9464	484058.5723
71	1.0000	0.9800	0.9457	491278.2972
72	1.0000	0.9782	0.9452	498790.0229
73	1.0000	0.9803	0.9447	506198.5860
74	1.0000	0.9787	0.9444	513697.0224
75	1.0000	0.9792	0.9439	521669.2252
76	1.0000	0.9839	0.9437	529110.0481
77	1.0000	0.9841	0.9435	536534.0912
78	1.0000	0.9793	0.9430	543460.0916
