ID: shubert	Date: 2019-06-28 14:22:04	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	143.2437	10.6472	1.0000	0.0054
1	143.2437	17.3974	0.9990	0.0067
2	143.2437	17.5459	0.9974	0.0081
3	143.2437	17.7246	0.9985	0.0094
4	143.2437	19.7895	0.9985	0.0108
5	143.2437	28.2355	0.9980	0.0122
6	146.3452	29.6189	0.9979	0.0136
7	181.8433	29.3298	0.9982	0.0150
8	181.8433	30.7079	0.9970	0.0163
9	181.8433	38.2859	0.9988	0.0177
10	181.8433	35.4886	0.9994	0.0190
11	181.8433	36.2921	0.9996	0.0204
12	181.8433	43.6801	0.9992	0.0217
13	181.8433	36.5700	0.9972	0.0230
14	104.7571	45.9881	0.8866	0.0252
15	111.8709	15.1769	0.8856	0.0265
16	111.8709	22.3559	0.8860	0.0278
17	121.0822	22.1955	0.8870	0.0292
18	179.2314	25.6770	0.8865	0.0307
19	181.5077	30.0301	0.8824	0.0321
20	182.3317	32.3577	0.8870	0.0335
21	182.3317	33.0007	0.8854	0.0348
22	182.3317	31.3198	0.8822	0.0362
23	182.3317	34.6210	0.8810	0.0375
24	182.3317	31.9922	0.8822	0.0389
25	182.3317	30.5608	0.8818	0.0402
26	182.3317	38.3697	0.8819	0.0416
27	182.3317	37.1337	0.8839	0.0429
28	182.3317	34.3868	0.8838	0.0443
29	182.3317	40.2161	0.8816	0.0457
30	182.3317	48.7874	0.8929	0.0489
31	182.3317	21.4731	0.8923	0.0503
32	182.3317	28.8010	0.8852	0.0517
33	182.3317	27.3518	0.8803	0.0531
34	182.3317	25.8947	0.8970	0.0546
35	183.4733	28.8016	0.8957	0.0560
36	183.4733	21.3791	0.8935	0.0574
37	185.7783	27.5952	0.8937	0.0587
38	185.7783	25.9808	0.8900	0.0601
39	185.7783	25.4127	0.8919	0.0615
40	185.7783	26.1844	0.8937	0.0631
41	185.7783	32.6151	0.8962	0.0644
42	185.7783	31.8695	0.8971	0.0659
43	185.7783	36.0119	0.8971	0.0672
44	185.7783	34.9620	0.8980	0.0686
45	185.7783	39.3516	0.8980	0.0700
46	183.1019	36.3089	0.8772	0.0731
47	183.1019	26.1726	0.8610	0.0747
48	183.1019	24.7800	0.8740	0.0762
49	147.7646	29.4357	0.8962	0.0780
50	147.7646	20.4449	0.8996	0.0795
51	145.0604	29.9043	0.9010	0.0810
52	177.0234	27.6957	0.9025	0.0826
53	180.9026	25.7139	0.9047	0.0840
54	180.9026	31.3164	0.9077	0.0854
55	180.9026	30.6348	0.9084	0.0867
56	182.6620	30.3269	0.9074	0.0882
57	182.6620	34.4558	0.9091	0.0896
58	182.6620	35.7755	0.9088	0.0910
59	182.6620	31.1943	0.9052	0.0924
60	182.6620	39.2106	0.9062	0.0938
61	182.6620	36.5588	0.9054	0.0952
