ID: equal_maxima	Date: 2019-08-19 15:40:02	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	1.0000	0.3126	1.0000	0.0002
1	1.0000	0.4451	0.9543	0.0004
2	1.0000	0.5957	0.8558	0.0005
3	1.0000	0.7440	0.8320	0.0007
4	1.0000	0.7498	0.8344	0.0008
5	1.0000	0.7192	0.7883	0.0010
6	1.0000	0.7778	0.8512	0.0011
7	1.0000	0.6999	0.8766	0.0013
8	1.0000	0.6276	0.8929	0.0014
9	1.0000	0.7131	0.8651	0.0016
10	1.0000	0.6552	0.8991	0.0018
11	1.0000	0.7409	0.9104	0.0021
12	1.0000	0.6389	0.8372	0.0023
13	1.0000	0.7191	0.8860	0.0025
14	1.0000	0.5728	0.9468	0.0027
15	1.0000	0.6188	1.0000	0.0028
16	1.0000	0.6393	1.0000	0.0030
17	1.0000	0.5725	0.9616	0.0031
18	1.0000	0.5943	0.9263	0.0033
19	1.0000	0.7428	0.9220	0.0034
20	1.0000	0.7654	0.8983	0.0036
21	1.0000	0.6136	0.9483	0.0037
22	1.0000	0.6645	0.9517	0.0039
23	1.0000	0.6542	0.8491	0.0040
24	1.0000	0.6020	0.8842	0.0042
25	1.0000	0.6839	0.8611	0.0043
26	1.0000	0.7402	0.8799	0.0045
27	1.0000	0.7260	0.8361	0.0046
28	1.0000	0.7334	0.8800	0.0049
29	1.0000	0.6605	0.9699	0.0050
30	1.0000	0.6737	0.9855	0.0052
31	1.0000	0.6541	1.0000	0.0054
32	1.0000	0.6271	0.9463	0.0055
33	1.0000	0.6744	0.9429	0.0057
34	1.0000	0.5425	0.7787	0.0058
35	1.0000	0.5597	0.7376	0.0060
36	1.0000	0.6445	0.7492	0.0061
37	1.0000	0.7005	0.8088	0.0063
38	1.0000	0.6369	0.8707	0.0064
39	1.0000	0.7567	0.7816	0.0066
40	1.0000	0.7151	0.8927	0.0067
41	1.0000	0.6854	0.8931	0.0069
42	1.0000	0.6193	0.7878	0.0070
43	1.0000	0.7103	0.8237	0.0072
44	1.0000	0.7748	0.8142	0.0073
45	1.0000	0.7259	0.8675	0.0075
46	1.0000	0.7915	0.8422	0.0077
47	1.0000	0.8188	0.8300	0.0078
48	1.0000	0.7476	0.8265	0.0080
49	1.0000	0.6580	0.8105	0.0081
50	1.0000	0.6509	0.9074	0.0083
51	1.0000	0.7978	0.9107	0.0084
52	1.0000	0.6993	0.8766	0.0086
53	1.0000	0.6888	0.8858	0.0087
54	1.0000	0.6471	0.8685	0.0089
55	1.0000	0.6236	0.9127	0.0090
56	1.0000	0.7049	0.8684	0.0092
57	1.0000	0.7013	0.8282	0.0093
58	1.0000	0.7656	0.8523	0.0095
59	1.0000	0.6227	0.8411	0.0097
60	1.0000	0.6738	0.9117	0.0098
61	1.0000	0.6232	0.8869	0.0100
62	1.0000	0.7360	0.8769	0.0102
63	1.0000	0.7484	0.9202	0.0103
64	1.0000	0.6504	0.9110	0.0105
65	1.0000	0.6596	0.9166	0.0107
66	1.0000	0.6150	0.8979	0.0108
67	1.0000	0.6345	0.9198	0.0110
68	1.0000	0.5934	0.9088	0.0112
69	1.0000	0.5508	0.9243	0.0113
70	1.0000	0.6523	0.9679	0.0115
71	1.0000	0.5680	0.8761	0.0116
72	1.0000	0.7348	0.7910	0.0118
73	1.0000	0.6945	0.7645	0.0119
74	1.0000	0.6878	0.8272	0.0121
75	1.0000	0.6821	0.8650	0.0123
76	1.0000	0.7734	0.9006	0.0124
77	1.0000	0.5794	0.9405	0.0127
78	1.0000	0.6992	0.8840	0.0129
79	1.0000	0.7442	0.8822	0.0130
80	1.0000	0.6628	0.9201	0.0132
81	1.0000	0.6745	0.9197	0.0133
82	1.0000	0.5987	0.9748	0.0135
83	1.0000	0.6994	0.9251	0.0136
84	1.0000	0.7719	1.0000	0.0138
85	1.0000	0.6254	0.8610	0.0139
86	1.0000	0.5929	0.8612	0.0141
87	1.0000	0.6348	0.9146	0.0143
88	1.0000	0.6177	0.9115	0.0144
89	1.0000	0.7543	0.7835	0.0146
90	1.0000	0.6640	0.7403	0.0147
91	1.0000	0.6080	0.6905	0.0149
92	1.0000	0.6717	0.6933	0.0150
93	1.0000	0.7819	0.7369	0.0152
94	1.0000	0.6890	0.7339	0.0154
95	1.0000	0.5972	0.7290	0.0155
96	1.0000	0.5250	0.7310	0.0157
97	1.0000	0.7186	0.6961	0.0158
98	1.0000	0.6866	0.6956	0.0160
99	1.0000	0.6308	0.7378	0.0162
100	1.0000	0.7454	0.7281	0.0163
101	1.0000	0.6404	0.6923	0.0165
102	1.0000	0.7472	0.8076	0.0166
103	1.0000	0.7113	0.7303	0.0168
104	1.0000	0.6903	0.6842	0.0170
105	1.0000	0.7435	0.7437	0.0171
106	1.0000	0.6861	0.8226	0.0173
107	1.0000	0.6926	0.7621	0.0174
108	1.0000	0.5698	0.7646	0.0176
109	1.0000	0.6177	0.7439	0.0177
110	1.0000	0.7043	0.7374	0.0179
111	1.0000	0.6798	0.7655	0.0180
112	1.0000	0.6253	0.6950	0.0182
113	1.0000	0.6947	0.6485	0.0184
114	1.0000	0.6649	0.7538	0.0185
115	1.0000	0.6257	0.7508	0.0187
116	1.0000	0.6646	0.7025	0.0188
117	1.0000	0.6963	0.7244	0.0190
118	1.0000	0.7787	0.6960	0.0191
119	1.0000	0.5258	0.7710	0.0193
120	1.0000	0.6293	0.8477	0.0194
121	1.0000	0.5646	0.9404	0.0196
122	1.0000	0.6418	0.8685	0.0197
123	1.0000	0.7056	0.7390	0.0199
124	1.0000	0.7486	0.8028	0.0201
125	1.0000	0.5631	0.7974	0.0202
126	1.0000	0.5459	0.7558	0.0203
127	1.0000	0.6328	0.7372	0.0205
128	1.0000	0.7793	0.7308	0.0206
129	1.0000	0.6986	0.7690	0.0208
130	1.0000	0.6380	0.8075	0.0210
131	1.0000	0.7283	0.6583	0.0211
132	1.0000	0.6831	0.7025	0.0213
133	1.0000	0.7682	0.8172	0.0214
134	1.0000	0.6427	0.8623	0.0216
135	1.0000	0.7183	0.7504	0.0218
136	1.0000	0.6640	0.7448	0.0219
137	1.0000	0.6258	0.7717	0.0221
138	1.0000	0.6615	0.7740	0.0222
139	1.0000	0.6093	0.7116	0.0224
140	1.0000	0.7109	0.8691	0.0225
141	1.0000	0.5595	0.8457	0.0227
142	1.0000	0.7416	0.8496	0.0229
143	1.0000	0.6616	0.8469	0.0230
144	1.0000	0.5272	0.8637	0.0232
145	1.0000	0.7604	0.8204	0.0233
146	1.0000	0.7403	0.8331	0.0235
147	1.0000	0.6246	0.8237	0.0236
148	1.0000	0.8009	0.8096	0.0239
149	1.0000	0.7363	0.8694	0.0240
150	1.0000	0.6821	0.8648	0.0242
151	1.0000	0.6098	0.7989	0.0243
152	1.0000	0.6224	0.8247	0.0245
153	1.0000	0.6980	0.7884	0.0246
154	1.0000	0.6795	0.8133	0.0248
155	1.0000	0.6663	0.8408	0.0250
156	1.0000	0.6766	0.8368	0.0251
157	1.0000	0.6701	0.7627	0.0253
158	1.0000	0.7415	0.7812	0.0254
159	1.0000	0.7096	0.7113	0.0256
160	1.0000	0.6648	0.7525	0.0258
161	1.0000	0.7178	0.9135	0.0259
162	1.0000	0.7708	0.7936	0.0261
163	1.0000	0.7544	0.7990	0.0262
164	1.0000	0.5279	0.7998	0.0264
165	1.0000	0.6974	0.8375	0.0265
166	1.0000	0.7242	0.8286	0.0267
167	1.0000	0.6927	0.6622	0.0268
168	1.0000	0.7204	0.7292	0.0270
169	1.0000	0.6238	0.7261	0.0272
170	1.0000	0.7063	0.7626	0.0273
171	1.0000	0.5812	0.7757	0.0275
172	1.0000	0.5625	0.7390	0.0276
173	1.0000	0.7408	0.6638	0.0278
174	1.0000	0.6430	0.7348	0.0279
175	1.0000	0.5370	0.7278	0.0281
176	1.0000	0.6745	0.7267	0.0282
177	1.0000	0.6129	0.8464	0.0284
178	1.0000	0.6429	0.8517	0.0286
179	1.0000	0.6028	0.8417	0.0287
180	1.0000	0.7023	0.8356	0.0289
181	1.0000	0.5814	0.9332	0.0291
182	1.0000	0.5888	0.7720	0.0292
183	1.0000	0.7536	0.7892	0.0294
184	1.0000	0.5677	0.8072	0.0295
185	1.0000	0.6468	0.7405	0.0297
186	1.0000	0.7301	0.8022	0.0299
187	1.0000	0.7260	0.7994	0.0300
188	1.0000	0.6110	0.8298	0.0302
189	1.0000	0.7244	0.8243	0.0303
190	1.0000	0.7528	0.9245	0.0305
191	1.0000	0.7545	0.8754	0.0307
192	1.0000	0.7129	0.8560	0.0308
193	1.0000	0.6378	0.8887	0.0310
194	1.0000	0.6701	0.8779	0.0312
195	1.0000	0.6486	0.8191	0.0313
196	1.0000	0.6309	0.6553	0.0315
197	1.0000	0.7153	0.6556	0.0316
198	1.0000	0.6946	0.6426	0.0318
199	1.0000	0.6442	0.7020	0.0319
200	1.0000	0.6946	0.7407	0.0321
201	1.0000	0.7617	0.7569	0.0323
202	1.0000	0.7641	0.7402	0.0324
203	1.0000	0.6651	0.8090	0.0326
204	1.0000	0.6429	0.6994	0.0327
205	1.0000	0.7539	0.7494	0.0329
206	1.0000	0.6474	0.6949	0.0330
207	1.0000	0.6423	0.6767	0.0332
208	1.0000	0.6509	0.7752	0.0334
209	1.0000	0.6781	0.7400	0.0336
210	1.0000	0.6666	0.7236	0.0337
211	1.0000	0.6723	0.7421	0.0339
212	1.0000	0.6611	0.7853	0.0340
213	1.0000	0.7655	0.8267	0.0342
214	1.0000	0.8112	0.7954	0.0343
215	1.0000	0.6417	0.8495	0.0345
216	1.0000	0.6296	0.8876	0.0346
217	1.0000	0.7047	0.9014	0.0348
218	1.0000	0.6840	0.7347	0.0349
219	1.0000	0.7642	0.7826	0.0351
220	1.0000	0.6505	0.8433	0.0353
221	1.0000	0.7836	0.7157	0.0354
222	1.0000	0.7842	0.7558	0.0356
223	1.0000	0.7062	0.6965	0.0357
224	1.0000	0.6391	0.7850	0.0359
225	1.0000	0.6943	0.7896	0.0360
226	1.0000	0.6450	0.8248	0.0362
227	1.0000	0.6324	0.8272	0.0363
228	1.0000	0.5562	0.7891	0.0365
229	1.0000	0.6437	0.8036	0.0367
230	1.0000	0.6849	0.8116	0.0368
231	1.0000	0.7718	0.7836	0.0370
232	1.0000	0.5607	0.7841	0.0371
233	1.0000	0.7541	0.7805	0.0373
234	1.0000	0.6550	0.7760	0.0374
235	1.0000	0.7204	0.8613	0.0376
236	1.0000	0.7215	0.8452	0.0378
237	1.0000	0.7516	0.8263	0.0379
238	1.0000	0.7422	0.8565	0.0381
239	1.0000	0.8002	0.7740	0.0382
240	1.0000	0.6729	0.7409	0.0384
241	1.0000	0.7379	0.7411	0.0385
242	1.0000	0.6518	0.7319	0.0387
243	1.0000	0.6246	0.6643	0.0388
244	1.0000	0.7602	0.6893	0.0390
245	1.0000	0.6574	0.7735	0.0392
246	1.0000	0.7061	0.7088	0.0393
247	1.0000	0.7308	0.7693	0.0395
248	1.0000	0.7040	0.7793	0.0396
249	1.0000	0.6825	0.8112	0.0398
250	1.0000	0.6912	0.7489	0.0400
251	1.0000	0.6416	0.7793	0.0401
252	1.0000	0.6639	0.7444	0.0403
253	1.0000	0.7155	0.7296	0.0404
254	1.0000	0.6163	0.7444	0.0406
255	1.0000	0.5719	0.7870	0.0407
256	1.0000	0.6102	0.7742	0.0409
257	1.0000	0.5510	0.7300	0.0410
258	1.0000	0.6441	0.7425	0.0412
259	1.0000	0.8127	0.7400	0.0413
260	1.0000	0.5942	0.7380	0.0415
261	1.0000	0.7128	0.7806	0.0416
262	1.0000	0.5724	0.7140	0.0418
263	1.0000	0.5295	0.7412	0.0419
264	1.0000	0.6565	0.7619	0.0421
265	1.0000	0.7073	0.7309	0.0422
266	1.0000	0.6628	0.7778	0.0424
267	1.0000	0.5813	0.7486	0.0425
268	1.0000	0.7210	0.8365	0.0427
269	1.0000	0.7387	0.8323	0.0428
270	1.0000	0.6189	0.7808	0.0430
271	1.0000	0.6307	0.8048	0.0431
272	1.0000	0.6565	0.7679	0.0433
273	1.0000	0.6864	0.7919	0.0435
274	1.0000	0.6096	0.7494	0.0436
275	1.0000	0.6197	0.7494	0.0438
276	1.0000	0.6379	0.7308	0.0439
277	1.0000	0.7654	0.8201	0.0441
278	1.0000	0.6981	0.7484	0.0442
279	1.0000	0.7056	0.7299	0.0444
280	1.0000	0.6275	0.7521	0.0445
281	1.0000	0.6938	0.7075	0.0447
282	1.0000	0.7544	0.7029	0.0448
283	1.0000	0.6813	0.7319	0.0450
284	1.0000	0.6218	0.6434	0.0451
285	1.0000	0.7372	0.7505	0.0453
286	1.0000	0.7099	0.7378	0.0454
287	1.0000	0.6878	0.7727	0.0456
288	1.0000	0.6520	0.7622	0.0457
289	1.0000	0.7894	0.7370	0.0460
290	1.0000	0.5989	0.7200	0.0461
291	1.0000	0.7291	0.8160	0.0463
292	1.0000	0.7570	0.8205	0.0464
293	1.0000	0.7232	0.7680	0.0466
294	1.0000	0.7960	0.8141	0.0468
295	1.0000	0.6917	0.7791	0.0469
296	1.0000	0.5023	0.7660	0.0471
297	1.0000	0.6789	0.7558	0.0472
298	1.0000	0.7368	0.7525	0.0474
299	1.0000	0.6780	0.7487	0.0475
300	1.0000	0.6283	0.7838	0.0477
301	1.0000	0.6764	0.7994	0.0478
302	1.0000	0.7537	0.7817	0.0480
303	1.0000	0.5843	0.7780	0.0481
304	1.0000	0.6006	0.7804	0.0483
305	1.0000	0.6146	0.7612	0.0484
306	1.0000	0.6565	0.7123	0.0486
307	1.0000	0.6842	0.7687	0.0487
308	1.0000	0.6668	0.6848	0.0489
309	1.0000	0.7672	0.6653	0.0490
310	1.0000	0.7039	0.7574	0.0492
311	1.0000	0.6658	0.7499	0.0494
312	1.0000	0.6896	0.8537	0.0495
313	1.0000	0.6094	0.7478	0.0497
