ID: five_uneven_peak_trap	Date: 2019-08-19 21:19:35	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	200.0000	86.5125	1.0000	0.0002
1	200.0000	91.9578	1.0000	0.0004
2	200.0000	96.2328	0.9577	0.0005
3	200.0000	106.6067	0.9520	0.0006
4	200.0000	103.8787	1.0000	0.0008
5	200.0000	109.3345	0.9824	0.0009
6	200.0000	96.2875	0.9473	0.0011
7	200.0000	104.8533	1.0000	0.0012
8	200.0000	109.9447	0.9804	0.0014
9	200.0000	95.1417	1.0000	0.0015
10	200.0000	116.2090	0.9997	0.0017
11	200.0000	122.2150	0.8940	0.0018
12	200.0000	105.2623	1.0000	0.0019
13	200.0000	123.0188	0.9363	0.0021
14	200.0000	127.8286	0.9104	0.0022
15	200.0000	111.9781	0.9286	0.0024
16	200.0000	101.8344	0.9211	0.0025
17	200.0000	132.6778	0.9173	0.0027
18	200.0000	121.2733	0.8844	0.0028
19	200.0000	120.2612	0.8613	0.0030
20	200.0000	121.8999	0.8777	0.0031
21	200.0000	125.6904	0.8820	0.0033
22	200.0000	138.0813	0.8803	0.0034
23	200.0000	115.8705	0.8966	0.0036
24	200.0000	127.4601	0.8960	0.0037
25	200.0000	132.7279	0.9409	0.0039
26	200.0000	118.4092	0.9691	0.0040
27	200.0000	124.4642	0.9585	0.0042
28	200.0000	119.7417	0.9280	0.0043
29	200.0000	120.5483	0.9497	0.0044
30	200.0000	128.2634	0.8810	0.0046
31	200.0000	115.0978	0.9278	0.0047
32	200.0000	125.6693	0.9224	0.0049
33	200.0000	127.3347	0.8870	0.0050
34	200.0000	130.9959	0.9052	0.0052
35	200.0000	123.5129	0.9169	0.0053
36	200.0000	119.2295	0.8672	0.0055
37	200.0000	121.8507	0.8793	0.0056
38	200.0000	126.3042	0.8408	0.0058
39	200.0000	119.3229	0.8781	0.0059
40	200.0000	111.6178	0.9077	0.0060
41	200.0000	121.9084	0.9115	0.0062
42	200.0000	131.4071	0.8914	0.0063
43	200.0000	130.8999	0.9013	0.0065
44	200.0000	127.3728	0.8787	0.0066
45	200.0000	123.2527	0.9079	0.0068
46	200.0000	116.6919	0.8889	0.0069
47	200.0000	105.6731	0.9171	0.0071
48	200.0000	113.3270	0.9006	0.0072
49	200.0000	131.2108	0.9258	0.0074
50	200.0000	138.1472	0.9180	0.0075
51	200.0000	129.7284	0.9187	0.0076
52	200.0000	119.5406	0.9217	0.0078
53	200.0000	133.0485	0.9460	0.0079
54	200.0000	134.5972	0.9005	0.0081
55	200.0000	119.6968	0.8958	0.0082
56	200.0000	120.7980	0.8520	0.0084
57	200.0000	126.4371	0.8104	0.0085
