ID: himmelblau	Date: 2019-08-19 19:14:06	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	198.0000	25.8700	1.0000	0.0002
1	199.0722	75.5696	0.9930	0.0004
2	199.0722	91.0899	0.9969	0.0005
3	199.0722	127.4722	0.9939	0.0007
4	199.0722	67.0871	0.9825	0.0008
5	199.9358	135.6297	0.9726	0.0010
6	199.9358	125.3669	0.9664	0.0012
7	199.9358	136.5788	0.9667	0.0013
8	199.9358	137.5491	0.9609	0.0015
9	199.9358	157.4048	0.9632	0.0017
10	199.9358	168.5583	0.9621	0.0018
11	199.9358	175.0541	0.9608	0.0020
12	199.9358	169.7066	0.9588	0.0022
13	199.9585	171.4693	0.9606	0.0023
14	199.9585	177.5253	0.9527	0.0025
15	199.9658	178.9427	0.9455	0.0027
16	199.9658	162.5624	0.9409	0.0028
17	199.9658	167.5762	0.9422	0.0030
18	199.9658	168.2150	0.9422	0.0031
19	199.9658	180.1692	0.9576	0.0033
20	199.9658	178.3768	0.9579	0.0035
21	199.9658	152.0312	0.9392	0.0036
22	199.9658	174.7842	0.9429	0.0038
23	199.9658	173.3122	0.9401	0.0040
24	199.9658	170.7281	0.9314	0.0041
25	199.9945	152.9093	0.9278	0.0043
26	199.9945	137.1037	0.9267	0.0045
27	199.9945	143.0724	0.9176	0.0046
28	199.9963	122.8292	0.9118	0.0048
29	199.9963	162.9334	0.9104	0.0050
30	199.9972	165.6153	0.9070	0.0051
31	199.9972	154.1229	0.9021	0.0053
32	199.9972	165.6567	0.9012	0.0055
33	199.9972	162.1338	0.8873	0.0056
34	199.9972	147.8927	0.8808	0.0058
35	199.9977	168.0628	0.8793	0.0060
36	199.9977	172.6855	0.8730	0.0061
37	199.9987	142.5463	0.8640	0.0063
38	199.9987	169.7269	0.8612	0.0064
39	199.9987	149.6936	0.8484	0.0066
40	199.9987	154.9601	0.8582	0.0068
41	199.9987	167.5643	0.8527	0.0069
42	199.9987	168.6772	0.8503	0.0071
43	199.9987	170.6956	0.8493	0.0073
44	199.9992	149.8984	0.8483	0.0074
45	199.9992	171.4781	0.8463	0.0076
46	199.9999	176.3031	0.8599	0.0078
47	199.9999	169.1849	0.8581	0.0079
48	199.9999	178.3756	0.8519	0.0081
49	199.9999	161.8668	0.8575	0.0082
50	199.9999	169.1356	0.8632	0.0084
51	199.9999	94.5280	0.8711	0.0086
52	199.9999	118.7406	0.8894	0.0087
53	199.9999	101.0981	0.9011	0.0089
54	199.9999	121.3406	0.8944	0.0091
55	199.9999	95.1759	0.8957	0.0093
56	199.9999	94.3824	0.9023	0.0094
57	199.9999	115.2418	0.8943	0.0096
58	199.9999	154.0394	0.8939	0.0098
59	199.9999	138.9214	0.8871	0.0099
60	199.9999	121.0091	0.8809	0.0101
61	199.9999	141.7415	0.8783	0.0102
62	199.9999	128.9941	0.8693	0.0104
63	199.9999	137.6814	0.8719	0.0106
64	199.9999	170.8525	0.8584	0.0107
65	199.9999	145.7823	0.8524	0.0109
66	200.0000	155.8323	0.8573	0.0111
67	200.0000	168.3409	0.8466	0.0113
68	200.0000	167.2996	0.8531	0.0115
69	200.0000	130.3502	0.8528	0.0117
70	200.0000	166.2003	0.8432	0.0118
71	200.0000	151.1799	0.8407	0.0120
72	200.0000	162.4157	0.8404	0.0122
73	200.0000	141.1613	0.8405	0.0123
74	200.0000	149.4295	0.8397	0.0125
75	200.0000	163.8836	0.8386	0.0127
76	200.0000	133.6786	0.8432	0.0128
77	200.0000	156.6734	0.8522	0.0130
78	200.0000	153.7793	0.8517	0.0131
79	200.0000	133.1508	0.8503	0.0133
80	200.0000	143.6103	0.8507	0.0135
81	200.0000	154.2413	0.8468	0.0136
82	200.0000	140.2400	0.8429	0.0138
83	200.0000	183.1936	0.8455	0.0139
84	200.0000	148.6725	0.8437	0.0141
85	200.0000	178.9311	0.8479	0.0143
86	200.0000	161.4928	0.8469	0.0144
87	200.0000	158.8112	0.8844	0.0146
88	200.0000	172.2823	0.8828	0.0148
89	200.0000	142.7952	0.8812	0.0149
90	200.0000	159.1580	0.8589	0.0151
91	200.0000	151.5072	0.8579	0.0152
92	200.0000	142.9633	0.8585	0.0154
93	200.0000	148.9795	0.8528	0.0156
94	200.0000	158.9935	0.8501	0.0157
95	200.0000	144.6547	0.8408	0.0159
96	200.0000	191.3648	0.8299	0.0161
97	200.0000	150.1257	0.8260	0.0162
98	200.0000	159.5501	0.8348	0.0164
99	200.0000	154.7913	0.8326	0.0166
100	200.0000	124.9963	0.8325	0.0167
101	200.0000	150.0945	0.8548	0.0169
102	200.0000	150.2778	0.8726	0.0171
103	200.0000	152.7167	0.8576	0.0172
104	200.0000	147.5345	0.9006	0.0174
105	200.0000	163.8743	0.8862	0.0176
106	200.0000	168.2619	0.8910	0.0177
107	200.0000	170.3595	0.8710	0.0179
108	200.0000	155.4146	0.8689	0.0180
109	200.0000	172.5360	0.8652	0.0182
110	200.0000	173.8898	0.8643	0.0184
111	200.0000	170.5199	0.8833	0.0185
112	200.0000	171.9427	0.8727	0.0187
113	200.0000	170.5798	0.8714	0.0189
114	200.0000	181.6804	0.8758	0.0190
115	200.0000	145.8055	0.8699	0.0192
116	200.0000	168.7372	0.8768	0.0194
117	200.0000	170.5907	0.8848	0.0195
118	200.0000	162.7839	0.8938	0.0197
119	200.0000	162.4798	0.8754	0.0199
120	200.0000	159.5965	0.8629	0.0200
121	200.0000	155.9506	0.8691	0.0202
122	200.0000	142.6865	0.8707	0.0204
123	200.0000	145.0407	0.8569	0.0205
124	200.0000	156.0734	0.8531	0.0207
125	200.0000	153.1598	0.8506	0.0209
126	200.0000	122.2607	0.8727	0.0210
127	200.0000	142.4067	0.8666	0.0212
128	200.0000	155.1684	0.8661	0.0213
129	200.0000	164.3631	0.8575	0.0215
130	200.0000	154.9807	0.8516	0.0217
131	200.0000	145.5653	0.8511	0.0218
132	200.0000	142.6793	0.8570	0.0220
133	200.0000	155.0145	0.8943	0.0222
134	200.0000	154.7747	0.8764	0.0223
135	200.0000	176.1239	0.8973	0.0225
136	200.0000	144.3033	0.9003	0.0227
137	200.0000	141.0648	0.8976	0.0228
138	200.0000	166.4389	0.8949	0.0230
139	200.0000	133.8303	0.8916	0.0232
140	200.0000	143.5753	0.8882	0.0233
141	200.0000	179.3186	0.8971	0.0235
142	200.0000	171.5106	0.8838	0.0236
143	200.0000	153.1878	0.8652	0.0238
144	200.0000	154.2207	0.8815	0.0240
145	200.0000	171.3447	0.8825	0.0241
146	200.0000	166.9558	0.8844	0.0243
147	200.0000	161.3528	0.8772	0.0245
148	200.0000	143.3850	0.8633	0.0246
149	200.0000	129.7870	0.8726	0.0248
150	200.0000	153.9602	0.8761	0.0249
151	200.0000	152.3416	0.8828	0.0251
152	200.0000	122.7983	0.8499	0.0253
153	200.0000	151.6381	0.8470	0.0255
154	200.0000	147.3561	0.8429	0.0257
