ID: modified_rastrigin_all	Date: 2019-07-16 17:54:14	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	-2.7284	-17.5602	1.0000	0.0035
1	-2.6040	-15.7360	1.0000	0.0110
2	-2.0796	-15.3702	0.9985	0.0121
3	-2.0209	-12.5746	0.9970	0.0130
4	-2.0209	-12.2062	0.9989	0.0139
5	-2.0182	-10.3764	0.9989	0.0147
6	-2.0022	-10.2510	0.9993	0.0156
7	-2.0022	-10.8272	0.9964	0.0164
8	-2.0022	-9.1863	0.9967	0.0172
9	-2.0022	-8.2463	0.9810	0.0181
10	-2.0022	-7.7069	0.9785	0.0189
11	-2.0022	-7.8621	0.9542	0.0197
12	-2.0022	-8.1183	0.9535	0.0205
13	-2.0022	-7.7198	0.9426	0.0214
14	-2.0022	-7.2006	0.8734	0.0223
15	-2.0022	-8.6177	0.8405	0.0231
16	-2.0022	-7.1568	0.8385	0.0239
17	-2.0022	-8.5829	0.8301	0.0247
18	-2.0014	-7.4853	0.8241	0.0255
19	-2.0014	-7.6129	0.8350	0.0264
20	-2.0002	-7.6446	0.8347	0.0272
21	-2.0002	-6.8714	0.8432	0.0281
22	-2.0002	-7.5052	0.8419	0.0289
23	-2.0002	-7.2413	0.8457	0.0297
24	-2.0002	-7.4297	0.8378	0.0306
25	-2.0002	-7.2978	0.8316	0.0314
26	-2.0002	-6.5734	0.8360	0.0324
27	-2.0002	-7.2261	0.8407	0.0335
28	-2.0002	-6.7319	0.8480	0.0345
29	-2.0002	-7.0146	0.8500	0.0355
30	-2.0000	-8.1920	0.8724	0.0368
31	-2.0000	-8.7011	0.8492	0.0380
32	-2.0000	-9.4454	0.8456	0.0390
33	-2.0000	-8.1540	0.8401	0.0398
34	-2.0000	-8.9344	0.8176	0.0407
35	-2.0000	-9.0868	0.8169	0.0416
36	-2.0000	-8.1116	0.8205	0.0424
37	-2.0000	-8.3413	0.8256	0.0433
38	-2.0000	-7.5596	0.8389	0.0443
39	-2.0000	-7.5642	0.8444	0.0453
40	-2.0000	-8.1119	0.8517	0.0462
41	-2.0000	-6.9171	0.8463	0.0473
42	-2.0000	-7.4284	0.8526	0.0482
43	-2.0000	-7.1442	0.8466	0.0492
44	-2.0000	-7.6289	0.8344	0.0501
45	-2.0000	-6.7646	0.8308	0.0510
46	-2.0000	-7.1003	0.8277	0.0523
47	-2.0000	-9.3940	0.8167	0.0532
48	-2.0000	-8.5988	0.8081	0.0544
49	-2.0000	-7.8672	0.8098	0.0555
50	-2.0000	-7.5422	0.7967	0.0567
51	-2.0000	-7.4186	0.8069	0.0578
52	-2.0000	-7.2584	0.8152	0.0591
53	-2.0000	-8.4034	0.8137	0.0603
54	-2.0000	-7.6946	0.8085	0.0615
55	-2.0000	-7.5503	0.8004	0.0627
56	-2.0000	-6.7976	0.8026	0.0636
57	-2.0000	-7.5340	0.8172	0.0644
58	-2.0000	-7.3688	0.8114	0.0653
59	-2.0000	-6.5634	0.8496	0.0662
60	-2.0000	-7.0921	0.8526	0.0672
61	-2.0000	-7.3014	0.8435	0.0680
62	-2.0000	-6.8689	0.8227	0.0691
63	-2.0000	-10.3017	0.8261	0.0700
64	-2.0000	-9.6087	0.8438	0.0708
65	-2.0000	-8.9145	0.8633	0.0717
66	-2.0000	-7.2582	0.8556	0.0725
67	-2.0000	-8.2202	0.8663	0.0734
68	-2.0000	-7.4301	0.8579	0.0742
69	-2.0000	-8.6233	0.8743	0.0750
70	-2.0000	-8.1834	0.8806	0.0759
71	-2.0000	-7.6044	0.8667	0.0767
72	-2.0000	-6.6473	0.8650	0.0775
73	-2.0000	-6.8022	0.8804	0.0784
74	-2.0000	-6.5149	0.8838	0.0793
75	-2.0000	-6.8502	0.8641	0.0802
76	-2.0000	-7.6848	0.8687	0.0812
77	-2.0000	-7.5996	0.8557	0.0821
78	-2.0000	-6.6291	0.8547	0.0833
79	-2.0000	-8.0823	0.8539	0.0841
80	-2.0000	-8.8280	0.8465	0.0850
81	-2.0000	-7.4181	0.8367	0.0858
82	-2.0000	-7.6298	0.8355	0.0868
