ID: shubert	Date: 2019-08-19 19:43:34	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	2047.8687	64.2589	1.0000	0.0011
1	2047.8687	76.4587	1.0000	0.0021
2	2047.8687	148.0135	0.9950	0.0030
3	2047.8687	121.7036	0.9954	0.0039
4	2047.8687	119.9329	0.9970	0.0049
5	2047.8687	148.9217	0.9987	0.0058
6	2047.8687	147.9540	0.9978	0.0068
7	2047.8687	171.3281	0.9962	0.0078
8	2047.8687	205.5609	0.9934	0.0088
9	2047.8687	226.9596	0.9921	0.0098
10	2047.8687	197.1256	0.9914	0.0108
11	2047.8687	182.0391	0.9909	0.0117
12	2047.8687	209.4696	0.9884	0.0127
13	2047.8687	254.0432	0.9906	0.0137
14	2047.8687	263.8280	0.9895	0.0146
15	2047.8687	250.2546	0.9872	0.0156
16	2047.8687	296.0841	0.9849	0.0166
17	2047.8687	298.5459	0.9852	0.0175
18	2047.8687	304.5287	0.9849	0.0185
19	2047.8687	322.2117	0.9849	0.0199
20	2047.8687	322.7586	0.9846	0.0214
21	2047.8687	337.2130	0.9841	0.0228
22	2047.8687	310.0975	0.9837	0.0239
23	2047.8687	457.4329	0.9849	0.0249
24	2047.8687	353.2676	0.9835	0.0258
25	2566.5146	444.9814	0.9829	0.0268
26	2566.5146	424.9495	0.9824	0.0277
27	2566.5146	410.4461	0.9842	0.0287
28	2566.5146	423.8816	0.9848	0.0296
29	2566.5146	472.1370	0.9836	0.0306
30	2566.5146	474.2509	0.9843	0.0315
31	2566.5146	494.1476	0.9852	0.0324
32	2566.5146	532.6919	0.9849	0.0333
33	2566.5146	485.6958	0.9848	0.0343
34	2566.5146	528.4678	0.9839	0.0352
35	2566.5146	577.9207	0.9838	0.0363
36	2566.5146	595.1509	0.9828	0.0373
37	2566.5146	634.5647	0.9830	0.0383
38	2566.5146	552.2779	0.9831	0.0392
39	2566.5146	599.6749	0.9824	0.0402
40	2566.5146	666.5412	0.9837	0.0411
41	2566.5146	577.1897	0.9836	0.0421
42	2566.5146	620.7889	0.9834	0.0430
43	2566.5146	678.6406	0.9833	0.0440
44	2566.5146	710.8677	0.9829	0.0449
45	2566.5146	641.7469	0.9822	0.0459
46	2566.5146	630.2144	0.9828	0.0468
47	2566.5146	750.8662	0.9827	0.0478
48	2566.5146	729.7826	0.9817	0.0489
49	2609.1959	824.3552	0.9807	0.0499
50	2609.1959	695.2842	0.9811	0.0509
51	2668.8861	765.1234	0.9810	0.0519
52	2668.8861	739.1485	0.9814	0.0529
53	2668.8861	804.5569	0.9818	0.0538
54	2668.8861	864.3386	0.9813	0.0548
55	2668.8861	854.3161	0.9816	0.0558
56	2668.8861	875.8753	0.9815	0.0567
57	2668.8861	912.2544	0.9813	0.0577
58	2668.8861	968.7635	0.9806	0.0587
59	2668.8861	955.9738	0.9805	0.0597
60	2668.8861	902.8265	0.9798	0.0606
61	2668.8861	928.9317	0.9803	0.0616
62	2675.6978	928.4308	0.9802	0.0626
63	2675.6978	998.0423	0.9805	0.0635
64	2675.6978	972.8241	0.9805	0.0645
65	2675.6978	932.4179	0.9807	0.0654
66	2675.6978	1099.6777	0.9803	0.0664
67	2675.6978	1018.3174	0.9801	0.0673
68	2675.6978	1048.7521	0.9797	0.0683
69	2675.6978	1094.8068	0.9797	0.0693
70	2675.6978	1074.2505	0.9796	0.0702
71	2686.5727	951.6431	0.9794	0.0711
72	2686.5727	1008.9509	0.9792	0.0721
73	2686.5727	1057.3276	0.9791	0.0730
74	2686.5727	955.2156	0.9784	0.0740
75	2686.5727	1036.3404	0.9788	0.0749
76	2686.5727	959.5050	0.9786	0.0759
77	2686.5727	1074.2773	0.9780	0.0768
78	2686.5727	1142.6078	0.9773	0.0778
79	2700.5674	1098.3555	0.9770	0.0788
80	2707.9528	1087.8403	0.9766	0.0797
81	2707.9528	1172.2102	0.9765	0.0807
82	2707.9528	1101.8959	0.9770	0.0816
83	2707.9528	1164.2325	0.9776	0.0826
84	2707.9528	1083.7366	0.9775	0.0835
85	2707.9528	1231.1423	0.9777	0.0845
86	2707.9528	1093.1575	0.9776	0.0855
87	2707.9528	1108.7402	0.9770	0.0865
88	2707.9528	1070.3855	0.9765	0.0875
89	2707.9528	1103.9925	0.9767	0.0884
90	2707.9528	1075.9035	0.9764	0.0894
91	2707.9528	1200.9745	0.9763	0.0904
92	2707.9528	1323.6635	0.9764	0.0913
93	2707.9528	1240.9762	0.9762	0.0923
94	2707.9528	1349.5029	0.9757	0.0932
95	2707.9528	1307.4084	0.9760	0.0942
96	2707.9528	1244.8327	0.9758	0.0952
97	2707.9528	1325.5460	0.9753	0.0962
98	2707.9528	1167.2417	0.9752	0.0972
99	2707.9528	1289.0746	0.9749	0.0985
100	2707.9528	1239.9951	0.9750	0.0996
101	2707.9528	1280.0647	0.9753	0.1006
102	2707.9528	1430.7099	0.9747	0.1015
103	2708.3532	1350.3754	0.9746	0.1025
104	2708.3532	1308.6956	0.9739	0.1035
105	2708.3532	1415.7047	0.9743	0.1045
106	2708.3532	1369.5206	0.9742	0.1054
107	2708.3532	1491.8275	0.9742	0.1064
108	2708.3532	1389.8395	0.9742	0.1073
109	2708.3532	1158.9425	0.9740	0.1083
110	2708.6636	1388.9307	0.9739	0.1092
111	2708.6636	1214.5585	0.9735	0.1102
112	2708.6636	1388.5178	0.9733	0.1111
113	2708.6636	1439.1429	0.9732	0.1121
114	2708.6636	1403.1952	0.9726	0.1130
115	2708.6636	1452.9922	0.9726	0.1140
116	2708.7394	1350.4647	0.9730	0.1150
117	2708.7959	1441.6701	0.9729	0.1160
118	2708.7959	1389.5111	0.9729	0.1169
119	2709.0393	1397.9744	0.9729	0.1178
120	2709.0393	1483.9379	0.9731	0.1188
121	2709.0393	1589.6650	0.9731	0.1197
122	2709.0393	1514.5136	0.9735	0.1207
123	2709.0393	1377.4912	0.9734	0.1216
124	2709.0393	1393.8080	0.9735	0.1225
125	2709.0393	1350.0126	0.9737	0.1234
126	2709.0393	1390.7211	0.9733	0.1244
127	2709.0393	1511.5106	0.9732	0.1253
128	2709.0393	1404.6389	0.9730	0.1263
129	2709.0393	1589.2529	0.9730	0.1272
130	2709.0393	1395.6540	0.9726	0.1282
131	2709.0393	1485.2487	0.9727	0.1291
132	2709.0393	1502.8947	0.9727	0.1300
133	2709.0393	1391.2537	0.9727	0.1310
134	2709.0393	1401.0465	0.9727	0.1319
135	2709.0393	1491.4570	0.9725	0.1329
136	2709.0393	1407.4626	0.9726	0.1338
137	2709.0393	1310.5338	0.9727	0.1347
138	2709.0393	1561.8627	0.9727	0.1357
139	2709.0393	1420.9004	0.9727	0.1366
140	2709.0393	1387.9732	0.9725	0.1376
141	2709.0393	1589.2010	0.9725	0.1385
142	2709.0393	1651.0391	0.9724	0.1395
143	2709.0393	1638.0531	0.9730	0.1405
144	2709.0393	1346.2140	0.9731	0.1414
145	2709.0393	1589.4523	0.9731	0.1424
146	2709.0393	1417.7821	0.9731	0.1434
147	2709.0393	1417.0952	0.9734	0.1443
148	2709.0393	1528.4837	0.9734	0.1453
149	2709.0393	1477.6448	0.9733	0.1462
150	2647.9923	1525.9664	0.9362	0.1483
151	267.1832	26.4007	0.9388	0.1492
152	1605.2331	53.5955	0.9397	0.1502
153	1605.2331	73.0433	0.9408	0.1512
154	1605.2331	90.5392	0.9396	0.1522
155	1605.2331	75.9227	0.9407	0.1532
156	1605.2331	108.0290	0.9411	0.1541
157	1605.2331	128.6019	0.9407	0.1551
158	1686.6819	149.5272	0.9398	0.1561
159	1767.9944	159.3687	0.9386	0.1570
160	1767.9944	208.9631	0.9401	0.1580
161	2533.3410	204.5874	0.9411	0.1590
162	2533.3410	259.4427	0.9420	0.1599
163	2533.3410	227.8610	0.9433	0.1609
164	2533.3410	297.2077	0.9440	0.1619
165	2533.3410	289.9943	0.9438	0.1628
166	2533.3410	347.7463	0.9444	0.1638
167	2533.3410	298.2251	0.9469	0.1647
168	2533.3410	365.9376	0.9470	0.1657
169	2533.3410	351.2423	0.9448	0.1667
170	2559.2555	374.6176	0.9438	0.1676
171	2623.5838	353.7740	0.9427	0.1687
172	2623.5838	446.2629	0.9417	0.1697
173	2623.5838	379.1241	0.9410	0.1707
174	2672.3369	431.2567	0.9434	0.1717
175	2693.4612	462.3672	0.9420	0.1726
176	2693.4612	424.2810	0.9424	0.1736
177	2699.2245	579.0678	0.9410	0.1745
178	2699.2245	537.2022	0.9379	0.1754
179	2699.2245	524.5553	0.9391	0.1764
180	2699.2245	488.0226	0.9382	0.1773
181	2699.2245	598.5961	0.9363	0.1783
182	2699.2245	525.7468	0.9363	0.1793
183	2699.2245	529.3904	0.9358	0.1803
