ID: six_hump_camel_back	Date: 2019-06-28 14:21:28	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	1.0270	-0.9837	1.0000	0.0055
1	1.0270	-0.8736	0.9997	0.0070
2	1.0270	-0.7984	1.0000	0.0085
3	1.0303	-0.7701	0.9979	0.0101
4	1.0303	-0.7047	1.0000	0.0116
5	1.0303	-0.6250	0.9997	0.0130
6	1.0303	-0.6617	0.9985	0.0144
7	1.0303	-0.5987	0.9979	0.0158
8	1.0303	-0.5786	0.9962	0.0172
9	1.0311	-0.5510	0.9879	0.0186
10	1.0315	-0.5142	0.9808	0.0200
11	1.0315	-0.5525	0.9791	0.0214
12	1.0315	-0.4589	0.9802	0.0226
13	1.0315	-0.4454	0.9764	0.0239
14	1.0315	-0.4574	0.9076	0.0255
15	1.0315	-0.5802	0.9056	0.0269
16	1.0315	-0.5959	0.9042	0.0281
17	1.0315	-0.5210	0.9212	0.0295
18	1.0315	-0.5593	0.9185	0.0311
19	1.0315	-0.4744	0.9144	0.0329
20	1.0315	-0.4320	0.9114	0.0341
21	1.0316	-0.4463	0.9130	0.0355
22	1.0316	-0.4119	0.9112	0.0369
23	1.0316	-0.3891	0.9109	0.0383
24	1.0316	-0.3785	0.9201	0.0395
25	1.0316	-0.3298	0.9084	0.0408
26	1.0316	-0.3128	0.8907	0.0422
27	1.0316	-0.3613	0.8965	0.0436
28	1.0316	-0.3580	0.8885	0.0449
29	1.0316	-0.2937	0.8880	0.0463
30	1.0316	-0.3641	0.9041	0.0481
31	1.0316	-0.3999	0.8803	0.0494
32	1.0316	-0.3886	0.8761	0.0508
33	1.0316	-0.3502	0.8526	0.0521
34	1.0316	-0.3218	0.8613	0.0534
35	1.0316	-0.4177	0.8659	0.0547
36	1.0316	-0.3106	0.8725	0.0560
37	1.0316	-0.3101	0.8888	0.0573
38	1.0316	-0.5123	0.8852	0.0585
39	1.0316	-0.4417	0.8900	0.0599
40	1.0316	-0.4982	0.8813	0.0614
41	1.0316	-0.4912	0.8867	0.0628
42	1.0316	-0.5378	0.8767	0.0642
43	1.0316	-0.5030	0.8655	0.0657
44	1.0316	-0.4492	0.8726	0.0670
45	1.0316	-0.5750	0.8772	0.0683
46	1.0316	-0.4998	0.8844	0.0699
47	1.0316	-0.5560	0.8865	0.0712
48	1.0316	-0.4567	0.9105	0.0725
49	1.0316	-0.5089	0.9161	0.0738
50	1.0316	-0.4516	0.9165	0.0751
51	1.0316	-0.4027	0.9212	0.0764
52	1.0316	-0.4540	0.9187	0.0777
53	1.0316	-0.4460	0.9017	0.0792
54	1.0316	-0.5588	0.9099	0.0805
55	1.0316	-0.4864	0.9175	0.0819
56	1.0316	-0.5615	0.9142	0.0832
57	1.0316	-0.5168	0.9170	0.0844
58	1.0316	-0.5547	0.9002	0.0858
59	1.0316	-0.4924	0.9001	0.0870
60	1.0316	-0.5152	0.9201	0.0884
61	1.0316	-0.4852	0.9170	0.0897
62	1.0316	-0.4899	0.8964	0.0912
63	1.0316	-0.5189	0.9164	0.0925
64	1.0316	-0.5562	0.9055	0.0939
65	1.0316	-0.6410	0.8852	0.0952
66	1.0316	-0.5616	0.8876	0.0965
67	1.0316	-0.6405	0.8884	0.0978
68	1.0316	-0.5665	0.9028	0.0991
69	1.0316	-0.5953	0.9137	0.1004
70	1.0316	-0.5895	0.9042	0.1017
71	1.0316	-0.5654	0.9319	0.1030
72	1.0316	-0.6589	0.9386	0.1043
73	1.0316	-0.6456	0.9472	0.1055
74	1.0316	-0.7155	0.9394	0.1069
75	1.0316	-0.7091	0.9923	0.1083
76	1.0316	-0.6644	0.9892	0.1096
77	1.0316	-0.8156	0.9639	0.1110
78	1.0316	-0.7556	0.9235	0.1125
79	1.0316	-0.5413	0.9184	0.1138
80	1.0316	-0.5651	0.9229	0.1152
81	1.0316	-0.6660	0.9104	0.1165
82	1.0316	-0.6583	0.8961	0.1178
83	1.0316	-0.6057	0.8797	0.1191
84	1.0316	-0.6069	0.8915	0.1204
85	1.0316	-0.6101	0.8896	0.1217
86	1.0316	-0.6076	0.8952	0.1230
87	1.0316	-0.5559	0.8916	0.1244
88	1.0316	-0.4806	0.9273	0.1258
89	1.0316	-0.4696	0.9366	0.1271
90	1.0316	-0.5728	0.9429	0.1284
91	1.0316	-0.5604	0.9306	0.1298
92	1.0316	-0.5842	0.9329	0.1312
93	1.0316	-0.6617	0.9350	0.1325
94	1.0316	-0.6385	0.9483	0.1339
95	1.0316	-0.6393	0.9674	0.1352
96	1.0316	-0.7262	0.9739	0.1365
97	1.0316	-0.7243	0.9547	0.1378
98	1.0316	-0.7660	0.9722	0.1391
99	1.0316	-0.7533	0.9670	0.1403
100	1.0316	-0.7552	0.9735	0.1417
101	1.0316	-0.7630	0.9847	0.1430
102	1.0316	-0.7424	0.9859	0.1446
103	1.0316	-0.7443	0.9789	0.1459
104	1.0316	-0.7831	0.9864	0.1472
105	1.0316	-0.7475	0.9903	0.1485
106	1.0316	-0.6659	1.0000	0.1498
107	1.0316	-0.6903	0.9955	0.1512
108	1.0316	-0.7691	0.9948	0.1525
109	1.0316	-0.6843	0.9977	0.1538
110	1.0316	-0.7295	0.9620	0.1552
111	1.0316	-0.6482	0.9601	0.1565
112	1.0316	-0.6401	0.9601	0.1578
113	1.0316	-0.7066	0.9637	0.1593
114	1.0316	-0.7116	0.9664	0.1606
115	1.0316	-0.7406	0.9591	0.1619
116	1.0316	-0.7197	0.9452	0.1632
117	1.0316	-0.7021	0.9327	0.1645
118	1.0316	-0.6585	0.9369	0.1657
119	1.0316	-0.6982	0.9202	0.1671
120	1.0316	-0.6350	0.9161	0.1684
121	1.0316	-0.6478	0.9318	0.1697
122	1.0316	-0.6865	0.9325	0.1710
123	1.0316	-0.6659	0.9353	0.1723
124	1.0316	-0.6711	0.9234	0.1736
125	1.0316	-0.6975	0.9043	0.1750
126	1.0316	-0.6993	0.9067	0.1764
127	1.0316	-0.7026	0.9204	0.1777
128	1.0316	-0.6414	0.9166	0.1790
129	1.0316	-0.6471	0.9089	0.1803
130	1.0316	-0.5864	0.9003	0.1817
131	1.0316	-0.5919	0.9137	0.1831
132	1.0316	-0.6051	0.9181	0.1844
133	1.0316	-0.5782	0.9167	0.1858
134	1.0316	-0.6055	0.9144	0.1875
135	1.0316	-0.6016	0.9407	0.1889
136	1.0316	-0.6313	0.9425	0.1902
137	1.0316	-0.6183	0.9474	0.1916
138	1.0316	-0.7579	0.9492	0.1929
139	1.0316	-0.6455	0.9477	0.1944
140	1.0316	-0.6792	0.9556	0.1957
141	1.0316	-0.6376	0.9527	0.1971
142	1.0316	-0.6271	0.9532	0.1985
143	1.0316	-0.5752	0.9465	0.1998
144	1.0316	-0.5973	0.9382	0.2011
145	1.0316	-0.5728	0.9377	0.2023
146	1.0316	-0.6103	0.9387	0.2036
147	1.0316	-0.6191	0.9414	0.2050
148	1.0316	-0.6124	0.9481	0.2063
149	1.0316	-0.6058	0.9585	0.2076
150	1.0316	-0.6473	0.9576	0.2088
151	1.0316	-0.6261	0.9547	0.2102
152	1.0316	-0.5698	0.9389	0.2115
153	1.0316	-0.5677	0.9397	0.2129
154	1.0316	-0.5365	0.9393	0.2143
155	1.0316	-0.5422	0.9343	0.2155
156	1.0316	-0.6107	0.9552	0.2168
157	1.0316	-0.5475	0.9479	0.2184
158	1.0316	-0.5349	0.9471	0.2197
159	1.0316	-0.5938	0.9460	0.2210
160	1.0316	-0.5075	0.9400	0.2224
161	1.0316	-0.5059	0.9402	0.2237
162	1.0316	-0.4436	0.9323	0.2249
163	1.0316	-0.4401	0.9299	0.2263
164	1.0316	-0.5976	0.9398	0.2276
165	1.0316	-0.6300	0.9422	0.2289
166	1.0316	-0.6537	0.9379	0.2301
167	1.0316	-0.6069	0.9243	0.2317
