ID: vincent	Date: 2019-08-19 19:28:54	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	0.9877	0.2675	1.0000	0.0010
1	0.9877	0.3248	1.0000	0.0018
2	0.9877	0.3827	0.9999	0.0026
3	0.9944	0.4068	0.9998	0.0034
4	0.9944	0.4416	0.9975	0.0042
5	0.9960	0.5120	0.9958	0.0050
6	0.9960	0.5223	0.9959	0.0058
7	0.9981	0.5792	0.9940	0.0067
8	0.9981	0.6073	0.9920	0.0076
9	0.9981	0.6209	0.9847	0.0084
10	0.9984	0.6522	0.9798	0.0092
11	0.9984	0.6410	0.9738	0.0100
12	0.9997	0.7049	0.9644	0.0108
13	0.9997	0.7466	0.9643	0.0117
14	0.9999	0.6315	0.9625	0.0126
15	0.9999	0.6941	0.8791	0.0135
16	0.9999	0.5484	0.8821	0.0143
17	0.9999	0.5764	0.8779	0.0152
18	0.9999	0.6425	0.8844	0.0160
19	0.9999	0.5872	0.8848	0.0167
20	0.9999	0.6394	0.8765	0.0175
21	0.9999	0.6747	0.8847	0.0184
22	0.9999	0.6737	0.8956	0.0192
23	0.9999	0.6550	0.8971	0.0201
24	0.9999	0.6964	0.8814	0.0209
25	1.0000	0.6835	0.8769	0.0217
26	1.0000	0.7328	0.8733	0.0225
27	1.0000	0.7054	0.8589	0.0234
28	1.0000	0.7081	0.8693	0.0242
29	1.0000	0.6532	0.8518	0.0250
30	1.0000	0.6779	0.8523	0.0258
31	1.0000	0.6969	0.8439	0.0267
32	1.0000	0.6769	0.8423	0.0276
33	1.0000	0.6751	0.8412	0.0284
34	1.0000	0.6888	0.8561	0.0292
35	1.0000	0.6825	0.8441	0.0302
36	1.0000	0.6919	0.8488	0.0314
37	1.0000	0.7346	0.8442	0.0327
38	1.0000	0.7190	0.8563	0.0340
39	1.0000	0.7258	0.8719	0.0350
40	1.0000	0.6882	0.8784	0.0362
41	1.0000	0.7196	0.8952	0.0371
42	1.0000	0.7181	0.8953	0.0383
43	1.0000	0.7358	0.9025	0.0394
44	1.0000	0.7250	0.8872	0.0404
45	1.0000	0.7381	0.8701	0.0415
46	1.0000	0.7547	0.8660	0.0423
47	1.0000	0.6670	0.8532	0.0432
48	1.0000	0.7276	0.8653	0.0441
49	1.0000	0.7057	0.8733	0.0451
50	1.0000	0.7386	0.8665	0.0459
51	1.0000	0.7673	0.8591	0.0468
52	1.0000	0.7380	0.8635	0.0476
53	1.0000	0.7584	0.8681	0.0486
54	1.0000	0.7167	0.8732	0.0500
55	1.0000	0.7570	0.8729	0.0513
56	1.0000	0.7364	0.8721	0.0523
57	1.0000	0.7437	0.8637	0.0532
58	1.0000	0.7440	0.8640	0.0542
59	1.0000	0.7632	0.8688	0.0553
60	1.0000	0.7785	0.8626	0.0562
61	1.0000	0.7666	0.8519	0.0571
62	1.0000	0.7886	0.8694	0.0581
63	1.0000	0.7675	0.8947	0.0590
64	1.0000	0.7565	0.9034	0.0600
65	1.0000	0.8093	0.8889	0.0610
66	1.0000	0.7466	0.8955	0.0619
67	1.0000	0.7642	0.8989	0.0629
68	1.0000	0.7692	0.9001	0.0637
69	1.0000	0.8051	0.9105	0.0646
70	1.0000	0.8058	0.9075	0.0656
71	1.0000	0.7842	0.8889	0.0664
72	1.0000	0.7807	0.8822	0.0673
73	1.0000	0.8233	0.8959	0.0682
74	1.0000	0.8448	0.8807	0.0692
75	1.0000	0.7938	0.8790	0.0700
76	1.0000	0.8334	0.8798	0.0709
77	1.0000	0.8653	0.8826	0.0718
78	1.0000	0.8614	0.8900	0.0729
79	1.0000	0.8380	0.8834	0.0737
80	1.0000	0.8317	0.8777	0.0746
81	1.0000	0.8233	0.8660	0.0754
82	1.0000	0.8156	0.8676	0.0764
83	1.0000	0.8188	0.8688	0.0774
84	1.0000	0.7928	0.8545	0.0783
85	1.0000	0.8142	0.8501	0.0793
86	1.0000	0.8296	0.8499	0.0804
87	1.0000	0.8267	0.8456	0.0813
88	1.0000	0.8259	0.8435	0.0826
89	1.0000	0.8083	0.8518	0.0838
90	1.0000	0.7868	0.8608	0.0847
91	1.0000	0.8070	0.8585	0.0859
92	1.0000	0.8580	0.8545	0.0870
93	1.0000	0.8573	0.8588	0.0879
94	1.0000	0.8230	0.8606	0.0889
