ID: CF3	Date: 2019-04-29 19:11:55	Runs: 5
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	-1216.6022	-1924.7374	0.0000	0.0106
1	-1159.4632	-1874.8427	0.0000	0.0183
2	-917.8052	-1844.1766	0.0000	0.0260
3	-917.8052	-1810.4789	0.0000	0.0336
4	-917.8052	-1800.3384	0.0000	0.0413
5	-620.1895	-1694.9139	0.0000	0.0497
6	-620.1895	-1692.4531	0.0000	0.0584
7	-620.1895	-1644.2894	0.0000	0.0669
8	-620.1895	-1594.3694	0.0000	0.0756
9	-466.6011	-1558.5217	0.0000	0.0837
10	-466.6011	-1568.3178	0.0000	0.0918
11	-466.6011	-1528.3955	0.0000	0.0998
12	-466.6011	-1515.7885	0.0000	0.1078
13	-448.3054	-1447.3376	0.0000	0.1156
14	-448.3054	-1446.5646	0.0000	0.1229
15	-448.3054	-1389.7118	0.0000	0.1302
16	-448.3054	-1401.5166	0.0000	0.1390
17	-448.3054	-1356.2095	0.0000	0.1484
18	-448.3054	-1346.1368	0.0000	0.1576
19	-448.3054	-1323.3305	0.0000	0.1655
20	-448.3054	-1281.5641	0.0000	0.1719
21	-448.3054	-1280.7051	0.0000	0.1783
22	-448.3054	-1274.8417	0.0000	0.1851
23	-446.5598	-1229.9665	0.0000	0.1914
24	-446.5598	-1216.4441	0.0000	0.1970
25	-352.0984	-1249.1961	0.0000	0.2032
26	-352.0984	-1172.2468	0.0000	0.2087
27	-339.5059	-1184.7277	0.0000	0.2147
28	-339.5059	-1134.3594	0.0000	0.2203
29	-328.3427	-1084.8955	0.0000	0.2259
30	-328.3427	-1076.3754	0.0000	0.2311
31	-328.3427	-1032.8814	0.0000	0.2367
32	-286.1569	-1043.8402	0.0000	0.2418
33	-286.1569	-1009.9076	0.0000	0.2480
34	-286.1569	-987.0384	0.0000	0.2544
35	-286.1569	-1017.7578	0.0000	0.2605
36	-286.1569	-993.8049	0.0000	0.2658
37	-286.1569	-973.3204	0.0000	0.2715
38	-286.1569	-938.7351	0.0000	0.2775
39	-286.1569	-923.2073	0.0000	0.2836
40	-264.3093	-878.2553	0.0000	0.2901
41	-264.3093	-920.7067	0.0000	0.2969
42	-264.3093	-912.2814	0.0000	0.3036
43	-225.2448	-895.6372	0.0000	0.3099
44	-225.2448	-858.1520	0.0000	0.3165
45	-209.3123	-877.1867	0.0000	0.3225
46	-185.1749	-836.4747	0.0000	0.3285
47	-185.1749	-842.4924	0.0000	0.3337
48	-185.1749	-814.9358	0.0000	0.3388
49	-166.9730	-785.9254	0.0000	0.3447
50	-157.5814	-786.3903	0.0000	0.3507
51	-150.9904	-782.0122	0.0000	0.3565
52	-150.9904	-761.0217	0.0000	0.3628
53	-134.4773	-759.4311	0.0000	0.3710
54	-134.4773	-746.3543	0.0000	0.3793
55	-131.1118	-733.7109	0.0000	0.3868
56	-131.1118	-712.5687	0.0000	0.3954
57	-131.1118	-727.6128	0.0000	0.4034
58	-125.2566	-698.9937	0.0000	0.4127
59	-125.2566	-678.2945	0.0000	0.4215
60	-125.2566	-633.1817	0.0000	0.4307
