ID: shubert	Date: 2019-05-03 17:18:39	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	127.9055	12.8196	0.0000	0.0009
1	173.7182	19.6287	0.0000	0.0015
2	173.7182	20.8824	0.0000	0.0022
3	179.7415	21.7224	0.0000	0.0032
4	179.7415	31.0192	0.0000	0.0042
5	179.7415	27.5174	0.0000	0.0049
6	179.7415	33.5889	0.0000	0.0056
7	179.7415	29.9702	0.0000	0.0062
8	179.7415	33.3308	0.0000	0.0071
9	179.7415	37.3152	0.0000	0.0083
10	186.0360	33.0231	0.0000	0.0090
11	186.0360	35.4968	0.0000	0.0097
12	186.0360	42.0020	0.0000	0.0104
13	186.0360	47.5600	0.0000	0.0112
14	186.0360	42.4484	0.0000	0.0120
15	186.0360	44.9185	0.0000	0.0130
16	186.0611	52.1106	0.0000	0.0140
17	186.0611	46.8081	0.0000	0.0146
18	186.0611	49.2605	0.0000	0.0154
19	186.0611	49.0253	0.0000	0.0160
20	186.0611	49.9978	0.0000	0.0169
21	186.0611	56.8996	0.0000	0.0181
22	186.0611	49.1092	0.0000	0.0188
23	186.0611	58.1136	0.0000	0.0196
24	186.0611	53.9249	0.0000	0.0203
25	186.0611	52.1823	0.0000	0.0210
26	186.0611	54.1489	0.0000	0.0217
27	186.0611	56.9747	0.0000	0.0229
28	186.0611	53.9397	0.0000	0.0236
29	186.0611	58.1478	0.0000	0.0244
30	186.0611	56.9791	0.0000	0.0252
31	186.0611	56.5167	0.0000	0.0259
32	186.0611	54.0058	0.0000	0.0270
33	186.0611	62.9409	0.0000	0.0280
34	186.0611	58.8043	0.0000	0.0289
35	186.0611	64.5708	0.0000	0.0297
36	186.0611	66.0068	0.0000	0.0305
37	186.0611	65.7264	0.0000	0.0315
38	184.7030	53.3798	0.0000	0.0327
39	186.1200	56.2847	0.0000	0.0337
40	186.1200	44.0378	0.0000	0.0346
41	186.1200	38.5642	0.0000	0.0355
42	186.1200	39.9399	0.0000	0.0364
43	186.1200	33.6759	0.0000	0.0378
44	183.7067	28.7324	0.0000	0.0388
45	183.7067	31.5387	0.0000	0.0395
46	183.7067	32.1596	0.0000	0.0402
47	183.7067	37.2304	0.0000	0.0410
48	183.7067	35.0553	0.0000	0.0418
49	183.7067	34.5744	0.0000	0.0431
50	183.7067	38.2251	0.0000	0.0438
51	183.7067	43.4543	0.0000	0.0445
52	184.8677	38.1709	0.0000	0.0453
53	186.3751	45.0401	0.0000	0.0461
54	186.3751	46.2616	0.0000	0.0472
55	186.3751	43.1682	0.0000	0.0481
56	186.3751	49.8722	0.0000	0.0489
57	186.3751	46.8139	0.0000	0.0497
58	186.3751	53.2084	0.0000	0.0506
59	186.3751	50.8922	0.0000	0.0517
60	186.3751	47.9212	0.0000	0.0527
61	186.3751	57.0344	0.0000	0.0534
62	186.3751	47.4213	0.0000	0.0543
63	186.4915	46.6082	0.0000	0.0551
64	186.7134	54.4736	0.0000	0.0559
65	186.7134	54.7955	0.0000	0.0568
66	186.7134	53.9537	0.0000	0.0579
67	186.7134	54.0283	0.0000	0.0587
68	186.7134	51.1281	0.0000	0.0595
69	186.7134	56.4424	0.0000	0.0602
70	186.7134	63.5107	0.0000	0.0609
71	186.7134	57.5475	0.0000	0.0619
72	186.7134	57.5065	0.0000	0.0630
73	186.7134	65.1503	0.0000	0.0637
74	186.7134	56.1920	0.0000	0.0644
75	186.7134	61.5077	0.0000	0.0652
76	186.7134	61.2441	0.0000	0.0661
77	186.7134	62.0061	0.0000	0.0673
78	186.7134	68.8807	0.0000	0.0682
79	186.7134	63.8733	0.0000	0.0690
80	186.7134	69.5959	0.0000	0.0697
81	186.7134	66.6712	0.0000	0.0704
82	186.7134	63.9753	0.0000	0.0712
83	186.7134	67.3488	0.0000	0.0724
84	186.7134	65.1221	0.0000	0.0736
85	186.7134	65.5766	0.0000	0.0745
86	186.7134	63.5741	0.0000	0.0759
87	186.7134	64.2117	0.0000	0.0769
88	186.7134	57.7190	0.0000	0.0782
89	186.7134	59.1783	0.0000	0.0790
90	186.7134	55.0616	0.0000	0.0805
91	186.7134	52.9343	0.0000	0.0814
92	186.7134	49.6439	0.0000	0.0827
93	186.7134	46.8770	0.0000	0.0839
94	186.7134	40.5389	0.0000	0.0849
95	186.7134	41.0261	0.0000	0.0860
96	186.7134	43.2728	0.0000	0.0871
97	186.7134	43.4171	0.0000	0.0885
98	186.7134	43.0617	0.0000	0.0899
99	186.7134	49.8067	0.0000	0.0907
100	186.7134	51.3335	0.0000	0.0916
101	186.7134	48.4559	0.0000	0.0925
102	186.7134	46.8947	0.0000	0.0932
103	186.7134	49.1490	0.0000	0.0943
104	186.7134	51.4079	0.0000	0.0952
105	186.7134	51.6770	0.0000	0.0959
106	186.7134	54.8795	0.0000	0.0966
107	186.7134	52.1807	0.0000	0.0972
108	186.7134	47.7000	0.0000	0.0980
109	186.7134	54.7894	0.0000	0.0991
110	186.7134	57.0284	0.0000	0.0998
111	186.7134	60.3420	0.0000	0.1004
112	186.7134	68.7440	0.0000	0.1012
113	186.7134	62.0182	0.0000	0.1018
114	186.7134	60.2226	0.0000	0.1029
115	186.7134	58.4195	0.0000	0.1037
116	186.7134	58.0333	0.0000	0.1044
117	186.7134	64.2988	0.0000	0.1050
118	186.7134	72.7257	0.0000	0.1058
119	186.7134	64.0668	0.0000	0.1067
120	186.7134	64.9188	0.0000	0.1076
121	186.7134	67.3953	0.0000	0.1083
122	186.7134	76.8046	0.0000	0.1090
123	186.7134	63.1566	0.0000	0.1097
124	186.7134	61.8166	0.0000	0.1103
125	186.7134	65.3913	0.0000	0.1114
126	186.7134	63.7286	0.0000	0.1122
