ID: vincent	Date: 2019-05-03 20:26:47	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	0.9658	0.2680	0.0000	0.0015
1	0.9658	0.3053	0.0000	0.0023
2	0.9658	0.4206	0.0000	0.0033
3	0.9947	0.4807	0.0000	0.0043
4	0.9947	0.5371	0.0000	0.0051
5	0.9947	0.5717	0.0000	0.0059
6	0.9947	0.5750	0.0000	0.0068
7	0.9947	0.5857	0.0000	0.0076
8	0.9979	0.6324	0.0000	0.0087
9	0.9979	0.6758	0.0000	0.0096
10	0.9979	0.6790	0.0000	0.0104
11	0.9979	0.6999	0.0000	0.0112
12	0.9979	0.7376	0.0000	0.0120
13	0.9979	0.7453	0.0000	0.0129
14	0.9979	0.7855	0.0000	0.0141
15	0.9979	0.7763	0.0000	0.0154
16	0.9979	0.7982	0.0000	0.0166
17	0.9979	0.8119	0.0000	0.0175
18	0.9996	0.8146	0.0000	0.0184
19	0.9996	0.8241	0.0000	0.0192
20	0.9996	0.8369	0.0000	0.0201
21	0.9988	0.8335	0.0000	0.0213
22	0.9988	0.8116	0.0000	0.0221
23	0.9988	0.8154	0.0000	0.0229
24	0.9988	0.8137	0.0000	0.0238
25	0.9988	0.7769	0.0000	0.0247
26	0.9988	0.7551	0.0000	0.0255
27	0.9988	0.7659	0.0000	0.0264
28	0.9993	0.7776	0.0000	0.0277
29	0.9996	0.7733	0.0000	0.0289
30	0.9996	0.7405	0.0000	0.0300
31	0.9996	0.7378	0.0000	0.0308
32	0.9996	0.7324	0.0000	0.0321
33	0.9996	0.7360	0.0000	0.0336
34	0.9997	0.7725	0.0000	0.0352
35	0.9997	0.7626	0.0000	0.0367
36	0.9999	0.7490	0.0000	0.0380
37	0.9999	0.7618	0.0000	0.0393
38	0.9999	0.7680	0.0000	0.0407
39	0.9999	0.8143	0.0000	0.0415
40	0.9999	0.8144	0.0000	0.0423
41	0.9999	0.8561	0.0000	0.0430
42	0.9999	0.8289	0.0000	0.0438
43	0.9999	0.8630	0.0000	0.0445
44	0.9999	0.8340	0.0000	0.0452
45	1.0000	0.8414	0.0000	0.0461
46	1.0000	0.8660	0.0000	0.0474
47	1.0000	0.8515	0.0000	0.0485
48	1.0000	0.8709	0.0000	0.0499
49	1.0000	0.8737	0.0000	0.0512
50	1.0000	0.8827	0.0000	0.0522
51	1.0000	0.8893	0.0000	0.0542
52	1.0000	0.8770	0.0000	0.0551
53	1.0000	0.9112	0.0000	0.0559
54	1.0000	0.9031	0.0000	0.0567
55	1.0000	0.9115	0.0000	0.0577
56	1.0000	0.8801	0.0000	0.0584
57	1.0000	0.9120	0.0000	0.0597
58	1.0000	0.9210	0.0000	0.0607
59	1.0000	0.8809	0.0000	0.0619
60	1.0000	0.8827	0.0000	0.0630
61	1.0000	0.9102	0.0000	0.0640
62	1.0000	0.8871	0.0000	0.0649
63	1.0000	0.8431	0.0000	0.0657
64	1.0000	0.8341	0.0000	0.0667
65	1.0000	0.8433	0.0000	0.0679
66	1.0000	0.8603	0.0000	0.0690
67	1.0000	0.8636	0.0000	0.0702
68	1.0000	0.8543	0.0000	0.0714
69	1.0000	0.8907	0.0000	0.0724
70	1.0000	0.8611	0.0000	0.0732
71	1.0000	0.8670	0.0000	0.0741
72	1.0000	0.8621	0.0000	0.0752
73	1.0000	0.8598	0.0000	0.0765
74	1.0000	0.8802	0.0000	0.0779
75	1.0000	0.8963	0.0000	0.0792
76	1.0000	0.8872	0.0000	0.0801
77	1.0000	0.8281	0.0000	0.0810
78	1.0000	0.8633	0.0000	0.0818
79	1.0000	0.8748	0.0000	0.0827
80	1.0000	0.8976	0.0000	0.0835
81	1.0000	0.8937	0.0000	0.0843
82	1.0000	0.8769	0.0000	0.0852
83	1.0000	0.8518	0.0000	0.0860
84	1.0000	0.8621	0.0000	0.0871
85	1.0000	0.9187	0.0000	0.0884
86	1.0000	0.8865	0.0000	0.0893
87	1.0000	0.8882	0.0000	0.0901
88	1.0000	0.9026	0.0000	0.0909
89	1.0000	0.9023	0.0000	0.0916
90	1.0000	0.9196	0.0000	0.0924
91	1.0000	0.9457	0.0000	0.0932
92	1.0000	0.9262	0.0000	0.0940
93	1.0000	0.9200	0.0000	0.0950
94	1.0000	0.9029	0.0000	0.0959
95	1.0000	0.9122	0.0000	0.0972
96	1.0000	0.8962	0.0000	0.0981
97	1.0000	0.9465	0.0000	0.0989
98	1.0000	0.9044	0.0000	0.1000
99	1.0000	0.9212	0.0000	0.1009
100	1.0000	0.9026	0.0000	0.1017
101	1.0000	0.9244	0.0000	0.1025
102	1.0000	0.9093	0.0000	0.1035
103	1.0000	0.9303	0.0000	0.1044
104	1.0000	0.8996	0.0000	0.1057
105	1.0000	0.9345	0.0000	0.1067
106	1.0000	0.9185	0.0000	0.1076
107	1.0000	0.9214	0.0000	0.1089
108	1.0000	0.8977	0.0000	0.1104
109	1.0000	0.9148	0.0000	0.1120
110	1.0000	0.9009	0.0000	0.1133
111	1.0000	0.9084	0.0000	0.1147
112	1.0000	0.9061	0.0000	0.1163
113	1.0000	0.8771	0.0000	0.1171
114	1.0000	0.9244	0.0000	0.1179
115	1.0000	0.9026	0.0000	0.1187
116	1.0000	0.9178	0.0000	0.1195
117	1.0000	0.9173	0.0000	0.1203
118	1.0000	0.8933	0.0000	0.1212
119	1.0000	0.9382	0.0000	0.1223
120	1.0000	0.9296	0.0000	0.1233
121	1.0000	0.9147	0.0000	0.1241
122	1.0000	0.9475	0.0000	0.1249
123	1.0000	0.9455	0.0000	0.1258
124	1.0000	0.9132	0.0000	0.1266
125	1.0000	0.9348	0.0000	0.1274
126	1.0000	0.9189	0.0000	0.1282
127	1.0000	0.9222	0.0000	0.1289
128	1.0000	0.9059	0.0000	0.1297
129	1.0000	0.9201	0.0000	0.1304
130	1.0000	0.9151	0.0000	0.1314
131	1.0000	0.9247	0.0000	0.1327
132	1.0000	0.9219	0.0000	0.1341
133	1.0000	0.9367	0.0000	0.1354
134	1.0000	0.9216	0.0000	0.1369
135	1.0000	0.9306	0.0000	0.1384
136	1.0000	0.9367	0.0000	0.1399
137	1.0000	0.9426	0.0000	0.1413
138	1.0000	0.9422	0.0000	0.1428
139	1.0000	0.8983	0.0000	0.1441
140	1.0000	0.9311	0.0000	0.1456
141	1.0000	0.9520	0.0000	0.1469
142	1.0000	0.9385	0.0000	0.1483
143	1.0000	0.9408	0.0000	0.1497
144	1.0000	0.9560	0.0000	0.1511
145	1.0000	0.9093	0.0000	0.1525
146	1.0000	0.9447	0.0000	0.1541
147	1.0000	0.9246	0.0000	0.1555
148	1.0000	0.9290	0.0000	0.1569
149	1.0000	0.9142	0.0000	0.1585
150	1.0000	0.9243	0.0000	0.1598
151	1.0000	0.9240	0.0000	0.1613
152	1.0000	0.9002	0.0000	0.1627
153	1.0000	0.9288	0.0000	0.1642
154	1.0000	0.9160	0.0000	0.1656
155	1.0000	0.9293	0.0000	0.1670
156	1.0000	0.9355	0.0000	0.1683
157	1.0000	0.9498	0.0000	0.1698
158	1.0000	0.9527	0.0000	0.1712
159	1.0000	0.9393	0.0000	0.1725
160	1.0000	0.9457	0.0000	0.1741
161	1.0000	0.9542	0.0000	0.1749
162	1.0000	0.9452	0.0000	0.1756
163	1.0000	0.9379	0.0000	0.1764
164	1.0000	0.9353	0.0000	0.1775
165	1.0000	0.9464	0.0000	0.1786
166	1.0000	0.9382	0.0000	0.1795
167	1.0000	0.9348	0.0000	0.1807
168	1.0000	0.9531	0.0000	0.1815
169	1.0000	0.9486	0.0000	0.1822
170	1.0000	0.9535	0.0000	0.1829
171	1.0000	0.9534	0.0000	0.1837
172	1.0000	0.9519	0.0000	0.1845
173	1.0000	0.9682	0.0000	0.1853
174	1.0000	0.9604	0.0000	0.1863
175	1.0000	0.9430	0.0000	0.1876
176	1.0000	0.9545	0.0000	0.1883
177	1.0000	0.9734	0.0000	0.1894
178	1.0000	0.9628	0.0000	0.1905
179	1.0000	0.9356	0.0000	0.1912
180	1.0000	0.9534	0.0000	0.1921
181	1.0000	0.9514	0.0000	0.1933
182	1.0000	0.9471	0.0000	0.1948
183	1.0000	0.9563	0.0000	0.1964
184	1.0000	0.9629	0.0000	0.1979
185	1.0000	0.9517	0.0000	0.1993
186	1.0000	0.9493	0.0000	0.2008
187	1.0000	0.9538	0.0000	0.2023
188	1.0000	0.9354	0.0000	0.2037
189	1.0000	0.9552	0.0000	0.2051
190	1.0000	0.9685	0.0000	0.2066
191	1.0000	0.9572	0.0000	0.2081
192	1.0000	0.9680	0.0000	0.2095
193	1.0000	0.9664	0.0000	0.2110
194	1.0000	0.9553	0.0000	0.2125
195	1.0000	0.9710	0.0000	0.2139
196	1.0000	0.9591	0.0000	0.2154
197	1.0000	0.9663	0.0000	0.2168
198	1.0000	0.9467	0.0000	0.2183
199	1.0000	0.9714	0.0000	0.2197
200	1.0000	0.9779	0.0000	0.2212
201	1.0000	0.9774	0.0000	0.2228
202	1.0000	0.9511	0.0000	0.2242
203	1.0000	0.9676	0.0000	0.2257
204	1.0000	0.9477	0.0000	0.2273
205	1.0000	0.9439	0.0000	0.2288
206	1.0000	0.9582	0.0000	0.2302
207	1.0000	0.9512	0.0000	0.2317
208	1.0000	0.9276	0.0000	0.2332
209	1.0000	0.9346	0.0000	0.2347
210	1.0000	0.9564	0.0000	0.2362
211	1.0000	0.9494	0.0000	0.2376
212	1.0000	0.9659	0.0000	0.2393
213	1.0000	0.9482	0.0000	0.2409
214	1.0000	0.9012	0.0000	0.2424
215	1.0000	0.9031	0.0000	0.2439
216	1.0000	0.9440	0.0000	0.2454
217	1.0000	0.9262	0.0000	0.2469
218	1.0000	0.9475	0.0000	0.2483
219	1.0000	0.9519	0.0000	0.2497
220	1.0000	0.9415	0.0000	0.2513
221	1.0000	0.9217	0.0000	0.2528
222	1.0000	0.9514	0.0000	0.2542
223	1.0000	0.9509	0.0000	0.2556
224	1.0000	0.9527	0.0000	0.2571
225	1.0000	0.9509	0.0000	0.2585
226	1.0000	0.9444	0.0000	0.2602
227	1.0000	0.9333	0.0000	0.2618
228	1.0000	0.9434	0.0000	0.2636
229	1.0000	0.9527	0.0000	0.2652
230	1.0000	0.9445	0.0000	0.2668
231	1.0000	0.9457	0.0000	0.2685
232	1.0000	0.9575	0.0000	0.2704
233	1.0000	0.9017	0.0000	0.2720
234	1.0000	0.9076	0.0000	0.2736
235	1.0000	0.9326	0.0000	0.2753
236	1.0000	0.9356	0.0000	0.2769
237	1.0000	0.9303	0.0000	0.2785
238	1.0000	0.9221	0.0000	0.2801
239	1.0000	0.9325	0.0000	0.2818
240	1.0000	0.9182	0.0000	0.2834
241	1.0000	0.9359	0.0000	0.2851
242	1.0000	0.9596	0.0000	0.2869
243	1.0000	0.9329	0.0000	0.2886
244	1.0000	0.9443	0.0000	0.2903
245	1.0000	0.9257	0.0000	0.2920
246	1.0000	0.9357	0.0000	0.2936
247	1.0000	0.9408	0.0000	0.2953
248	1.0000	0.9158	0.0000	0.2969
249	1.0000	0.9523	0.0000	0.2985
250	1.0000	0.9337	0.0000	0.3001
251	1.0000	0.9481	0.0000	0.3018
252	1.0000	0.9165	0.0000	0.3034
253	1.0000	0.9181	0.0000	0.3051
254	1.0000	0.9221	0.0000	0.3067
255	1.0000	0.9360	0.0000	0.3083
256	1.0000	0.9348	0.0000	0.3100
257	1.0000	0.9369	0.0000	0.3118
258	1.0000	0.9215	0.0000	0.3135
259	1.0000	0.9403	0.0000	0.3153
260	1.0000	0.9338	0.0000	0.3169
261	1.0000	0.9489	0.0000	0.3186
262	1.0000	0.8981	0.0000	0.3202
263	1.0000	0.9431	0.0000	0.3218
264	1.0000	0.9235	0.0000	0.3234
265	1.0000	0.8916	0.0000	0.3252
266	1.0000	0.9369	0.0000	0.3267
267	1.0000	0.9142	0.0000	0.3283
268	1.0000	0.9165	0.0000	0.3298
269	1.0000	0.9542	0.0000	0.3315
270	1.0000	0.9494	0.0000	0.3330
271	1.0000	0.9359	0.0000	0.3345
272	1.0000	0.9438	0.0000	0.3360
273	1.0000	0.9345	0.0000	0.3376
274	1.0000	0.9274	0.0000	0.3392
275	1.0000	0.9389	0.0000	0.3408
276	1.0000	0.9358	0.0000	0.3423
277	1.0000	0.9455	0.0000	0.3441
278	1.0000	0.9596	0.0000	0.3458
279	1.0000	0.8839	0.0000	0.3474
280	1.0000	0.9093	0.0000	0.3490
281	1.0000	0.9073	0.0000	0.3506
282	1.0000	0.9152	0.0000	0.3522
283	1.0000	0.9377	0.0000	0.3538
284	1.0000	0.9374	0.0000	0.3553
285	1.0000	0.9470	0.0000	0.3569
286	1.0000	0.9059	0.0000	0.3586
287	1.0000	0.9282	0.0000	0.3602
288	1.0000	0.8904	0.0000	0.3617
289	1.0000	0.9228	0.0000	0.3632
290	1.0000	0.9271	0.0000	0.3648
291	1.0000	0.9187	0.0000	0.3664
292	1.0000	0.9250	0.0000	0.3679
293	1.0000	0.9115	0.0000	0.3695
294	1.0000	0.9257	0.0000	0.3710
295	1.0000	0.9219	0.0000	0.3726
296	1.0000	0.9113	0.0000	0.3741
297	1.0000	0.9009	0.0000	0.3757
298	1.0000	0.9139	0.0000	0.3774
299	1.0000	0.9160	0.0000	0.3790
300	1.0000	0.9284	0.0000	0.3806
