ID: CF4	Date: 2018-07-01 17:49:54	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	-168.9831	-1200.9044	0.0000	19071.5714
1	-157.3416	-1126.9059	0.0000	29332.5069
2	-147.5750	-1073.5958	0.0000	39419.1141
3	-147.5750	-1046.4605	0.0000	49408.7012
4	-147.5750	-1004.6232	0.0000	59075.4981
5	-112.5095	-945.9518	0.0000	69038.8303
6	-101.5984	-917.1396	0.0000	78560.9064
7	-87.3600	-908.5966	0.0000	88099.5626
8	-87.3600	-860.5511	0.0000	97125.9592
9	-85.0450	-848.5327	0.0000	106583.1707
10	-71.0081	-849.3752	0.0000	115934.4277
11	-71.0081	-805.1631	0.0000	125281.3716
12	-71.0081	-801.1330	0.0000	134589.6854
13	-71.0081	-778.7409	0.0000	143830.7014
14	-53.8547	-780.5178	0.0000	153245.6276
15	-53.8547	-746.3082	0.0000	162392.0434
16	-11.5338	-729.7667	0.0000	171606.8177
17	-11.5338	-725.5655	0.0000	180568.5992
18	-11.5338	-716.7036	0.0000	189645.8156
19	-11.5338	-692.2217	0.0000	198858.0334
20	-11.5338	-686.9123	0.0000	207978.7047
21	-11.5338	-662.4043	0.0000	217021.3454
22	-11.5338	-651.6369	0.0000	225898.9732
23	-11.5338	-642.7769	0.0000	234609.0014
24	-6.7981	-641.1779	0.0000	243302.2149
25	-6.7981	-624.7988	0.0000	252121.8615
26	-6.7981	-624.0218	0.0000	260739.0575
27	-6.7981	-611.0978	0.0000	269365.7124
28	-6.0849	-591.8287	0.0000	277986.5413
29	-4.4475	-599.6382	0.0000	286606.6542
30	-4.4475	-595.6022	0.0000	295248.9378
31	-4.4475	-592.9626	0.0000	304058.3062
32	-4.4475	-583.7626	0.0000	312804.5192
33	-4.4475	-568.1460	0.0000	321506.0027
34	-4.4475	-568.2626	0.0000	330261.8814
35	-2.3745	-555.9094	0.0000	339067.4295
36	-1.6147	-538.6122	0.0000	347598.6416
37	-1.6147	-546.6513	0.0000	355981.2591
38	-1.6147	-528.3051	0.0000	364800.6406
39	-1.6147	-513.9759	0.0000	373412.9531
40	-1.6147	-514.2164	0.0000	382075.1538
41	-1.6147	-523.6809	0.0000	390673.1768
42	-1.6147	-532.6430	0.0000	399167.9804
43	-1.6147	-510.7151	0.0000	407727.8254
44	-1.3656	-496.6404	0.0000	416195.6828
45	-1.2121	-499.5701	0.0000	424656.9726
46	-1.1641	-493.8963	0.0000	433224.7782
47	-1.1641	-493.9733	0.0000	441809.7911
48	-0.5513	-483.8210	0.0000	450252.7425
49	-0.5513	-483.8494	0.0000	458631.1862
50	-0.5513	-465.5552	0.0000	467071.7931
51	-0.5513	-472.2407	0.0000	475437.4728
52	-0.5513	-476.7596	0.0000	483919.9262
53	-0.4401	-470.5767	0.0000	492423.7001
54	-0.3179	-468.6251	0.0000	500829.7246
55	-0.3179	-459.7558	0.0000	509282.9463
56	-0.3179	-469.7190	0.0000	517656.7366
57	-0.0772	-445.8240	0.0000	526147.3517
58	-0.0772	-444.5587	0.0000	534466.4438
59	-0.0772	-461.9871	0.0000	542830.9741
60	-0.0772	-445.8368	0.0000	551233.2919
61	-0.0772	-445.1716	0.0000	559583.5116
62	-0.0772	-440.9913	0.0000	568023.6628
63	-0.0772	-438.2271	0.0000	576400.3417
64	-0.0772	-433.4912	0.0000	584679.3482
65	-0.0772	-441.6835	0.0000	592903.7600
66	-0.0772	-451.9783	0.0000	601269.6347
67	-0.0772	-441.4479	0.0000	609520.8914
68	-0.0772	-435.8420	0.0000	617960.4905
69	-0.0772	-426.3859	0.0000	626161.6893
70	-0.0469	-421.8506	0.0000	634431.9863
71	-0.0469	-421.9133	0.0000	642571.0182
72	-0.0469	-397.1105	0.0000	650720.2232
73	-0.0469	-414.4350	0.0000	658910.8961
74	-0.0469	-416.2392	0.0000	667101.5136
75	-0.0277	-426.9109	0.0000	675353.8611
76	-0.0277	-409.5200	0.0000	683484.7448
77	-0.0277	-409.3490	0.0000	691783.2980
78	-0.0277	-411.3186	0.0000	700014.0996
79	-0.0277	-399.1160	0.0000	708335.2728
80	-0.0108	-401.5163	0.0000	716728.9166
81	-0.0108	-399.9051	0.0000	725268.2211
82	-0.0108	-389.0420	0.0000	733654.7210
83	-0.0108	-393.1991	0.0000	741993.0422
84	-0.0108	-383.7910	0.0000	750299.5446
85	-0.0108	-386.2394	0.0000	758469.2535
86	-0.0108	-383.2159	0.0000	766809.1171
87	-0.0108	-383.7031	0.0000	775194.4342
88	-0.0108	-383.7545	0.0000	783723.1762
89	-0.0108	-376.3768	0.0000	792069.6518
90	-0.0108	-383.6872	0.0000	800230.4897
91	-0.0108	-384.2723	0.0000	808568.8069
92	-0.0108	-383.8977	0.0000	816921.7021
93	-0.0108	-381.5154	0.0000	825158.9949
94	-0.0108	-374.8016	0.0000	833367.1234
95	-0.0108	-372.4013	0.0000	841737.0343
96	-0.0108	-383.6437	0.0000	849968.5764
97	-0.0108	-364.9211	0.0000	858173.1236
98	-0.0108	-380.0569	0.0000	866520.9920
99	-0.0108	-371.6721	0.0000	874895.4589
100	-0.0108	-368.8005	0.0000	883172.5252
101	-0.0108	-380.6328	0.0000	891280.5660
102	-0.0108	-370.5438	0.0000	899430.3882
103	-0.0090	-352.4420	0.0000	907696.8396
104	-0.0090	-368.7332	0.0000	916117.7440
105	-0.0090	-362.7301	0.0000	924313.0927
106	-0.0087	-361.1921	0.0000	932489.4485
107	-0.0033	-362.4631	0.0000	940662.2832
108	-0.0033	-358.3432	0.0000	948829.1943
109	-0.0033	-352.6988	0.0000	957041.1472
110	-0.0031	-345.8201	0.0000	965231.6129
111	-0.0031	-349.7316	0.0000	973555.4554
112	-0.0028	-352.7591	0.0000	981803.7651
113	-0.0028	-350.1276	0.0000	989928.6160
114	-0.0028	-340.8813	0.0000	998107.5008
115	-0.0028	-347.2770	0.0000	1006272.8920
116	-0.0026	-340.1591	0.0000	1014611.5496
117	-0.0026	-353.1662	0.0000	1022839.7927
118	-0.0019	-353.5125	0.0000	1031068.5587
119	-0.0015	-339.0748	0.0000	1039305.9721
120	-0.0015	-337.2061	0.0000	1047573.5209
121	-0.0015	-339.8788	0.0000	1055714.8788
122	-0.0015	-339.1071	0.0000	1063898.7808
123	-0.0008	-331.7153	0.0000	1072057.7159
124	-0.0008	-338.1386	0.0000	1080327.2460
125	-0.0008	-339.2843	0.0000	1088515.5857
126	-0.0008	-337.6929	0.0000	1096843.8222
127	-0.0008	-336.9321	0.0000	1105083.3845
128	-0.0008	-321.1381	0.0000	1113301.5828
129	-0.0008	-333.1178	0.0000	1121584.2972
130	-0.0008	-320.7593	0.0000	1129831.0945
131	-0.0008	-314.4839	0.0000	1137990.9225
132	-0.0008	-326.9395	0.0000	1146248.8794
133	-0.0008	-326.2689	0.0000	1154509.1019
134	-0.0008	-319.9254	0.0000	1162687.0792
135	-0.0008	-328.4173	0.0000	1171121.2797
136	-0.0002	-326.2855	0.0000	1179386.2629
137	-0.0002	-316.8469	0.0000	1187504.6964
138	-0.0002	-318.5682	0.0000	1195708.3478
139	-0.0002	-329.9493	0.0000	1204130.7333
140	-0.0002	-317.6776	0.0000	1212361.9521
141	-0.0002	-318.1382	0.0000	1220494.6487
142	-0.0002	-316.0159	0.0000	1228713.2413
143	-0.0002	-313.2037	0.0000	1236798.5713
144	-0.0001	-322.8875	0.0000	1244953.5813
145	-0.0001	-320.1352	0.0000	1253269.1543
146	-0.0001	-302.1949	0.0000	1261590.9019
147	-0.0001	-307.4612	0.0000	1269819.7989
148	-0.0001	-304.7013	0.0000	1277889.5879
149	-0.0001	-303.8217	0.0000	1286036.1233
150	-0.0001	-312.8728	0.0000	1294306.4237
151	-0.0000	-314.4046	0.0000	1302641.1550
152	-0.0000	-311.7352	0.0000	1310925.5385
153	-0.0000	-319.7970	0.0000	1319175.3080
154	-0.0000	-313.8300	0.0000	1327562.8707
155	-0.0000	-311.1788	0.0000	1335635.8662
156	-0.0000	-312.5214	0.0000	1344134.7048
157	-0.0000	-303.9688	0.0000	1352642.5631
158	-0.0000	-289.7122	0.0000	1361497.2320
159	-0.0000	-304.9702	0.0000	1370136.5266
160	-0.0000	-296.7641	0.0000	1378379.6248
161	-0.0000	-291.5802	0.0000	1386715.5993
162	-0.0000	-305.0290	0.0000	1394895.1883
163	-0.0000	-297.2352	0.0000	1403072.1543
164	-0.0000	-298.1075	0.0000	1411119.7622
165	-0.0000	-291.7183	0.0000	1419199.5974
166	-0.0000	-279.1249	0.0000	1427279.6879
167	-0.0000	-294.8927	0.0000	1435415.9918
168	-0.0000	-295.5605	0.0000	1443485.4627
169	-0.0000	-283.2776	0.0000	1451526.4726
170	-0.0000	-293.7841	0.0000	1459612.3486
171	-0.0000	-276.6382	0.0000	1467753.2241
172	-0.0000	-285.4420	0.0000	1475897.2445
173	-0.0000	-307.5042	0.0000	1484052.3534
174	-0.0000	-290.7944	0.0000	1492045.0480
175	-0.0000	-295.3696	0.0000	1500293.7272
176	-0.0000	-283.7738	0.0000	1508413.8770
177	-0.0000	-287.6837	0.0000	1516613.3239
178	-0.0000	-291.9744	0.0000	1524811.3925
179	-0.0000	-278.8352	0.0000	1533090.0199
180	-0.0000	-279.7043	0.0000	1541171.8013
181	-0.0000	-284.7423	0.0000	1549368.0387
182	-0.0000	-290.2550	0.0000	1557459.7831
183	-0.0000	-281.8877	0.0000	1565521.7113
184	-0.0000	-279.1293	0.0000	1573693.9421
185	-0.0000	-284.5851	0.0000	1581782.8879
186	-0.0000	-278.8003	0.0000	1589794.2183
187	-0.0000	-283.4958	0.0000	1597826.4806
188	-0.0000	-288.7295	0.0000	1605913.8391
189	-0.0000	-287.9953	0.0000	1614095.1269
190	-0.0000	-280.1957	0.0000	1622285.3997
191	-0.0000	-265.4715	0.0000	1630397.8608
192	-0.0000	-269.4418	0.0000	1638591.3744
193	-0.0000	-279.4274	0.0000	1646743.9342
194	-0.0000	-284.3987	0.0000	1654726.3808
195	-0.0000	-278.5158	0.0000	1662791.9269
196	-0.0000	-279.5957	0.0000	1670952.8592
197	-0.0000	-274.0189	0.0000	1679121.8390
198	-0.0000	-271.3519	0.0000	1687205.3988
199	-0.0000	-276.3455	0.0000	1695409.5309
200	-0.0000	-271.2744	0.0000	1703573.7681
201	-0.0000	-281.4672	0.0000	1711745.7697
202	-0.0000	-270.8536	0.0000	1719893.9259
203	-0.0000	-278.0904	0.0000	1727917.0542
204	-0.0000	-274.2359	0.0000	1735985.9068
205	-0.0000	-269.5235	0.0000	1744035.4731
206	-0.0000	-264.7930	0.0000	1752270.0820
207	-0.0000	-271.1421	0.0000	1760481.2818
208	-0.0000	-264.2314	0.0000	1768566.7655
209	-0.0000	-273.5202	0.0000	1776494.9214
210	-0.0000	-260.7835	0.0000	1784534.8876
211	-0.0000	-265.8309	0.0000	1792701.3085
212	-0.0000	-263.8531	0.0000	1800667.0597
213	-0.0000	-261.5906	0.0000	1808610.6532
214	-0.0000	-273.9408	0.0000	1816679.7781
215	-0.0000	-266.6011	0.0000	1824626.4398
216	-0.0000	-261.0294	0.0000	1832742.1079
217	-0.0000	-267.5588	0.0000	1840751.9462
218	-0.0000	-276.0153	0.0000	1848784.3716
219	-0.0000	-267.7568	0.0000	1856874.5401
220	-0.0000	-274.6807	0.0000	1864678.3841
221	-0.0000	-267.2086	0.0000	1872745.5473
222	-0.0000	-277.9021	0.0000	1880701.4811
223	-0.0000	-270.6456	0.0000	1888803.9439
224	-0.0000	-275.7382	0.0000	1896896.9779
225	-0.0000	-267.3678	0.0000	1904801.6784
226	-0.0000	-267.7873	0.0000	1912797.5786
227	-0.0000	-270.9549	0.0000	1920870.7228
228	-0.0000	-269.7629	0.0000	1928881.4371
229	-0.0000	-274.5810	0.0000	1936873.6622
230	-0.0000	-262.9525	0.0000	1944750.2992
231	-0.0000	-258.9073	0.0000	1952754.6477
232	-0.0000	-265.1468	0.0000	1960658.3810
233	-0.0000	-270.1376	0.0000	1968698.8983
234	-0.0000	-270.1819	0.0000	1976870.2066
235	-0.0000	-264.9164	0.0000	1984975.6639
236	-0.0000	-270.3037	0.0000	1992991.5054
237	-0.0000	-285.0265	0.0000	2000976.8500
238	-0.0000	-258.4989	0.0000	2008981.4377
239	-0.0000	-269.4705	0.0000	2016952.8322
240	-0.0000	-270.2445	0.0000	2024947.1178
241	-0.0000	-261.4575	0.0000	2033074.8653
242	-0.0000	-267.6440	0.0000	2041113.1403
243	-0.0000	-260.3426	0.0000	2049146.6668
244	-0.0000	-258.9823	0.0000	2057131.6378
245	-0.0000	-264.9869	0.0000	2065146.7321
246	-0.0000	-260.7847	0.0000	2073225.0268
247	-0.0000	-248.4896	0.0000	2081372.9782
248	-0.0000	-259.7278	0.0000	2089469.5039
249	-0.0000	-251.2310	0.0000	2097551.3692
250	-0.0000	-261.6137	0.0000	2105603.9426
251	-0.0000	-259.1060	0.0000	2113751.2281
252	-0.0000	-262.9820	0.0000	2121746.6137
253	-0.0000	-248.2810	0.0000	2129704.1328
254	-0.0000	-250.9924	0.0000	2137674.0794
255	-0.0000	-257.7905	0.0000	2145760.1233
256	-0.0000	-251.6493	0.0000	2153629.7417
257	-0.0000	-250.7915	0.0000	2161658.5035
258	-0.0000	-253.7329	0.0000	2169701.1347
259	-0.0000	-250.2123	0.0000	2177736.5720
260	-0.0000	-252.5116	0.0000	2185728.3142
261	-0.0000	-263.4289	0.0000	2193880.9347
262	-0.0000	-257.1501	0.0000	2201871.0561
263	-0.0000	-257.3380	0.0000	2210055.8970
264	-0.0000	-256.0395	0.0000	2218157.4500
265	-0.0000	-268.5900	0.0000	2226293.6277
266	-0.0000	-255.0778	0.0000	2234280.7531
267	-0.0000	-262.5916	0.0000	2242266.4940
268	-0.0000	-252.7105	0.0000	2250508.3466
269	-0.0000	-249.2722	0.0000	2258490.6850
270	-0.0000	-251.2148	0.0000	2266380.7237
271	-0.0000	-254.8665	0.0000	2274283.6504
272	-0.0000	-265.2686	0.0000	2282197.5336
273	-0.0000	-271.4364	0.0000	2290164.2470
274	-0.0000	-271.3327	0.0000	2298084.0466
275	-0.0000	-256.3911	0.0000	2305886.2379
276	-0.0000	-254.3966	0.0000	2313813.9970
277	-0.0000	-264.0124	0.0000	2321857.8014
278	-0.0000	-268.9470	0.0000	2329955.5390
279	-0.0000	-264.0068	0.0000	2337981.8711
280	-0.0000	-260.0233	0.0000	2346100.7771
