ID: shubert	Date: 2018-07-01 18:11:58	Runs: 1
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	1378.8184	69.5362	0.0000	1914.1932
1	1378.8184	65.6169	0.0000	3051.5223
2	1378.8184	84.7651	0.0000	4151.9907
3	1378.8184	117.9999	0.0000	5210.8743
4	1378.8184	144.6311	0.0000	6224.6306
5	1378.8184	141.7166	0.0000	7242.3203
6	1378.8184	149.2957	0.0000	8214.6869
7	1378.8184	210.8544	0.0000	9182.7312
8	1378.8184	169.1554	0.0000	10123.1065
9	2371.7123	235.4428	0.0000	11054.1716
10	2371.7123	251.1180	0.0000	12054.7342
11	2499.5284	315.1351	0.0000	13076.7598
12	2499.5284	299.3487	0.0000	14038.1904
13	2690.8964	385.2264	0.0000	15080.5850
14	2690.8964	426.6566	0.0000	16106.6580
15	2690.8964	412.9811	0.0000	17085.1915
16	2690.8964	437.3575	0.0000	18056.7563
17	2690.8964	442.2320	0.0000	18981.2000
18	2690.8964	464.1045	0.0000	19916.5506
19	2690.8964	503.3485	0.0000	20836.5588
20	2690.8964	566.3974	0.0000	21754.8137
21	2690.8964	604.7740	0.0000	22748.6475
22	2690.8964	530.7505	0.0000	23730.2594
23	2701.0102	571.3913	0.0000	24659.9135
24	2701.0102	566.8401	0.0000	25570.6558
25	2701.0102	602.5852	0.0000	26520.4787
26	2701.0102	650.7100	0.0000	27489.5818
27	2701.0102	696.3084	0.0000	28620.2865
28	2701.0102	685.4913	0.0000	29593.1077
29	2701.0102	803.5405	0.0000	30540.6058
30	2701.0102	816.4791	0.0000	31437.4344
31	2701.0102	799.2895	0.0000	32387.1400
32	2701.0102	832.0687	0.0000	33320.2734
33	2701.0102	765.6103	0.0000	34420.3572
34	2701.0102	762.6209	0.0000	35438.9613
35	2701.0102	865.5663	0.0000	36524.7772
36	2701.0102	861.2234	0.0000	37546.6754
37	2701.0102	923.4062	0.0000	38647.5041
38	2701.0102	858.5493	0.0000	39672.0531
39	2701.0102	926.7421	0.0000	40652.3843
40	2701.0102	970.7501	0.0000	41574.1060
41	2701.0102	972.0008	0.0000	42523.3858
42	2701.0102	1117.0555	0.0000	43427.4755
43	2701.0102	972.3796	0.0000	44355.3338
44	2701.0102	1081.6727	0.0000	45290.1301
45	2701.0102	1088.7108	0.0000	46220.5927
46	2701.0102	983.0325	0.0000	47144.7403
47	2701.0102	1082.1265	0.0000	48110.8744
48	2701.0102	1094.9822	0.0000	49054.4779
49	2701.0102	1070.9110	0.0000	49987.0718
50	2701.0102	1199.4559	0.0000	50908.6831
51	2702.3339	1155.7678	0.0000	51853.4338
52	2702.3339	1157.6073	0.0000	52777.9624
53	2702.3339	1172.5879	0.0000	53681.6676
54	2702.3339	1274.3728	0.0000	54583.4646
55	2702.3339	1187.0488	0.0000	55476.7888
56	2702.3339	1255.9117	0.0000	56405.0429
57	2702.3339	1260.3343	0.0000	57313.8120
58	2702.3339	1256.0375	0.0000	58239.1779
59	2702.3339	1278.3935	0.0000	59153.2872
60	2702.3339	1302.2503	0.0000	60076.7565
61	2702.3339	1299.5909	0.0000	60998.3275
62	2702.3339	1362.7810	0.0000	61891.0024
63	2702.3339	1407.4737	0.0000	62787.7667
64	2702.3339	1383.0726	0.0000	63703.6672
65	2702.3339	1249.0267	0.0000	64635.0439
66	2702.3339	1273.2592	0.0000	65566.7727
67	2702.3339	1362.7898	0.0000	66471.1494
68	2702.3339	1436.7775	0.0000	67389.4315
69	2702.3339	1321.2249	0.0000	68296.9153
70	2702.3339	1328.5657	0.0000	69213.1388
71	2702.3339	1405.2715	0.0000	70167.6507
72	2702.3339	1409.6791	0.0000	71196.8951
73	2702.3339	1415.5058	0.0000	72145.4158
74	2702.3339	1435.6104	0.0000	73072.3231
75	2702.3339	1497.8613	0.0000	73969.1551
76	2702.3339	1425.3840	0.0000	74853.0600
77	2702.3339	1450.3228	0.0000	75762.1315
78	2702.3339	1438.3425	0.0000	76647.5182
79	2702.3339	1508.3325	0.0000	77549.4220
80	2702.3339	1429.4174	0.0000	78435.5752
81	2708.8076	1515.6476	0.0000	79316.2374
82	2708.8076	1512.4124	0.0000	80217.8540
83	2708.8076	1448.0974	0.0000	81110.4314
84	2708.8076	1447.7677	0.0000	82013.5660
85	2708.8076	1518.7845	0.0000	82903.0817
86	2708.8076	1559.3212	0.0000	83781.5473
87	2708.8076	1547.2769	0.0000	84654.6142
88	2708.8076	1570.7580	0.0000	85534.8785
89	2708.8076	1594.1911	0.0000	86415.9572
90	2708.8076	1572.0789	0.0000	87292.1214
91	2708.8076	1675.8431	0.0000	88180.6452
92	2708.8076	1554.5370	0.0000	89072.5832
93	2708.8076	1543.7336	0.0000	89959.7027
94	2708.8076	1627.8330	0.0000	90854.7688
95	2708.8076	1503.9704	0.0000	91729.0328
96	2708.8076	1713.4800	0.0000	92649.3738
97	2708.8076	1658.2761	0.0000	93525.3229
98	2708.8076	1607.5172	0.0000	94422.1025
99	2708.8076	1689.5936	0.0000	95304.5843
100	2708.8076	1746.4523	0.0000	96184.5684
101	2708.8076	1712.8668	0.0000	97058.4147
102	2708.8076	1713.8728	0.0000	97937.3991
103	2708.8076	1756.9920	0.0000	98824.7159
104	2708.8076	1682.5071	0.0000	99711.5371
105	2708.8076	1641.4946	0.0000	100609.9083
106	2708.8076	1665.3770	0.0000	101493.9494
107	2708.8076	1605.9358	0.0000	102383.4846
108	2708.8076	1718.7867	0.0000	103255.4765
109	2708.8076	1651.4631	0.0000	104157.4850
110	2708.8076	1775.1229	0.0000	105044.3995
111	2708.8076	1653.5988	0.0000	105951.3321
112	2708.8076	1732.4818	0.0000	106831.4898
113	2708.8076	1659.4289	0.0000	107747.2394
114	2708.8076	1730.7778	0.0000	108634.2192
115	2708.8076	1676.5768	0.0000	109529.4874
116	2708.8076	1720.9354	0.0000	110418.9501
117	2708.8076	1721.3346	0.0000	111328.6636
118	2708.8076	1722.8821	0.0000	112210.2475
119	2708.8076	1798.2406	0.0000	113095.4778
120	2708.8076	1768.0669	0.0000	113983.2950
121	2708.8076	1736.6511	0.0000	114863.1344
122	2708.8076	1743.4766	0.0000	115747.7503
123	2708.8076	1713.4158	0.0000	116627.6512
124	2708.8076	1791.6464	0.0000	117532.6481
125	2708.8076	1788.2119	0.0000	118428.0708
126	2708.8076	1805.5057	0.0000	119324.8878
127	2708.8076	1725.6952	0.0000	120210.4468
128	2708.8076	1796.0296	0.0000	121086.3705
129	2708.8076	1754.1442	0.0000	121970.7425
130	2708.8076	1786.5021	0.0000	122836.1590
131	2708.8076	1794.4407	0.0000	123723.8798
132	2708.8076	1779.7658	0.0000	124592.1757
133	2708.8076	1808.7336	0.0000	125489.3084
134	2708.8076	1748.8436	0.0000	126368.7749
135	2708.8076	1883.9945	0.0000	127268.8522
136	2708.8076	1863.7742	0.0000	128142.2024
137	2708.8076	1774.8084	0.0000	129019.1503
138	2708.8076	1781.6199	0.0000	129922.2658
139	2708.8076	1843.5666	0.0000	130810.2641
140	2708.8076	1860.1729	0.0000	131693.3284
141	2708.8076	1881.2143	0.0000	132583.0700
142	2708.8076	1889.0810	0.0000	133471.6268
143	2708.8076	1814.0761	0.0000	134337.1899
144	2708.8076	1847.7195	0.0000	135200.0084
145	2708.8076	1777.9284	0.0000	136077.5154
146	2708.8076	1909.5152	0.0000	136979.9695
147	2708.8076	1799.5848	0.0000	137843.7436
148	2708.8076	1838.4731	0.0000	138736.4802
149	2708.8076	1843.7107	0.0000	139624.6257
150	2708.8076	1864.9745	0.0000	140498.9207
151	2708.8076	1879.0156	0.0000	141385.8438
152	2708.8076	1923.7063	0.0000	142271.2705
153	2708.8076	1842.7611	0.0000	143140.2025
154	2708.8076	1965.8567	0.0000	144018.3792
155	2708.8076	1844.2424	0.0000	144915.3819
156	2708.8076	1794.3482	0.0000	145807.1611
157	2708.8076	1828.6609	0.0000	146693.5403
158	2708.8122	1804.5680	0.0000	147581.9283
159	2708.8180	1793.0910	0.0000	148470.1209
160	2708.8180	1906.1096	0.0000	149336.4584
161	2708.8180	1868.8978	0.0000	150195.2043
162	2708.8180	1846.0171	0.0000	151046.6881
163	2708.8180	1821.7699	0.0000	151926.0783
164	2708.8180	1838.2566	0.0000	152813.5743
165	2708.8180	1807.3379	0.0000	153696.5549
166	2708.8180	1944.9534	0.0000	154577.9366
167	2708.8180	1912.4892	0.0000	155467.8836
168	2708.8180	2014.1203	0.0000	156367.8794
169	2708.8180	1910.5724	0.0000	157232.7774
170	2708.8180	1994.5209	0.0000	158115.0999
171	2708.8180	1939.9314	0.0000	158996.4378
172	2708.8180	1905.3414	0.0000	159891.3286
173	2708.8180	1924.0072	0.0000	160782.2680
174	2708.8180	1941.5676	0.0000	161655.6785
175	2708.8180	1918.1895	0.0000	162526.1171
176	2708.8180	1907.0732	0.0000	163383.2572
177	2708.8180	1929.0332	0.0000	164249.7911
178	2708.8180	1978.2114	0.0000	165107.7993
179	2708.8180	1983.0133	0.0000	165977.8881
180	2708.8180	1955.8019	0.0000	166849.9622
181	2708.8180	1926.7591	0.0000	167704.8466
182	2708.8180	1886.0065	0.0000	168608.1493
183	2708.8180	1890.0555	0.0000	169473.7904
184	2708.8180	2020.3133	0.0000	170345.4280
185	2708.9481	1924.3743	0.0000	171225.1189
186	2708.9481	1979.3313	0.0000	172098.0921
187	2708.9481	2002.8097	0.0000	172967.0291
188	2708.9481	1905.0442	0.0000	173834.9032
189	2708.9481	1877.2932	0.0000	174715.9572
190	2708.9481	2037.6956	0.0000	175595.0415
191	2708.9481	1966.9847	0.0000	176472.5432
192	2708.9481	1970.4611	0.0000	177360.2405
193	2708.9481	1908.4353	0.0000	178239.9101
194	2708.9481	2025.2600	0.0000	179104.2829
195	2708.9481	1941.8803	0.0000	179965.6236
196	2708.9481	1978.2998	0.0000	180846.7777
197	2708.9481	2049.1591	0.0000	181727.3898
198	2708.9481	2025.6455	0.0000	182606.9074
199	2708.9481	1905.4723	0.0000	183485.1444
200	2708.9481	1887.8507	0.0000	184365.1273
201	2708.9481	1990.5203	0.0000	185253.3374
202	2708.9481	1961.4746	0.0000	186145.3881
203	2708.9481	2019.7204	0.0000	187019.0108
204	2708.9481	2017.0395	0.0000	187899.1897
205	2708.9555	2054.9307	0.0000	188802.2540
206	2708.9555	2047.1161	0.0000	189675.4165
207	2708.9555	1969.6819	0.0000	190559.1433
208	2708.9555	1978.3784	0.0000	191424.8140
209	2708.9555	2025.9231	0.0000	192298.7504
210	2708.9555	2043.2567	0.0000	193154.1836
211	2708.9555	1890.5281	0.0000	194040.7770
212	2708.9555	1938.6019	0.0000	194913.4176
213	2708.9555	2006.1037	0.0000	195806.6926
214	2708.9945	2081.2184	0.0000	196679.9614
215	2708.9945	1897.4156	0.0000	197536.3016
216	2708.9945	1964.7967	0.0000	198406.0643
217	2708.9945	1988.6142	0.0000	199267.1039
218	2708.9945	2020.7956	0.0000	200127.5146
